"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"COMM 21","A","MEDIA AND SOCIETY","3","M-TH 0800-0930(FULLY ONSITE)","SS CSR","PARIS, Janella Grace","28","ENG","U","5","-","N","N"
"COMM 21","B","MEDIA AND SOCIETY","3","M-TH 0930-1100(FULLY ONSITE)","SS CSR","PARIS, Janella Grace","28","ENG","U","1","-","N","N"
"COMM 21","E","MEDIA AND SOCIETY","3","M-TH 1400-1530(FULLY ONSITE)","SS CSR","PARIS, Janella Grace","28","ENG","U","1","-","N","N"
"COMM 21","F","MEDIA AND SOCIETY","3","M-TH 1530-1700(FULLY ONSITE)","SS CSR","PARIS, Janella Grace","28","ENG","U","0","-","N","N"
"COMM 21","N","MEDIA AND SOCIETY","3","T-F 1400-1530(FULLY ONSITE)","SS CSR","VASWANI, SERENA M.","28","ENG","U","0","-","N","N"
"COMM 21","O","MEDIA AND SOCIETY","3","T-F 1530-1700(FULLY ONSITE)","SS CSR","VASWANI, SERENA M.","28","ENG","U","6","-","N","N"
"COMM 22","EFT","MEDIA LAW AND ETHICS","3","TH 1400-1700(FULLY ONSITE)","CTC 201C","IMBONG, JO AUREA M.","27","ENG","U","11","-","N","N"
"COMM 22","M","MEDIA LAW AND ETHICS","3","T-F 1230-1400(FULLY ONSITE)","SS CSR","ROMERO, Charlton Jules","27","ENG","U","1","-","N","N"
"COMM 22","UV2","MEDIA LAW AND ETHICS","3","SAT 1100-1400(FULLY ONSITE)","SS-280","IMBONG, JAMES M.","27","ENG","U","6","-","N","N"
"COMM 22","WX2","MEDIA LAW AND ETHICS","3","SAT 1400-1700(FULLY ONSITE)","SS-280","IMBONG, JAMES M.","27","ENG","U","1","-","N","N"
"COMM 22","YW","MEDIA LAW AND ETHICS","3","W 1700-2000(FULLY ONSITE)","SS-280","IMBONG, JO AUREA M.","0","ENG","U","-16","-","N","N"
"COMM 24","GM","SCIENCE AND RISK COMMUNICATION","3","M 1700-2000(FULLY ONSITE)","SS CONF 5","BANGABANG, Marie Antoinette","24","ENG","U","0","-","N","N"
"COMM 24","GTH1","SCIENCE AND RISK COMMUNICATION","3","TH 1700-2000(FULLY ONSITE)","SS CONF 5","BANGABANG, Marie Antoinette","24","ENG","U","0","-","N","N"
"COMM 24","M","SCIENCE AND RISK COMMUNICATION","3","T-F 1230-1400(FULLY ONSITE)","SS CONF 5","HERNANDO, Leonor","24","ENG","U","0","-","N","N"
"COMM 24","N","SCIENCE AND RISK COMMUNICATION","3","T-F 1400-1530(FULLY ONSITE)","SS CONF 5","HERNANDO, Leonor","24","ENG","U","0","-","N","N"
"COMM 24","O","SCIENCE AND RISK COMMUNICATION","3","T-F 1530-1700(FULLY ONSITE)","SS CONF 5","HERNANDO, Leonor","24","ENG","U","8","-","N","N"
"COMM 26","A","INFORMATION SOCIETY","3","M-TH 0800-0930(FULLY ONSITE)","SS-280","TY, ANDREW ALBERT J.","31","ENG","U","6","-","N","N"
"COMM 26","B","INFORMATION SOCIETY","3","M-TH 0930-1100(FULLY ONSITE)","SS-280","TY, ANDREW ALBERT J.","31","ENG","U","3","-","N","N"
"COMM 26","M","INFORMATION SOCIETY","3","T-F 1230-1400(FULLY ONSITE)","SS-280","COX, CHRISTINE ANNE R.","31","ENG","U","1","-","N","N"
"COMM 26","N","INFORMATION SOCIETY","3","T-F 1400-1530(FULLY ONSITE)","SS-280","COX, CHRISTINE ANNE R.","31","ENG","U","0","-","N","N"
"COMM 26","O","INFORMATION SOCIETY","3","T-F 1530-1700(FULLY ONSITE)","SS-280","COX, CHRISTINE ANNE R.","31","ENG","U","0","-","N","N"
