"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ECON 110","C","PRINCIPLES OF ECONOMICS","3","M-TH 1100-1230(FULLY ONSITE)","K-301","PEÑA-REYES, SER PERCIVAL K.","30","ENG","U","0","-","N","N"
"ECON 110","E","PRINCIPLES OF ECONOMICS","3","M-TH 1400-1530(FULLY ONSITE)","K-301","PEÑA-REYES, SER PERCIVAL K.","31","ENG","U","0","-","N","N"
"ECON 110","F","PRINCIPLES OF ECONOMICS","3","M-TH 1530-1700(FULLY ONSITE)","K-301","PEÑA-REYES, SER PERCIVAL K.","30","ENG","U","0","-","N","N"
"ECON 110","L","PRINCIPLES OF ECONOMICS","3","T-F 1100-1230(FULLY ONSITE)","CTC 206","LIM, JOSEPH ANTHONY Y.","31","ENG","U","0","-","N","N"
"ECON 110","L1","PRINCIPLES OF ECONOMICS","3","T-F 1100-1230(FULLY ONSITE)","K-204","YAPTANGCO, EDWIN E.","31","ENG","U","1","-","N","N"
"ECON 110","M","PRINCIPLES OF ECONOMICS","3","T-F 1230-1400(FULLY ONSITE)","CTC 206","LIM, JOSEPH ANTHONY Y.","32","ENG","U","0","2 SLOT(S) FOR CROSS REG-IXS MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 110","N","PRINCIPLES OF ECONOMICS","3","T-F 1400-1530(FULLY ONSITE)","K-302","BAUTISTA, CRISTINA M.","30","ENG","U","2","20 SLOT(S) FOR 2ND YEAR AB EU MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 110","O","PRINCIPLES OF ECONOMICS","3","T-F 1530-1700(FULLY ONSITE)","CTC 206","YAPTANGCO, EDWIN E.","31","ENG","U","12","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 110","O1","PRINCIPLES OF ECONOMICS","3","T-F 1530-1700(FULLY ONSITE)","K-302","BAUTISTA, CRISTINA M.","32","ENG","U","1","1 SLOT(S) FOR MSSM MAJORS.","N","N"
"ECON 111","A","INTERMEDIATE MICROECONOMIC THEORY","3","M-TH 0800-0930(FULLY ONSITE)","K-301","LONTOC, Genesis Kelly","30","ENG","U","-2","-","N","N"
"ECON 111","K","INTERMEDIATE MICROECONOMIC THEORY","3","T-F 0930-1100(FULLY ONSITE)","K-302","BAUTISTA, CRISTINA M.","30","ENG","U","0","-","N","N"
"ECON 111","K1","INTERMEDIATE MICROECONOMIC THEORY","3","T-F 0930-1100(FULLY ONSITE)","K-301","LANZONA, LEONARDO, JR. A.","31","ENG","U","-2","-","N","N"
"ECON 111","L","INTERMEDIATE MICROECONOMIC THEORY","3","T-F 1100-1230(FULLY ONSITE)","K-302","BAUTISTA, CRISTINA M.","30","ENG","U","-1","-","N","N"
"ECON 111","L1","INTERMEDIATE MICROECONOMIC THEORY","3","T-F 1100-1230(FULLY ONSITE)","K-301","LANZONA, LEONARDO, JR. A.","25","ENG","U","13","-","N","N"
"ECON 112","A","INTERMEDIATE MACROECONOMIC THEORY","3","M-TH 0800-0930(FULLY ONSITE)","CTC 206","DUMLAO, LUIS F.","32","ENG","U","0","-","N","N"
"ECON 112","A1","INTERMEDIATE MACROECONOMIC THEORY","3","M-TH 0800-0930(FULLY ONSITE)","CTC 406","TBA, -","32","ENG","U","19","-","N","N"
"ECON 112","B","INTERMEDIATE MACROECONOMIC THEORY","3","M-TH 0930-1100(FULLY ONSITE)","CTC 206","SESCON, JOSELITO T.","32","ENG","U","-8","-","N","N"
"ECON 112","C","INTERMEDIATE MACROECONOMIC THEORY","3","M-TH 1100-1230(FULLY ONSITE)","CTC 206","DUMLAO, LUIS F.","32","ENG","U","-1","-","N","N"
"ECON 113","UV2","ECONOMICS OF MONEY AND BANKING","3","SAT 1100-1400(FULLY ONSITE)","CTC 206","LEDESMA, RODOLFO G.","30","ENG","U","2","-","N","N"
"ECON 113","WX2","ECONOMICS OF MONEY AND BANKING","3","SAT 1400-1700(FULLY ONSITE)","CTC 206","LEDESMA, RODOLFO G.","30","ENG","U","22","-","N","N"
"ECON 116","UV1","STATISTICS FOR ECONOMISTS","3","W 1100-1400(FULLY ONSITE)","CTC 206","PEÑA-REYES, SER PERCIVAL K.","25","ENG","U","-5","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 116","YW","STATISTICS FOR ECONOMISTS","3","W 1700-2000(FULLY ONSITE)","CTC 206","PEÑA-REYES, SER PERCIVAL K.","25","ENG","U","8","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 117.01","EF","INTRODUCTION TO ECONOMETRICS I, LECTURE","3","TH 1400-1700(ONSITE)","SS-284","PASCUA, GERALD GRACIUS Y.","22","ENG","U","9","*Paired with ECON 117.02 GH","N","N"
"ECON 117.01","Q","INTRODUCTION TO ECONOMETRICS I, LECTURE","3","T-F 1830-2000(FULLY ONSITE)","SS-284","JOPSON, Edgardo ManuelMiguel","24","ENG","U","0","*Paired with ECON 117.02 QQ","N","N"
"ECON 117.01","ST2","INTRODUCTION TO ECONOMETRICS I, LECTURE","3","SAT 0800-1100(FULLY ONSITE)","K-301","TABORA, Carlos Santiago","22","ENG","U","10","*Paired with ECON 117.02 UV","N","N"
"ECON 117.01","WX1","INTRODUCTION TO ECONOMETRICS I, LECTURE","3","W 1400-1700(FULLY ONSITE)","SS-284","PASCUA, GERALD GRACIUS Y.","23","ENG","U","0","1 SLOT(S) FOR CROSS REG-IXS MAJORS. *Paired with ECON 117.02 YZ","N","N"
"ECON 117.02","GH","INTRODUCTION TO ECONOMETRICS I, LABORATORY","1","TH 1700-1900(ONSITE)","SS-284","PASCUA, GERALD GRACIUS Y.","22","ENG","U","9","*Paired with ECON 117.01 EF","N","N"
"ECON 117.02","QQ","INTRODUCTION TO ECONOMETRICS I, LABORATORY","1","T-F 2000-2100(ONSITE)","SS-284","JOPSON, Edgardo ManuelMiguel","24","ENG","U","0","*Paired with ECON 117.01 Q","N","N"
"ECON 117.02","UV","INTRODUCTION TO ECONOMETRICS I, LABORATORY","1","SAT 1200-1400(ONSITE)","SS-284","TABORA, Carlos Santiago","22","ENG","U","10","*Paired with ECON 117.01 ST2","N","N"
"ECON 117.02","YZ","INTRODUCTION TO ECONOMETRICS I, LABORATORY","1","W 1700-1900(ONSITE)","SS-284","PASCUA, GERALD GRACIUS Y.","23","ENG","U","0","1 SLOT(S) FOR CROSS REG-IXS MAJORS. *Paired with ECON 117.01 WX1","N","N"
"ECON 118.01","UV1","INTRODUCTION TO ECONOMETRICS II, LECTURE","3","W 1100-1400(FULLY ONSITE)","K-301","SAPLALA, DINO CARLO A.","16","ENG","U","0","-","N","N"
"ECON 118.01","WX1","INTRODUCTION TO ECONOMETRICS II, LECTURE","3","W 1400-1700(FULLY ONSITE)","K-301","SAPLALA, DINO CARLO A.","16","ENG","U","3","-","N","N"
"ECON 118.02","WX","INTRODUCTION TO ECONOMETRICS II, LABORATORY","1","SAT 1400-1600(ONSITE)","SS-284","SAPLALA, DINO CARLO A.","32","ENG","U","3","-","N","N"
"ECON 121","UV1","DEVELOPMENT ECONOMICS","3","W 1100-1400(FULLY ONSITE)","K-302","SIMON-KING, PATRICK GERARD C.","35","ENG","U","0","3 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 140","D","INDUSTRIAL ORGANIZATION","3","M-TH 1230-1400(FULLY ONSITE)","K-302","SIMON-KING, PATRICK GERARD C.","30","ENG","U","0","-","N","N"
"ECON 140","E","INDUSTRIAL ORGANIZATION","3","M-TH 1400-1530(FULLY ONSITE)","K-302","SIMON-KING, PATRICK GERARD C.","30","ENG","U","0","-","N","N"
"ECON 142","ST2","FINANCIAL ECONOMICS","3","SAT 0800-1100(FULLY ONSITE)","CTC 206","LAZATIN, Alfonse","35","ENG","U","5","-","N","N"
"ECON 150","M","ECONOMICS OF PUBLIC FINANCE","3","T-F 1230-1400(FULLY ONSITE)","CTC 406","CRUZ, JAN FREDRICK P.","30","ENG","U","0","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 154","G","ECONOMICS OF POPULATION","3","M-TH 1700-1830(FULLY ONSITE)","K-301","MAYO, Charlon","30","ENG","U","9","-","N","N"
"ECON 185.13","UV2","SPECIAL TOPICS IN ECONOMICS: ECONOMICS OF HUMAN RESOURCES","3","SAT 1100-1400(FULLY ONSITE)","K-301","BARRER, Reginald Rex","30","ENG","U","16","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 185.60","L","SPECIAL TOPICS IN ECONOMICS: ENVIRONMENTAL POLICY","3","T-F 1100-1230(FULLY ONSITE)","G-204","RAVAGO, MAJAH-LEAH V.","30","ENG","U","11","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 185.60","N","SPECIAL TOPICS IN ECONOMICS: ENVIRONMENTAL POLICY","3","T-F 1400-1530(FULLY ONSITE)","K-301","RAVAGO, MAJAH-LEAH V.","30","ENG","U","13","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 185.65i","E","ECONOMICS OF LABOR AND EMPLOYMENT LAW","3","M-TH 1400-1530(FULLY ONSITE)","SOM 302","GAMBOA, Jayvy","30","ENG","U","0","-","N","N"
"ECON 185.65i","F","ECONOMICS OF LABOR AND EMPLOYMENT LAW","3","M-TH 1530-1700(FULLY ONSITE)","SOM 302","GAMBOA, Jayvy","30","ENG","U","0","-","N","N"
"ECON 185.65i","YZW","ECONOMICS OF LABOR AND EMPLOYMENT LAW","3","W 1800-2100(FULLY ONSITE)","SEC-A123","GUINIGUNDO, Daniel Alberto","30","ENG","U","18","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 185.68i","N","SPECIAL TOPICS IN ECONOMICS: THE ECONOMY OF COMMUNION","3","T-F 1400-1530(FULLY ONSITE)","K-204","PEREZ, MARILOU A.","30","ENG","U","0","-","N","N"
"ECON 185.68i","O","SPECIAL TOPICS IN ECONOMICS: THE ECONOMY OF COMMUNION","3","T-F 1530-1700(FULLY ONSITE)","K-301","PEREZ, MARILOU A.","30","ENG","U","0","-","N","N"
"ECON 185.69i","N","LAW, ECONOMICS, AND PUBLIC POLICY","3","T-F 1400-1530(FULLY ONSITE)","CTC 206","CRUZ, JAN FREDRICK P.","30","ENG","U","3","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 185.69i","O","LAW, ECONOMICS, AND PUBLIC POLICY","3","T-F 1530-1700(FULLY ONSITE)","CTC 406","CRUZ, JAN FREDRICK P.","30","ENG","U","7","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 185.69i","ST2","LAW, ECONOMICS, AND PUBLIC POLICY","3","SAT 0800-1100(FULLY ONSITE)","K-302","MEDALLA, Jose Patricio","31","ENG","U","1","-","N","N"
"ECON 199.1","ZZZ","ECONOMIC RESEARCH I","3","TUTORIAL 0000-0000(FULLY ONSITE)","EC DEPT","TBA, -","5","ENG","U","3","-","N","N"
"ECON 207","IM","ECONOMETRICS","3","M 1800-2100(FULLY ONSITE)","SS-284","DUCANES, Geoffrey","25","ENG","G","14","-","N","N"
"ECON 221","YZW","ECONOMICS OF DEVELOPMENT","3","W 1800-2100(FULLY ONLINE)","TBA","ALDABA, FERNANDO T.","15","ENG","G","6","-","N","N"
"ECON 222","WX2","INTERNATIONAL ECONOMICS","3","SAT 1400-1700(FULLY ONLINE)","TBA","PADERON, MARISSA MARICOSA A.","20","ENG","G","9","-","N","N"
"ECON 259","IM","ECONOMICS OF NATURAL RESOURCES AND ENVIRONMENT","3","M 1800-2100(FULLY ONLINE)","TBA","BAUTISTA, GERMELINO M.","10","ENG","G","4","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 285.31","RT","MICROECONOMICS OF COMPETITIVENESS","3","T 1800-2100(FULLY ONSITE)","EC DEPT","ANG, ALVIN P.","15","ENG","G","6","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ECON 285.73","WX2","SPECIAL TOPICS IN ECONOMICS: BEHAVIORAL ECONOMICS","3","SAT 1400-1700(FULLY ONSITE)","K-301","RADOC, BENJAMIN, JR. E.","20","ENG","G","14","-","N","N"
"ECON 292","ITH","ECONOMIC RESEARCH","3","TH 1800-2100(FULLY ONLINE)","TBA","MAGANTE, Maire Carroline","15","ENG","G","7","-","N","N"
"ECON 296","COMP","COMPREHENSIVE EXAMINATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 296","COMP1","COMPREHENSIVE EXAMINATION","0","TBA(FULLY ONSITE)","EC DEPT","TBA, -","15","ENG","G","14","-","N","N"
"ECON 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 299.1","THES/DISS","MASTER'S THESIS","0","TBA(FULLY ONLINE)","TBA","TBA, -","3","ENG","G","1","-","N","N"
"ECON 299.1","THES/DISS1","MASTER'S THESIS","0","TBA(FULLY ONLINE)","TBA","ANG, ALVIN P.","2","ENG","G","0","-","N","N"
"ECON 299.19","TPD","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 299.2","THES/DISS","MASTER'S THESIS","0","TBA(FULLY ONLINE)","TBA","PEÑA-REYES, SER PERCIVAL K.","1","ENG","G","0","-","N","N"
"ECON 299.2","THES/DISS1","MASTER'S THESIS","0","TBA(FULLY ONLINE)","TBA","LANZONA, LEONARDO, JR. A.","1","ENG","G","1","-","N","N"
"ECON 299.2","THES/DISS2","MASTER'S THESIS","0","TBA(FULLY ONLINE)","TBA","PADERON, MARISSA MARICOSA A.","2","ENG","G","1","-","N","N"
"ECON 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 303","RT","ADVANCED MICROECONOMIC THEORY II","3","T 1800-2100(FULLY ONLINE)","TBA","LANZONA, LEONARDO, JR. A.","5","ENG","G","2","-","N","N"
"ECON 304","ITH","ADVANCED MACROECONOMIC THEORY II","3","TH 1800-2100(FULLY ONSITE)","TBA","DUMLAO, LUIS F.","6","ENG","G","4","-","N","N"
"ECON 307","ZZZ","ADVANCED ECONOMETRICS","3","TUTORIAL 0000-0000(FULLY ONLINE)","TBA","TBA, -","2","ENG","G","1","-","N","N"
"ECON 359","IM","ECONOMICS OF NATURAL RESOURCES AND ENVIRONMENT","3","M 1800-2100(FULLY ONLINE)","TBA","BAUTISTA, GERMELINO M.","5","ENG","G","5","-","N","N"
"ECON 390.1","ZZZ","WORKSHOP IN ECONOMICS","3","TUTORIAL 0000-0000(FULLY ONLINE)","TBA","TBA, -","1","ENG","G","1","-","N","N"
"ECON 396","COMP","COMPREHENSIVE EXAMINATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 398.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 398.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 399.1","THES/DISS","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","TBA, -","1","ENG","G","1","-","N","N"
"ECON 399.1","THES/DISS1","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","ANG, ALVIN P.","1","ENG","G","1","-","N","N"
"ECON 399.1","THES/DISS2","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","TBA, -","1","ENG","G","1","-","N","N"
"ECON 399.1","THES/DISS3","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","BEJA, EDSEL, JR. L., DUCANES, Geoffrey","1","ENG","G","0","-","N","N"
"ECON 399.1","THES/DISS4","DISSERTATION I","0","TBA(FULLY ONLINE)","TBA","TAN, ROSALINA P.","1","ENG","G","1","-","N","N"
"ECON 399.19","DPD","DISSERTATION PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 399.2","THES/DISS","DISSERTATION II","0","TBA(FULLY ONLINE)","TBA","DUCANES, Geoffrey","1","ENG","G","0","-","N","N"
"ECON 399.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 399.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 399.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ECON 399.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
