"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ACCT 113","E","FUNDAMENTALS OF ACCOUNTING","3","M-TH 1400-1530(FULLY ONSITE)","CTC 308","LOPO, John Michael Angelo","34","ENG","U","2","3 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ACCT 113","F","FUNDAMENTALS OF ACCOUNTING","3","M-TH 1530-1700(FULLY ONSITE)","CTC 308","LOPO, John Michael Angelo","35","ENG","U","1","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ACCT 113","Y","FUNDAMENTALS OF ACCOUNTING","3","W-SAT 1700-1830(FULLY ONSITE)","CTC 308","MONTEJO, KRISTIAN EARL A.","30","ENG","U","-2","-","N","N"
"ACCT 113","Z","FUNDAMENTALS OF ACCOUNTING","3","W-SAT 1830-2000(FULLY ONSITE)","CTC 308","MONTEJO, KRISTIAN EARL A.","30","ENG","U","9","5 SLOT(S) FOR MSSM MAJORS.","N","N"
"ACCT 115","WX1","FINANCIAL ACCOUNTING","3","W 1400-1700(FULLY ONSITE)","CTC 308","TORRES, Emmanuel","35","ENG","U","0","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ACCT 122","B","COST ACCOUNTING","3","M-TH 0930-1100(FULLY ONSITE)","CTC 406","LOPEZ, Neil Jason","30","ENG","U","9","-","N","N"
"ACCT 122","C","COST ACCOUNTING","3","M-TH 1100-1230(FULLY ONSITE)","CTC 406","LOPEZ, Neil Jason","30","ENG","U","7","-","N","N"
"ACCT 122","H","COST ACCOUNTING","3","M-TH 1830-2000(FULLY ONSITE)","CTC 406","MONTEJO, KRISTIAN EARL A.","30","ENG","U","0","-","N","N"
"ACCT 122","Q","COST ACCOUNTING","3","T-F 1830-2000(FULLY ONSITE)","CTC 406","SANDOVAL, DENNIS A.","30","ENG","U","0","-","N","N"
"ACCT 122","ST1","COST ACCOUNTING","3","W 0800-1100(FULLY ONSITE)","SOM 102","ONG, JANICA MARIE T.","30","ENG","U","0","-","N","N"
"ACCT 122","ST1A","COST ACCOUNTING","3","W 0800-1100(FULLY ONSITE)","SOM 210","CONCEPCION, Heindritz","30","ENG","U","3","8 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"ACCT 122","UV1","COST ACCOUNTING","3","W 1100-1400(FULLY ONSITE)","SOM 102","CONCEPCION, Heindritz","30","ENG","U","0","-","N","N"
"ACCT 122","WX1","COST ACCOUNTING","3","W 1400-1700(FULLY ONSITE)","SOM 102","ONG, JANICA MARIE T.","30","ENG","U","0","-","N","N"
"ACCT 125","B","MANAGERIAL ACCOUNTING","3","M-TH 0930-1100(FULLY ONSITE)","SOM 102","SO CHAN, Katrina Mae","36","ENG","U","2","-","N","N"
"ACCT 125","C","MANAGERIAL ACCOUNTING","3","M-TH 1100-1230(FULLY ONSITE)","SOM 102","SO CHAN, Katrina Mae","36","ENG","U","3","-","N","N"
"ACCT 125","GTH","MANAGERIAL ACCOUNTING","3","TH 1700-2000(FULLY ONSITE)","CTC 204","DUHAYLONGSOD, Jose Maria","30","ENG","U","0","-","N","N"
"ACCT 125","J","MANAGERIAL ACCOUNTING","3","T-F 0800-0930(FULLY ONSITE)","SOM 102","DUHAYLONGSOD, Jose Maria","34","ENG","U","12","-","N","N"
"ACCT 125","J1","MANAGERIAL ACCOUNTING","3","T-F 0800-0930(FULLY ONSITE)","CTC 406","MENDOZA, Christian","32","ENG","U","-4","-","N","N"
