"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"MATH 1.2","L","PREPARATION FOR COLLEGE MATHEMATICS II","3","T-F 1100-1230(FULLY ONSITE)","SEC-A214","ABERIN, MARIA ALVA Q.","30","ENG","U","4","-","N","N"
"MATH 1.2","N","PREPARATION FOR COLLEGE MATHEMATICS II","3","T-F 1400-1530(FULLY ONSITE)","SEC-A214","ABERIN, MARIA ALVA Q.","30","ENG","U","2","-","N","N"
"MATH 10","A1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0800-0930(FULLY ONSITE)","SEC-A208","BATALLER, RAMIL T.","35","ENG","U","0","-","N","N"
"MATH 10","A2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0800-0930(FULLY ONSITE)","SEC-A209","FLORES, Richell Isaiah","33","ENG","U","0","-","N","N"
"MATH 10","A3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0800-0930(FULLY ONSITE)","SEC-A210","PUNZAL, Chara Deanna","32","ENG","U","0","-","N","N"
"MATH 10","A4","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0800-0930(FULLY ONSITE)","SOM 102","ASUNCION, Aldrich Ellis","32","ENG","U","3","-","N","N"
"MATH 10","B1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0930-1100(FULLY ONSITE)","SEC-A208","CHAN SHIO, CHRISTIAN PAUL O.","32","ENG","U","0","-","N","N"
"MATH 10","B2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0930-1100(FULLY ONSITE)","SEC-A209","PUNZAL, Chara Deanna","35","ENG","U","0","-","N","N"
"MATH 10","B3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0930-1100(FULLY ONSITE)","SEC-A210","ASUNCION, Aldrich Ellis","32","ENG","U","0","-","N","N"
"MATH 10","C1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1100-1230(FULLY ONSITE)","SEC-A208","BUOT, JUDE C.","34","ENG","U","0","-","N","N"
"MATH 10","C2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1100-1230(FULLY ONSITE)","SEC-A209","BATALLER, RAMIL T.","33","ENG","U","0","-","N","N"
"MATH 10","C3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1100-1230(FULLY ONSITE)","SEC-A210","GATPATAN, JANREE RUARK C.","33","ENG","U","0","-","N","N"
"MATH 10","C4","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1100-1230(FULLY ONSITE)","SOM 211","MIRASOL, Daniel Lorenzo","32","ENG","U","0","-","N","N"
"MATH 10","D1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1230-1400(FULLY ONSITE)","SEC-A208","TABARES, WINFER C.","33","ENG","U","0","-","N","N"
"MATH 10","D2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1230-1400(FULLY ONSITE)","SEC-A209","BATALLER, RAMIL T.","35","ENG","U","0","-","N","N"
"MATH 10","D3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1230-1400(FULLY ONSITE)","SEC-A210","ZOSA, ANTHONY R.","32","ENG","U","2","-","N","N"
"MATH 10","D4","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1230-1400(FULLY ONSITE)","CTC 308","TBA, -","32","ENG","U","2","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"MATH 10","E1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(FULLY ONSITE)","SEC-A208","GATPATAN, JANREE RUARK C.","33","ENG","U","0","-","N","N"
"MATH 10","E2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(FULLY ONSITE)","SEC-A209","ASUNCION, Aldrich Ellis","32","ENG","U","0","-","N","N"
"MATH 10","E3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(FULLY ONSITE)","SEC-A210","ZOSA, ANTHONY R.","33","ENG","U","0","-","N","N"
"MATH 10","E4","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(FULLY ONSITE)","SEC-A214","MIRASOL, Daniel Lorenzo","35","ENG","U","0","-","N","N"
"MATH 10","E5","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(FULLY ONSITE)","CTC 406","BENITO, DANIEL JOSEPH P., MALLARI, JUAN CARLO F.","32","ENG","U","2","-","N","N"
"MATH 10","F1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(FULLY ONSITE)","SEC-A208","GATPATAN, JANREE RUARK C.","34","ENG","U","0","-","N","N"
"MATH 10","F2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(FULLY ONSITE)","SEC-A209","BUOT, JUDE C.","33","ENG","U","1","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"MATH 10","F3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(FULLY ONSITE)","SEC-A210","TBA, -","32","ENG","U","0","-","N","N"
"MATH 10","F4","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(FULLY ONSITE)","CTC 406","BENITO, DANIEL JOSEPH P., MALLARI, JUAN CARLO F.","32","ENG","U","0","-","N","N"
"MATH 10","F5","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(FULLY ONSITE)","CTC 407","MIRASOL, Daniel Lorenzo","32","ENG","U","2","-","N","N"
"MATH 10","J1","MATHEMATICS IN THE MODERN WORLD","3","T-F 0800-0930(FULLY ONSITE)","SEC-A208","SANTOS, DURWIN C.","33","ENG","U","0","-","N","N"
"MATH 10","J2","MATHEMATICS IN THE MODERN WORLD","3","T-F 0800-0930(FULLY ONSITE)","SEC-A209","YAP, ROMINA ANN S.","32","ENG","U","1","-","N","N"
"MATH 10","J3","MATHEMATICS IN THE MODERN WORLD","3","T-F 0800-0930(FULLY ONSITE)","SEC-A210","SILVESTRE, Luis Jr","34","ENG","U","0","-","N","N"
"MATH 10","J4","MATHEMATICS IN THE MODERN WORLD","3","T-F 0800-0930(FULLY ONSITE)","SEC-A303A","FLORES, Richell Isaiah","33","ENG","U","0","-","N","N"
"MATH 10","K1","MATHEMATICS IN THE MODERN WORLD","3","T-F 0930-1100(FULLY ONSITE)","SEC-A208","SANTOS, DURWIN C.","32","ENG","U","0","-","N","N"
"MATH 10","K2","MATHEMATICS IN THE MODERN WORLD","3","T-F 0930-1100(FULLY ONSITE)","SEC-A209","HAO, Lester","32","ENG","U","0","-","N","N"
"MATH 10","K3","MATHEMATICS IN THE MODERN WORLD","3","T-F 0930-1100(FULLY ONSITE)","SEC-A210","SILVESTRE, Luis Jr","32","ENG","U","0","-","N","N"
"MATH 10","L1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1100-1230(FULLY ONSITE)","SEC-A208","DOMINGO, EURLYNE J.","32","ENG","U","2","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"MATH 10","L2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1100-1230(FULLY ONSITE)","SEC-A209","GUILLERMO, MIDA R.","35","ENG","U","0","-","N","N"
"MATH 10","L3","MATHEMATICS IN THE MODERN WORLD","3","T-F 1100-1230(FULLY ONSITE)","SEC-A210","HAO, Lester","34","ENG","U","0","-","N","N"
"MATH 10","L4","MATHEMATICS IN THE MODERN WORLD","3","T-F 1100-1230(FULLY ONSITE)","CTC 304","NABLE, JOB A.","34","ENG","U","0","-","N","N"
"MATH 10","M1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1230-1400(FULLY ONSITE)","SEC-A208","GUZON, ANGELA FATIMA H.","33","ENG","U","0","-","N","N"
"MATH 10","M2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1230-1400(FULLY ONSITE)","SEC-A209","LOYOLA, MARK L., TABARES, WINFER C.","34","ENG","U","0","-","N","N"
"MATH 10","M3","MATHEMATICS IN THE MODERN WORLD","3","T-F 1230-1400(FULLY ONSITE)","SEC-A210","SANTOS, DURWIN C.","32","ENG","U","0","-","N","N"
"MATH 10","M4","MATHEMATICS IN THE MODERN WORLD","3","T-F 1230-1400(FULLY ONSITE)","CTC 308","NABLE, JOB A.","32","ENG","U","0","-","N","N"
"MATH 10","N1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1400-1530(FULLY ONSITE)","SEC-A208","GUILLERMO, MIDA R.","35","ENG","U","0","-","N","N"
"MATH 10","N2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1400-1530(FULLY ONSITE)","SEC-A209","YAP, ROMINA ANN S.","35","ENG","U","0","-","N","N"
"MATH 10","N3","MATHEMATICS IN THE MODERN WORLD","3","T-F 1400-1530(FULLY ONSITE)","SEC-A210","DOMINGO, EURLYNE J.","32","ENG","U","1","-","N","N"
"MATH 10","O1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1530-1700(FULLY ONSITE)","SEC-A208","GUILLERMO, MIDA R.","36","ENG","U","0","-","N","N"
"MATH 10","O2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1530-1700(FULLY ONSITE)","SEC-A209","GUZON, ANGELA FATIMA H.","32","ENG","U","0","-","N","N"
"MATH 10","O3","MATHEMATICS IN THE MODERN WORLD","3","T-F 1530-1700(FULLY ONSITE)","SEC-A210","DOMINGO, EURLYNE J.","32","ENG","U","3","-","N","N"
"MATH 10","O4","MATHEMATICS IN THE MODERN WORLD","3","T-F 1530-1700(FULLY ONSITE)","B-106","HAO, Lester","32","ENG","U","3","-","N","N"
"MATH 21","D","UNIVERSITY PRECALCULUS","3","M-TH 1230-1400(FULLY ONSITE)","CTC 105","PUNZAL, Chara Deanna","32","ENG","U","1","-","N","N"
"MATH 21","M","UNIVERSITY PRECALCULUS","3","T-F 1230-1400(FULLY ONSITE)","CTC 404","JOSON, Joey","32","ENG","U","0","-","N","N"
"MATH 21","O","UNIVERSITY PRECALCULUS","3","T-F 1530-1700(FULLY ONSITE)","K-204","JOSON, Joey","32","ENG","U","0","-","N","N"
"MATH 30.13","A","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","M-TH 0800-0930(FULLY ONSITE)","CTC 405","DAYAO, PAUL L.","32","ENG","U","6","-","N","N"
"MATH 30.13","A1","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","M-TH 0800-0930(FULLY ONSITE)","SEC-A214","TABARES, WINFER C.","32","ENG","U","10","ALL SLOTS FOR AB EC MAJORS. ALL SLOTS FOR AB MEC MAJORS.","N","N"
"MATH 30.13","A2","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","M-TH 0800-0930(FULLY ONSITE)","SEC-A215","EDEN, RICHARD B.","32","ENG","U","0","ALL SLOTS FOR AB EC MAJORS. ALL SLOTS FOR AB MEC MAJORS.","N","N"
"MATH 30.13","B1","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","M-TH 0930-1100(FULLY ONSITE)","SEC-A214","TABARES, WINFER C.","32","ENG","U","6","ALL SLOTS FOR AB MEC MAJORS. ALL SLOTS FOR AB EC MAJORS.","N","N"
"MATH 30.13","B2","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","M-TH 0930-1100(FULLY ONSITE)","SEC-A215","ZOSA, ANTHONY R.","32","ENG","U","6","ALL SLOTS FOR AB EC MAJORS. ALL SLOTS FOR AB MEC MAJORS.","N","N"
"MATH 30.13","C","APPLIED CALCULUS FOR BUSINESS AND ECONOMICS I","3","M-TH 1100-1230(FULLY ONSITE)","SEC-A202","TBA, -","0","ENG","U","-2","-","N","N"
