"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ARTS 180.03i","A","ART AS INQUIRY: ART OF THE CROWD","3","M-TH 0800-0930(ONSITE)","NATIONAL BOOKSTORE ATELIER","DAOANA, CARLOMAR A.","25","ENG","U","3","-","S","P"
"ARTS 180.03i","S","ART AS INQUIRY: ART OF THE CROWD","3","W 0900-1200(ONSITE)","INNOVATION 201","VAN DER WALL, Hidde Tjakke","25","ENG","U","0","-","S","P"
"ARTS 180.03i","U","ART AS INQUIRY: ART OF THE CROWD","3","W 1500-1800(ONSITE)","INNOVATION 201","VAN DER WALL, Hidde Tjakke","25","ENG","U","0","-","S","P"
"ARTS 180.08i","C","ART AS INQUIRY: ART OF THE DOMESTIC","3","M-TH 1100-1230(ONSITE)","INNOVATION 202","DAOANA, CARLOMAR A.","25","ENG","U","-1","-","S","P"
"ARTS 180.08i","D","ART AS INQUIRY: ART OF THE DOMESTIC","3","M-TH 1230-1400(ONSITE)","INNOVATION 201","DAOANA, CARLOMAR A.","25","ENG","U","-1","-","S","P"
"BIO 151i","C","TRENDS AND ISSUES IN BIODIVERSITY","3","M-TH 1100-1230(ONSITE)","SEC-A105A","CRUZ, RONALD ALLAN L.","5","ENG","U","1","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 156i","C","ATTAINING A SUSTAINABLE FUTURE WITH BIORESOURCES","3","M-TH 1100-1230(ONSITE)","SEC-B305A","RAGAZA, JANICE A.","40","ENG","U","0","-","S","P"
"BIO 183.1i","J","BIOETHICS: HISTORICAL PERSPECTIVES","3","T-F 0800-0930(ONSITE)","B-209","CABALQUINTO, Alvin, DE GUZMAN, Ivan Adrian","30","ENG","U","-1","-","S","P"
"BIO 183.1i","M","BIOETHICS: HISTORICAL PERSPECTIVES","3","T-F 1230-1400(ONSITE)","SOM 205","CABALQUINTO, Alvin, DE GUZMAN, Ivan Adrian","30","ENG","U","-2","-","S","P"
"CHEM 184.1i","S","ENVIRONMENTAL CHEMISTRY","3","W 0900-1200(ONSITE)","C-109","DIMZON, IAN KEN D.","30","ENG","U","7","-","S","P"
"CSCI 117i","U","DATA VISUALIZATION","3","W 1500-1800(ONSITE)","CTC 214","MAGPANTAY, Abraham","30","ENG","U","-5","20 SLOT(S) FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION. ALL SLOTS FOR 4TH YEAR DISCS STUDENTS. ALL SLOTS FOR 3RD YEAR DISCS STUDENTS.","S","P"
"CSCI 117i","V","DATA VISUALIZATION","3","W 1800-2100(ONSITE)","F-227","RAMOS, Robin Kamille","30","ENG","U","4","20 SLOT(S) FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION. ALL SLOTS FOR 4TH YEAR DISCS STUDENTS. ALL SLOTS FOR 3RD YEAR DISCS STUDENTS.","S","P"
"CSCI 117i","W","DATA VISUALIZATION","3","SAT 0900-1200(ONSITE)","F-227","TEE, HANNAH ELYSE U.","25","ENG","U","-2","10 SLOT(S) FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION. ALL SLOTS FOR 4TH YEAR DISCS STUDENTS. ALL SLOTS FOR 3RD YEAR DISCS STUDENTS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"CSCI 134.1i","L","INTERACTIVE SOUND ART INSTALLATION","3","T-F 1100-1230(ONSITE)","CTC 112","AMANTE, Francesco","20","ENG","U","-7","8 SLOT(S) FOR DISCS STUDENTS.","S","P"
