"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"BI DEF 200","ODEF","ORAL DEFENSE (MASTERS)","0","TBA(~)","TBA","TBA, -","5","ENG","G","4","-","N","N"
"BIO 10.01","CC-M","BIODIVERSITY: LIFE ON EARTH, LECTURE","3","T-F 1230-1400(ONSITE)","CTC 216","GATCHALIAN, Pamela","31","ENG","U","0","-","S","P"
"BIO 10.01","CD-A","BIODIVERSITY: LIFE ON EARTH, LECTURE","3","M-TH 0800-0930(ONSITE)","SEC-B201A","GARCIA, Maia Patricia, MANALOTO, NINEZ BERNARDINE L.","32","ENG","U","1","-","S","P"
"BIO 10.01","CE-L","BIODIVERSITY: LIFE ON EARTH, LECTURE","3","T-F 1100-1230(ONSITE)","SEC-B105A","TANIEGRA, ROMMEL M.","33","ENG","U","0","-","S","P"
"BIO 10.01","CF-L","BIODIVERSITY: LIFE ON EARTH, LECTURE","3","T-F 1100-1230(ONSITE)","CTC 302","GARCIA, Maia Patricia, MANALOTO, NINEZ BERNARDINE L.","32","ENG","U","-1","-","S","P"
"BIO 10.01","CI-A1","BIODIVERSITY: LIFE ON EARTH, LECTURE","3","M-TH 0800-0930(ONSITE)","SEC-B201A","GARCIA, Maia Patricia, MANALOTO, NINEZ BERNARDINE L.","32","ENG","U","0","-","S","P"
"BIO 10.02","CC-BC","BIODIVERSITY: LIFE ON EARTH, LABORATORY","1","M 1000-1200(ONSITE)","SEC-B105A","GARCIA, Maia Patricia","31","ENG","U","0","-","S","P"
"BIO 10.02","CD-BC1","BIODIVERSITY: LIFE ON EARTH, LABORATORY","1","TH 1000-1200(ONSITE)","SEC-B105A","GARCIA, Maia Patricia","32","ENG","U","1","-","S","P"
"BIO 10.02","CE-DE","BIODIVERSITY: LIFE ON EARTH, LABORATORY","1","M 1230-1430(ONSITE)","SEC-B105A","TANIEGRA, ROMMEL M.","33","ENG","U","0","-","S","P"
"BIO 10.02","CF-DE1","BIODIVERSITY: LIFE ON EARTH, LABORATORY","1","TH 1230-1430(ONSITE)","SEC-B105A","GARCIA, Maia Patricia","32","ENG","U","-1","-","S","P"
"BIO 10.02","CI-S1","BIODIVERSITY: LIFE ON EARTH, LABORATORY","1","W 0900-1100(ONSITE)","SEC-B106A","BARROGA, Luigi","32","ENG","U","0","-","S","P"
"BIO 11.01","CA-C","HUMAN BIOLOGY, HEALTH AND DISEASE, LECTURE","3","M-TH 1100-1230(ONSITE)","CTC 216","DE GUZMAN, Ivan Adrian","33","ENG","U","-6","-","S","P"
"BIO 11.01","CB-D","HUMAN BIOLOGY, HEALTH AND DISEASE, LECTURE","3","M-TH 1230-1400(ONSITE)","CTC 216","GELLYNCK, MARC P.","33","ENG","U","-2","-","S","P"
"BIO 11.01","CJ-D","HUMAN BIOLOGY, HEALTH AND DISEASE, LECTURE","3","M-TH 1230-1400(ONSITE)","CTC 302","AGUIRRE, ARIEL LORENZO J II Y.","32","ENG","U","-4","-","S","P"
"BIO 11.02","CA-A","HUMAN BIOLOGY, HEALTH AND DISEASE, LABORATORY","1","M 0800-1000(ONSITE)","SEC-B105A","DE GUZMAN, Ivan Adrian","33","ENG","U","-1","-","S","P"
"BIO 11.02","CB-A1","HUMAN BIOLOGY, HEALTH AND DISEASE, LABORATORY","1","TH 0800-1000(ONSITE)","SEC-B105A","AGUIRRE, ARIEL LORENZO J II Y.","33","ENG","U","1","-","S","P"
"BIO 11.02","CJ-T","HUMAN BIOLOGY, HEALTH AND DISEASE, LABORATORY","1","W 1200-1400(ONSITE)","SEC-B307A","DE GUZMAN, Ivan Adrian","32","ENG","U","1","-","S","P"
"BIO 12.01","CG-K","BIOTECHNOLOGY FOR EVERYONE, LECTURE","3","T-F 0930-1100(ONSITE)","CTC 216","TAN, Liane Denise","32","ENG","U","2","-","S","P"
"BIO 12.01","CH-C","BIOTECHNOLOGY FOR EVERYONE, LECTURE","3","M-TH 1100-1230(ONSITE)","CTC 302","GULPEO, PIA CLARISSE R.","32","ENG","U","-1","-","S","P"
"BIO 12.01","CI-A","BIOTECHNOLOGY FOR EVERYONE, LECTURE","3","M-TH 0800-0930(ONSITE)","CTC 302","GULPEO, PIA CLARISSE R.","32","ENG","U","0","-","S","P"
"BIO 12.02","CG-EF","BIOTECHNOLOGY FOR EVERYONE, LABORATORY","1","M 1500-1700(ONSITE)","SEC-B105A","LIBUNAO, Joseph Conrad","32","ENG","U","2","-","S","P"
"BIO 12.02","CH-EF1","BIOTECHNOLOGY FOR EVERYONE, LABORATORY","1","TH 1500-1700(ONSITE)","SEC-B105A","GARCIA, Maia Patricia","32","ENG","U","-1","-","S","P"
"BIO 12.02","CI-S","BIOTECHNOLOGY FOR EVERYONE, LABORATORY","1","W 0900-1100(ONSITE)","SEC-B105A","GARCIA, Maia Patricia","32","ENG","U","0","-","S","P"
"BIO 30.01","A","BIOPHYSICS, LECTURE","2","M-TH 0800-0930(ONSITE)","SEC-A116A","BRAGAIS, Edward Kevin","50","ENG","U","1","-","S","P"
"BIO 30.01","A1","BIOPHYSICS, LECTURE","2","M-TH 0800-0900(ONSITE)","SEC-A117A","GAMBE-GILBUENA, ARNI E.","50","ENG","U","14","-","S","P"
"BIO 30.01","B","BIOPHYSICS, LECTURE","2","M-TH 0930-1100(ONSITE)","SEC-A116A","BRAGAIS, Edward Kevin","40","ENG","U","-2","-","S","P"
"BIO 30.01","B1","BIOPHYSICS, LECTURE","2","M-TH 0900-1000(ONSITE)","SEC-A117A","GAMBE-GILBUENA, ARNI E.","40","ENG","U","0","-","S","P"
"BIO 30.02","EF","BIOPHYSICS, LABORATORY","2","M 1400-1600(ONSITE)","SEC-B107A","BRAGAIS, Edward Kevin","40","ENG","U","0","-","S","P"
"BIO 30.02","EF1","BIOPHYSICS, LABORATORY","2","M 1400-1600(ONSITE)","SEC-B305A","SAN PEDRO, Manuel Victor","40","ENG","U","-1","-","S","P"
"BIO 30.02","EF2","BIOPHYSICS, LABORATORY","2","TH 1400-1600(ONSITE)","SEC-B107A","BRAGAIS, Edward Kevin","40","ENG","U","-2","-","S","P"
"BIO 30.02","EF3","BIOPHYSICS, LABORATORY","2","TH 1400-1600(ONSITE)","SEC-B305A","SAN PEDRO, Manuel Victor","40","ENG","U","-1","-","S","P"
"BIO 30.02","FG","BIOPHYSICS, LABORATORY","2","M 1600-1800(ONSITE)","SEC-B305A","GAMBE-GILBUENA, ARNI E.","30","ENG","U","19","-","S","P"
"BIO 30.02","FG1","BIOPHYSICS, LABORATORY","2","TH 1600-1800(ONSITE)","SEC-B305A","BRAGAIS, Edward Kevin","40","ENG","U","3","-","S","P"
"BIO 30.02","FG2","BIOPHYSICS, LABORATORY","2","M 1600-1800(ONSITE)","SEC-B107A","BRAGAIS, Edward Kevin","40","ENG","U","2","-","S","P"
"BIO 31.01","E","BIOSTATISTICS, LECTURE","2","M-TH 1400-1500(ONSITE)","CTC 216","ROBIL, JAN LORIE M.","40","ENG","U","4","-","S","P"
"BIO 31.01","F","BIOSTATISTICS, LECTURE","2","M-TH 1600-1700(ONSITE)","CTC 216","BRIONES, JERIC C.","40","ENG","U","7","-","S","P"
"BIO 31.01","J","BIOSTATISTICS, LECTURE","2","T-F 0800-0900(ONSITE)","CTC 407","ROBIL, JAN LORIE M.","40","ENG","U","18","-","S","P"
"BIO 31.01","N","BIOSTATISTICS, LECTURE","2","T-F 1400-1500(ONSITE)","CTC 406","YAN, JONATHAN PATRICK H.","40","ENG","U","11","-","S","P"
"BIO 31.02","AB","BIOSTATISTICS, LABORATORY","1","TH 0900-1100(ONSITE)","SEC-A302A","BRIONES, JERIC C.","30","ENG","U","-1","-","S","P"
"BIO 31.02","CD","BIOSTATISTICS, LABORATORY","1","TH 1100-1300(ONSITE)","SEC-B107A","GAMBE-GILBUENA, ARNI E.","40","ENG","U","18","-","S","P"
"BIO 31.02","LM","BIOSTATISTICS, LABORATORY","1","T 1100-1300(ONSITE)","SEC-B305A","ROBIL, JAN LORIE M.","40","ENG","U","7","-","S","P"
"BIO 31.02","NO","BIOSTATISTICS, LABORATORY","1","T 1500-1700(ONSITE)","SEC-B105A","YAN, JONATHAN PATRICK H.","40","ENG","U","11","-","S","P"
"BIO 32","B","BIOSCIENCE ENTERPRISE","3","M-TH 0930-1100(ONSITE)","SEC-A214A","RAGAZA, JANICE A.","50","ENG","U","0","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 100.01","A","GENERAL ZOOLOGY, LECTURE","3","M-TH 0800-0930(ONSITE)","SEC-B107A","GATCHALIAN, Pamela","40","ENG","U","6","-","S","P"
"BIO 100.01","B","GENERAL ZOOLOGY, LECTURE","3","M-TH 0930-1100(ONSITE)","SEC-B107A","TANIEGRA, ROMMEL M.","40","ENG","U","15","-","S","P"
"BIO 100.01","C","GENERAL ZOOLOGY, LECTURE","3","M-TH 1100-1230(ONSITE)","SEC-B107A","GATCHALIAN, Pamela","40","ENG","U","-2","-","S","P"
"BIO 100.01","E","GENERAL ZOOLOGY, LECTURE","3","M-TH 1400-1530(ONSITE)","SEC-A117A","JOSON, PAULO RAFAEL S.","40","ENG","U","10","-","S","P"
"BIO 100.01","F","GENERAL ZOOLOGY, LECTURE","3","M-TH 1530-1700(ONSITE)","SEC-A117A","JOSON, PAULO RAFAEL S.","40","ENG","U","11","-","S","P"
"BIO 100.01","K","GENERAL ZOOLOGY, LECTURE","3","T-F 0930-1100(ONSITE)","CTC 302","BARROGA, Luigi","40","ENG","U","13","-","S","P"
"BIO 100.01","N","GENERAL ZOOLOGY, LECTURE","3","T-F 1400-1530(ONSITE)","CTC 302","CRUZ, RONALD ALLAN L.","40","ENG","U","11","-","S","P"
"BIO 100.02","AC","GENERAL ZOOLOGY, LABORATORY","2","M 0800-1200(ONSITE)","SEC-B106A","BARROGA, Luigi","40","ENG","U","11","-","S","P"
"BIO 100.02","AC1","GENERAL ZOOLOGY, LABORATORY","2","TH 0800-1200(ONSITE)","SEC-B106A","BARROGA, Luigi","40","ENG","U","9","-","S","P"
"BIO 100.02","DF1","GENERAL ZOOLOGY, LABORATORY","2","TH 1300-1700(ONSITE)","SEC-B106A","YAN, JONATHAN PATRICK H.","40","ENG","U","3","-","S","P"
"BIO 100.02","JL","GENERAL ZOOLOGY, LABORATORY","2","T 0800-1200(ONSITE)","SEC-B106A","GATCHALIAN, Pamela","40","ENG","U","9","-","S","P"
"BIO 100.02","JL1","GENERAL ZOOLOGY, LABORATORY","2","F 0800-1200(ONSITE)","SEC-B106A","GATCHALIAN, Pamela","30","ENG","U","0","-","S","P"
"BIO 100.02","MO","GENERAL ZOOLOGY, LABORATORY","2","T 1300-1700(ONSITE)","SEC-B106A","BARROGA, Luigi","40","ENG","U","15","-","S","P"
"BIO 100.02","MO1","GENERAL ZOOLOGY, LABORATORY","2","F 1300-1700(ONSITE)","SEC-B106A","BARROGA, Luigi","30","ENG","U","-3","-","S","P"
"BIO 100.3","E","AQUATIC ANIMAL NUTRITION","3","M-TH 1400-1530(ONSITE)","SEC-A116A","RAGAZA, JANICE A.","30","ENG","U","0","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 100.1","K","HELMINTHOLOGY","3","T-F 0930-1100(ONSITE)","SEC-A117A","DE GUZMAN, Ivan Adrian, MOENDEG, KHARLEEZELLE J.","25","ENG","U","-1","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 110.01","K","GENERAL BOTANY, LECTURE","3","T-F 0930-1100(ONSITE)","SEC-A116A","PLES, David Justin, ROBIL, JAN LORIE M.","40","ENG","U","2","-","S","P"
"BIO 110.02","LAB2-MNO2","GENERAL BOTANY, LABORATORY","2","F 1300-1700(ONSITE)","SEC-B105A","DEL ROSARIO, Lorraine Joyce","40","ENG","U","3","-","S","P"
"BIO 111","O","ENTOMOLOGY","3","T-F 1530-1700(ONSITE)","CTC 302","GARCES, Jhoana","30","ENG","U","-1","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 120.01","L","MICROBIOLOGY, LECTURE","3","T-F 1100-1230(ONSITE)","SEC-A117A","GULPEO, PIA CLARISSE R.","30","ENG","U","-10","-","S","P"
"BIO 120.02","MO","MICROBIOLOGY, LABORATORY","2","T 1300-1700(ONSITE)","SEC-B305A","LIBUNAO, Joseph Conrad","35","ENG","U","1","-","S","P"
"BIO 120.3","C","MEDICAL MICROBIOLOGY","3","M-TH 1100-1230(ONSITE)","SOM 204","ABISADO, RHEA G.","50","ENG","U","1","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 120.3","D","MEDICAL MICROBIOLOGY","3","M-TH 1230-1400(ONSITE)","SOM 111","GULPEO, PIA CLARISSE R.","40","ENG","U","-3","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 120.11","T","BACTERIOLOGY, LECTURE","2","W 1200-1400(ONSITE)","SEC-B305A","ABISADO, RHEA G.","35","ENG","U","5","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 120.12","TU","BACTERIOLOGY, LABORATORY","1","W 1400-1600(ONSITE)","SEC-B305A","ABISADO, RHEA G.","35","ENG","U","5","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 130.01","B","GENETICS, LECTURE","3","M-TH 0930-1100(ONSITE)","SEC-B305A","PANES, VIVIAN A.","30","ENG","U","-11","-","S","P"
"BIO 130.01","D","GENETICS, LECTURE","3","M-TH 1230-1400(ONSITE)","SEC-B305A","RONDOLO, Irvin","30","ENG","U","3","-","S","P"
"BIO 130.01","E","GENETICS, LECTURE","3","M-TH 1400-1530(ONSITE)","CTC 302","PANES, VIVIAN A.","30","ENG","U","-4","-","S","P"
"BIO 130.01","E1","GENETICS, LECTURE","3","M-TH 1400-1530(ONSITE)","G-206","RONDOLO, Irvin","30","ENG","U","-1","-","S","P"
"BIO 130.01","O","GENETICS, LECTURE","3","T-F 1530-1700(ONSITE)","SEC-A117A","ROBIL, JAN LORIE M.","30","ENG","U","14","-","S","P"
"BIO 130.01","O1","GENETICS, LECTURE","3","T-F 1530-1700(ONSITE)","CTC 216","ABISADO, RHEA G.","30","ENG","U","3","-","S","P"
"BIO 130.02","AC","GENETICS, LABORATORY","2","M 0800-1200(ONSITE)","SEC-B216A","LIWAG, Jayson","30","ENG","U","6","-","S","P"
"BIO 130.02","AC1","GENETICS, LABORATORY","2","TH 0800-1200(ONSITE)","SEC-B216A","DEL ROSARIO, Lorraine Joyce","35","ENG","U","-3","-","S","P"
"BIO 130.02","DF","GENETICS, LABORATORY","2","M 1300-1700(ONSITE)","SEC-B216A","DEL ROSARIO, Lorraine Joyce","30","ENG","U","-1","-","S","P"
"BIO 130.02","DF1","GENETICS, LABORATORY","2","TH 1300-1700(ONSITE)","SEC-B216A","LIWAG, Jayson","30","ENG","U","3","-","S","P"
"BIO 130.02","MO","GENETICS, LABORATORY","2","F 1300-1700(ONSITE)","SEC-B305A","RONDOLO, Irvin","30","ENG","U","-1","-","S","P"
"BIO 130.02","TU1","GENETICS, LABORATORY","2","W 1300-1700(ONSITE)","SEC-B216A","RONDOLO, Irvin","30","ENG","U","1","-","S","P"
"BIO 130.3","A","MEDICAL GENETICS","3","M-TH 0800-0930(ONSITE)","SEC-B305A","PANES, VIVIAN A.","30","ENG","U","12","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 140.01","J","CELL AND MOLECULAR BIOLOGY, LECTURE","3","T-F 0800-0930(ONSITE)","SEC-A116A","CONSTANTINO, MARIA KATRINA C.","50","ENG","U","9","-","S","P"
"BIO 140.01","J1","CELL AND MOLECULAR BIOLOGY, LECTURE","3","T-F 0800-0930(ONSITE)","SEC-A117A","MAINI, ZOMESH A.","40","ENG","U","0","-","S","P"
"BIO 140.01","N","CELL AND MOLECULAR BIOLOGY, LECTURE","3","T-F 1400-1530(ONSITE)","SEC-A116A","MOENDEG, KHARLEEZELLE J.","50","ENG","U","0","-","S","P"
"BIO 140.01","N1","CELL AND MOLECULAR BIOLOGY, LECTURE","3","T-F 1400-1530(ONSITE)","SEC-A117A","RELLES, John Moises","40","ENG","U","-3","-","S","P"
"BIO 140.01","O","CELL AND MOLECULAR BIOLOGY, LECTURE","3","T-F 1530-1700(ONSITE)","SEC-A116A","MOENDEG, KHARLEEZELLE J.","50","ENG","U","4","-","S","P"
"BIO 140.02","JL","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","T 0800-1200(ONSITE)","SEC-B216A","RELLES, John Moises","25","ENG","U","5","-","S","P"
"BIO 140.02","JL1","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","F 0800-1200(ONSITE)","SEC-B216A","LIWAG, Jayson","25","ENG","U","3","-","S","P"
"BIO 140.02","MO","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","T 1300-1700(ONSITE)","SEC-B216A","PANES, VIVIAN A.","25","ENG","U","12","-","S","P"
"BIO 140.02","MO1","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","F 1300-1700(ONSITE)","SEC-B216A","HALCON, Ma. Hanna","25","ENG","U","2","-","S","P"
"BIO 140.02","S","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","W 0800-1200(ONSITE)","SEC-B216A","CONSTANTINO, MARIA KATRINA C.","40","ENG","U","-1","-","S","P"
"BIO 140.02","S1","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","W 0800-1200(ONSITE)","SEC-B305A","HALCON, Ma. Hanna","40","ENG","U","-1","-","S","P"
"BIO 140.02","TU","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","W 1300-1700(ONSITE)","SEC-B105A","MOENDEG, KHARLEEZELLE J.","40","ENG","U","1","-","S","P"
"BIO 140.02","TU1","CELL AND MOLECULAR BIOLOGY, LABORATORY","2","W 1400-1800(ONSITE)","SEC-B307A","LOPEZ, CRISANTO M.","40","ENG","U","19","-","S","P"
"BIO 141","M1","IMMUNOLOGY","3","T-F 1230-1400(ONSITE)","SEC-B201A","CONSTANTINO, MARIA KATRINA C.","70","ENG","U","5","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 151i","C","TRENDS AND ISSUES IN BIODIVERSITY","3","M-TH 1100-1230(ONSITE)","SEC-A105A","CRUZ, RONALD ALLAN L.","5","ENG","U","1","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 155.01","C","SYSTEMATICS, LECTURE","3","M-TH 1100-1230(ONSITE)","SEC-A116A","GARCES, Jhoana","50","ENG","U","9","-","S","P"
"BIO 155.01","C1","SYSTEMATICS, LECTURE","3","M-TH 1100-1230(ONSITE)","SEC-A117A","SAGUN, VERNIE G.","40","ENG","U","1","-","S","P"
"BIO 155.01","D","SYSTEMATICS, LECTURE","3","M-TH 1230-1400(ONSITE)","SEC-A116A","GARCES, Jhoana","50","ENG","U","1","-","S","P"
"BIO 155.01","D1","SYSTEMATICS, LECTURE","3","M-TH 1230-1400(ONSITE)","SEC-A117A","SAGUN, VERNIE G.","40","ENG","U","2","-","S","P"
"BIO 155.02","JL","SYSTEMATICS, LABORATORY","2","T 0800-1200(ONSITE)","SEC-B107A","GARCES, Jhoana","36","ENG","U","1","-","S","P"
"BIO 155.02","JL1","SYSTEMATICS, LABORATORY","2","F 0800-1200(ONSITE)","SEC-B107A","GARCES, Jhoana","36","ENG","U","-2","-","S","P"
"BIO 155.02","MO","SYSTEMATICS, LABORATORY","2","T 1300-1700(ONSITE)","SEC-B107A","LAZATIN, Albert Matthew, PLES, David Justin","36","ENG","U","0","-","S","P"
"BIO 155.02","TU","SYSTEMATICS, LABORATORY","2","W 1300-1700(ONSITE)","SEC-B107A","LAZATIN, Albert Matthew","36","ENG","U","1","-","S","P"
"BIO 155.02","TU1","SYSTEMATICS, LABORATORY","2","W 1300-1700(ONSITE)","SEC-B106A","DELOCADO, EMMANUEL D.","36","ENG","U","5","-","S","P"
"BIO 156i","C","ATTAINING A SUSTAINABLE FUTURE WITH BIORESOURCES","3","M-TH 1100-1230(ONSITE)","SEC-B305A","RAGAZA, JANICE A.","40","ENG","U","0","-","S","P"
"BIO 160.01","L","EVOLUTIONARY BIOLOGY, LECTURE","3","T-F 1100-1230(ONSITE)","SEC-A116A","CRUZ, RONALD ALLAN L.","10","ENG","U","-1","-","S","P"
"BIO 170.02","S","DEVELOPMENTAL BIOLOGY, LABORATORY","2","W 0800-1200(ONSITE)","SEC-B107A","MOENDEG, KHARLEEZELLE J., ROBIL, JAN LORIE M.","40","ENG","U","4","-","S","P"
"BIO 171.1","G","HUMAN ANATOMY AND PHYSIOLOGY","3","M-TH 1700-1830(ONSITE)","SEC-A116A","AGUIRRE, ARIEL LORENZO J II Y.","40","ENG","U","0","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 171.3","J","ENDOCRINOLOGY","3","T-F 0800-0930(ONSITE)","CTC 216","AGUIRRE, ARIEL LORENZO J II Y.","35","ENG","U","6","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 171.1","N","HUMAN ANATOMY AND PHYSIOLOGY","3","T-F 1400-1530(ONSITE)","CTC 216","TAN, Liane Denise","40","ENG","U","0","ALL SLOTS FOR BS BIO MAJORS. ALL SLOTS FOR BS LfSci MAJORS.","S","P"
"BIO 183.1i","J","BIOETHICS: HISTORICAL PERSPECTIVES","3","T-F 0800-0930(ONSITE)","B-209","CABALQUINTO, Alvin, DE GUZMAN, Ivan Adrian","30","ENG","U","-1","-","S","P"
"BIO 183.1i","M","BIOETHICS: HISTORICAL PERSPECTIVES","3","T-F 1230-1400(ONSITE)","SOM 205","CABALQUINTO, Alvin, DE GUZMAN, Ivan Adrian","30","ENG","U","-2","-","S","P"
"BIO 198.1","CAPS","CAPSTONE I","3","TBA(~)","TBA","AGUIRRE, ARIEL LORENZO J II Y., CRUZ, RONALD ALLAN L., PARIS, Janella Grace","40","ENG","U","2","-","S","P"
"BIO 199.2","THES","THESIS II","2","TBA(~)","TBA","CRUZ, RONALD ALLAN L.","20","ENG","U","4","-","S","P"
"BIO 199.2","THES/DISS1","THESIS II","2","TBA(~)","TBA","GAMBE-GILBUENA, ARNI E.","1","ENG","U","0","-","S","P"
"BIO 199.2","THES/DISS10","THESIS II","2","TBA(~)","TBA","GELLYNCK, MARC P.","9","ENG","U","-1","-","S","P"
"BIO 199.2","THES/DISS2","THESIS II","2","TBA(~)","TBA","GARCES, Jhoana","11","ENG","U","-1","-","S","P"
"BIO 199.2","THES/DISS3","THESIS II","2","TBA(~)","TBA","GULPEO, PIA CLARISSE R.","10","ENG","U","0","-","S","P"
"BIO 199.2","THES/DISS4","THESIS II","2","TBA(~)","TBA","RAGAZA, JANICE A.","13","ENG","U","0","-","S","P"
"BIO 199.2","THES/DISS5","THESIS II","2","TBA(~)","TBA","ABISADO, RHEA G.","10","ENG","U","0","-","S","P"
"BIO 199.2","THES/DISS6","THESIS II","2","TBA(~)","TBA","DELOCADO, EMMANUEL D.","8","ENG","U","3","-","S","P"
"BIO 199.2","THES/DISS7","THESIS II","2","TBA(~)","TBA","MOENDEG, KHARLEEZELLE J.","7","ENG","U","0","-","S","P"
"BIO 199.2","THES/DISS8","THESIS II","2","TBA(~)","TBA","PANES, VIVIAN A.","8","ENG","U","0","-","S","P"
