"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CH DEF 200","ODEF","ORAL DEFENSE (MASTERS)","0","TBA(~)","TBA","TBA, -","5","ENG","G","5","-","N","N"
"CH DEF 400","ODEF","ORAL DEFENSE (DOCTORAL)","0","TBA(~)","TBA","TBA, -","5","ENG","G","5","-","N","N"
"CHEM 10.01","CA-C","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 1100-1230(ONSITE)","CTC 102","PALOMARES, Camille Kate","25","ENG","U","6","-","S","P"
"CHEM 10.01","CB-D","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 1230-1400(ONSITE)","CTC 102","MICLAT, VALERIE CHRISTIE B.","25","ENG","U","0","-","S","P"
"CHEM 10.01","CB-D1","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 1230-1400(ONSITE)","SOM 103","LIBUNAO, Philip Neri","25","ENG","U","10","-","S","P"
"CHEM 10.01","CC-M","CHEMISTRY IN MODERN LIFE, LECTURE","3","T-F 1230-1400(ONSITE)","CTC 205","CRUZ, Jim","25","ENG","U","0","-","S","P"
"CHEM 10.01","CD-A","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 0800-0930(ONSITE)","B-305","CABELLO, Mark Kristan","25","ENG","U","1","-","S","P"
"CHEM 10.01","CE-L","CHEMISTRY IN MODERN LIFE, LECTURE","3","T-F 1100-1230(ONSITE)","B-207","CHEN, Albert","25","ENG","U","4","-","S","P"
"CHEM 10.01","CF-L","CHEMISTRY IN MODERN LIFE, LECTURE","3","T-F 1100-1230(ONSITE)","B-307","HULOG, Alexandra Melise","25","ENG","U","11","-","S","P"
"CHEM 10.01","CG-K","CHEMISTRY IN MODERN LIFE, LECTURE","3","T-F 0930-1100(ONSITE)","CTC 106","MICLAT, VALERIE CHRISTIE B.","25","ENG","U","4","-","S","P"
"CHEM 10.01","CH-C","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 1100-1230(ONSITE)","CTC 408","GALVAN, Ramon III","25","ENG","U","0","-","S","P"
"CHEM 10.01","CI-A","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 0800-0930(ONSITE)","B-204/B-205","GALVAN, Ramon III","25","ENG","U","3","-","S","P"
"CHEM 10.01","CJ-D","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 1230-1400(ONSITE)","CTC 408","PALOMARES, Camille Kate","25","ENG","U","1","-","S","P"
"CHEM 10.02","CA-A","CHEMISTRY IN MODERN LIFE, LABORATORY","1","M 0800-1000(ONSITE)","C-307","LIBUNAO, Philip Neri","25","ENG","U","6","-","S","P"
"CHEM 10.02","CB-A","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 0800-1000(ONSITE)","C-307","OPAO, Philip Gabriel","25","ENG","U","10","-","S","P"
"CHEM 10.02","CB-A1","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 0800-1000(ONSITE)","SEC-C206A","LEDESMA, Carlene Rome","25","ENG","U","0","-","S","P"
"CHEM 10.02","CC-BC","CHEMISTRY IN MODERN LIFE, LABORATORY","1","M 1000-1200(ONSITE)","C-307","LAPINIG, DANIELLE B.","25","ENG","U","0","-","S","P"
"CHEM 10.02","CD-BC1","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 1000-1200(ONSITE)","SEC-C206A","LIBUNAO, Philip Neri","25","ENG","U","1","-","S","P"
"CHEM 10.02","CE-DE","CHEMISTRY IN MODERN LIFE, LABORATORY","1","M 1230-1430(ONSITE)","C-307","LAPINIG, DANIELLE B.","25","ENG","U","4","-","S","P"
"CHEM 10.02","CF-DEF1","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 1500-1700(ONSITE)","C-307","GONZALES, Fritz Gaius","25","ENG","U","12","-","S","P"
"CHEM 10.02","CG-EF","CHEMISTRY IN MODERN LIFE, LABORATORY","1","M 1500-1700(ONSITE)","C-307","LEDESMA, Carlene Rome","25","ENG","U","3","-","S","P"
"CHEM 10.02","CH-EF1","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 1230-1430(ONSITE)","C-307","PEREZ, Jose Nickolo","25","ENG","U","-1","-","S","P"
"CHEM 10.02","CI-S","CHEMISTRY IN MODERN LIFE, LABORATORY","1","W 0900-1200(ONSITE)","SEC-C206A","CRUZ, Jim","25","ENG","U","3","-","S","P"
"CHEM 10.02","CJ-T","CHEMISTRY IN MODERN LIFE, LABORATORY","1","W 1200-1400(ONSITE)","SEC-C206A","CRUZ, Jim","25","ENG","U","1","-","S","P"
"CHEM 21.11","C","GENERAL CHEMISTRY I, LECTURE","3","M-TH 1100-1230(ONSITE)","C-109","VOCAL, ERIKA KIRSTEN S.","22","ENG","U","-4","-","S","P"
"CHEM 21.11","D1","GENERAL CHEMISTRY I, LECTURE","3","M-TH 1230-1400(ONSITE)","SOM 102","VOCAL, ERIKA KIRSTEN S.","24","ENG","U","1","-","S","P"
"CHEM 21.11","E","GENERAL CHEMISTRY I, LECTURE","3","M-TH 1400-1530(ONSITE)","C-109","ROJAS, NINA ROSARIO L.","30","ENG","U","3","-","S","P"
"CHEM 21.11","F","GENERAL CHEMISTRY I, LECTURE","3","M-TH 1530-1700(ONSITE)","SOM 102","TURNER, ADAM H.","24","ENG","U","2","-","S","P"
"CHEM 21.11","L","GENERAL CHEMISTRY I, LECTURE","3","T-F 1100-1230(ONSITE)","SOM 102","CABELLO, Mark Kristan","22","ENG","U","4","-","S","P"
"CHEM 21.11","M","GENERAL CHEMISTRY I, LECTURE","3","T-F 1230-1400(ONSITE)","SOM 203","PALOMARES, Jan Carlo","24","ENG","U","1","-","S","P"
"CHEM 21.11","M1","GENERAL CHEMISTRY I, LECTURE","3","T-F 1230-1400(ONSITE)","SOM 102","DIMZON, IAN KEN D.","30","ENG","U","2","-","S","P"
"CHEM 21.11","M2","GENERAL CHEMISTRY I, LECTURE","3","T-F 1230-1400(ONSITE)","CTC 302","ENRIQUEZ, ERWIN P.","24","ENG","U","1","-","S","P"
"CHEM 21.11","M3","GENERAL CHEMISTRY I, LECTURE","3","T-F 1230-1400(ONSITE)","CTC 304","VOCAL, ERIKA KIRSTEN S.","24","ENG","U","3","-","S","P"
"CHEM 21.12","LAB2-ABC1","GENERAL CHEMISTRY I, LABORATORY","2","M 0800-1200(ONSITE)","C-207","MACARAIG, LEA CRISTINA D.","24","ENG","U","9","-","S","P"
"CHEM 21.12","LAB2-ABC1A","GENERAL CHEMISTRY I, LABORATORY","2","M 0800-1200(ONSITE)","SEC-C206A","SAN ESTEBAN, ANNA CARISSA M.","24","ENG","U","7","-","S","P"
"CHEM 21.12","LAB2-ABC2","GENERAL CHEMISTRY I, LABORATORY","2","TH 0800-1200(ONSITE)","C-207","MACARAIG, LEA CRISTINA D.","22","ENG","U","7","-","S","P"
"CHEM 21.12","LAB2-DEF1","GENERAL CHEMISTRY I, LABORATORY","2","M 1300-1700(ONSITE)","SEC-C206A","MACARAIG, LEA CRISTINA D.","24","ENG","U","4","-","S","P"
"CHEM 21.12","LAB2-DEF1A","GENERAL CHEMISTRY I, LABORATORY","2","M 1300-1700(ONSITE)","SEC-C207A","PEREZ, Jose Nickolo","24","ENG","U","3","-","S","P"
"CHEM 21.12","LAB2-DEF2","GENERAL CHEMISTRY I, LABORATORY","2","TH 1300-1700(ONSITE)","SEC-C206A","LEDESMA, Carlene Rome","24","ENG","U","4","-","S","P"
"CHEM 21.12","LAB2-JKL1","GENERAL CHEMISTRY I, LABORATORY","2","T 0800-1200(ONSITE)","C-207","CRUZ, Jim","24","ENG","U","0","-","S","P"
"CHEM 21.12","LAB2-JKL2","GENERAL CHEMISTRY I, LABORATORY","2","F 0800-1200(ONSITE)","C-207","MACARAIG, LEA CRISTINA D.","24","ENG","U","-1","-","S","P"
"CHEM 21.12","LAB2-MNO1","GENERAL CHEMISTRY I, LABORATORY","2","T 1300-1700(ONSITE)","SEC-C206A","MACARAIG, LEA CRISTINA D.","22","ENG","U","0","-","S","P"
"CHEM 21.12","MNO2","GENERAL CHEMISTRY I, LABORATORY","2","F 1300-1700(ONSITE)","SEC-C206A","PEREZ, Jose Nickolo","24","ENG","U","4","-","S","P"
"CHEM 21.31","F","GENERAL CHEMISTRY FOR ENGINEERS, LECTURE","3","M-TH 1530-1700(ONSITE)","C-109","VOCAL, ERIKA KIRSTEN S.","27","ENG","U","6","-","S","P"
"CHEM 21.31","N","GENERAL CHEMISTRY FOR ENGINEERS, LECTURE","3","T-F 1400-1530(ONSITE)","C-109","VOCAL, ERIKA KIRSTEN S.","27","ENG","U","4","-","S","P"
"CHEM 21.32","LAB1-EF2","GENERAL CHEMISTRY FOR ENGINEERS, LABORATORY","1","TH 1400-1600(ONSITE)","C-207","LAGURIN, Lolita","18","ENG","U","2","-","S","P"
"CHEM 21.32","LAB1-S","GENERAL CHEMISTRY FOR ENGINEERS, LABORATORY","1","W 0900-1100(ONSITE)","C-207","LAGURIN, Lolita","18","ENG","U","5","-","S","P"
"CHEM 21.32","LAB1-T","GENERAL CHEMISTRY FOR ENGINEERS, LABORATORY","1","W 1200-1400(ONSITE)","C-207","LAGURIN, Lolita","18","ENG","U","4","-","S","P"
"CHEM 31.21","S","INTRODUCTION TO ANALYTICAL CHEMISTRY FOR BIOLOGISTS, LECTURE","2","W 0900-1100(ONSITE)","C-114","BUENAFE, OLIVIA ERIN M.","25","ENG","U","13","-","S","P"
"CHEM 34.41","M","SURVEY OF ANALYTICAL CHEMISTRY, LECTURE","3","T-F 1230-1400(ONSITE)","TBA","CO YU KANG, GISELLE GRACE L.","0","ENG","U","0","ALL SLOTS FOR BS ES MAJORS.","N","N"
