"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"COMM 20.03","A","INTRODUCTION TO COMMUNICATION  AND COMMUNICATION THEORY","3","M-TH 0800-0930(ONSITE)","SS CSR","TY, ANDREW ALBERT J.","25","ENG","U","-5","-","S","P"
"COMM 20.03","B","INTRODUCTION TO COMMUNICATION  AND COMMUNICATION THEORY","3","M-TH 0930-1100(ONSITE)","SS CSR","TY, ANDREW ALBERT J.","25","ENG","U","-3","-","S","P"
"COMM 20.03","G1","INTRODUCTION TO COMMUNICATION  AND COMMUNICATION THEORY","3","M 1700-2000(ONSITE)","SS-280","NASOL, CHERYL B.","25","ENG","U","1","-","S","P"
"COMM 20.03","J","INTRODUCTION TO COMMUNICATION  AND COMMUNICATION THEORY","3","T-F 0800-0930(ONSITE)","SS CONF 5","PARIS, Janella Grace","25","ENG","U","0","-","S","P"
"COMM 20.03","K","INTRODUCTION TO COMMUNICATION  AND COMMUNICATION THEORY","3","T-F 0930-1100(ONSITE)","SS CONF 5","PARIS, Janella Grace","25","ENG","U","-2","-","S","P"
"COMM 20.03","N","INTRODUCTION TO COMMUNICATION  AND COMMUNICATION THEORY","3","T-F 1400-1530(ONSITE)","SS-280","PARIS, Janella Grace","25","ENG","U","4","-","S","P"
"COMM 20.04","L","THEORIES OF HUMAN COMMUNICATION","3","T-F 1100-1230(ONSITE)","SS CSR","HERNANDO, Leonor","25","ENG","U","-8","-","S","P"
"COMM 20.04","M","THEORIES OF HUMAN COMMUNICATION","3","T-F 1230-1400(ONSITE)","SS CSR","HERNANDO, Leonor","25","ENG","U","3","-","S","P"
"COMM 20","E","COMMUNICATION THEORY","3","M-TH 1400-1530(ONSITE)","SS CONF 5","COX, CHRISTINE ANNE R.","26","ENG","U","-1","-","S","P"
"COMM 20","F","COMMUNICATION THEORY","3","M-TH 1530-1700(ONSITE)","SS CONF 5","COX, CHRISTINE ANNE R.","26","ENG","U","1","-","S","P"
"COMM 20","J","COMMUNICATION THEORY","3","T-F 0800-0930(ONSITE)","SS CSR","COX, CHRISTINE ANNE R.","30","ENG","U","-1","-","S","P"
"COMM 20","N","COMMUNICATION THEORY","3","T-F 1400-1530(ONSITE)","SS CONF 5","VASWANI, SERENA M.","26","ENG","U","-4","-","S","P"
"COMM 20","O","COMMUNICATION THEORY","3","T-F 1530-1700(ONSITE)","SS CONF 6","COX, CHRISTINE ANNE R.","26","ENG","U","-1","-","S","P"
"COMM 20","O1","COMMUNICATION THEORY","3","T-F 1530-1700(ONSITE)","SS CONF 5","VASWANI, SERENA M.","26","ENG","U","2","-","S","P"
"COMM 23","C","COMMUNICATION FOR SOCIAL CHANGE","3","M-TH 1100-1230(ONSITE)","SS CSR","JAVIER, Samantha","36","ENG","U","2","-","S","P"
"COMM 23","D","COMMUNICATION FOR SOCIAL CHANGE","3","M-TH 1230-1400(ONSITE)","SS CSR","JAVIER, Samantha","37","ENG","U","-2","-","S","P"
"COMM 23","E","COMMUNICATION FOR SOCIAL CHANGE","3","M-TH 1400-1530(ONSITE)","SS CSR","JAVIER, Samantha","37","ENG","U","2","-","S","P"
"COMM 27","F","VISUAL THINKING FOR COMMUNICATION MANAGERS","3","M-TH 1530-1700(ONSITE)","SS CSR","SANDOVAL, Christian Hereson","24","ENG","U","3","-","S","P"
"COMM 27","K","VISUAL THINKING FOR COMMUNICATION MANAGERS","3","T-F 0930-1100(ONSITE)","SS-280","VICENCIO, AARON R.","24","ENG","U","-1","-","S","P"
"COMM 27","L","VISUAL THINKING FOR COMMUNICATION MANAGERS","3","T-F 1100-1230(ONSITE)","SS-280","VICENCIO, AARON R.","24","ENG","U","-1","-","S","P"
"COMM 27","N","VISUAL THINKING FOR COMMUNICATION MANAGERS","3","T-F 1400-1530(ONSITE)","SS CSR","VICENCIO, AARON R.","24","ENG","U","0","-","S","P"
"COMM 27","U","VISUAL THINKING FOR COMMUNICATION MANAGERS","3","W 1500-1800(ONSITE)","SS-280","LACSON, KATHERINE G.","24","ENG","U","-1","-","S","P"
"COMM 31","G1","ADVERTISING PRACTICES AND PRINCIPLES","3","M 1700-2000(ONSITE)","SS CONF 5","LOPEZ, CLAIRE DRUECO","25","ENG","U","2","-","S","P"
"COMM 31","S","ADVERTISING PRACTICES AND PRINCIPLES","3","W 0900-1200(ONSITE)","SS CSR","LOPEZ, CLAIRE DRUECO","30","ENG","U","-1","-","S","P"
"COMM 36","S","INTRODUCTION TO PRODUCTION (RADIO)","3","W 0900-1200(ONSITE)","SS CONF 6","PEREZ, ANNA CIELO T.","20","ENG","U","0","-","S","P"
"COMM 38","A","BASIC VIDEO/TV PRODUCTION TECHNIQUES","3","M-TH 0800-0930(ONSITE)","SS-280","MANANSALA, Ma. Anna Krynessa","22","ENG","U","0","-","S","P"
"COMM 38","S","BASIC VIDEO/TV PRODUCTION TECHNIQUES","3","W 0900-1200(ONSITE)","SS-280","SALTARIN, PAULINE M.","23","ENG","U","-1","-","S","P"
"COMM 38","U","BASIC VIDEO/TV PRODUCTION TECHNIQUES","3","W 1500-1800(ONSITE)","SS CONF 5","TORRES, JONATHAN D.","22","ENG","U","-4","-","S","P"
"COMM 38","W","BASIC VIDEO/TV PRODUCTION TECHNIQUES","3","SAT 0900-1200(ONSITE)","SS CONF 5","TORRES, JONATHAN D.","22","ENG","U","2","-","S","P"
"COMM 39","T","EDITING TECHNIQUES AND TECHNOLOGIES","3","W 1200-1500(ONSITE)","SS CONF 5","TORRES, JONATHAN D.","20","ENG","U","-1","*PRE-REQ: COMM 38","S","P"
"COMM 43","U","CINEMATOGRAPHY","3","W 1500-1800(ONSITE)","COM STUD","IGNACIO, Patrick John","20","ENG","U","0","-","S","P"
"COMM 44","A","INTRODUCTION TO GRAPHIC DESIGN","3","M-TH 0800-0930(ONSITE)","SS CONF 5","SANTOS, JOHN MICHAEL B.","20","ENG","U","-2","-","S","P"
"COMM 48","W","BASIC PHOTOGRAPHY","3","SAT 0900-1200(ONSITE)","SS-280","NASOL, CHERYL B.","20","ENG","U","10","*PRE-REQ: ACCESS TO DSLR OR MIRRORLESS CAMERA","S","P"
"COMM 61","T","ELEMENTS OF SCREEN ART","3","W 1200-1500(ONSITE)","SS-280","VALBUENA, VICTOR T.","20","ENG","U","0","-","S","P"
"COMM 64.03","V","INTERDISCIPLINARY APPROACHES TO FILM STUDIES: PHILOSOPHY AND FILM","3","W 1800-2100(ONSITE)","SS CSR","TEMPORAL, DENNIS O.","20","ENG","U","13","-","S","P"
"COMM 64.05","U","INTERDISCIPLINARY APPROACHES TO FILM STUDIES:  LITERATURE AND FILM","3","W 1500-1800(ONSITE)","SS CSR","VALBUENA, VICTOR T.","20","ENG","U","6","-","S","P"
"COMM 76","M","INTRODUCTION TO JOURNALISM","3","T-F 1230-1400(FULLY ONLINE)","SS CONF 6","REMOTO, DANTON R.","20","ENG","U","-1","-","S","P"
"COMM 76","M1","INTRODUCTION TO JOURNALISM","3","T-F 1230-1400(ONSITE)","SS CONF 5","RIMBAN, LUZ R.","20","ENG","U","-4","-","S","P"
"COMM 76","W","INTRODUCTION TO JOURNALISM","3","SAT 0900-1200(ONSITE)","SS CSR","WONG, CHIN WAH Y.","20","ENG","U","2","-","S","P"
"COMM 80","J","INVESTIGATIVE JOURNALISM","3","T-F 0800-0930(ONSITE)","SS CONF 6","HOFILENA, MA. ROSARIO F.","20","ENG","U","14","*PRE-REQ: COMM 77","S","P"
"COMM 84","Y","SOCIAL MEDIA JOURNALISM","3","SAT 1500-1800(ONSITE)","SS CONF 5","BURGOS, ARLENE B.","20","ENG","U","3","-","S","P"
"COMM 86","T","INTRODUCTION TO BROADCAST MEDIA","3","W 1200-1500(ONSITE)","SS CONF 6","BARBIN, Maria Christina","20","ENG","U","-1","-","S","P"
"COMM 111","C","CREATIVITY AND PROBLEM AWARENESS","3","M-TH 1100-1230(ONSITE)","SS-280","VICENCIO, AARON R.","21","ENG","U","-2","-","S","P"
"COMM 111","F","CREATIVITY AND PROBLEM AWARENESS","3","M-TH 1530-1700(ONSITE)","SS-280","QUE, GILBERT JACOB S.","22","ENG","U","0","-","S","P"
"COMM 111","J","CREATIVITY AND PROBLEM AWARENESS","3","T-F 0800-0930(ONSITE)","SS-280","QUE, GILBERT JACOB S.","22","ENG","U","0","-","S","P"
"COMM 111","M","CREATIVITY AND PROBLEM AWARENESS","3","T-F 1230-1400(ONSITE)","SS-280","QUE, GILBERT JACOB S.","22","ENG","U","-2","-","S","P"
"COMM 113.03","B","PUBLIC RELATIONS: CREATING PR TOOLS","3","M-TH 0930-1100(ONSITE)","SS-280","SARMENTA, JR., SEVERINO R.","30","ENG","U","5","*PRE-REQ: COMM 113","S","P"
"COMM 120","O","INTRODUCTION TO MEDIA STUDIES","3","T-F 1530-1700(ONSITE)","SS-280","PARIS, Janella Grace","20","ENG","U","-1","-","S","P"
"COMM 122.03","K","MEDIA AND SOCIETY: AUDIENCE STUDIES","3","T-F 0930-1100(ONSITE)","SS CSR","VASWANI, SERENA M.","20","ENG","U","0","-","S","P"
"COMM 180.16","T","SPECIAL TOPICS IN PRINT JOURNALISM:  WRITING ABOUT CULTURE","3","W 1200-1500(ONSITE)","SS CSR","DE VERA, RUEL S.","20","ENG","U","-2","-","S","P"
"COMM 182.04","U","SPECIAL TOPICS IN ADVERTISING:  BRANDING OPPORTUNITIES AND CHALLENGES","3","W 1500-1800(ONSITE)","SS CONF 6","BARBIN, Maria Christina","25","ENG","U","-1","*PRE-REQ: COMM 31 OR COMM 113 OR ANY MARKETING RELATED COURSE","S","P"
"COMM 182.05","G","SPECIAL TOPICS IN ADVERTISING: CREATIVE WRITING FOR ADVERTISING (PRINT, TV, COLLATERALS)","3","M-TH 1700-1830(ONSITE)","SS CONF 6","GONZALES, RICKY P.","20","ENG","U","10","-","S","P"
"COMM 182.14","H1","SPECIAL TOPICS IN ADVERTISING:  STRATEGIC PLANNING","3","TH 1700-2000(ONSITE)","SS-280","AGATEP, NORMAN TIMOTHY A.","20","ENG","U","0","*PRE-REQ: COMM 31","S","P"
"COMM 185.09","W","SPECIAL TOPICS IN  PRODUCTION: FILM ACTING","3","SAT 0900-1200(ONSITE)","SS CONF 6","MARAMARA, MELISSA VERA M.","8","ENG","U","4","-","S","P"
"COMM 186.05","X","SPECIAL TOPICS IN FILM PRODUCTION:  FEATURE FILM DIRECTING","3","SAT 1200-1500(ONSITE)","SS CONF 6","VILLEGAS, Dan Louie","20","ENG","U","10","-","S","P"
"COMM 191.06","D","FILM SEMINAR:  THE KOREAN CINEMA","3","M-TH 1230-1400(ONSITE)","SS-280","QUE, GILBERT JACOB S.","20","ENG","U","-2","-","S","P"
"COMM 193","A","QUANTITATIVE METHODS IN COMMUNICATION RESEARCH","3","M-TH 0800-0930(ONSITE)","SS CONF 6","ROMBAOA, Jasmine Sabrina","20","ENG","U","-3","*PRE-REQ: COMM 20/COMM 21","S","P"
"COMM 193","F","QUANTITATIVE METHODS IN COMMUNICATION RESEARCH","3","M-TH 1530-1700(ONSITE)","SS CONF 6","ROMBAOA, Jasmine Sabrina","20","ENG","U","-2","*PRE-REQ: COMM 20, COMM 21","S","P"
"COMM 194","B","QUALITATIVE METHODS IN COMMUNICATION RESEARCH","3","M-TH 0930-1100(ONSITE)","SS CONF 5","ROMBAOA, Jasmine Sabrina","25","ENG","U","-5","*PRE-REQ: COMM 20, COMM 21","S","P"
"COMM 194","L","QUALITATIVE METHODS IN COMMUNICATION RESEARCH","3","T-F 1100-1230(ONSITE)","SS CONF 5","LORENZANA, JOZON A.","25","ENG","U","-1","*PRE-REQ: COMM 20, COMM 21","S","P"
"COMM 194","O","QUALITATIVE METHODS IN COMMUNICATION RESEARCH","3","TBA(ONSITE)","TBA","TO BE ARRANGED","25","ENG","U","25","*PRE-REQ: COMM 20, COMM 21","N","N"
"COMM 197","E","PRACTICUM","3","M-TH 1400-1530(ONSITE)","SS-312","DAGLE, Robbin Charles","12","ENG","U","10","-","S","P"
"COMM 199.1","B","COMMUNICATION THESIS 1","3","M-TH 0930-1100(ONSITE)","SS CONF 6","LADRIDO, ESTELLE MARIE M.","16","ENG","U","1","*PRE-REQ: COMM 190, COMM 193, COMM 194","S","P"
"COMM 199.1","C","COMMUNICATION THESIS 1","3","M-TH 1100-1230(ONSITE)","SS CONF 6","QUE, GILBERT JACOB S.","16","ENG","U","-2","*PRE-REQ: COMM 190, COMM 193, COMM 194","S","P"
"COMM 199.1","D","COMMUNICATION THESIS 1","3","M-TH 1230-1400(ONSITE)","SS CONF 6","TY, ANDREW ALBERT J.","16","ENG","U","2","*PRE-REQ: COMM 190, COMM 193, COMM 194","S","P"
"COMM 199.1","E","COMMUNICATION THESIS 1","3","M-TH 1400-1530(ONSITE)","SS CONF 6","ROMBAOA, Jasmine Sabrina","16","ENG","U","-4","*PRE-REQ: COMM 190/COMM 193/COMM 194","S","P"
"COMM 199.1","K","COMMUNICATION THESIS 1","3","T-F 0930-1100(ONSITE)","SS CONF 6","COX, CHRISTINE ANNE R.","16","ENG","U","3","*PRE-REQ: COMM 190, COMM 193, COMM 194","S","P"
"COMM 199.1","L","COMMUNICATION THESIS 1","3","T-F 1100-1230(ONSITE)","SS CONF 6","VASWANI, SERENA M.","16","ENG","U","1","*PRE-REQ: COMM 190, COMM 193, COMM 194","S","P"
