"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CPA 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","38","-","N","N"
"CPA 298.1","CAPS","PRACTICUM IN BASIC EDUCATION TEACHING","6","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.19","Z1","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.2","CAPS 3","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(~)","TBA","NICDAO, JAIME JOSE G.","10","ENG","G","9","-","N","N"
"CPA 298.2","CAPS1","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(~)","TBA","AGAPITO, JENILYN L.","10","~","G","9","-","N","N"
"CPA 298.2","CAPS2","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(~)","TBA","RODRIGO, MARIA MERCEDES T.","10","~","G","9","-","N","N"
"CPA 298.3","CAPS1","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(~)","TBA","NGO, GALVIN RADLEY L.","10","~","G","9","-","N","N"
"CPA 298.44","Z1","CAPSTONE PROJECT FINAL ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298","CAPS","INTEGRATING PAPER","6","TBA(~)","TBA","ESCAREZ, SOCORRO PERPETUAL E.","10","ENG","G","8","-","N","N"
"CPA 298","CAPS1","INTEGRATING PAPER","6","TBA(~)","TBA","ORACION, CARMELA C.","10","~","G","8","-","N","N"
