"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CSP 11","A","CHINESE MANDARIN AND CULTURE 1","3","M-TH 0800-0930(ONSITE)","G-206","ONG, JUBILEE G.","18","~","U","4","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"CSP 11","B","CHINESE MANDARIN AND CULTURE 1","3","M-TH 0930-1100(ONSITE)","G-206","ONG, JUBILEE G.","18","~","U","-3","-","S","P"
"CSP 11","C","CHINESE MANDARIN AND CULTURE 1","3","M-TH 1100-1230(ONSITE)","CTC 204","YUGIOKSING, JANE T.","18","~","U","9","-","S","P"
"CSP 11","E","CHINESE MANDARIN AND CULTURE 1","3","M-TH 1400-1530(ONSITE)","CTC 204","YUGIOKSING, JANE T.","18","~","U","12","-","S","P"
"CSP 11","K","CHINESE MANDARIN AND CULTURE 1","3","T-F 0930-1100(ONSITE)","G-206","BATA, SIDNEY CHRISTOPHER T.","18","~","U","-2","-","S","P"
"CSP 11","L","CHINESE MANDARIN AND CULTURE 1","3","T-F 1100-1230(ONSITE)","CTC 204","SEE, MARY KIMBERLIE C.","18","~","U","-1","-","S","P"
"CSP 11","M","CHINESE MANDARIN AND CULTURE 1","3","T-F 1230-1400(ONSITE)","CTC 204","BATA, SIDNEY CHRISTOPHER T.","18","~","U","-2","-","S","P"
"CSP 11","N","CHINESE MANDARIN AND CULTURE 1","3","T-F 1400-1530(ONSITE)","CTC 204","SEE, MARY KIMBERLIE C.","18","~","U","-1","-","S","P"
"CSP 12","J","CHINESE MANDARIN AND CULTURE 2","3","T-F 0800-0900(ONSITE)","LH 206","SEE, DAISY C.","20","~","U","-2","-","S","P"
"CSP 12","N","CHINESE MANDARIN AND CULTURE 2","3","T-F 1400-1530(ONSITE)","LH 206","SEE, DAISY C.","20","~","U","0","-","S","P"
"CSP 14","K","INTERMEDIATE CHINESE 2","3","T-F 0930-1100(ONSITE)","LH 206","SEE, DAISY C.","27","~","U","1","-","S","P"
"CSP 16","D","PRACTICAL CHINESE FOR BUSINESS","3","M-TH 1230-1400(ONSITE)","LH 206","SEE, DAISY C.","20","~","U","13","-","S","P"
"CSP 31","W","MODERN CHINESE ECONOMY","3","SAT 0900-1200(ONSITE)","CTC 204","MERCADO, GLORIA J.","30","ENG","U","23","1 SLOT(S) FOR 4TH YEAR AB COM MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"CSP 37","O","CONTEMPORARY HISTORY OF CONFLICTS IN EAST ASIA","3","T-F 1530-1700(ONSITE)","CTC 204","DE GUZMAN, CHARLES JOSEPH G.","30","ENG","U","24","4 SLOT(S) FOR 4TH YEAR AB ChnS-B MAJORS. 1 SLOT(S) FOR 4TH YEAR AB ChnS-S MAJORS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS. *Tutorial","S","P"
"CSP 50i","J","CULTURAL DUE DILIGENCE: CONSIDERATIONS FOR BUSINESS IN AND WITH CHINA","3","T-F 0800-0930(ONSITE)","CTC 204","SEE, MARY KIMBERLIE C.","30","ENG","U","12","-","S","P"
"CSP 60","N","TRADITIONAL CHINESE MEDICINE","3","T-F 1400-1530(ONSITE)","B-102","NAVARRO, FRANCISCO V.","30","ENG","U","27","-","S","P"
"CSP 61i","J","SCIENCE AND TECHNOLOGY IN CHINA","3","T-F 0800-0930(ONSITE)","B-309","BATA, SIDNEY CHRISTOPHER T.","30","ENG","U","0","-","S","P"
"CSP 61i","K","SCIENCE AND TECHNOLOGY IN CHINA","3","T-F 0930-1100(ONSITE)","CTC 204","SEE, MARY KIMBERLIE C.","30","ENG","U","1","-","S","P"
"CSP 62i","S","COMPARATIVE PERSPECTIVES IN HUMAN ANATOMY & PHYSIOLOGY","3","W 0900-1200(ONSITE)","CTC 204","MANABAT, MARJORIE Y.","30","ENG","U","13","-","S","P"
"CSP 71i","C","CHINESE ART AND SOCIETY","3","M-TH 1100-1230(ONSITE)","LH 206","SEE, DAISY C.","30","ENG","U","8","-","S","P"
"CSP 71i","L","CHINESE ART AND SOCIETY","3","T-F 1100-1230(ONSITE)","LH 206","SEE, DAISY C.","30","ENG","U","7","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"CSP 90","B","HISTORY OF CHINA","3","M-TH 0930-1100(ONSITE)","LH 206","DOMINGO, DENZEL S.","10","ENG","U","7","2 SLOT(S) FOR 1ST YEAR AB ChnS-B MAJORS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
