"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ENGG 11","U","COMPUTER-AIDED DRAFTING","1","W 1430-1630(ONSITE)","CTC 219","GALICIA, JAN KEVIN A.","17","ENG","U","5","-","S","P"
"ENGG 11","V","COMPUTER-AIDED DRAFTING","1","W 1700-1900(ONSITE)","CTC 219","GALICIA, JAN KEVIN A.","17","ENG","U","0","-","S","P"
"ENGG 24","F","DISCRETE MATHEMATICS","3","M-TH 1530-1700(ONSITE)","CTC 403","AGUSTIN, LUISITO L.","26","ENG","U","2","-","S","P"
"ENGG 25","B","DIFFERENTIAL EQUATIONS","3","M-TH 0930-1100(ONSITE)","CTC 403","GALICIA, JAN KEVIN A.","24","ENG","U","5","-","S","P"
"ENGG 25","C","DIFFERENTIAL EQUATIONS","3","M-TH 1100-1230(ONSITE)","CTC 403","GALICIA, JAN KEVIN A.","23","ENG","U","9","-","S","P"
"ENGG 27.01","K","ADVANCE ENGINEERING MATH WITH NUMERICAL METHODS, LECTURE","3","T-F 0930-1100(ONSITE)","CTC 403","LIBATIQUE, NATHANIEL JOSEPH C.","16","ENG","U","3","-","S","P"
"ENGG 27.02","U","ADVANCE ENGINEERING MATH WITH NUMERICAL METHODS, LABORATORY","1","W 1430-1630(ONSITE)","CTC 403","LIBATIQUE, NATHANIEL JOSEPH C.","9","ENG","U","1","-","S","P"
"ENGG 30.02","A","INTRODUCTION TO PROGRAMMING FOR ENGINEERS","2","M-TH 0800-0930(ONSITE)","CTC 219","MADAMBA, Joy Alinda","25","ENG","U","3","-","S","P"
"ENGG 30.02","B","INTRODUCTION TO PROGRAMMING FOR ENGINEERS","2","M-TH 0930-1100(ONSITE)","CTC 219","MADAMBA, Joy Alinda","25","ENG","U","3","-","S","P"
"ENGG 31","J","OBJECT ORIENTED PROGRAMMING","2","T-F 0800-0930(ONSITE)","CTC 219","AGUSTIN, LUISITO L.","24","ENG","U","0","-","S","P"
"ENGG 40.01","M","ENGINEERING PHYSICS, LECTURE","3","T-F 1230-1400(ONSITE)","CTC 517","MACABEBE, EREES QUEEN B.","18","ENG","U","5","-","S","P"
"ENGG 40.02","U","ENGINEERING PHYSICS, LABORATORY","1","W 1430-1630(ONSITE)","CTC 517","MACABEBE, EREES QUEEN B.","18","ENG","U","5","-","S","P"
"ENGG 48","O","MATERIALS SCIENCE AND ENGINEERING","3","T-F 1530-1700(ONSITE)","F-308","VOCAL, ERIKA KIRSTEN S.","16","ENG","U","1","-","S","P"
"ENGG 59.03","G1","BUILDING CONSTRUCTION, MATERIALS, AND HEAT TRANSFER","1","M 1700-1900(ONSITE)","TBA","ALQUIZA, Laurence Keith, RECTO, King Harold","22","ENG","U","0","-","S","P"
"ENGG 59.13","PQ","DESIGN METHODOLOGY OF COMPLEX STRUCTURES AND FINITE ELEMENTS","1","T 1700-1900(ONSITE)","CTC 216","RECTO, King Harold","22","ENG","U","0","-","S","P"
"ENGG 101.01","K","CIRCUITS I, LECTURE","3","T-F 0930-1100(ONSITE)","F-308","MONJE, JOSE CLARO N.","21","ENG","U","5","-","S","P"
"ENGG 101.01","L","CIRCUITS I, LECTURE","3","T-F 1100-1230(ONSITE)","F-308","MONJE, JOSE CLARO N.","21","ENG","U","-3","-","S","P"
"ENGG 101.02","S","CIRCUITS I, LABORATORY","1","W 0930-1130(ONSITE)","F-325","BORJA, MARTIN JOHN H.","21","ENG","U","5","-","S","P"
"ENGG 101.02","T","CIRCUITS I, LABORATORY","1","W 1200-1400(ONSITE)","F-325","BORJA, MARTIN JOHN H.","21","ENG","U","-2","-","S","P"
"ENGG 102.01","C","CIRCUITS II, LECTURE","3","M-TH 1100-1230(ONSITE)","F-323","RECTO, King Harold","14","ENG","U","1","-","S","P"
"ENGG 102.02","L1","CIRCUITS II, LABORATORY","1","T 1100-1300(ONSITE)","F-325","RECTO, King Harold","14","ENG","U","-1","-","S","P"
"ENGG 111.01","F","ELECTRONICS I, LECTURE","3","M-TH 1530-1700(ONSITE)","F-308","MONJE, JOSE CLARO N.","14","ENG","U","0","-","S","P"
"ENGG 111.02","L2","ELECTRONICS I, LABORATORY","1","F 1100-1300(ONSITE)","F-325","RECTO, King Harold","16","ENG","U","1","-","S","P"
"ENGG 113.01","G","ELECTRONICS III, LECTURE","3","M-TH 1700-1830(ONSITE)","F-308","PENA, ROBERT ALFIE S.","21","ENG","U","1","-","S","P"
"ENGG 113.02","S","ELECTRONICS III, LABORATORY","1","W 0930-1130(ONSITE)","CTC 517","RECTO, King Harold","21","ENG","U","3","-","S","P"
"ENGG 121.01","G","LOGIC CIRCUITS AND SWITCHING THEORY, LECTURE","3","M-TH 1700-1830(ONSITE)","CTC 403","GALICIA, JAN KEVIN A.","13","ENG","U","2","-","S","P"
"ENGG 121.02","V","LOGIC CIRCUITS AND SWITCHING THEORY, LABORATORY","1","W 1700-1900(ONSITE)","F-323","OPPUS, CARLOS M.","13","ENG","U","2","-","S","P"
"ENGG 122.01","D","MICROPROCESSORS AND MICROCONTROLLERS, LECTURE","3","M-TH 1230-1400(ONSITE)","F-323","OPPUS, CARLOS M.","17","ENG","U","4","-","S","P"
"ENGG 122.02","MN","MICROPROCESSORS AND MICROCONTROLLERS, LABORATORY","1","T 1330-1530(ONSITE)","F-323","OPPUS, CARLOS M.","17","ENG","U","4","-","S","P"
"ENGG 123.01","B","COMPUTER ARCHITECTURE AND ORGANIZATION, LECTURE","3","M-TH 0930-1100(ONSITE)","F-311","AGUSTIN, LUISITO L.","12","ENG","U","0","-","S","P"
"ENGG 123.02","M2","COMPUTER ARCHITECTURE AND ORGANIZATION, LABORATORY","1","F 1330-1530(ONSITE)","CTC 403","AGUSTIN, LUISITO L.","12","ENG","U","0","-","S","P"
"ENGG 129.03","C","FUNDAMENTALS OF MICROCONTROLLERS",".5","TBA(~)","TBA","OPPUS, CARLOS M.","22","ENG","U","0","-","S","P"
"ENGG 141.01","B","ANALOG COMMUNICATION, LECTURE","3","M-TH 0930-1100(ONSITE)","F-310","MONJE, JOSE CLARO N.","13","ENG","U","4","-","S","P"
"ENGG 141.02","X","ANALOG COMMUNICATION, LABORATORY","1","SAT 1030-1230(ONSITE)","F-310","MARTINEZ, Philip","13","ENG","U","4","-","S","P"
"ENGG 142.01","K","DIGITAL COMMUNICATIONS, LECTURE","3","T-F 0930-1100(ONSITE)","CTC 517","GUICO, MARIA LEONORA C.","5","ENG","U","1","-","S","P"
"ENGG 142.02","W","DIGITAL COMMUNICATIONS, LABORATORY","1","SAT 0800-1000(ONSITE)","F-310","MARTINEZ, Philip","5","ENG","U","1","-","S","P"
"ENGG 142.20","K","DIGITAL COMMUNICATIONS FOR CPE","3","T-F 0930-1100(ONSITE)","F-323","GUICO, MARIA LEONORA C.","12","ENG","U","6","-","S","P"
"ENGG 143.01","C","DATA COMMUNICATION AND NETWORKING, LECTURE","3","M-TH 1100-1230(ONSITE)","CTC 219","GUICO, MARIA LEONORA C.","25","ENG","U","11","-","S","P"
"ENGG 143.02","L1","DATA COMMUNICATION AND NETWORKING, LABORATORY","1","T 1100-1300(ONSITE)","CTC 219","GUICO, MARIA LEONORA C.","20","ENG","U","6","-","S","P"
"ENGG 144.01","V","TRANSMISSION MEDIA AND ANTENNA SYSTEMS, LECTURE","3","WED-SAT 1700-1830(ONSITE)","F-310","KWONG, JOHN CHRIS T.","7","ENG","U","1","-","S","P"
"ENGG 144.02","Y","TRANSMISSION MEDIA AND ANTENNA SYSTEMS, LABORATORY","1","W 1200-1300(ONSITE)","F-323","KWONG, JOHN CHRIS T.","12","ENG","U","6","-","S","P"
