"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ECON 110","C","PRINCIPLES OF ECONOMICS","3","M-TH 1100-1230(ONSITE)","K-301","PEÑA-REYES, SER PERCIVAL K.","30","ENG","U","-10","4 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"ECON 110","C1","PRINCIPLES OF ECONOMICS","3","M-TH 1100-1230(ONSITE)","K-302","BEJA, EDSEL, JR. L.","30","ENG","U","-1","-","S","P"
"ECON 110","D","PRINCIPLES OF ECONOMICS","3","M-TH 1230-1400(ONSITE)","K-302","BEJA, EDSEL, JR. L.","30","ENG","U","-2","-","S","P"
"ECON 110","K","PRINCIPLES OF ECONOMICS","3","T-F 0930-1100(ONSITE)","K-301","PEREZ, MARILOU A.","30","ENG","U","-2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"ECON 110","L","PRINCIPLES OF ECONOMICS","3","T-F 1100-1230(ONSITE)","K-301","PEREZ, MARILOU A.","30","ENG","U","-5","-","S","P"
"ECON 112","E","INTERMEDIATE MACROECONOMIC THEORY","3","M-TH 1400-1530(ONSITE)","K-302","DUMLAO, LUIS F.","35","ENG","U","-2","-","S","P"
"ECON 113","W","ECONOMICS OF MONEY AND BANKING","3","SAT 0900-1200(ONSITE)","CTC 206","LEDESMA, RODOLFO G.","30","ENG","U","22","-","S","P"
"ECON 113","X","ECONOMICS OF MONEY AND BANKING","3","SAT 1200-1500(ONSITE)","CTC 206","LEDESMA, RODOLFO G.","22","ENG","U","1","-","S","P"
"ECON 114","A","INTERNATIONAL FINANCE","3","M-TH 0800-0930(ONSITE)","CTC 206","DUMLAO, LUIS F.","30","ENG","U","-6","-","S","P"
"ECON 115","B","INTRODUCTION TO MATHEMATICAL ECONOMICS","3","M-TH 0930-1100(ONSITE)","K-301","LANZONA, LEONARDO, JR. A.","22","ENG","U","4","-","S","P"
"ECON 115","C","INTRODUCTION TO MATHEMATICAL ECONOMICS","3","M-TH 1100-1230(ONSITE)","B-207","LANZONA, LEONARDO, JR. A.","22","ENG","U","4","ALL SLOTS FOR 3RD YEAR AB EC MAJORS. ALL SLOTS FOR 3RD YEAR AB EC-H MAJORS. ALL SLOTS FOR 3RD YEAR AB MEC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC-H MAJORS. ALL SLOTS FOR 4TH YEAR AB MEC MAJORS.","S","P"
"ECON 115","D","INTRODUCTION TO MATHEMATICAL ECONOMICS","3","M-TH 1230-1400(ONSITE)","B-207","PEÑA-REYES, SER PERCIVAL K.","22","ENG","U","-8","ALL SLOTS FOR 3RD YEAR AB EC MAJORS. ALL SLOTS FOR 3RD YEAR AB EC-H MAJORS. ALL SLOTS FOR 3RD YEAR AB MEC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC-H MAJORS. ALL SLOTS FOR 4TH YEAR AB MEC MAJORS.","S","P"
"ECON 115","F","INTRODUCTION TO MATHEMATICAL ECONOMICS","3","M-TH 1530-1700(ONSITE)","K-302","LANZONA, LEONARDO, JR. A.","22","ENG","U","3","ALL SLOTS FOR 3RD YEAR AB EC MAJORS. ALL SLOTS FOR 3RD YEAR AB EC-H MAJORS. ALL SLOTS FOR 3RD YEAR AB MEC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC MAJORS. ALL SLOTS FOR 4TH YEAR AB EC-H MAJORS. ALL SLOTS FOR 4TH YEAR AB MEC MAJORS.","S","P"
"ECON 115","T","INTRODUCTION TO MATHEMATICAL ECONOMICS","3","W 1200-1500(ONSITE)","CTC 206","PASCUA, GERALD GRACIUS Y.","22","ENG","U","1","-","S","P"
"ECON 116","N","STATISTICS FOR ECONOMISTS","3","T-F 1400-1530(ONSITE)","SS-284","SAPLALA, DINO CARLO A.","25","ENG","U","-2","-","S","P"
"ECON 116","O","STATISTICS FOR ECONOMISTS","3","T-F 1530-1700(ONSITE)","SS-284","SAPLALA, DINO CARLO A.","25","ENG","U","0","-","S","P"
"ECON 116","T","STATISTICS FOR ECONOMISTS","3","W 1200-1500(ONSITE)","K-301","TAN, ROSALINA P.","25","ENG","U","0","-","S","P"
"ECON 117.01","EF","INTRODUCTION TO ECONOMETRICS I, LECTURE","3","TH 1400-1700(ONSITE)","SS-284","PASCUA, GERALD GRACIUS Y.","22","ENG","U","5","-","S","P"
"ECON 117.01","X","INTRODUCTION TO ECONOMETRICS I, LECTURE","3","SAT 1200-1500(ONSITE)","SS-284","DUCANES, Geoffrey","22","ENG","U","1","-","S","P"
