"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"EDUC 224","W","SUPERVISION OF CLASSROOM INSTRUCTION","3","SAT 0900-1200(~)","TBA","MARTIN, MARIA ISABEL P.","20","ENG","G","9","-","S","P"
"ELM 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","47","-","N","N"
"ELM 298.1","CAPS","PRACTICUM IN BASIC EDUCATION TEACHING","6","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298.19","Z1","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298","CAPS","INTEGRATING PAPER","6","TBA(~)","TBA","ALEJO, MA RESURRECCION P.","5","ENG","G","4","-","N","N"
"ELM 298","CAPS1","INTEGRATING PAPER","6","TBA(~)","TBA","ESCAREZ, SOCORRO PERPETUAL E.","5","ENG","G","4","-","N","N"
"ELM 298","CAPS2","INTEGRATING PAPER","6","TBA(~)","TBA","CUYEGKENG, MA. ASSUNTA C.","5","ENG","G","5","-","N","N"
"ELM 298","CAPS3","INTEGRATING PAPER","6","TBA(~)","TBA","MARTIN, MARIA ISABEL P.","5","ENG","G","5","-","N","N"
"ELM 298","CAPS4","INTEGRATING PAPER","6","TBA(~)","TBA","NICDAO, JAIME JOSE G.","5","ENG","G","5","-","N","N"
"ELM 298","CAPS5","INTEGRATING PAPER","6","TBA(~)","TBA","NICDAO, RHODORA F.","5","ENG","G","5","-","N","N"
"ELM 298","CAPS6","INTEGRATING PAPER","6","TBA(~)","TBA","ORACION, CARMELA C.","5","ENG","G","4","-","N","N"
"ELM 299.1","THE/DISS","THESIS I","0","TBA(~)","TBA","TO BE ARRANGED","5","ENG","G","5","-","N","N"
"ELM 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","ALEJO, MA RESURRECCION P.","5","ENG","G","3","-","N","N"
"ELM 299.1","THES/DISS1","THESIS I","0","TBA(~)","TBA","ESCAREZ, SOCORRO PERPETUAL E.","5","ENG","G","4","-","N","N"
"ELM 299.1","THES/DISS2","THESIS I","0","TBA(~)","TBA","DE LEON, MARLENE M.","5","ENG","G","4","-","N","N"
"ELM 299.1","THES/DISS3","THESIS I","0","TBA(~)","TBA","MARTIN, MARIA ISABEL P.","5","ENG","G","5","-","N","N"
"ELM 299.1","THES/DISS4","THESIS I","0","TBA(~)","TBA","NGO, GALVIN RADLEY L.","5","ENG","G","4","-","N","N"
"ELM 299.1","THES/DISS5","THESIS I","0","TBA(~)","TBA","NICDAO, JAIME JOSE G.","5","ENG","G","5","-","N","N"
"ELM 299.1","THES/DISS6","THESIS I","0","TBA(~)","TBA","NICDAO, RHODORA F.","5","ENG","G","3","-","N","N"
"ELM 299.1","THES/DISS7","THESIS I","0","TBA(~)","TBA","ORACION, CARMELA C.","5","ENG","G","5","-","N","N"
"ELM 299.19","TWPD","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","5","ENG","G","1","-","N","N"
"ELM 299.2","THES/DISS","THESIS II","0","TBA(~)","TBA","ALEJO, MA RESURRECCION P.","5","ENG","G","5","-","N","N"
"ELM 299.2","THES/DISS1","THESIS II","0","TBA(~)","TBA","ALVAREZ, SJ, FR. FRANCIS","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS2","THESIS II","0","TBA(~)","TBA","GO, SJ, JOHNNY C.","5","ENG","G","5","-","N","N"
"ELM 299.2","THES/DISS3","THESIS II","0","TBA(~)","TBA","MARTIN, MARIA ISABEL P.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS4","THESIS II","0","TBA(~)","TBA","NGO, GALVIN RADLEY L.","5","ENG","G","5","-","N","N"
"ELM 299.2","THES/DISS5","THESIS II","0","TBA(~)","TBA","NICDAO, JAIME JOSE G.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS6","THESIS II","0","TBA(~)","TBA","NICDAO, RHODORA F.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS7","THESIS II","0","TBA(~)","TBA","ORACION, CARMELA C.","5","ENG","G","3","-","N","N"
"ELM 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"ELM 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 396","COMP","COMPREHENSIVE EXAM","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.1","THES/DISS","DISSERTATION 1","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.19","Z1","DISSERTATION PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.2","THES/DISS","DISSERTATION 2","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
