"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ENE 13.03i","S","STORY AND NARRATIVE IN THE HUMANITIES","3","W 0800-1100(ONSITE)","CTC 104","SOLLANO, FRANCIS","30","ENG","U","-2","-","S","P"
"ENE 13.03i","T","STORY AND NARRATIVE IN THE HUMANITIES","3","W 1200-1500(ONSITE)","SEC-A204A","SOLLANO, FRANCIS","30","ENG","U","-1","-","S","P"
"ENE 13.04i","J","STORY AND NARRATIVE IN MANAGEMENT","3","T-F 0800-0930(ONSITE)","SEC-A203A","EVANGELISTA, JESSICA LACE G.","30","ENG","U","-1","-","S","P"
"ENE 13.04i","K","STORY AND NARRATIVE IN MANAGEMENT","3","T-F 0930-1100(ONSITE)","CTC 105","GONZALES, Dan Henry","30","ENG","U","-2","-","S","P"
"ENE 13.04i","L","STORY AND NARRATIVE IN MANAGEMENT","3","T-F 1100-1230(ONSITE)","SEC-A203A","GONZALES, Dan Henry","30","ENG","U","-2","-","S","P"
"ENE 13.04i","M","STORY AND NARRATIVE IN MANAGEMENT","3","T-F 1230-1400(ONSITE)","SEC-A204A","EVANGELISTA, JESSICA LACE G.","30","ENG","U","0","-","S","P"
"ENE 13.04i","O","STORY AND NARRATIVE IN MANAGEMENT","3","T-F 1530-1700(ONSITE)","CTC 105","GONZALES, Dan Henry","30","ENG","U","-2","-","S","P"
"ENE 13.04i","S","STORY AND NARRATIVE IN MANAGEMENT","3","W 0800-1100(ONSITE)","CTC 105","FRANQUELLI, JACQUELINE V.","30","ENG","U","0","-","S","P"
"ENE 13.04i","S1","STORY AND NARRATIVE IN MANAGEMENT","3","W 0900-1200(ONSITE)","SEC-A203A","AGUSTIN, ROY TRISTAN B.","30","ENG","U","0","-","S","P"
"ENE 13.04i","T","STORY AND NARRATIVE IN MANAGEMENT","3","W 1200-1500(ONSITE)","CTC 105","FRANQUELLI, JACQUELINE V.","30","ENG","U","0","-","S","P"
"ENE 13.04i","T1","STORY AND NARRATIVE IN MANAGEMENT","3","W 1300-1600(ONSITE)","CTC 204","AGUSTIN, ROY TRISTAN B.","30","ENG","U","0","-","S","P"
"ENE 13.05i","C","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","M-TH 1100-1230(ONSITE)","CTC 107","CRUZ, PRISCILLA ANGELA T.","30","ENG","U","-2","-","S","P"
"ENE 13.05i","J","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","T-F 0800-0930(ONSITE)","CTC 107","CRUZ, PRISCILLA ANGELA T.","30","ENG","U","1","-","S","P"
"ENE 13.05i","K","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","T-F 0930-1100(ONSITE)","CTC 107","SUAREZ, CECILIA A.","30","ENG","U","-1","-","S","P"
"ENE 13.05i","M","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","T-F 1230-1400(ONSITE)","SEC-A203A","BRILLO, Kharla Mae","30","ENG","U","-2","-","S","P"
"ENE 13.05i","N","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","T-F 1400-1530(ONSITE)","BEL-312","BASADRE, Pier Angeli","30","ENG","U","4","-","S","P"
"ENE 13.05i","O","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","T-F 1530-1700(ONSITE)","BEL-313","BASADRE, Pier Angeli","30","ENG","U","11","-","S","P"
"ENE 13.05i","S","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","W 0800-1100(ONSITE)","SEC-A204A","BRILLO, Kharla Mae","30","ENG","U","0","-","S","P"
"ENE 13.05i","T","STORY AND NARRATIVE IN SCIENCE AND ENGINEERING","3","W 1200-1500(ONSITE)","SEC-A203A","BRILLO, Kharla Mae","30","ENG","U","-3","-","S","P"
"ENE 13.06i","J","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 0800-0930(ONSITE)","CTC 302","GUEVARRA, ALONA U.","30","ENG","U","-1","-","S","P"
"ENE 13.06i","K","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 0930-1100(ONSITE)","SEC-A203A","GUEVARRA, ALONA U.","30","ENG","U","-1","-","S","P"
"ENE 13.06i","K1","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 0930-1100(ONSITE)","SEC-B201A","LACSON, KATARINA A.","30","ENG","U","-1","-","S","P"
"ENE 13.06i","L","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 1100-1230(ONSITE)","SEC-B201A","LACSON, KATARINA A.","30","ENG","U","-2","-","S","P"
"ENE 13.06i","M","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 1230-1400(ONSITE)","BEL-313","SERRANO, VINCENZ C.","30","ENG","U","-3","-","S","P"
"ENE 13.06i","N","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 1400-1530(ONSITE)","BEL-311","GUEVARRA, ALONA U.","30","ENG","U","-1","-","S","P"
"ENE 13.06i","O","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 1530-1700(ONSITE)","BEL-311","SERRANO, VINCENZ C.","30","ENG","U","-1","-","S","P"
"ENE 13.06i","O1","STORY AND NARRATIVE IN THE SOCIAL SCIENCES","3","T-F 1530-1700(ONSITE)","SEC-A203A","LACSON, KATARINA A.","30","ENG","U","-3","-","S","P"
