"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"DIRR 201","Q","THEORY AND PRACTICE OF DISASTER RISK AND RESILIENCE","3","T 1800-2100(FULLY ONLINE)","TBA","GUZMAN, MA AILEEN LEAH G.","9","ENG","G","2","-","S","P"
"DIRR 202","V","HAZARD ASSESSMENT","3","W 1700-2000(FULLY ONLINE)","TBA","MAQUILING, JOEL T.","5","ENG","G","0","-","S","P"
"DIRR 203","AC","RISK AND RESILIENCE:  FOCUS ON CLIMATE DISASTERS, DEVELOPMENT AND HUMANITARIAN ACTION","3","TH 1700-2000(ONSITE)","TBA","CANILAO, MICHAEL ARMAND P., PORIO, EMMA E.","3","ENG","G","0","*ROOM: ARETE SANDBOX","S","P"
"DIRR 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","PORIO, EMMA E.","3","ENG","G","2","-","N","N"
"DIRR 298.1","CAPS","PROJECT I","3","SAT 0900-1200(ONSITE)","TBA","PORIO, EMMA E.","3","ENG","G","1","*ROOM: ARETE SANDBOX","N","N"
"DIRR 298.19","Z1","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"DIRR 298.2","CAPS","PROJECT II","6","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"DIRR 298.44","Z1","CAPSTONE PROJECT FINAL ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"DIRR 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"DIRR 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"DIRR 299.5","SUB-A","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"DIRR 299.6","SUB-B","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"DIRR 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ENVI 10.01","B","INTRODUCTION TO ENVIRONMENTAL SCIENCE, LECTURE","3","M-TH 0930-1100(ONSITE)","SEC-A205A","OLIVA, MYLENE D.","30","ENG","U","-1","ALL SLOTS FOR BS ES MAJORS.","S","P"
