"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"EURO 21","B","CROSS CULTURAL COMMUNICATION","3","M-TH 0930-1100(ONSITE)","K-204","ENVERGA III, MANUEL R.","25","ENG","U","-2","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 22","W","POLICIES AND INSTITUTIONS OF THE EUROPEAN UNION","3","SAT 0800-1100(ONSITE)","K-204","CABALLERO, KRITZMAN G.","25","ENG","U","8","*Prerequisite: EURO 20","S","P"
"EURO 23i","E","INTERDISCIPLINARY ELECTIVE: EUROPE, GLOBALIZATION AND POPULAR CULTURE","3","M-TH 1400-1530(ONSITE)","K-204","ENVERGA III, MANUEL R.","30","ENG","U","-2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 111","G","INTRODUCTION TO LAW AND LEGAL CONCEPTS OF THE EUROPEAN UNION","3","M-TH 1700-1830(ONSITE)","B-104","CRUZ, JAN FREDRICK P.","8","ENG","U","0","*Prerequisite: EURO 20","S","P"
"EURO 114","D","EUROPEAN DIPLOMATIC PRACTICE","3","M-TH 1230-1400(ONSITE)","K-204","ENVERGA III, MANUEL R.","25","ENG","U","-2","4 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 115","O","EXTERNAL RELATIONS OF THE EUROPEAN UNION","3","T-F 1530-1700(ONSITE)","K-204","TIONLOC, JAVIER RICO ISRAEL R.","25","ENG","U","6","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 120","Y","BUSINESS STRATEGIES AND EXPERIENCES IN EUROPE","3","T-F 1830-2000(ONSITE)","G-305","YUMUL, John Paul Dominic","15","ENG","U","2","*Open to non-EURO majors","S","P"
"EURO 121","F","EUROPE AND INTERNATIONAL FINANCE","3","M-TH 1530-1700(ONSITE)","K-204","CRUZ, IRWIN A.","15","ENG","U","2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 122","G","EUROPE AND INTERNATIONAL ECONOMIC RELATIONS","3","M-TH 1700-1830(ONSITE)","G-303","CRUZ, IRWIN A.","15","ENG","U","3","3 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 181.1i","L","INTERDISCIPLINARY ELECTIVE: PERSPECTIVES ON MONARCHY","3","T-F 1100-1230(ONSITE)","K-204","TIONLOC, JAVIER RICO ISRAEL R.","30","ENG","U","-2","-","S","P"
"EURO 181.1i","M","INTERDISCIPLINARY ELECTIVE: PERSPECTIVES ON MONARCHY","3","T-F 1230-1400(ONSITE)","K-204","TIONLOC, JAVIER RICO ISRAEL R.","30","ENG","U","1","-","S","P"
"EURO 182.8i","S","REMEMBERING AND FORGETTING: HOW MEMORY BECOMES EUROPEAN HERITAGE","3","W 0900-1200(ONSITE)","K-204","SIVA, Ma Vhiktoria","30","ENG","U","2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 185.7i","W","INTERDISCIPLINARY ELECTIVE: EUROPEAN UNION SPACE POLICY AND INTERNATIONAL COOPERATION","3","SAT 1200-1500(ONSITE)","G-305","CABALLERO, KRITZMAN G.","30","ENG","U","15","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"EURO 192","T","RESEARCH METHODS","3","W 1200-1500(ONSITE)","K-204","ENVERGA III, MANUEL R.","32","ENG","U","1","-","S","P"
"EURO 217","YYY","CONTEMPORARY DEVELOPMENT ISSUES AFFECTING EU AND ASEAN","3","TBA(~)","G-303","CABALLERO, KRITZMAN G.","15","ENG","G","-1","-","S","P"
"EURO 292","U","RESEARCH METHODS AND DESIGNS IN REGIONAL STUDIES","3","W 1500-1800(ONSITE)","EU DEPT","ENVERGA III, MANUEL R.","3","ENG","G","1","-","S","P"
"EURO 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"EURO 298.19","Z1","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO  298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 298","CAPS","RESEARCH PAPER","3","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.19","PDEF","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","5","ENG","G","5","-","N","N"
"EURO 299.2","THES/DISS","THESIS II","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"EURO 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
