"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ARTM 101.03","K","ART HISTORY: CLASSICAL ANTIQUITY TO 19TH CENTURY","3","T-F 0930-1100(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","VAN DER WALL, Hidde Tjakke","18","ENG","U","4","-","S","P"
"ARTM 101.05","K","ART HISTORY: 20TH CENTURY TO GLOBAL CONTEMPORARY ART","3","T-F 0930-1100(ONSITE)","NATIONAL BOOKSTORE ATELIER","HIRANO, Mayumi","18","ENG","U","11","-","S","P"
"ARTM 102.03","B","PHILIPPINE ART: SURVEY OF PHILIPPINE VISUAL ARTS 1","3","M-TH 0930-1100(ONSITE)","NATIONAL BOOKSTORE ATELIER","JAVELLANA, SJ, FR. RENE B.","18","ENG","U","9","-","S","P"
"ARTM 102.04","F","PHILIPPINE ART: SURVEY OF PHILIPPINE VISUAL ARTS 2","3","M-TH 1530-1700(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","DAOANA, CARLOMAR A.","18","ENG","U","11","-","S","P"
"ARTM 103.03","U","ART MANAGEMENT: COLLECTIONS MANAGEMENT","3","W 1500-1800(ONSITE)","ART GAL","HERRERA, MARIA VICTORIA T.","18","ENG","U","5","-","S","P"
"ARTM 103.05","M","ART MANAGEMENT: ISSUES IN CURATORIAL PRACTICE","3","T-F 1230-1400(ONSITE)","FA DEPT","HIRANO, Mayumi","18","ENG","U","14","-","S","P"
"ARTM 199.1","ZZZ1","ART MANAGEMENT THESIS: SENIOR PROJECT 1","3","TUTORIAL 0000-0000(ONSITE)","FA DEPT","MA-ALAT, Pauline Bianca","5","ENG","U","1","-","S","P"
"ARTS 103","A","ART AND THE COMMUNITY","3","M-TH 0800-0930(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","DAGMANG, Nathalie","25","ENG","U","0","-","S","P"
"ARTS 103","C","ART AND THE COMMUNITY","3","M-TH 1100-1230(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","DAGMANG, Nathalie","25","ENG","U","-3","-","S","P"
"ARTS 103","K","ART AND THE COMMUNITY","3","T-F 0930-1100(ONSITE)","INNOVATION 202","DY, S.J., JASON K.","18","ENG","U","1","-","S","P"
"ARTS 103","K1","ART AND THE COMMUNITY","3","T-F 0930-1100(ONSITE)","INNOVATION 201","MA-ALAT, Pauline Bianca","25","ENG","U","0","-","S","P"
"ARTS 120","K","DIGITAL DESIGN STUDIO","3","T-F 0930-1100(ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","CRUZ, Mary Guadalupe Louis","16","ENG","U","-3","-","S","P"
"ARTS 120","M","DIGITAL DESIGN STUDIO","3","T-F 1230-1400(ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","CRUZ, Mary Guadalupe Louis","16","ENG","U","-3","-","S","P"
"ARTS 120","V1","DIGITAL DESIGN STUDIO","3","W 1800-2100(ONSITE)","YAO SIU LUN MAC LAB","TAYAO, Naomi","16","ENG","U","1","-","S","P"
"ARTS 120","X","DIGITAL DESIGN STUDIO","3","SAT 1200-1500(ONSITE)","YAO SIU LUN MAC LAB","ROBLES, Mia Noelle","16","ENG","U","-2","-","S","P"
"ARTS 120","Y","DIGITAL DESIGN STUDIO","3","SAT 1500-1800(ONSITE)","YAO SIU LUN MAC LAB","ROBLES, Mia Noelle","16","ENG","U","0","-","S","P"
"ARTS 180.03i","A","ART AS INQUIRY: ART OF THE CROWD","3","M-TH 0800-0930(ONSITE)","NATIONAL BOOKSTORE ATELIER","DAOANA, CARLOMAR A.","25","ENG","U","3","-","S","P"
"ARTS 180.03i","S","ART AS INQUIRY: ART OF THE CROWD","3","W 0900-1200(ONSITE)","INNOVATION 201","VAN DER WALL, Hidde Tjakke","25","ENG","U","0","-","S","P"
"ARTS 180.03i","U","ART AS INQUIRY: ART OF THE CROWD","3","W 1500-1800(ONSITE)","INNOVATION 201","VAN DER WALL, Hidde Tjakke","25","ENG","U","0","-","S","P"
"ARTS 180.06","M","ART AS INQUIRY: ART OF PLACE","3","T-F 1230-1400(ONSITE)","NATIONAL BOOKSTORE ATELIER","MA-ALAT, Pauline Bianca","25","ENG","U","-1","-","S","P"
"ARTS 180.08i","C","ART AS INQUIRY: ART OF THE DOMESTIC","3","M-TH 1100-1230(ONSITE)","INNOVATION 202","DAOANA, CARLOMAR A.","25","ENG","U","-1","-","S","P"
"ARTS 180.08i","D","ART AS INQUIRY: ART OF THE DOMESTIC","3","M-TH 1230-1400(ONSITE)","INNOVATION 201","DAOANA, CARLOMAR A.","25","ENG","U","-1","-","S","P"
"ARTS 180.10","E","ART AS INQUIRY: ART OF GESTURE","3","M-TH 1400-1530(ONSITE)","JOSEPH AND GEMMA TANBUNTIONG STUDIO","CABOCHAN, LAURA CORAZON A.","25","ENG","U","4","-","S","P"
"ARTS 181","T","EXPERIMENTAL COLLABORATION IN THE ARTS","3","W 1200-1500(ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","25","ENG","U","5","-","S","P"
"CRWR 100","C","PHILIPPINE LITERATURE AND ITS PRACTICE","3","M-TH 1100-1230(ONSITE)","YAO SIU LUN MAC LAB","AQUINO, Kaisa","16","ENG","U","5","-","S","P"
"CRWR 100","F","PHILIPPINE LITERATURE AND ITS PRACTICE","3","M-TH 1530-1700(ONSITE)","INNOVATION 201","AQUINO, Kaisa","16","ENG","U","2","-","S","P"
"CRWR 101.05","T","WRITING FICTION: WORKSHOP 3","3","W 1200-1500(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","DIAZ, GLENN L.","14","ENG","U","8","-","S","P"
"CRWR 101.05","T1","WRITING FICTION: WORKSHOP 3","3","W 1200-1500(ONSITE)","INNOVATION 202","BORJA, Maria Vida Frances, JAVIER, CARLJOE A.","14","ENG","U","8","-","S","P"
"CRWR 102.03","M","WRITING NONFICTION: WORKSHOP 1","3","T-F 1230-1400(ONSITE)","INNOVATION 201","VILLANUEVA, MARTIN V.","16","ENG","U","2","-","S","P"
"CRWR 102.03","N","WRITING NONFICTION: WORKSHOP 1","3","T-F 1400-1530(ONSITE)","INNOVATION 202","VILLANUEVA, MARTIN V.","16","ENG","U","2","-","S","P"
"CRWR 102.05","O","WRITING NONFICTION: WORKSHOP 3","3","T-F 1530-1700(ONSITE)","WILLIAM AND CLAIR TAN UNTIONG STUDIO","VILLANUEVA, MARTIN V.","14","ENG","U","7","-","S","P"
"CRWR 103.03","M","WRITING POETRY: WORKSHOP 1","3","T-F 1230-1400(ONSITE)","INNOVATION 202","PASTRANA, ALLAN J.","16","ENG","U","-2","-","S","P"
"CRWR 103.03","N","WRITING POETRY: WORKSHOP 1","3","T-F 1400-1530(ONSITE)","INNOVATION 201","PASTRANA, ALLAN J.","16","ENG","U","-2","-","S","P"
"CRWR 103.04","H1","WRITING POETRY: WORKSHOP 2","3","TH 1700-2000(ONSITE)","INNOVATION 202","VILLANUEVA, MARTIN V.","4","ENG","U","0","-","S","P"
"CRWR 103.05","H1","WRITING POETRY: WORKSHOP 3","3","TH 1700-2000(ONSITE)","INNOVATION 202","VILLANUEVA, MARTIN V.","12","ENG","U","8","-","S","P"
"CRWR 104.03","S","PLAYWRITING: WORKSHOP 1","3","W 0900-1200(ONSITE)","WILLIAM AND CLAIR TAN UNTIONG STUDIO","MAS, GLENN S.","16","ENG","U","0","-","S","P"
"CRWR 104.03","U","PLAYWRITING: WORKSHOP 1","3","W 1500-1800(ONSITE)","WILLIAM AND CLAIR TAN UNTIONG STUDIO","MAS, GLENN S.","16","ENG","U","-1","-","S","P"
"CRWR 104.04","E","PLAYWRITING: WORKSHOP 2","3","M-TH 1400-1530(ONSITE)","INNOVATION 202","MAS, GLENN S.","4","ENG","U","1","-","S","P"
"CRWR 104.05","E","PLAYWRITING: WORKSHOP 3","3","M-TH 1400-1530(ONSITE)","INNOVATION 202","MAS, GLENN S.","12","ENG","U","7","-","S","P"
"CRWR 131","V","WRITING FOR COMICS","3","W 1800-2100(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","BAUTISTA, Jaime Maria","14","ENG","U","0","-","S","P"
"CRWR 199.1","C","CREATIVE WRITING THESIS: SENIOR PROJECT 1","3","M-TH 1100-1230(ONSITE)","WILLIAM AND CLAIR TAN UNTIONG STUDIO","MAS, GLENN S.","6","ENG","U","0","-","S","P"
"CRWR 199.1","U","CREATIVE WRITING THESIS: SENIOR PROJECT 1","3","W 1500-1800(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","AQUINO, Kaisa","25","ENG","U","18","-","S","P"
"CRWR 199.1","U1","CREATIVE WRITING THESIS: SENIOR PROJECT 1","3","W 1500-1800(ONSITE)","INNOVATION 201","VILLANUEVA, MARTIN V.","12","ENG","U","-2","-","S","P"
"CRWR 199.1","U2","CREATIVE WRITING THESIS: SENIOR PROJECT 1","3","W 1500-1800(ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","BORJA, Maria Vida Frances","12","ENG","U","4","-","S","P"
"CRWR 199.2","ZZZ","CREATIVE WRITING THESIS: SENIOR PROJECT 2","3","TBA(ONSITE)","FA DEPT","BAUTISTA, Jaime Maria","1","ENG","U","0","-","S","P"
"IDES 101.03","G2","DESIGN THEORY AND HISTORY: INFORMATION ARCHITECTURE","3","M 1800-2100(ONSITE)","YAO SIU LUN MAC LAB","MARTIR, John Noel","22","ENG","U","-3","-","S","P"
"IDES 101.03","H2","DESIGN THEORY AND HISTORY: INFORMATION ARCHITECTURE","3","TH 1800-2100(ONSITE)","YAO SIU LUN MAC LAB","MARTIR, John Noel","22","ENG","U","-1","-","S","P"
"IDES 101.03","T","DESIGN THEORY AND HISTORY: INFORMATION ARCHITECTURE","3","W 1200-1500(ONSITE)","SEC-A123A","BRIOSO, Gabriel Luis Jesus","22","ENG","U","-5","-","S","P"
"IDES 101.03","V","DESIGN THEORY AND HISTORY: INFORMATION ARCHITECTURE","3","W 1800-2100(ONSITE)","TBA","BRIOSO, Gabriel Luis Jesus","22","ENG","U","0","*ROOM; Innovation 202","S","P"
"IDES 101.05","B","DESIGN THEORY AND HISTORY: HISTORY OF GRAPHIC DESIGN","3","M-TH 0930-1100(ONSITE)","YAO SIU LUN MAC LAB","VELASCO-WANSOM, MOLINIA ANNE T.","20","ENG","U","-1","-","S","P"
"IDES 101.05","D","DESIGN THEORY AND HISTORY: HISTORY OF GRAPHIC DESIGN","3","M-TH 1230-1400(ONSITE)","YAO SIU LUN MAC LAB","VELASCO-WANSOM, MOLINIA ANNE T.","20","ENG","U","-1","-","S","P"
"IDES 101.05","T","DESIGN THEORY AND HISTORY: HISTORY OF GRAPHIC DESIGN","3","W 1200-1500(ONSITE)","INNOVATION 201","DE GUZMAN, Myra Rosalea Angeles","20","ENG","U","-1","-","S","P"
"IDES 101.05","V","DESIGN THEORY AND HISTORY: HISTORY OF GRAPHIC DESIGN","3","W 1800-2100(ONSITE)","NATIONAL BOOKSTORE ATELIER","DE GUZMAN, Myra Rosalea Angeles","20","ENG","U","7","-","S","P"
"IDES 101.06","J","DESIGN THEORY AND HISTORY: PHILIPPINE DESIGN","3","T-F 0800-0930(ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","20","ENG","U","0","-","S","P"
"IDES 101.06","L","DESIGN THEORY AND HISTORY: PHILIPPINE DESIGN","3","T-F 1100-1230(ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","20","ENG","U","-2","-","S","P"
"IDES 101.06","S","DESIGN THEORY AND HISTORY: PHILIPPINE DESIGN","3","W 0900-1200(ONSITE)","NATIONAL BOOKSTORE ATELIER","MA-ALAT, Pauline Bianca","13","ENG","U","-2","-","S","P"
"IDES 101.06","U","DESIGN THEORY AND HISTORY: PHILIPPINE DESIGN","3","W 1500-1800(ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","14","ENG","U","-1","-","S","P"
"IDES 102.06","T","DESIGN PROCEDURES: INTERACTION DESIGN","3","W 1200-1500(ONSITE)","YAO SIU LUN MAC LAB","YAP, ANALYN L.","22","ENG","U","0","-","S","P"
"IDES 102.06","V","DESIGN PROCEDURES: INTERACTION DESIGN","3","W 1800-2100(ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","YAP, ANALYN L.","22","ENG","U","7","-","S","P"
"IDES 102.07","T","DESIGN PROCEDURES: CHARACTER DESIGN","3","W 1200-1500(ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","CALARA, RAZELLE D.","22","ENG","U","4","-","S","P"
"IDES 102.08","M","DESIGN PROCEDURES: PHOTOGRAPHY FOR DESIGNERS","3","T-F 1230-1400(ONSITE)","YAO SIU LUN MAC LAB","MONSOD, TRACY ANN LIBERTY A.","22","ENG","U","1","-","S","P"
"IDES 102.08","O","DESIGN PROCEDURES: PHOTOGRAPHY FOR DESIGNERS","3","T-F 1530-1700(ONSITE)","YAO SIU LUN MAC LAB","MONSOD, TRACY ANN LIBERTY A.","22","ENG","U","0","-","S","P"
"IDES 103.03","L","DESIGN PRACTICE: GRAPHIC DESIGN PRACTICE","3","T-F 1100-1230(ONSITE)","YAO SIU LUN MAC LAB","INDIAS, JOI MARIE ANGELICA M.","20","ENG","U","4","-","S","P"
"IDES 103.03","N","DESIGN PRACTICE: GRAPHIC DESIGN PRACTICE","3","T-F 1400-1530(ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","BUENO, Bianca Stella","20","ENG","U","0","-","S","P"
"IDES 103.03","N1","DESIGN PRACTICE: GRAPHIC DESIGN PRACTICE","3","M-TH 1400-1530(ONSITE)","YAO SIU LUN MAC LAB","INDIAS, JOI MARIE ANGELICA M.","20","ENG","U","1","-","S","P"
"IDES 103.03","O","DESIGN PRACTICE: GRAPHIC DESIGN PRACTICE","3","T-F 1530-1700(ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","BUENO, Bianca Stella","20","ENG","U","2","-","S","P"
