"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ACCT 113","A","FUNDAMENTALS OF ACCOUNTING","3","M-TH 0800-0930(ONSITE)","CTC 307","SANDOVAL, DENNIS A.","35","ENG","U","13","-","S","P"
"ACCT 113","J","FUNDAMENTALS OF ACCOUNTING","3","T-F 0800-0930(ONSITE)","SOM 102","SANDOVAL, DENNIS A.","35","ENG","U","6","-","S","P"
"ACCT 113","K","FUNDAMENTALS OF ACCOUNTING","3","T-F 0930-1100(ONSITE)","SOM 102","SANDOVAL, DENNIS A.","35","ENG","U","-2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"ACCT 113","W","FUNDAMENTALS OF ACCOUNTING","3","SAT 0900-1200(ONSITE)","CTC 307","MONTEJO, KRISTIAN EARL A.","35","ENG","U","7","-","S","P"
"ACCT 113","X","FUNDAMENTALS OF ACCOUNTING","3","SAT 1200-1500(ONSITE)","CTC 307","MONTEJO, KRISTIAN EARL A.","35","ENG","U","-5","1 SLOT(S) FOR MSSM MAJORS.","S","P"
"ACCT 115","A","FINANCIAL ACCOUNTING","3","M-TH 0800-0930(ONSITE)","CTC 408","LOPEZ, Neil Jason","31","ENG","U","5","-","S","P"
"ACCT 115","B","FINANCIAL ACCOUNTING","3","M-TH 0930-1100(ONSITE)","CTC 307","SO CHAN, Katrina Mae","35","ENG","U","-2","-","S","P"
"ACCT 115","C","FINANCIAL ACCOUNTING","3","M-TH 1100-1230(ONSITE)","CTC 307","SO CHAN, Katrina Mae","35","ENG","U","0","-","S","P"
"ACCT 115","D","FINANCIAL ACCOUNTING","3","M-TH 1230-1400(ONSITE)","CTC 308","LOPEZ, Neil Jason","34","ENG","U","0","-","S","P"
"ACCT 115","D1","FINANCIAL ACCOUNTING","3","M-TH 1230-1400(ONSITE)","CTC 406","BORJA, Jillina","31","ENG","U","0","-","S","P"
"ACCT 115","E","FINANCIAL ACCOUNTING","3","M-TH 1400-1530(ONSITE)","CTC 308","LOPEZ, Neil Jason","34","ENG","U","0","-","S","P"
"ACCT 115","E1","FINANCIAL ACCOUNTING","3","M-TH 1400-1530(ONSITE)","CTC 307","LOPO, John Michael Angelo","34","ENG","U","-3","-","S","P"
"ACCT 115","E2","FINANCIAL ACCOUNTING","3","M-TH 1400-1530(ONSITE)","CTC 406","BORJA, Jillina","35","ENG","U","-1","-","S","P"
"ACCT 115","F","FINANCIAL ACCOUNTING","3","M-TH 1530-1700(ONSITE)","CTC 307","LOPO, John Michael Angelo","34","ENG","U","1","-","S","P"
"ACCT 115","J","FINANCIAL ACCOUNTING","3","T-F 0800-0930(ONSITE)","CTC 307","DUHAYLONGSOD, Jose Maria","33","ENG","U","3","-","S","P"
"ACCT 115","J1","FINANCIAL ACCOUNTING","3","T-F 0800-0930(ONSITE)","CTC 406","MENDOZA, Christian","31","ENG","U","8","-","S","P"
"ACCT 115","K","FINANCIAL ACCOUNTING","3","T-F 0930-1100(ONSITE)","CTC 406","MENDOZA, Christian","31","ENG","U","10","-","S","P"
"ACCT 115","K1","FINANCIAL ACCOUNTING","3","T-F 0930-1100(ONSITE)","CTC 307","DUHAYLONGSOD, Jose Maria","33","ENG","U","0","-","S","P"
"ACCT 115","L","FINANCIAL ACCOUNTING","3","T-F 1100-1230(ONSITE)","CTC 406","MENDOZA, Christian","31","ENG","U","2","-","S","P"
"ACCT 115","M","FINANCIAL ACCOUNTING","3","T-F 1230-1400(ONSITE)","CTC 307","DUHAYLONGSOD, Jose Maria","33","ENG","U","1","-","S","P"
"ACCT 115","N","FINANCIAL ACCOUNTING","3","T-F 1400-1530(ONSITE)","CTC 307","DUHAYLONGSOD, Jose Maria","33","ENG","U","-1","-","S","P"
"ACCT 115","S","FINANCIAL ACCOUNTING","3","W 0900-1200(ONSITE)","CTC 308","CONCEPCION, Heindritz","31","ENG","U","-1","-","S","P"
"ACCT 115","S1","FINANCIAL ACCOUNTING","3","W 0900-1200(ONSITE)","CTC 307","ONG, JANICA MARIE T.","31","ENG","U","-1","-","S","P"
"ACCT 115","T","FINANCIAL ACCOUNTING","3","W 1200-1500(ONSITE)","CTC 308","TORRES, Emmanuel","31","ENG","U","2","-","S","P"
"ACCT 115","U","FINANCIAL ACCOUNTING","3","W 1500-1800(ONSITE)","CTC 307","ONG, JANICA MARIE T.","31","ENG","U","1","-","S","P"
"ACCT 115","U1","FINANCIAL ACCOUNTING","3","W 1500-1800(ONSITE)","CTC 308","TORRES, Emmanuel","31","ENG","U","1","-","S","P"
"ACCT 115","W","FINANCIAL ACCOUNTING","3","SAT 0900-1200(ONSITE)","CTC 308","CONCEPCION, Heindritz","31","ENG","U","6","-","S","P"
"ACCT 115","X","FINANCIAL ACCOUNTING","3","SAT 1200-1500(ONSITE)","CTC 308","CONCEPCION, Heindritz","31","ENG","U","2","-","S","P"
"ACCT 122","H","COST ACCOUNTING","3","M-TH 1830-2000(ONSITE)","CTC 307","NINI, Fidel Rico","36","ENG","U","-1","-","S","P"
"ACCT 122","Q","COST ACCOUNTING","3","T-F 1830-2000(ONSITE)","CTC 307","NINI, Fidel Rico","36","ENG","U","10","-","S","P"
"ACCT 180","Q","SPECIAL TOPICS IN ACCOUNTING","3","T-F 1830-2000(ONSITE)","SOM 211","SEVIDAL, ALFONSO MIGUEL N.","25","ENG","U","2","*For competition participants only","S","P"
"ACCT 190","X","SEMINAR ACCOUNTING","3","SAT 1200-1500(ONSITE)","SOM 210","SORIANO, ENRIQUE JAIME S.","25","ENG","U","22","*For competition participants only","S","P"
"FINN 111","X","FUNDAMENTALS OF FINANCE","3","SAT 1200-1500(ONSITE)","CTC 406","FERNANDEZ, Ruth","30","ENG","U","6","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 111","Y","FUNDAMENTALS OF FINANCE","3","SAT 1500-1800(ONSITE)","CTC 406","FERNANDEZ, Ruth","30","ENG","U","11","7 SLOT(S) FOR MSSM MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 113","B","PRINCIPLES OF FINANCE","3","M-TH 0930-1100(ONSITE)","SOM 102","CASTRO, Cee Jhay","35","ENG","U","-4","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 113","C","PRINCIPLES OF FINANCE","3","M-TH 1100-1230(ONSITE)","SOM 102","CASTRO, Cee Jhay","35","ENG","U","-4","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 113","G1","PRINCIPLES OF FINANCE","3","M 1700-2000(ONSITE)","CTC 308","PARLAN, ALICE ANN M.","36","ENG","U","-3","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 113","H1","PRINCIPLES OF FINANCE","3","TH 1700-2000(ONSITE)","CTC 308","PARLAN, ALICE ANN M.","36","ENG","U","4","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 113","V","PRINCIPLES OF FINANCE","3","W 1800-2100(ONSITE)","CTC 308","PARLAN, ALICE ANN M.","36","ENG","U","9","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 117","F","ENTREPRENEURIAL FINANCE","3","M-TH 1530-1700(ONSITE)","CTC 406","GARCIA, Igor Expeditus","32","ENG","U","0","-","S","P"
"FINN 117","J","ENTREPRENEURIAL FINANCE","3","T-F 0800-0930(ONSITE)","CTC 308","YU, SHERWIN G.","32","ENG","U","13","-","S","P"
"FINN 117","K","ENTREPRENEURIAL FINANCE","3","T-F 0930-1100(ONSITE)","CTC 308","YU, SHERWIN G.","32","ENG","U","0","-","S","P"
"FINN 117","Q","ENTREPRENEURIAL FINANCE","3","F 1830-2130(ONSITE)","CTC 308","ONG, GIOVANNI CARLO II N.","25","ENG","U","2","-","S","P"
"FINN 117","U","ENTREPRENEURIAL FINANCE","3","W 1500-1800(ONSITE)","CTC 406","GARCIA, Igor Expeditus","32","ENG","U","-1","-","S","P"
"FINN 117","V","ENTREPRENEURIAL FINANCE","3","W 1800-2100(ONSITE)","CTC 406","GARCIA, Igor Expeditus","32","ENG","U","-3","-","S","P"
"FINN 117","W","ENTREPRENEURIAL FINANCE","3","SAT 0900-1200(ONSITE)","CTC 406","TAN, ELDRIDGE MYLES L.","32","ENG","U","0","-","S","P"
"FINN 117","X","ENTREPRENEURIAL FINANCE","3","TH 1700-2000(ONSITE)","SEC-A205A","GARCIA, Igor Expeditus","30","ENG","U","0","-","S","P"
"FINN 120","Q","FINANCIAL STATEMENT AND CREDIT ANALYSIS","3","T 1830-2130(ONSITE)","CTC 406","LAGUA, BENEL P.","25","ENG","U","15","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 121","B","INVESTMENT MANAGEMENT","3","M-TH 0930-1100(ONSITE)","CTC 308","VELASQUEZ, Gerundio Jr.","25","ENG","U","-2","-","S","P"
"FINN 121","Y","INVESTMENT MANAGEMENT","3","SAT 1500-1800(ONSITE)","CTC 308","BAYOT, ROBERTO B.","25","ENG","U","12","ALL SLOTS FOR BSM AMF MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 123","W","INVESTMENT ANALYSIS","3","SAT 0900-1200(ONSITE)","SOM 102","TENDERO, MIKHAIL G.","25","ENG","U","16","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 124","V","EQUITY INVESTMENT ANALYSIS","3","W 1800-2100(ONSITE)","SOM 102","CHAN, JOHN HARLEY NINO T.","25","ENG","U","4","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"FINN 150","G1","ADVANCED CORPORATE FINANCE","3","M 1700-2000(ONSITE)","SOM 102","SATINITIGAN, Karl Vendell","25","ENG","U","8","ALL SLOTS FOR BS MGT-H MAJORS.","S","P"
"FINN 180.03","X","SPECIAL TOPICS IN FINANCE:  PERSONAL FINANCE","3","SAT 1200-1500(ONSITE)","G-303","CASTRO, Cee Jhay","25","ENG","U","15","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
