"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"FILI 11.1","E","MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS)","3","M-TH 1400-1530(ONSITE)","SOM 210","ANAYAN, RAM PAULO A.","30","ENG","U","5","-","S","P"
"FILI 11.1","K","MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS)","3","T-F 0930-1100(ONSITE)","SEC-A118A","ANAYAN, RAM PAULO A.","30","ENG","U","10","-","S","P"
"FILI 11.1","L","MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS)","3","T-F 1100-1230(ONSITE)","SEC-A124A","ANAYAN, RAM PAULO A.","30","ENG","U","12","-","S","P"
"FILI 11.1","N","MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS)","3","T-F 1400-1530(ONSITE)","B-206","ANAYAN, RAM PAULO A.","30","ENG","U","15","-","S","P"
"FILI 11.1","O","MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS)","3","T-F 1530-1700(ONSITE)","B-307","ANAYAN, RAM PAULO A.","30","ENG","U","6","-","S","P"
"FILI 11.1","O1","MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS)","3","T-F 1530-1700; W 1100-1230(ONSITE)","B-308; F-304","EMPAYNADO, JOMAR I.","22","ENG","U","0","-","S","P"
"FILI 11.1","P","MALAYUNING KOMUNIKASYON PARA SA MGA DI-KATUTUBONG TAGAPAGSALITA NG FILIPINO (MALAYUNING KOMUNIKASYON FOR NON-FILIPINO SPEAKERS)","3","T-F 1700-1830(ONSITE)","SEC-A123A","ANAYAN, RAM PAULO A.","30","ENG","U","19","ALL SLOTS FOR CROSS REG-IXS MAJORS.","S","P"
"FILI 11","A1","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(ONSITE)","B-308","CLAROS, IAN HARVEY A.","30","ENG","U","0","-","S","P"
"FILI 11","A2","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(ONSITE)","B-307","DE LA CRUZ, AARON PHILIP M.","30","ENG","U","3","-","S","P"
"FILI 11","A3","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(ONSITE)","CTC 107","HERNANDEZ, Sharmaine","30","ENG","U","3","-","S","P"
"FILI 11","A4","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(ONSITE)","CTC 405","JAMENDANG, JR., YOLANDO B.","30","ENG","U","3","-","S","P"
"FILI 11","A6","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(ONSITE)","SEC-A118A","ULIT, CLAUDETTE M.","30","ENG","U","4","-","S","P"
"FILI 11","A7","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(ONSITE)","G-204","YAPAN, ALVIN B.","30","ENG","U","6","-","S","P"
"FILI 11","A8","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(ONSITE)","G-312A","CERDA, CHRISTOFFER MITCH C.","30","ENG","U","6","-","S","P"
"FILI 11","B2","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(ONSITE)","G-303","CLAROS, IAN HARVEY A.","30","ENG","U","1","-","S","P"
"FILI 11","B3","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(ONSITE)","B-308","DE LA CRUZ, AARON PHILIP M.","30","ENG","U","3","-","S","P"
"FILI 11","B4","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(ONSITE)","CTC 107","HERNANDEZ, Sharmaine","30","ENG","U","1","-","S","P"
"FILI 11","B5","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(ONSITE)","CTC 405","JAMENDANG, JR., YOLANDO B.","30","ENG","U","-2","-","S","P"
"FILI 11","B6","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(ONSITE)","SEC-A124A","LIM, MARK BENEDICT F.","30","ENG","U","2","-","S","P"
"FILI 11","B8","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(ONSITE)","SEC-A123A","ULIT, CLAUDETTE M.","30","ENG","U","1","-","S","P"
"FILI 11","B9","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(ONSITE)","B-307","YAPAN, ALVIN B.","30","ENG","U","5","-","S","P"
"FILI 11","C","MALAYUNING KOMUNIKASYON","3","M-TH 1100-1230(ONSITE)","B-308","CERDA, CHRISTOFFER MITCH C.","30","ENG","U","4","-","S","P"
"FILI 11","C1","MALAYUNING KOMUNIKASYON","3","M-TH 1100-1230(ONSITE)","B-307","FRANCISCO, CARLOTA B.","30","ENG","U","7","-","S","P"
"FILI 11","C2","MALAYUNING KOMUNIKASYON","3","M-TH 1100-1230(ONSITE)","B-206","LIM, MARK BENEDICT F.","30","ENG","U","7","-","S","P"
