"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"HISTO 11","A","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 0800-0930(ONSITE)","BEL-103C","MANAOIS, NEVILLE JAY C.","30","ENG","U","-2","-","S","P"
"HISTO 11","A1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 0800-0930(ONSITE)","BEL-208","PANTE, MICHAEL D.","30","ENG","U","0","-","S","P"
"HISTO 11","A3","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 0800-0930(ONSITE)","B-209","DOMINGO, DENZEL S.","30","ENG","U","1","-","S","P"
"HISTO 11","B","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 0930-1100(ONSITE)","BEL-103C","MANAOIS, NEVILLE JAY C.","30","ENG","U","2","-","S","P"
"HISTO 11","B1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 0930-1100(ONSITE)","SEC-C201A","OCAMPO, AMBETH R.","90","ENG","U","4","-","S","P"
"HISTO 11","B3","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 0930-1100(ONSITE)","BEL-208","ALFARO, MA. RITA LOURDES A.","30","ENG","U","2","-","S","P"
"HISTO 11","C1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1100-1230(ONSITE)","SEC-C201A","OCAMPO, AMBETH R.","90","ENG","U","8","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"HISTO 11","C2","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1100-1230(ONSITE)","BEL-209","GARCIA, LERMIE SHAYNE S.","30","ENG","U","1","-","S","P"
"HISTO 11","C3","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1100-1230(ONSITE)","BEL-208","DE CASTRO, S.J., FR. ANTONIO FRANCISCO B.","30","ENG","U","0","-","S","P"
"HISTO 11","D1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1230-1400(ONSITE)","BEL-208","PANTE, MICHAEL D.","30","ENG","U","-1","-","S","P"
"HISTO 11","D2","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1230-1400(ONSITE)","BEL-209","GARCIA, LERMIE SHAYNE S.","30","ENG","U","2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"HISTO 11","D3","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1230-1400(ONSITE)","BEL-103C","DE CASTRO, S.J., FR. ANTONIO FRANCISCO B.","30","ENG","U","0","-","S","P"
"HISTO 11","E","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1400-1530(ONSITE)","BEL-103C","MANAOIS, NEVILLE JAY C.","30","ENG","U","1","-","S","P"
"HISTO 11","E1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1400-1530(ONSITE)","BEL-208","PANTE, MICHAEL D.","30","ENG","U","2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"HISTO 11","E4","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1400-1530(ONSITE)","B-209","ALFARO, MA. RITA LOURDES A.","30","ENG","U","4","-","S","P"
"HISTO 11","F","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1530-1700(ONSITE)","BEL-103C","MANAOIS, NEVILLE JAY C.","30","ENG","U","1","-","S","P"
"HISTO 11","F1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1530-1700(ONSITE)","BEL-209","DE CASTRO, S.J., FR. ANTONIO FRANCISCO B.","30","ENG","U","2","-","S","P"
"HISTO 11","F4","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1530-1700(ONSITE)","CTC 405","CRUZ-CLAUDIO, Valerie May","30","ENG","U","-1","-","S","P"
"HISTO 11","G3","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1700-1830(ONSITE)","BEL-102","DE CASTRO, S.J., FR. ANTONIO FRANCISCO B.","30","ENG","U","0","-","S","P"
"HISTO 11","G4","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","M-TH 1700-1830(ONSITE)","BEL-213","SANTOS, FRANZ JAN S.","30","ENG","U","1","-","S","P"
"HISTO 11","J","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 0800-0930(ONSITE)","SEC-B201A","LOZADA, DAVID III O.","70","ENG","U","2","-","S","P"
"HISTO 11","K","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 0930-1100(ONSITE)","SEC-C201A","LOZADA, DAVID III O.","70","ENG","U","1","-","S","P"
"HISTO 11","L","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1100-1230(ONSITE)","BEL-209","SO, KAREN F.","30","ENG","U","0","-","S","P"
"HISTO 11","M","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1230-1400(ONSITE)","SEC-C201A","HABANA, OLIVIA ANNE M.","80","ENG","U","3","-","S","P"
"HISTO 11","M1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1230-1400(ONSITE)","BEL-208","SO, KAREN F.","30","ENG","U","1","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"HISTO 11","N","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1400-1530(ONSITE)","SEC-B201A","LOZADA, DAVID III O.","70","ENG","U","-2","-","S","P"
"HISTO 11","N1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1400-1530(ONSITE)","SEC-C201A","HABANA, OLIVIA ANNE M.","80","ENG","U","5","-","S","P"
"HISTO 11","N2","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1400-1530(ONSITE)","CTC 305","BANASIHAN, MA. ESTELA E.","30","ENG","U","1","-","S","P"
"HISTO 11","O","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1530-1700(ONSITE)","BEL-209","SO, KAREN F.","30","ENG","U","2","-","S","P"
"HISTO 11","O1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","T-F 1530-1700(ONSITE)","CTC 107","BANASIHAN, MA. ESTELA E.","30","ENG","U","0","-","S","P"
"HISTO 11","S","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","W 0900-1200(ONSITE)","BEL-209","RAMOS, John Ray","30","ENG","U","-2","5 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"HISTO 11","T1","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","W 1200-1500(ONSITE)","BEL-209","RAMOS, John Ray","30","ENG","U","1","-","S","P"
"HISTO 11","U","RIZAL AND THE EMERGENCE OF THE PHILIPPINE NATION","3","W 1500-1800(ONSITE)","BEL-209","ESTONILO, NICK JOHN F.","30","ENG","U","4","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"HISTO 12","A","READINGS IN PHILIPPINE HISTORY","3","M-TH 0800-0930(ONSITE)","BEL-209","UBALDO, ABEL A.","30","ENG","U","-1","-","S","P"
"HISTO 12","B","READINGS IN PHILIPPINE HISTORY","3","M-TH 0930-1100(ONSITE)","B-209","UBALDO, ABEL A.","30","ENG","U","2","-","S","P"
"HISTO 12","C","READINGS IN PHILIPPINE HISTORY","3","M-TH 1100-1230(ONSITE)","B-209","GEALOGO, FRANCIS A.","30","FIL","U","1","-","S","P"
"HISTO 12","C1","READINGS IN PHILIPPINE HISTORY","3","M-TH 1100-1230(ONSITE)","BEL-103C","CRUZ-CLAUDIO, Valerie May","30","ENG","U","-2","-","S","P"
"HISTO 12","D","READINGS IN PHILIPPINE HISTORY","3","M-TH 1230-1400(ONSITE)","B-209","GEALOGO, FRANCIS A.","30","FIL","U","-1","-","S","P"
"HISTO 12","F","READINGS IN PHILIPPINE HISTORY","3","M-TH 1530-1700(ONSITE)","BEL-208","UBALDO, ABEL A.","30","ENG","U","-1","-","S","P"
"HISTO 12","F1","READINGS IN PHILIPPINE HISTORY","3","M-TH 1530-1700(ONSITE)","B-209","GEALOGO, FRANCIS A.","30","FIL","U","3","-","S","P"
"HISTO 12","G","READINGS IN PHILIPPINE HISTORY","3","M-TH 1700-1830(ONSITE)","BEL-209","FERRER, MARIA ELENA F.","30","ENG","U","-1","-","S","P"
"HISTO 12","G1","READINGS IN PHILIPPINE HISTORY","3","M 1700-2000(ONSITE)","BEL-208","CABALQUINTO, Alvin","30","ENG","U","-3","-","S","P"
"HISTO 12","G3","READINGS IN PHILIPPINE HISTORY","3","M-TH 1700-1830(ONSITE)","B-209","GEALOGO, FRANCIS A.","30","FIL","U","0","-","S","P"
"HISTO 12","H","READINGS IN PHILIPPINE HISTORY","3","M-TH 1830-2000(ONSITE)","BEL-209","FERRER, MARIA ELENA F.","30","ENG","U","0","-","S","P"
"HISTO 12","H3","READINGS IN PHILIPPINE HISTORY","3","M-TH 1830-2000(ONSITE)","B-209","UBALDO, ABEL A.","30","ENG","U","0","-","S","P"
"HISTO 12","J","READINGS IN PHILIPPINE HISTORY","3","T-F 0800-0930(ONSITE)","BEL-208","DACUDAO, PATRICIA IRENE N.","30","ENG","U","-1","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"HISTO 12","J1","READINGS IN PHILIPPINE HISTORY","3","T-F 0800-0930(ONSITE)","BEL-209","MADRONA, SEVERO, JR. C.","30","ENG","U","-1","-","S","P"
"HISTO 12","J2","READINGS IN PHILIPPINE HISTORY","3","T-F 0800-0930(ONSITE)","BEL-103C","GULINAO, Marie Beatriz","30","ENG","U","-2","-","S","P"
"HISTO 12","K","READINGS IN PHILIPPINE HISTORY","3","T-F 0930-1100(ONSITE)","BEL-208","DACUDAO, PATRICIA IRENE N.","30","ENG","U","0","-","S","P"
"HISTO 12","K1","READINGS IN PHILIPPINE HISTORY","3","T-F 0930-1100(ONSITE)","BEL-209","MADRONA, SEVERO, JR. C.","30","ENG","U","-1","-","S","P"
"HISTO 12","K2","READINGS IN PHILIPPINE HISTORY","3","T-F 0930-1100(ONSITE)","B-209","LACSON, KATHERINE G.","30","ENG","U","0","-","S","P"
"HISTO 12","K3","READINGS IN PHILIPPINE HISTORY","3","T-F 0930-1100(ONSITE)","BEL-103C","GULINAO, Marie Beatriz","30","ENG","U","1","-","S","P"
"HISTO 12","L","READINGS IN PHILIPPINE HISTORY","3","T-F 1100-1230(ONSITE)","BEL-103C","MENDOZA, MEYNARDO P.","30","ENG","U","1","-","S","P"
"HISTO 12","L1","READINGS IN PHILIPPINE HISTORY","3","T-F 1100-1230(ONSITE)","BEL-208","NAZARENO, ISABEL CONSUELO A.","30","ENG","U","0","-","S","P"
"HISTO 12","L2","READINGS IN PHILIPPINE HISTORY","3","T-F 1100-1230(ONSITE)","B-209","LACSON, KATHERINE G.","30","ENG","U","1","-","S","P"
"HISTO 12","M","READINGS IN PHILIPPINE HISTORY","3","T-F 1230-1400(ONSITE)","BEL-209","DIZON, MARK ALEXANDER C.","30","ENG","U","-1","-","S","P"
"HISTO 12","M1","READINGS IN PHILIPPINE HISTORY","3","T-F 1230-1400(ONSITE)","B-209","DACUDAO, PATRICIA IRENE N.","30","ENG","U","0","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
