"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"HSCI 20","T","INTRODUCTION TO COMMUNITY HEALTH","2","W 1200-1400(ONSITE)","CTC 414","ARDA, John Rafael, MARQUEZ, NORMAN DENNIS E.","26","ENG","U","0","-","S","P"
"HSCI 20","T1","INTRODUCTION TO COMMUNITY HEALTH","2","W 1200-1400(ONSITE)","CTC 414","ARDA, John Rafael, MARQUEZ, NORMAN DENNIS E.","26","ENG","U","0","-","S","P"
"HSCI 20","U","INTRODUCTION TO COMMUNITY HEALTH","2","W 1500-1700(ONSITE)","CTC 414","MARQUEZ, NORMAN DENNIS E., PETALIO, Syra Marie Norin","27","ENG","U","3","-","S","P"
"HSCI 20","U1","INTRODUCTION TO COMMUNITY HEALTH","2","W 1500-1700(ONSITE)","CTC 414","MARQUEZ, NORMAN DENNIS E., PETALIO, Syra Marie Norin","27","ENG","U","3","-","S","P"
"HSCI 40i","D","PERSPECTIVES ON THE HUMAN LIFE CYCLE","3","M-TH 1230-1400(ONSITE)","SEC-A118A","YUMOL, Jerric Ian","35","ENG","U","12","-","S","P"
"HSCI 40i","T","PERSPECTIVES ON THE HUMAN LIFE CYCLE","3","W 1200-1400(ONSITE)","CTC 107","YUMOL, Jerric Ian","31","ENG","U","0","ALL SLOTS FOR BS HS MAJORS.","S","P"
"HSCI 51","D","INTRODUCTION TO EPIDEMIOLOGY","3","M-TH 1230-1400(ONSITE)","CTC 107","WONG, JOHN Q.","53","ENG","U","1","-","S","P"
"HSCI 51","F","INTRODUCTION TO EPIDEMIOLOGY","3","M-TH 1530-1700(ONSITE)","CTC 107","WONG, JOHN Q.","52","ENG","U","-3","-","S","P"
"HSCI 61i","E","DESIGN THINKING IN PUBLIC HEALTH","3","M-TH 1400-1530(ONSITE)","CTC 107","ESPINOSA, Christine Ingrid","31","ENG","U","0","ALL SLOTS FOR BS HS MAJORS.","S","P"
"HSCI 70i","D","INTRODUCTION TO HEALTH POLICY AND SYSTEMS RESEARCH","3","M-TH 1230-1400(ONSITE)","TBA","RODEROS, Ma. Via Jucille","62","ENG","U","-11","ALL SLOTS FOR 4TH YEAR BS HS MAJORS.","S","P"
"HSCI 70i","E","INTRODUCTION TO HEALTH POLICY AND SYSTEMS RESEARCH","3","M-TH 1400-1530(ONSITE)","TBA","RODEROS, Ma. Via Jucille","61","ENG","U","16","ALL SLOTS FOR 4TH YEAR BS HS MAJORS.","S","P"
"HSCI 80.1","LM","INTRODUCTION TO PHYSIOLOGY: REGULATION AND CONTROL","2","T 1100-1300(ONSITE)","SEC-A118A","BARTOLOME, ELINOR G.","31","ENG","U","0","-","S","P"
"HSCI 80.1","LM1","INTRODUCTION TO PHYSIOLOGY: REGULATION AND CONTROL","2","T 1100-1300(ONSITE)","CTC 107","DE LA CRUZ, MA. HENRIETTA TERESA O.","31","ENG","U","7","-","S","P"
"HSCI 80.1","LM2","INTRODUCTION TO PHYSIOLOGY: REGULATION AND CONTROL","2","T 1100-1300(ONSITE)","CTC 414","ADARLO, GENEJANE M.","31","ENG","U","0","-","S","P"
"HSCI 80.1","LM3","INTRODUCTION TO PHYSIOLOGY: REGULATION AND CONTROL","2","T 1100-1300(~)","TBA","YUMOL, Jerric Ian","31","ENG","U","0","-","S","P"
"HSCI 80.7","X","EXERCISE PHYSIOLOGY","3","SAT 1200-1500(ONSITE)","CTC 107","CAPIO, CATHERINE M.","31","ENG","U","3","ALL SLOTS FOR BS HS MAJORS.","S","P"
"HSCI 100.1","ZZZ","THE HEALTH PROFESSIONAL AS ADMINISTRATOR","1","TUTORIAL 0000-0000(ONSITE)","CTC 414","MARQUEZ, NORMAN DENNIS E.","1","ENG","U","0","-","S","P"
"HSCI 100.2","S","THE HEALTH PROFESSIONAL AS AGENT OF CHANGE","1","W 0900-1100(~)","TBA","MARQUEZ, NORMAN DENNIS E.","41","ENG","U","0","-","S","P"
"HSCI 100.2","S1","THE HEALTH PROFESSIONAL AS AGENT OF CHANGE","1","W 0900-1100(~)","TBA","MARQUEZ, NORMAN DENNIS E.","41","ENG","U","0","-","S","P"
"HSCI 100.2","S2","THE HEALTH PROFESSIONAL AS AGENT OF CHANGE","1","W 0900-1100(~)","TBA","MARQUEZ, NORMAN DENNIS E.","41","ENG","U","3","-","S","P"
"HSCI 112.1","E","FOUNDATIONS OF HEALTH PROMOTION","3","M-TH 1400-1530(ONSITE)","CTC 414","TAN, Abigail","31","ENG","U","9","ALL SLOTS FOR BS HS MAJORS.","S","P"
"HSCI 112.9i","F","APPROACHES TO HEALTH LITERACY","3","M-TH 1530-1700(ONSITE)","CTC 414","TAN, Abigail","35","ENG","U","3","-","S","P"
"HSCI 199.2","ZZZ1","SCHOLARLY WORK 1B: COLLABORATION AND DATA COLLECTION","2","TBA(FULLY ONLINE)","TBA","CABALQUINTO, Alvin","1","ENG","U","0","-","S","P"
"HSCI 199.3","W","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","BARTOLOME, ELINOR G.","13","ENG","U","0","-","S","P"
"HSCI 199.3","W1","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","DE LA CRUZ, MA. HENRIETTA TERESA O.","14","ENG","U","0","-","S","P"
"HSCI 199.3","W10","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","PEREZ-RIFAREAL, JOAN MAE G.","14","ENG","U","0","-","S","P"
"HSCI 199.3","W2","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","ADARLO, GENEJANE M., EUSTAQUIO, MICHELLE PIA D.","7","ENG","U","0","-","S","P"
"HSCI 199.3","W3","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","MODINA, CHEYENNE ARIANAERIKA M.","12","ENG","U","1","-","S","P"
"HSCI 199.3","W4","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","ADARLO, GENEJANE M.","13","ENG","U","0","-","S","P"
"HSCI 199.3","W5","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","GUEVARA, MARITA CONCEPCION C.","7","ENG","U","0","-","S","P"
"HSCI 199.3","W6","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","CAPIO, CATHERINE M.","13","ENG","U","0","-","S","P"
"HSCI 199.3","W7","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","MURGA, MARIA ELIZABETH ANGE","7","ENG","U","0","-","S","P"
"HSCI 199.3","W8","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","SIY VAN, VANESSA T.","7","ENG","U","0","-","S","P"
"HSCI 199.3","W9","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","SAT 0900-1100(ONSITE)","CTC 414","CABALQUINTO, Alvin","14","ENG","U","1","-","S","P"
