"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ArtAp 10","A","ART APPRECIATION","3","M-TH 0800-0930(ONSITE)","BEL 211","DELGADO, Gian Carlo","25","ENG","U","0","-","S","P"
"ArtAp 10","A1","ART APPRECIATION","3","M-TH 0800-0930(ONSITE)","INNOVATION 202","GAMALINDA, Carla","25","ENG","U","-2","-","S","P"
"ArtAp 10","B","ART APPRECIATION","3","M-TH 0930-1100(ONSITE)","INNOVATION 202","SANTIAGO, JOSEPH SEDFREY S.","25","ENG","U","-2","-","S","P"
"ArtAp 10","B1","ART APPRECIATION","3","M-TH 0930-1100(ONSITE)","INNOVATION 201","DY, S.J., JASON K.","25","ENG","U","-1","-","S","P"
"ArtAp 10","B3","ART APPRECIATION","3","M-TH 0930-1100(ONSITE)","WILLIAM AND CLAIR TAN UNTIONG STUDIO","YEE, CHARLES IVAN, JR.","25","ENG","U","0","-","S","P"
"ArtAp 10","B4","ART APPRECIATION","3","M-TH 0930-1100(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","SANDOVAL, Christian Hereson","25","ENG","U","0","-","S","P"
"ArtAp 10","C","ART APPRECIATION","3","M-TH 1100-1230(ONSITE)","JOSEPH AND GEMMA TANBUNTIONG STUDIO","SANTIAGO, JOSEPH SEDFREY S.","25","ENG","U","-2","-","S","P"
"ArtAp 10","C1","ART APPRECIATION","3","M-TH 1100-1230(ONSITE)","NATIONAL BOOKSTORE ATELIER","DY, S.J., JASON K.","25","ENG","U","-1","-","S","P"
"ArtAp 10","D","ART APPRECIATION","3","M-TH 1230-1400(ONSITE)","BEL-312","SANDOVAL, Christian Hereson","25","ENG","U","-2","-","S","P"
"ArtAp 10","D1","ART APPRECIATION","3","M-TH 1230-1400(ONSITE)","NATIONAL BOOKSTORE ATELIER","ABRIGO, Arielle","25","ENG","U","-1","-","S","P"
"ArtAp 10","D2","ART APPRECIATION","3","M-TH 1230-1400(ONSITE)","JOSEPH AND GEMMA TANBUNTIONG STUDIO","CABOCHAN, LAURA CORAZON A.","25","ENG","U","-1","-","S","P"
"ArtAp 10","D3","ART APPRECIATION","3","M-TH 1230-1400(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","NARRA, Roy Abrahmn","25","ENG","U","-5","-","S","P"
"ArtAp 10","D5","ART APPRECIATION","3","M-TH 1230-1400(ONSITE)","INNOVATION 202","YEE, CHARLES IVAN, JR.","25","ENG","U","-1","-","S","P"
"ArtAp 10","E","ART APPRECIATION","3","M-TH 1400-1530(ONSITE)","NATIONAL BOOKSTORE ATELIER","DY, S.J., JASON K.","25","ENG","U","-1","-","S","P"
"ArtAp 10","E1","ART APPRECIATION","3","M-TH 1400-1530(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","ABRIGO, Arielle","25","ENG","U","-1","-","S","P"
"ArtAp 10","E2","ART APPRECIATION","3","M-TH 1400-1530(ONSITE)","INNOVATION 201","GAMALINDA, Carla","25","E / F","U","2","-","S","P"
"ArtAp 10","F","ART APPRECIATION","3","M-TH 1530-1700(ONSITE)","INNOVATION 202","RESPETO, JERRY C.","25","FIL","U","0","-","S","P"
"ArtAp 10","F1","ART APPRECIATION","3","M-TH 1530-1700(ONSITE)","NATIONAL BOOKSTORE ATELIER","DAGMANG, Nathalie","25","ENG","U","-1","-","S","P"
"ArtAp 10","F2","ART APPRECIATION","3","M-TH 1530-1700(ONSITE)","JOSEPH AND GEMMA TANBUNTIONG STUDIO","ABRIGO, Arielle","25","ENG","U","0","-","S","P"
"ArtAp 10","J","ART APPRECIATION","3","T-F 0800-0930(ONSITE)","INNOVATION 201","MA-ALAT, Pauline Bianca","25","ENG","U","-2","-","S","P"
"ArtAp 10","J1","ART APPRECIATION","3","T-F 0800-0930(ONSITE)","INNOVATION 202","DE LEON, Pristine Althea","25","ENG","U","-1","-","S","P"
"ArtAp 10","K","ART APPRECIATION","3","T-F 0930-1100(ONSITE)","WILLIAM AND CLAIR TAN UNTIONG STUDIO","CARDENAS, Kathryn Marie","25","ENG","U","-2","-","S","P"
"ArtAp 10","K1","ART APPRECIATION","3","T-F 0930-1100(ONSITE)","JOSEPH AND GEMMA TANBUNTIONG STUDIO","DE LEON, Pristine Althea","25","ENG","U","-2","-","S","P"
"ArtAp 10","L","ART APPRECIATION","3","T-F 1100-1230(ONSITE)","WILLIAM AND CLAIR TAN UNTIONG STUDIO","TUVIERA, Frederick","25","ENG","U","-1","-","S","P"
"ArtAp 10","L1","ART APPRECIATION","3","T-F 1100-1230(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","PASTRANA, ALLAN J.","25","ENG","U","-1","-","S","P"
"ArtAp 10","L2","ART APPRECIATION","3","T-F 1100-1230(ONSITE)","INNOVATION 201","NARRA, Roy Abrahmn","25","ENG","U","-1","-","S","P"
"ArtAp 10","L3","ART APPRECIATION","3","T-F 1100-1230(ONSITE)","INNOVATION 202","CARDENAS, Kathryn Marie","25","ENG","U","-1","-","S","P"
"ArtAp 10","M","ART APPRECIATION","3","T-F 1230-1400(ONSITE)","BEL-312","TUVIERA, Frederick","25","ENG","U","5","-","S","P"
"ArtAp 10","M1","ART APPRECIATION","3","T-F 1230-1400(ONSITE)","G-205A","MARASIGAN, ALFRED BENEDICT C.","25","ENG","U","1","-","S","P"
"ArtAp 10","N1","ART APPRECIATION","3","T-F 1400-1530(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","MA-ALAT, Pauline Bianca","25","ENG","U","-1","-","S","P"
"ArtAp 10","O","ART APPRECIATION","3","T-F 1530-1700(ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","PASTRANA, ALLAN J.","25","ENG","U","0","-","S","P"
"ArtAp 10","O1","ART APPRECIATION","3","T-F 1530-1700(ONSITE)","INNOVATION 202","ALVERO, EUNICE ANN B.","25","ENG","U","1","-","S","P"
"ArtAp 10","O2","ART APPRECIATION","3","T-F 1530-1700(ONSITE)","INNOVATION 201","DE GUZMAN, Myra Rosalea Angeles","25","ENG","U","0","-","S","P"
"ArtAp 10","Q","ART APPRECIATION","3","T-F 1830-2000(ONSITE)","INNOVATION 201","DELGADO, Gian Carlo","25","ENG","U","-4","-","S","P"
"ArtAp 10","Q1","ART APPRECIATION","3","T-F 1830-2000(ONSITE)","INNOVATION 202","ALVERO, EUNICE ANN B.","25","ENG","U","0","-","S","P"
