"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"INTACT 11","B","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","M 1000-1100(ONSITE)","CTC 506","SANTOS, JOHN MICHAEL B.","30","ENG","U","2","-","S","P"
"INTACT 11","E","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","TH 1430-1530(ONSITE)","G-304","QUIOGUE, Mariel","30","ENG","U","1","-","S","P"
"INTACT 11","F","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","M 1530-1630(ONSITE)","B-102","QUIOGUE, Mariel","30","ENG","U","3","-","S","P"
"INTACT 11","G","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","M 1730-1830(ONSITE)","SEC-A124A","YAPTANGCO, EDWIN E.","30","ENG","U","1","-","S","P"
"INTACT 11","J","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","T 0800-0900(ONSITE)","BEL 211","QUINTANA, OLIVER JOHN C.","30","ENG","U","-1","-","S","P"
"INTACT 11","J1","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","T 0800-0900(ONSITE)","BEL-102","DENZON, Eduardo Ezekiel","30","ENG","U","3","-","S","P"
"INTACT 11","J2","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","T 0800-0900(ONSITE)","K-301","GO, Albert","30","ENG","U","-1","-","S","P"
"INTACT 11","J3","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","F 0800-0900(ONSITE)","SEC-A202A","VASQUEZ, June","30","ENG","U","-1","-","S","P"
"INTACT 11","J4","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","T 0800-0900(ONSITE)","SEC-A202A","NILLO, Lito","30","ENG","U","0","-","S","P"
"INTACT 11","J5","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","F 0800-0900(ONSITE)","G-305","SILVESTRE, Luis Jr","30","ENG","U","2","-","S","P"
"INTACT 11","L","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","T 1130-1230(ONSITE)","G-206","QUINTANA, OLIVER JOHN C.","30","ENG","U","1","-","S","P"
"INTACT 11","M","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","T 1300-1400(ONSITE)","CTC 112","MEDALLA, ALBERTO H.","30","ENG","U","2","-","S","P"
"INTACT 11","M1","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","F 1300-1400(ONSITE)","CTC 112","MEDALLA, ALBERTO H.","30","ENG","U","0","-","S","P"
"INTACT 11","N","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","F 1400-1500(ONSITE)","SOM 302","TRINIDAD, GINO ANTONIO P.","30","ENG","U","0","-","S","P"
"INTACT 11","O","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","F 1530-1630(ONSITE)","K-203","TRINIDAD, GINO ANTONIO P.","30","ENG","U","-1","-","S","P"
"INTACT 11","O1","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","T 1600-1700(ONSITE)","K-303","VIRAY, JUSTIN ANDREW M.","30","ENG","U","2","-","S","P"
"INTACT 11","O2","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 11","0","F 1530-1630(ONSITE)","CTC 406","PATRIMONIO, Jose Emmanuel","30","ENG","U","2","-","S","P"
