"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"HUMAN 141","T","INTRODUCTION TO AESTHETICS","3","W 1200-1500(ONSITE)","G-312A","LORENZANA, GEORGE PETER A.","8","ENG","U","2","-","S","P"
"HUMAN 145","O","GREAT BOOKS I: ANCIENT PERIOD","3","T-F 1530-1700(ONSITE)","CTC 205","SUNICO, RAMON VICENTE C.","5","ENG","U","0","-","S","P"
"HUMAN 147","K","GREAT BOOKS III: MODERN PERIOD","3","T-F 0930-1100(ONSITE)","F-114","CRUZ, PRISCILLA ANGELA T.","5","ENG","U","0","-","S","P"
"HUMAN 147","U","GREAT BOOKS III: MODERN PERIOD","3","W 1500-1800(ONSITE)","G-312A","BRION, ROFEL G., CARSI CRUZ, NIKKI B., SANTOS, RICA REMEDIOS B.","5","ENG","U","0","-","S","P"
"HUMAN 199.1","S","SENIOR SEMINAR","3","W 0900-1200(ONSITE)","F-114","BRION, ROFEL G., LABASTILLA, SKILTY C., LORENZANA, GEORGE PETER A., VILLANUEVA, MARTIN V.","1","E / F","U","0","-","S","P"
"HUMAN 199.1","T","SENIOR SEMINAR","3","W 1200-1500(ONSITE)","F-114","VILLANUEVA, MARTIN V.","2","ENG","U","0","-","S","P"
"HUMAN 199.1","Y","SENIOR SEMINAR","3","SAT 1500-1800(ONSITE)","CTC 205","ALFONSO, ALPHONSUS LUIGI E.","1","ENG","U","0","-","S","P"
"IDS 121.13","K","MUSIC: THE DEVELOPMENT OF MUSIC IN WESTERN SOCIETY","3","T-F 0930-1100(ONSITE)","G-312A","PASTRANA, ALLAN J.","30","ENG","U","3","-","S","P"
"IDS 121.14","S","MUSIC: RUDIMENTS OF MUSIC","3","W 0900-1200(ONSITE)","G-312A","CAYABYAB, Antonio Maria","30","ENG","U","14","-","S","P"
"IDS 121.15i","C","BASIC MUSIC RESEARCH AND CRITICISM","3","M-TH 1100-1230(ONSITE)","G-312A","DE LA CRUZ, Miguel Francisco","30","ENG","U","0","-","S","P"
"IDS 121.15i","M","BASIC MUSIC RESEARCH AND CRITICISM","3","T-F 1230-1400(ONSITE)","G-312A","QUINTANA, OLIVER JOHN C.","30","ENG","U","0","-","S","P"
"IDS 121.34","L","ASIAN MUSIC","3","T-F 1100-1230(ONSITE)","G-312A","DE LA CRUZ, Miguel Francisco","30","ENG","U","11","-","S","P"
"IDS 132.05i","H1","CULTURAL STUDIES OF CONTEMPORARY TECHNOLOGY","3","TH 1700-2000(ONSITE)","F-114","LORENZANA, GEORGE PETER A.","30","ENG","U","10","-","S","P"
"IDS 133.04i","T","IDEOLOGIES: GENDER AND SOCIETY IN THE PHILIPPINES - PERSPECTIVES, PROBLEMS, AND PROSPECTS","3","W 1200-1500(ONSITE)","CTC 205","GUEVARA, MARITA CONCEPCION C.","30","E / F","U","0","-","S","P"
"IDS 143.03","T","LITERATURE AND PHILOSOPHY: INTRODUCTION TO AESTHETICS","3","W 1200-1500(ONSITE)","G-312A","LORENZANA, GEORGE PETER A.","22","ENG","U","0","-","S","P"
"IDS 143.05i","F","LITERATURE AND PHILOSOPHY: READING FOR LIFE","3","M-TH 1530-1700(ONSITE)","CTC 205","TAN, JEAN EMILY P.","30","ENG","U","12","-","S","P"
"IDS 145","O","GREAT BOOKS I: ANCIENT PERIOD","3","T-F 1530-1700(ONSITE)","CTC 205","SUNICO, RAMON VICENTE C.","25","ENG","U","12","-","S","P"
"IDS 147","K","GREAT BOOKS III: MODERN PERIOD","3","T-F 0930-1100(ONSITE)","F-114","CRUZ, PRISCILLA ANGELA T.","25","ENG","U","0","-","S","P"
