"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CS 197B","THES1","INTEGRATIVE PROJECT","1","TBA(~)","TBA","SUGAY, JESSICA O.","1","ENG","U","0","-","S","P"
"CSCI 20","A","INTRODUCTION TO COMPUTING","3","M-TH 0800-0930(ONSITE)","F-228","BAUTISTA, Neil Daniel","30","ENG","U","-2","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS.","S","P"
"CSCI 20","C","INTRODUCTION TO COMPUTING","3","M-TH 1100-1230(ONSITE)","CTC 214","RODRIGO, MARIA MERCEDES T.","30","ENG","U","-6","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS.","S","P"
"CSCI 20","D","INTRODUCTION TO COMPUTING","3","M-TH 1230-1400(ONSITE)","F-227","RUIZ, Camille Marie","35","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS.","S","P"
"CSCI 20","E","INTRODUCTION TO COMPUTING","3","M-TH 1400-1530(ONSITE)","CTC 215","DE LA CRUZ, ROMELL IAN B.","30","ENG","U","-4","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 20","F","INTRODUCTION TO COMPUTING","3","M-TH 1530-1700(ONSITE)","CTC 215","DE LA CRUZ, ROMELL IAN B.","30","ENG","U","-4","ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 21","J","INTRODUCTION TO PROGRAMMING I","3","T-F 0800-0930(ONSITE)","F-228","AGAPITO, JENILYN L.","30","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS.","S","P"
"CSCI 21","K1","INTRODUCTION TO PROGRAMMING I","3","T-F 0930-1100(ONSITE)","F-227","AGAPITO, JENILYN L., SUGAY, JESSICA O.","35","ENG","U","-2","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 21","K2","INTRODUCTION TO PROGRAMMING I","3","T-F 0930-1100(ONSITE)","F-228","MEDALLA, ALBERTO H.","30","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS.","S","P"
"CSCI 21","N1","INTRODUCTION TO PROGRAMMING I","3","T-F 1400-1530(ONSITE)","F-227","AGAPITO, JENILYN L., SUGAY, JESSICA O.","35","ENG","U","1","ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 21","N2","INTRODUCTION TO PROGRAMMING I","3","T-F 1400-1530(ONSITE)","F-228","MEDALLA, ALBERTO H.","30","ENG","U","-4","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS.","S","P"
"CSCI 25","M","INTRODUCTION TO PROGRAMMING AND DATABASES","3","T-F 1230-1400(ONSITE)","CTC 214","DE VERA, JOSE ALFREDO III A.","30","ENG","U","0","-","S","P"
"CSCI 30","K","DATA STRUCTURES AND ALGORITHMS","3","T-F 0930-1100(ONSITE)","CTC 215","GUADALUPE, Brian Christopher","35","ENG","U","6","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 30","L","DATA STRUCTURES AND ALGORITHMS","3","T-F 1100-1230(ONSITE)","CTC 215","GUADALUPE, Brian Christopher","35","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 30","N","DATA STRUCTURES AND ALGORITHMS","3","T-F 1400-1530(ONSITE)","CTC 215","GUADALUPE, Brian Christopher","35","ENG","U","2","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 30","ZZZ","DATA STRUCTURES AND ALGORITHMS","3","TBA(~)","TBA","SUGAY, JESSICA O.","5","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 41","E","INFORMATION MANAGEMENT","3","M-TH 1400-1530(ONSITE)","CTC 214","SUGAY, JESSICA O., TAMAYO, Lenard Paulo","30","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 41","F","INFORMATION MANAGEMENT","3","M-TH 1530-1700(ONSITE)","CTC 214","SUGAY, JESSICA O., TAMAYO, Lenard Paulo","30","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR AB IS MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"CSCI 41","G","INFORMATION MANAGEMENT","3","M-TH 1700-1830(ONSITE)","CTC 214","RESTOLES, Dan Mark, SUGAY, JESSICA O., TAMAYO, Lenard Paulo","30","ENG","U","9","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. ALL SLOTS FOR AB IS MAJORS.","S","P"
"CSCI 50.01","B","COMPUTER ORGANIZATION, LECTURE","3","M-TH 0930-1100(ONSITE)","F-228","CORONEL, ANDREI D.","30","ENG","U","-2","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 50.01","E","COMPUTER ORGANIZATION, LECTURE","3","M-TH 1400-1530(ONSITE)","F-228","CORONEL, ANDREI D.","30","ENG","U","4","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 50.01","N","COMPUTER ORGANIZATION, LECTURE","3","T-F 1400-1530(ONSITE)","F-204","CORONEL, ANDREI D.","30","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 50.02","B","COMPUTER ORGANIZATION, LABORATORY","3","M-TH 0930-1100(ONSITE)","F-204","BORJA, MARTIN JOHN H.","30","ENG","U","4","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 50.02","N","COMPUTER ORGANIZATION, LABORATORY","3","T-F 1400-1530(ONSITE)","CTC 112","VIDAL, ERIC CESAR JR. E.","30","ENG","U","-1","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 50.02","O","COMPUTER ORGANIZATION, LABORATORY","3","T-F 1530-1700(ONSITE)","CTC 112","VIDAL, ERIC CESAR JR. E.","30","ENG","U","1","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 60","V","COMPUTER NETWORKS AND DATA COMMUNICATIONS","3","W 1800-2100(ONSITE)","F-228","SAAVEDRA, MIGUEL ZENON NICANOR L.","32","ENG","U","-2","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 60","W1","COMPUTER NETWORKS AND DATA COMMUNICATIONS","3","SAT 0900-1200(ONSITE)","CTC 112","YU, WILLIAM EMMANUEL S.","30","ENG","U","2","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 60","W2","COMPUTER NETWORKS AND DATA COMMUNICATIONS","3","SAT 0900-1200(ONSITE)","CTC 215","SAAVEDRA, MIGUEL ZENON NICANOR L.","30","ENG","U","1","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 70","K","STRUCTURE AND INTERPRETATION OF PROGRAMMING LANGUAGES","3","T-F 0930-1100(ONSITE)","CTC 506","VERGARA, JOHN PAUL C.","30","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 70","L","STRUCTURE AND INTERPRETATION OF PROGRAMMING LANGUAGES","3","T-F 1100-1230(ONSITE)","CTC 506","VERGARA, JOHN PAUL C.","30","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 70","O","STRUCTURE AND INTERPRETATION OF PROGRAMMING LANGUAGES","3","T-F 1530-1700(ONSITE)","F-228","VERGARA, JOHN PAUL C.","32","ENG","U","-2","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS.","S","P"
"CSCI 111","K","INTRODUCTION TO ARTIFICIAL INTELLIGENCE","3","T-F 0930-1100(ONSITE)","CTC 214","CORONEL, ANDREI D.","35","ENG","U","7","ALL SLOTS FOR BS AMDSc-M DSc MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"CSCI 111","V","INTRODUCTION TO ARTIFICIAL INTELLIGENCE","3","W 1800-2100(ONSITE)","CTC 214","MAGPANTAY, Abraham","35","ENG","U","-1","ALL SLOTS FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION. 1 SLOT(S) FOR 5TH YEAR BS CS-DGDD MAJORS. ALL SLOTS FOR DISCS STUDENTS.","S","P"
"CSCI 112","E1","CONTEMPORARY DATABASES","3","M-TH 1400-1530(ONSITE)","F-227","MEDALLA, ALBERTO H.","32","ENG","U","-4","ALL SLOTS FOR BS AMDSc-M DSc MAJORS.","S","P"
"CSCI 112","F","CONTEMPORARY DATABASES","3","M-TH 1530-1700(ONSITE)","F-228","PULMANO, CHRISTIAN E.","30","ENG","U","-4","ALL SLOTS FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION. ALL SLOTS FOR 4TH YEAR DISCS STUDENTS.","S","P"
"CSCI 112","W","CONTEMPORARY DATABASES","3","SAT 0900-1200(ONSITE)","CTC 214","ESCUETA, Niño Danielle","30","ENG","U","-3","ALL SLOTS FOR DATA SCIENCE AND ANALYTICS MINORS/SPECIALIZATION. 4 SLOT(S) FOR BS ITE MAJORS. ALL SLOTS FOR 4TH YEAR DISCS STUDENTS.","S","P"
