"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"JPN 11","A","JAPANESE LANGUAGE AND CULTURE 1","3","M-TH 0800-0930(ONSITE)","CTC 306","ALVAREZ, ROELIA V.","18","~","U","4","-","S","P"
"JPN 11","B","JAPANESE LANGUAGE AND CULTURE 1","3","M-TH 0930-1100(ONSITE)","CTC 306","ALVAREZ, ROELIA V.","18","~","U","4","-","S","P"
"JPN 11","E","JAPANESE LANGUAGE AND CULTURE 1","3","M-TH 1400-1530(ONSITE)","CTC 306","NARCISO, RODOLFO R.","18","~","U","1","-","S","P"
"JPN 11","F","JAPANESE LANGUAGE AND CULTURE 1","3","M-TH 1530-1700(ONSITE)","CTC 306","NARCISO, RODOLFO R.","18","~","U","1","-","S","P"
"JPN 11","K","JAPANESE LANGUAGE AND CULTURE 1","3","T-F 0930-1100(ONSITE)","CTC 306","NAGAI, Hiroko","18","~","U","0","-","AS","P"
"JPN 11","L","JAPANESE LANGUAGE AND CULTURE 1","3","T-F 1100-1230(ONSITE)","CTC 306","NAGAI, Hiroko","18","~","U","0","-","S","P"
"JPN 11","M","JAPANESE LANGUAGE AND CULTURE 1","3","T-F 1230-1400(ONSITE)","CTC 306","SANTOS, CARLOS LUIS L.","18","~","U","0","-","S","P"
"JPN 11","N","JAPANESE LANGUAGE AND CULTURE 1","3","T-F 1400-1530(ONSITE)","CTC 306","NAGAI, Hiroko","18","~","U","0","-","S","P"
"JPN 11","S","JAPANESE LANGUAGE AND CULTURE 1","3","W 0900-1200(~)","CTC 306","ESPIRITU, JUNILO S.","18","FIL","U","-1","-","S","P"
"JPN 11","T","JAPANESE LANGUAGE AND CULTURE 1","3","W 1200-1500(ONSITE)","CTC 306","ESPIRITU, JUNILO S.","18","FIL","U","0","-","S","P"
"JPN 12","J","JAPANESE LANGUAGE AND CULTURE 2","3","T-F 0800-0930(ONSITE)","CTC 306","SANTOS, CARLOS LUIS L.","25","ENG","U","7","*Pre-requisite: JPN 11 or assessment and approval of JSP Director","S","P"
"JPN 12","U","JAPANESE LANGUAGE AND CULTURE 2","3","W 1500-1800(ONSITE)","CTC 306","ESPIRITU, JUNILO S.","25","~","U","-3","**Pre-requisite: JPN 11 or assessment and approval of JSP Director.","S","P"
"JPN 13","N","JAPANESE LANGUAGE AND CULTURE 3","3","T-F 1400-1530(ONSITE)","F-304","SANTOS, CARLOS LUIS L.","12","~","U","3","**Pre-requisite: JPN 12 or assessment and approval of JSP Director","S","P"
"JPN 14","D","INTERMEDIATE JAPANESE 1","3","M-TH 1230-1400(ONSITE)","CTC 306","ALVAREZ, ROELIA V.","18","~","U","-2","**Pre-requisite: JPN 13 or assessment and approval of JSP Director.","S","P"
"JPN 15","L","INTERMEDIATE JAPANESE 2","3","T-F 1100-1230(ONSITE)","JSP OFFICE","SANTOS, CARLOS LUIS L.","12","~","U","7","**Pre-requisite: JPN 14 or assessment and approval of JSP Director","S","P"
"JPN 151","L","JAPANESE BUSINESS MANAGEMENT AND LABOR","3","T-F 1100-1230(ONSITE)","SEC-A202A","NARCISO, RODOLFO R.","17","ENG","U","10","-","S","P"
"JPN 180.21i","O","SPECIAL TOPIC: GENDER IN JAPAN","3","T-F 1530-1700(ONSITE)","CTC 306","NAGAI, Hiroko","25","ENG","U","-4","** 5 slots for IXS/cross-reg","S","P"
"JPN 220","V","FOUNDATIONS OF JAPANESE STUDIES","3","W 1800-2100(ONSITE)","JSP OFFICE","SANTOS, KRISTINE MICHELLE L.","4","ENG","G","2","-","S","P"
"JPN 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"JPN 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JPN 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JPN 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JPN 299.19","Z1","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JPN 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"JPN 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JPN 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JPN 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"JPN 299.2","THES/DISS","THESIS II","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
