"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"KOR 113","N","KOREAN POPULAR CULTURE","3","T-F 1400-1530(ONSITE)","CTC 203","JAVIER, Aurea C.","30","ENG","U","9","3 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"KOR 115","B","KOREAN HISTORY THROUGH K-DRAMA","3","M-TH 0930-1100(ONSITE)","CTC 203","WOO, Sun Jung","30","ENG","U","11","2 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"KRN 11","D","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(ONSITE)","CTC 203","RICO, MA. KRISTINA CARLA S.","18","~","U","-2","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"KRN 11","D1","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(ONSITE)","CTC 204","MAGONCIA, Jeremiah","18","~","U","1","-","S","P"
"KRN 11","E","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1400-1530(ONSITE)","CTC 203","RICO, MA. KRISTINA CARLA S.","18","~","U","0","-","S","P"
"KRN 11","F","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1530-1700(ONSITE)","CTC 203","MAGONCIA, Jeremiah","18","~","U","0","-","S","P"
"KRN 11","G","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1700-1830(ONSITE)","CTC 203","MAGONCIA, Jeremiah","18","~","U","2","-","S","P"
"KRN 11","K","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","T-F 0930-1100(ONSITE)","CTC 203","WOO, Sun Jung","18","~","U","0","-","S","P"
"KRN 11","L1","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","T-F 1100-1230(ONSITE)","CTC 203","WOO, Sun Jung","18","~","U","0","-","S","P"
"KRN 11","O","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","T-F 1530-1700(ONSITE)","CTC 203","JAVIER, Aurea C.","18","~","U","0","-","S","P"
"KRN 12","J","BASIC KOREAN 2 LANGUAGE AND CULTURE","3","T-F 0800-0930(ONSITE)","CTC 203","RICO, MA. KRISTINA CARLA S.","18","~","U","2","-","S","P"
"KRN 12","M","BASIC KOREAN 2 LANGUAGE AND CULTURE","3","T-F 1230-1400(ONSITE)","CTC 203","RICO, MA. KRISTINA CARLA S.","18","~","U","6","-","S","P"
"KRN 13","C","KOREAN LANGUAGE AND CULTURE 3","3","M-TH 1100-1230(ONSITE)","CTC 203","WOO, Sun Jung","18","~","U","13","-","S","P"
