"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"LAS 114.30","K","BUSINESS COMMUNICATIONS IN THE HOSPITALITY INDUSTRY","2","T-F 0900-1000(ONSITE)","TBA","VERGARA, Leofel","22","ENG","U","4","ALL SLOTS FOR BS REnt MAJORS. *DUMAS ROOM (ARETE BLDG)","S","P"
"LAS 114.30","L","BUSINESS COMMUNICATIONS IN THE HOSPITALITY INDUSTRY","2","T-F 1100-1200(ONSITE)","TBA","VERGARA, Leofel","22","ENG","U","3","ALL SLOTS FOR BS REnt MAJORS. *DUMAS ROOM (ARETE BLDG)","S","P"
"LAS 20","H2","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","TH 1700-2000(ONSITE)","SOM 211","CUASAY, Sancho","33","ENG","U","-2","ALL SLOTS FOR BS LM MAJORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"LAS 20","L","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","T-F 1100-1230(ONSITE)","SOM 211","SANGUYO, CHERYL J.","30","ENG","U","-4","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LAS 20","M","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","T-F 1230-1400(ONSITE)","SOM 211","SANGUYO, CHERYL J.","30","ENG","U","-2","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LAS 20","O","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","T-F 1530-1700(ONSITE)","SOM 211","SANGUYO, CHERYL J.","35","ENG","U","-3","ALL SLOTS FOR 2ND YEAR BS MGT-H MAJORS.","S","P"
"LAS 20","S","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","W 0900-1200(ONSITE)","CTC 406","PUEN, DAVID ALLEN Y.","33","ENG","U","-2","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LAS 20","T","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","W 1200-1500(ONSITE)","SEC-A202A","BAUTISTA, Noreen Marian","30","ENG","U","-2","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LAS 20","U","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","W 1500-1800(ONSITE)","SOM 205","PUEN, DAVID ALLEN Y.","30","ENG","U","-1","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LAS 20","U1","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","W 1500-1800(ONSITE)","CTC 302","BAUTISTA, Noreen Marian","30","ENG","U","-2","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LAS 20","V","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","W 1700-2000(ONSITE)","CTC 204","CUASAY, Sancho","33","ENG","U","-2","ALL SLOTS FOR BS LM MAJORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"LAS 20","W","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","SAT 0900-1200(ONSITE)","SOM 211","CUASAY, Sancho","33","ENG","U","3","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LAS 20","W1","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","SAT 0900-1200(ONSITE)","SOM 204","LUMAIN, Joseph Daniel","33","ENG","U","2","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LAS 20","X","PHILIPPINE BUSINESS ENVIRONMENT: POLICIES AND PROGRAMS ON ENTERPRISE DEVELOPMENT","3","SAT 1200-1500(ONSITE)","SEC-A202A","LUMAIN, Joseph Daniel","30","ENG","U","4","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LAS 21.20","D","PRINCIPLES OF MANAGEMENT FOR THE SERVICE SECTOR","3","M-TH 1230-1400(ONSITE)","SOM 211","YAPTANGCO, EDWIN E.","36","ENG","U","4","ALL SLOTS FOR BS HS MAJORS.","S","P"
