"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"LLAW 116","G","LABOR LAW AND SOCIAL LEGISLATION","3","M-TH 1700-1830(ONSITE)","CTC 404","DELA CRUZ, Josephine Andrea","32","ENG","U","0","15 SLOT(S) FOR 4TH YEAR BS MGT MAJORS. 17 SLOT(S) FOR 4TH YEAR BS ITE MAJORS.","S","P"
"LLAW 116","G2","LABOR LAW AND SOCIAL LEGISLATION","3","M 1800-2100(ONSITE)","CTC 304","IBARRA, JOSE VENER C.","31","ENG","U","17","ALL SLOTS FOR 3RD YEAR STUDENTS. ALL SLOTS FOR 4TH YEAR STUDENTS.","S","P"
"LLAW 116","H","LABOR LAW AND SOCIAL LEGISLATION","3","M-TH 1830-2000(ONSITE)","CTC 404","TEJANO, Juan Carlo","32","ENG","U","-1","19 SLOT(S) FOR 4TH YEAR BS MGT MAJORS. 13 SLOT(S) FOR 4TH YEAR BS ITE MAJORS.","S","P"
"LLAW 116","H1","LABOR LAW AND SOCIAL LEGISLATION","3","TH 1700-2000(ONSITE)","SOM 210","GAERLAN, Rhett","32","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS MGT MAJORS.","S","P"
"LLAW 116","H2","LABOR LAW AND SOCIAL LEGISLATION","3","TH 1800-2100(ONSITE)","CTC 306","TAYLO, Jose Herminio III","30","ENG","U","-2","15 SLOT(S) FOR 4TH YEAR BS MGT MAJORS. 15 SLOT(S) FOR 4TH YEAR BS ITE MAJORS.","S","P"
"LLAW 116","T","LABOR LAW AND SOCIAL LEGISLATION","3","W 1200-1500(ONSITE)","CTC 304","OLIVEROS, Ma. Lourdes Evelyn","32","ENG","U","-2","25 SLOT(S) FOR 4TH YEAR BS MGT MAJORS. 7 SLOT(S) FOR 4TH YEAR BS COMTECH MAJORS.","S","P"
"LLAW 116","U1","LABOR LAW AND SOCIAL LEGISLATION","3","W 1500-1800(ONSITE)","CTC 304","OLIVEROS, Ma. Lourdes Evelyn","33","ENG","U","-1","ALL SLOTS FOR 3RD YEAR BS COMTECH MAJORS.","S","P"
"LLAW 116","U2","LABOR LAW AND SOCIAL LEGISLATION","3","W 1500-1800(ONSITE)","CTC 404","DE VERA, ARNOLD F.","17","ENG","U","2","ALL SLOTS FOR 4TH YEAR BS MGT-H MAJORS.","S","P"
"LLAW 116","V1","LABOR LAW AND SOCIAL LEGISLATION","3","W 1800-2100(ONSITE)","CTC 404","TAYLO, Jose Herminio III","31","ENG","U","-1","29 SLOT(S) FOR 3RD YEAR BS COMTECH MAJORS. ALL SLOTS FOR 3RD YEAR BS MAC MAJORS.","S","P"
"LLAW 116","V2","LABOR LAW AND SOCIAL LEGISLATION","3","W 1800-2100(ONSITE)","CTC 106","GAERLAN, Rhett","32","ENG","U","-1","29 SLOT(S) FOR 4TH YEAR BS MGT MAJORS. 3 SLOT(S) FOR 4TH YEAR BS LM MAJORS.","S","P"
"LLAW 116","V3","LABOR LAW AND SOCIAL LEGISLATION","3","W 1800-2100(ONSITE)","SEC-A202A","REYNOSO, JAY PAOLO A.","31","ENG","U","1","ALL SLOTS FOR 4TH YEAR BS MGT MAJORS.","S","P"
"LLAW 116","W","LABOR LAW AND SOCIAL LEGISLATION","3","SAT 0900-1200(ONSITE)","CTC 404","QUIMSON, Rhea Rogelia","31","ENG","U","-1","-","S","P"
"LLAW 116","X1","LABOR LAW AND SOCIAL LEGISLATION","3","SAT 1200-1500(ONSITE)","SOM 105","CO, Chris Evander","31","ENG","U","0","30 SLOT(S) FOR 3RD YEAR BS COMTECH MAJORS.","S","P"
"LLAW 116","X2","LABOR LAW AND SOCIAL LEGISLATION","3","SAT 1200-1500(ONSITE)","CTC 404","QUIMSON, Rhea Rogelia","30","ENG","U","-1","ALL SLOTS FOR 4TH YEAR BS MGT MAJORS.","S","P"
"LLAW 111","A","BUSINESS LAW AND TAXATION","3","M-TH 0800-0930(ONSITE)","SOM 105","NOLIDO, REGINALD ALBERTO B.","32","ENG","U","1","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LLAW 111","C","BUSINESS LAW AND TAXATION","3","M-TH 1100-1230(ONSITE)","SOM 105","PANER-MONTIEL, SABRINA KATE D.","33","ENG","U","0","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LLAW 111","G","BUSINESS LAW AND TAXATION","3","M 1700-2000(ONSITE)","SOM 105","VALDEZ, EDUARDO VICTOR J.","33","ENG","U","10","-","S","P"
"LLAW 111","G1","BUSINESS LAW AND TAXATION","3","M 1700-2000(ONSITE)","SOM 203","LAUENGCO, GILBERTO F.","32","ENG","U","2","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LLAW 111","H","BUSINESS LAW AND TAXATION","3","TH 1700-2000(ONSITE)","SOM 105","VALDEZ, EDUARDO VICTOR J.","35","ENG","U","3","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LLAW 111","H1","BUSINESS LAW AND TAXATION","3","TH 1700-2000(ONSITE)","SOM 203","LAUENGCO, GILBERTO F.","32","ENG","U","-1","-","S","P"
"LLAW 111","J","BUSINESS LAW AND TAXATION","3","T-F 0800-0930(ONSITE)","SOM 203","NOLIDO, REGINALD ALBERTO B.","20","ENG","U","-1","ALL SLOTS FOR BS MGT-H MAJORS.","S","P"
"LLAW 111","S","BUSINESS LAW AND TAXATION","3","W 0900-1200(ONSITE)","CTC 304","OLIVEROS, Ma. Lourdes Evelyn","30","ENG","U","-1","29 SLOT(S) FOR BS MGT MAJORS.","S","P"
"LLAW 111","T","BUSINESS LAW AND TAXATION","3","W 1200-1500(ONSITE)","SOM 203","VALDEZ, EDUARDO VICTOR J.","33","ENG","U","3","ALL SLOTS FOR BS MGT MAJORS.","S","P"
"LLAW 111","W","BUSINESS LAW AND TAXATION","3","SAT 0900-1200(ONSITE)","SOM 105","SY, Steven AngeloMichael","30","ENG","U","-1","ALL SLOTS FOR BS ITE MAJORS.","S","P"
"LLAW 113.03","K","LAW ON BUSINESS TRANSACTION","3","T-F 0930-1100(ONSITE)","SOM 203","PANER-MONTIEL, SABRINA KATE D.","30","ENG","U","-4","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LLAW 113.03","L","LAW ON BUSINESS TRANSACTION","3","T-F 1100-1230(ONSITE)","SOM 203","PANER-MONTIEL, SABRINA KATE D.","30","ENG","U","-9","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LLAW 113.03","W","LAW ON BUSINESS TRANSACTION","3","SAT 0900-1200(ONSITE)","CTC 306","IBARRA, JOSE VENER C.","30","ENG","U","15","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LLAW 113.04","A","RETAIL TRADE LAWS AND CONSUMER ACT","3","M-TH 0800-0930(ONSITE)","CTC 304","GONZALES, CATHERINE JENNIFER F. P.","33","ENG","U","3","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LLAW 113.04","B","RETAIL TRADE LAWS AND CONSUMER ACT","3","M-TH 0930-1100(ONSITE)","CTC 304","GONZALES, CATHERINE JENNIFER F. P.","33","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS LM MAJORS.","S","P"
"LLAW 113.04","E","RETAIL TRADE LAWS AND CONSUMER ACT","3","M-TH 1400-1530(ONSITE)","CTC 304","GONZALES, CATHERINE JENNIFER F. P.","33","ENG","U","-1","ALL SLOTS FOR 4TH YEAR BS LM MAJORS.","S","P"
"LLAW 113.04","F","RETAIL TRADE LAWS AND CONSUMER ACT","3","M-TH 1530-1700(ONSITE)","CTC 304","GONZALES, CATHERINE JENNIFER F. P.","33","ENG","U","-1","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LLAW 115.04","H1","LAW ON BUSINESS AND TRANSFER TAXATION","3","TH 1700-2000(ONSITE)","SOM 204","ANG-CO, Anna Liza","33","ENG","U","-2","ALL SLOTS FOR 4TH YEAR BS LM MAJORS.","S","P"
"LLAW 115.04","U","LAW ON BUSINESS AND TRANSFER TAXATION","3","W 1500-1800(ONSITE)","SOM 105","CHAN, DANNY L.","33","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS LM MAJORS.","S","P"
"LLAW 115.04","V","LAW ON BUSINESS AND TRANSFER TAXATION","3","W 1800-2100(ONSITE)","SOM 105","CHAN, DANNY L.","32","ENG","U","5","ALL SLOTS FOR BS LM MAJORS.","S","P"
"LLAW 115.04","W","LAW ON BUSINESS AND TRANSFER TAXATION","3","SAT 0900-1200(ONSITE)","SOM 106","RODRIGO, JR., LUIS FRANCIS A.","33","ENG","U","-2","ALL SLOTS FOR 4TH YEAR BS LM MAJORS.","S","P"
"LLAW 113","A","OBLIGATIONS AND CONTRACTS","3","M-TH 0800-0930(ONSITE)","SOM 203","HO, AARON JARVEEN O.","32","ENG","U","3","28 SLOT(S) FOR BS ME MAJORS. 4 SLOT(S) FOR BS LM MAJORS.","S","P"
"LLAW 113","B","OBLIGATIONS AND CONTRACTS","3","M-TH 0930-1100(ONSITE)","SOM 105","PANER-MONTIEL, SABRINA KATE D.","26","ENG","U","8","ALL SLOTS FOR BS ME MAJORS.","S","P"
"LLAW 113","D","OBLIGATIONS AND CONTRACTS","3","M-TH 1230-1400(FULLY ONSITE)","CTC 304","HO, AARON JARVEEN O.","32","ENG","U","32","-","N","N"
"LLAW 113","F","OBLIGATIONS AND CONTRACTS","3","M-TH 1530-1700(FULLY ONSITE)","SOM 105","LAUENGCO, GILBERTO F.","33","ENG","U","33","-","N","N"
"LLAW 113","GM","OBLIGATIONS AND CONTRACTS","3","M 1700-2000(FULLY ONSITE)","SOM 105","LAUENGCO, GILBERTO F.","33","ENG","U","33","-","N","N"
