"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"MATH 1.1","C","PREPARATION FOR COLLEGE MATHEMATICS I","3","M-TH 1100-1230(ONSITE)","SEC-A215A","ABERIN, MARIA ALVA Q.","30","ENG","U","0","-","S","P"
"MATH 1.1","E","PREPARATION FOR COLLEGE MATHEMATICS I","3","M-TH 1400-1530(ONSITE)","SEC-A215A","ABERIN, MARIA ALVA Q.","30","ENG","U","5","-","S","P"
"MATH 2","F","PREPARATORY COURSE TO CALCULUS","0","M-TH 1530-1700(ONSITE)","G-303","GATPATAN, JANREE RUARK C.","30","ENG","U","3","-","S","P"
"MATH 2","L","PREPARATORY COURSE TO CALCULUS","0","T-F 1100-1230(ONSITE)","SEC-A304A","GATPATAN, JANREE RUARK C.","30","ENG","U","15","-","S","P"
"MATH 2","YYY","PREPARATORY COURSE TO CALCULUS","0","TBA(~)","TBA","TBA, -","51","ENG","U","50","-","N","N"
"MATH 10","A1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0800-0930(ONSITE)","SEC-A208A","PASTOR, Carlo Gabriel","30","ENG","U","0","-","S","P"
"MATH 10","A2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0800-0930(ONSITE)","SEC-A209A","BATALLER, RAMIL T.","30","ENG","U","-2","-","S","P"
"MATH 10","A3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0800-0930(ONSITE)","SEC-A210A","BUOT, JUDE C., MALLARI, JUAN CARLO F.","30","ENG","U","1","-","S","P"
"MATH 10","B1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0930-1100(ONSITE)","SEC-A208A","MALLARI, JUAN CARLO F.","30","ENG","U","1","-","S","P"
"MATH 10","B2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 0930-1100(ONSITE)","SEC-A209A","BATALLER, RAMIL T.","30","ENG","U","2","-","S","P"
"MATH 10","C1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1100-1230(ONSITE)","SEC-A302A","PUNZAL, Chara Deanna","30","ENG","U","3","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"MATH 10","C2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1100-1230(ONSITE)","SEC-A209A","SILVESTRE, Luis Jr","30","ENG","U","1","-","S","P"
"MATH 10","C3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1100-1230(ONSITE)","SEC-A210A","BUOT, JUDE C.","30","ENG","U","3","-","S","P"
"MATH 10","D1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1230-1400(ONSITE)","SEC-A208A","DOMINGO, EURLYNE J.","30","ENG","U","1","-","S","P"
"MATH 10","D2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1230-1400(ONSITE)","SEC-A302A","BATALLER, RAMIL T.","30","ENG","U","0","-","S","P"
"MATH 10","E1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(ONSITE)","SEC-A208A","CHAN SHIO, CHRISTIAN PAUL O.","30","ENG","U","2","-","S","P"
"MATH 10","E2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(ONSITE)","SEC-A209A","HAO, Lester","30","ENG","U","6","-","S","P"
"MATH 10","E3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1400-1530(ONSITE)","SEC-A210A","BUOT, JUDE C.","30","ENG","U","2","-","S","P"
"MATH 10","F1","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(ONSITE)","SEC-A208A","ZOSA, ANTHONY R.","30","ENG","U","2","-","S","P"
"MATH 10","F2","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(ONSITE)","SEC-A302A","HAO, Lester","30","ENG","U","2","-","S","P"
"MATH 10","F3","MATHEMATICS IN THE MODERN WORLD","3","M-TH 1530-1700(ONSITE)","SEC-A210A","BENITO, DANIEL JOSEPH P., PUNZAL, Chara Deanna","30","ENG","U","-1","-","S","P"
"MATH 10","J1","MATHEMATICS IN THE MODERN WORLD","3","T-F 0800-0930(ONSITE)","SEC-A208A","SANTOS, DURWIN C.","30","ENG","U","2","-","S","P"
"MATH 10","J2","MATHEMATICS IN THE MODERN WORLD","3","T-F 0800-0930(ONSITE)","SEC-A209A","TABARES, WINFER C.","30","ENG","U","1","-","S","P"
"MATH 10","J3","MATHEMATICS IN THE MODERN WORLD","3","T-F 0800-0930(ONSITE)","SEC-A210A","YAP, ROMINA ANN S.","30","ENG","U","3","-","S","P"
"MATH 10","K1","MATHEMATICS IN THE MODERN WORLD","3","T-F 0930-1100(ONSITE)","SEC-A208A","SANTOS, DURWIN C.","30","ENG","U","2","-","S","P"
"MATH 10","K2","MATHEMATICS IN THE MODERN WORLD","3","T-F 0930-1100(ONSITE)","SEC-A209A","TABARES, WINFER C.","30","ENG","U","0","-","S","P"
"MATH 10","L1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1100-1230(ONSITE)","SEC-A208A","YAP, ROMINA ANN S.","30","ENG","U","0","-","S","P"
"MATH 10","L2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1100-1230(ONSITE)","SEC-A209A","GUZON, ANGELA FATIMA H.","30","ENG","U","2","-","S","P"
"MATH 10","L3","MATHEMATICS IN THE MODERN WORLD","3","T-F 1100-1230(ONSITE)","SEC-A210A","GUILLERMO, MIDA R.","30","ENG","U","1","-","S","P"
"MATH 10","M1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1230-1400(ONSITE)","SEC-A208A","YAP, ROMINA ANN S.","30","ENG","U","1","-","S","P"
"MATH 10","M2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1230-1400(ONSITE)","SEC-A209A","SANTOS, DURWIN C.","30","ENG","U","2","-","S","P"
"MATH 10","N1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1400-1530(ONSITE)","SEC-A208A","GUZON, ANGELA FATIMA H.","30","ENG","U","7","-","S","P"
"MATH 10","N2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1400-1530(ONSITE)","SEC-A209A","GUILLERMO, MIDA R.","30","ENG","U","1","-","S","P"
"MATH 10","N3","MATHEMATICS IN THE MODERN WORLD","3","T-F 1400-1530(ONSITE)","SEC-A210A","ZOSA, ANTHONY R.","30","ENG","U","1","-","S","P"
"MATH 10","N4","MATHEMATICS IN THE MODERN WORLD","3","T-F 1400-1530(ONSITE)","SEC-A303A","FLORES, Richell Isaiah","30","ENG","U","-1","-","S","P"
"MATH 10","O1","MATHEMATICS IN THE MODERN WORLD","3","T-F 1530-1700(ONSITE)","SEC-A208A","BRIONES, JERIC C.","30","ENG","U","0","-","S","P"
"MATH 10","O2","MATHEMATICS IN THE MODERN WORLD","3","T-F 1530-1700(ONSITE)","SEC-A209A","GUILLERMO, MIDA R.","30","ENG","U","5","-","S","P"
