"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"FRE 11","A","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 0800-0930(ONSITE)","SOM 104","YAP, JOSEPH MARTIN M.","18","~","U","1","-","S","P"
"FRE 11","B","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 0930-1100(ONSITE)","BEL-210","FAYLONA, DORIS T.","18","~","U","5","-","S","P"
"FRE 11","B1","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 0930-1100(ONSITE)","SOM 104","YAP, JOSEPH MARTIN M.","18","~","U","0","-","S","P"
"FRE 11","C","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 1100-1230(ONSITE)","BEL-210","FAYLONA, DORIS T.","18","~","U","4","-","S","P"
"FRE 11","D","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(ONSITE)","BEL-210","YAP, JOSEPH MARTIN M.","18","~","U","0","-","S","P"
"FRE 11","E","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 1400-1530(ONSITE)","BEL-210","FAYLONA, DORIS T.","18","~","U","6","-","S","P"
"FRE 11","J","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 0800-0930(ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","0","-","S","P"
"FRE 11","J1","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 0800-0930(ONSITE)","SOM 104","YAP, JOSEPH MARTIN M.","18","~","U","1","-","S","P"
"FRE 11","K","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 0930-1100(ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","0","-","S","P"
"FRE 11","K1","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 0930-1100(ONSITE)","SOM 104","YAP, JOSEPH MARTIN M.","18","~","U","0","-","S","P"
"FRE 11","M","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 1230-1400(ONSITE)","F-115","VERA CRUZ, JOSE TEODORO C.","18","~","U","0","-","S","P"
"FRE 11","N","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 1400-1530(ONSITE)","SOM 104","YU, ROBERT JOHN C.","18","~","U","0","-","S","P"
"FRE 11","O","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 1530-1700(ONSITE)","SOM 104","YU, ROBERT JOHN C.","18","~","U","0","-","S","P"
"FRE 12","L","BASIC FRENCH 2 LANGUAGE AND CULTURE","3","T-F 1100-1230(ONSITE)","SOM 104","YU, ROBERT JOHN C.","18","~","U","-3","-","S","P"
"FRE 14","L","INTERMEDIATE FRENCH 2","3","T-F 1100-1230(ONSITE)","F-115","VERA CRUZ, JOSE TEODORO C.","18","~","U","6","-","S","P"
"FRE 14","ZZZ","INTERMEDIATE FRENCH 2","3","TBA(ONSITE)","TBA","VERA CRUZ, JOSE TEODORO C.","1","~","U","0","-","S","P"
"FRE 16","ZZZ","ADVANCED FRENCH 2","3","TBA(ONSITE)","TBA","VERA CRUZ, JOSE TEODORO C.","2","~","U","1","-","S","P"
"FRE 21","ZZZ","LANGUAGE FOR SPECIFIC PURPOSES: FRENCH","3","TBA(ONSITE)","TBA","YU, ROBERT JOHN C.","2","~","U","1","-","S","P"
"GER 11","B","BASIC GERMAN 1 LANGUAGE AND CULTURE","3","M-TH 0930-1100(ONSITE)","BEL 211","JOSE, JACKIE LOU L.","18","~","U","10","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"GER 11","C","BASIC GERMAN 1 LANGUAGE AND CULTURE","3","M-TH 1100-1230(ONSITE)","BEL 211","JOSE, JACKIE LOU L.","18","~","U","0","-","S","P"
"GER 11","J","BASIC GERMAN 1 LANGUAGE AND CULTURE","3","T-F 0800-0930(ONSITE)","G-206","SORIANO, BAYANI M.","18","ENG","U","0","-","S","P"
"GER 11","M","BASIC GERMAN 1 LANGUAGE AND CULTURE","3","T-F 1230-1400(ONSITE)","SOM 104","SORIANO, BAYANI M.","18","~","U","0","-","S","P"
"GER 12","K","BASIC GERMAN 2 LANGUAGE AND CULTURE","3","T-F 0930-1100(ONSITE)","3RD FLR FACULTY LOUNGE","SORIANO, BAYANI M.","12","ENG","U","-3","-","S","P"
"GER 14","E","INTERMEDIATE GERMAN 2","3","M-TH 1400-1530(ONSITE)","BEL 211","JOSE, JACKIE LOU L.","18","~","U","15","-","S","P"
"GER 15","ZZZ","ADVANCED GERMAN 1","3","TBA(ONSITE)","MOD LANG DEPT","JOSE, JACKIE LOU L.","1","ENG","U","-1","-","S","P"
"ITA 11","M","BASIC ITALIAN 1 LANGUAGE AND CULTURE","3","T-F 1230-1400(ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","-1","ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS. ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS.","S","P"
"ITA 11","N","BASIC ITALIAN 1 LANGUAGE AND CULTURE","3","T-F 1400-1530(ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","1","ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS. ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"PORT 11","D","BASIC PORTUGUESE 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(ONSITE)","SOM 104","CAPILI, PATRICK MICHAEL L.","18","~","U","3","ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS. ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS.","S","P"
"RUSS 11","L","BASIC RUSSIAN 1 LANGUAGE AND CULTURE","3","T-F 1100-1230(ONSITE)","BEL-210","VILLAR, JR., FRANCISCO R.","18","~","U","9","ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS. ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS.","S","P"
"RUSS 11","M","BASIC RUSSIAN 1 LANGUAGE AND CULTURE","3","T-F 1230-1400(ONSITE)","BEL 211","VILLAR, JR., FRANCISCO R.","18","~","U","13","ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS. ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS.","S","P"
"SPA 11","A","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 0800-0930(ONSITE)","SEC-A123A","LIM, SANDRA P.","18","~","U","0","-","S","P"
"SPA 11","B","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 0930-1100(ONSITE)","CTC 302","LIM, SANDRA P.","18","~","U","0","-","S","P"
"SPA 11","C","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 1100-1230(ONSITE)","SOM 104","CAPILI, PATRICK MICHAEL L.","18","~","U","0","-","S","P"
"SPA 11","D","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(ONSITE)","BEL 211","LIM, SANDRA P.","18","~","U","0","-","S","P"
"SPA 11","E","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 1400-1530(ONSITE)","F-115","SORIANO, EVELYN C.","18","~","U","0","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"SPA 11","E1","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 1400-1530(ONSITE)","SOM 104","CIFUENTES, Mónica Galdón","18","~","U","1","-","S","P"
"SPA 11","F","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 1530-1700(ONSITE)","F-115","SORIANO, EVELYN C.","18","~","U","0","-","S","P"
"SPA 11","F1","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","M-TH 1530-1700(ONSITE)","SOM 104","CIFUENTES, Mónica Galdón","18","~","U","0","-","S","P"
"SPA 11","K","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","T-F 0930-1100(ONSITE)","BEL 211","YOUNG, MARIA LUISA P.","18","~","U","-1","-","S","P"
"SPA 11","L","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","T-F 1100-1230(ONSITE)","BEL 211","YOUNG, MARIA LUISA P.","18","~","U","0","-","S","P"
"SPA 11","N","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","T-F 1400-1530(ONSITE)","F-115","AQUINO, HEIDE V.","18","~","U","-1","-","S","P"
"SPA 11","O","BASIC SPANISH 1 LANGUAGE AND CULTURE","3","T-F 1530-1700(ONSITE)","F-115","AQUINO, HEIDE V.","18","~","U","1","1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"SPA 12","N","BASIC SPANISH 2 LANGUAGE AND CULTURE","3","T-F 1400-1530(ONSITE)","BEL 211","YOUNG, MARIA LUISA P.","18","~","U","-1","-","S","P"
"SPA 12","O","BASIC SPANISH 2 LANGUAGE AND CULTURE","3","T-F 1530-1700(ONSITE)","BEL 211","YOUNG, MARIA LUISA P.","18","~","U","0","-","S","P"
"SPA 14","C","INTERMEDIATE SPANISH 2","3","M-TH 1100-1230(ONSITE)","G-206","CIFUENTES, Mónica Galdón","18","~","U","4","-","S","P"
