"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"PHILO 11.03","B","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","M-TH 0930-1100(ONSITE)","SEC-B201A","DY, JR., MANUEL B.","65","ENG","U","-1","-","S","P"
"PHILO 11.03","D","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","M-TH 1230-1400(ONSITE)","SOM 106","PEREZ, ANGELO JULIAN E.","32","ENG","U","-2","-","S","P"
"PHILO 11.03","E","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","M-TH 1400-1530(ONSITE)","CTC 106","PEREZ, ANGELO JULIAN E.","32","ENG","U","-1","-","S","P"
"PHILO 11.03","F","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","M-TH 1530-1700(ONSITE)","BEL-307","TAN, Justin Randall","32","ENG","U","-2","-","S","P"
"PHILO 11.03","G","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","M-TH 1700-1830(ONSITE)","BEL-103B","PIAMONTE, Chloe Nicole","32","FIL","U","0","-","S","P"
"PHILO 11.03","H","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","M-TH 1830-2000(ONSITE)","BEL-103B","PIAMONTE, Chloe Nicole","32","FIL","U","3","-","S","P"
"PHILO 11.03","H3","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","M-TH 1830-2000(ONSITE)","BEL-312","TAN, Justin Randall","32","ENG","U","-1","-","S","P"
"PHILO 11.03","M","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","T-F 1230-1400(ONSITE)","BEL-206","GABRIEL, SERGIO ANDRE GERARDO F.","32","ENG","U","-2","-","S","P"
"PHILO 11.03","M1","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","T-F 1230-1400(ONSITE)","BEL-308","TAN, Justin Randall","32","ENG","U","-2","-","S","P"
"PHILO 11.03","M2","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","T-F 1230-1400(ONSITE)","K-203","PEREZ, ANGELO JULIAN E.","32","ENG","U","-2","-","S","P"
"PHILO 11.03","N","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","T-F 1400-1530(ONSITE)","BEL-206","GABRIEL, SERGIO ANDRE GERARDO F.","32","ENG","U","-2","-","S","P"
"PHILO 11.03","N2","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","T-F 1400-1530(ONSITE)","K-203","PEREZ, ANGELO JULIAN E.","32","ENG","U","-1","-","S","P"
"PHILO 11.03","O","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","T-F 1530-1700(ONSITE)","BEL-102","TAN, Justin Randall","32","ENG","U","-1","-","S","P"
"PHILO 11.03","Q","THE HUMAN CONDITION: IN THE AMBIT OF LIVED EXPERIENCE (PHENOMENOLOGICAL TRACK)","3","T-F 1830-2000(ONSITE)","CTC 205","PIAMONTE, Chloe Nicole","32","FIL","U","2","-","S","P"
"PHILO 11.04","A","THE HUMAN CONDITION: ADVENTURES IN BEING (METAPHYSICAL TRACK)","3","M-TH 0800-0930(ONSITE)","BEL-307","OLANO, Joshua","32","FIL","U","-2","-","S","P"
"PHILO 11.04","C","THE HUMAN CONDITION: ADVENTURES IN BEING (METAPHYSICAL TRACK)","3","M-TH 1100-1230(ONSITE)","BEL-207","OLANO, Joshua","32","FIL","U","-2","-","S","P"
"PHILO 11.04","D","THE HUMAN CONDITION: ADVENTURES IN BEING (METAPHYSICAL TRACK)","3","M-TH 1230-1400(ONSITE)","BEL-207","OLANO, Joshua","32","FIL","U","-2","-","S","P"
"PHILO 11.04","G","THE HUMAN CONDITION: ADVENTURES IN BEING (METAPHYSICAL TRACK)","3","M-TH 1700-1830(ONSITE)","BEL-308","BARTILET, Jeffrey","32","FIL","U","1","-","S","P"
"PHILO 11.04","H","THE HUMAN CONDITION: ADVENTURES IN BEING (METAPHYSICAL TRACK)","3","M-TH 1830-2000(ONSITE)","BEL-308","BARTILET, Jeffrey","32","FIL","U","3","-","S","P"
"PHILO 11.04","J","THE HUMAN CONDITION: ADVENTURES IN BEING (METAPHYSICAL TRACK)","3","T-F 0800-0930(ONSITE)","BEL-306","TOLENTINO, ROY ALLAN B.","32","ENG","U","-1","-","S","P"
