"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"PHYED 100.20","SS","BASIC SURVIVAL SWIMMING","2","W 0900-1100(ONSITE)","LS POOL","BONOAN, MA. AMELIA S.","22","E / F","U","1","ALL SLOTS FOR BS ES MAJORS.","S","P"
"PHYED 100.20","SSS","BASIC SURVIVAL SWIMMING","2","W 1100-1300(ONSITE)","LS POOL","BONOAN, MA. AMELIA S.","22","E / F","U","0","ALL SLOTS FOR BS ES MAJORS.","S","P"
"PHYED 100.20","T","BASIC SURVIVAL SWIMMING","2","W 1300-1500(ONSITE)","LS POOL","BONOAN, MA. AMELIA S.","22","E / F","U","16","ALL SLOTS FOR BS ES MAJORS.","S","P"
"PHYED 100","AA","SWIMMING","2","M-TH 0800-0900(ONSITE)","LS POOL","MEDINA, AMOR T.","24","E / F","U","0","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 100","BB","SWIMMING","2","M-TH 1000-1100(ONSITE)","LS POOL","MEDINA, AMOR T.","24","E / F","U","2","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 100","C","SWIMMING","2","M-TH 1100-1200(ONSITE)","LS POOL","MEDINA, AMOR T.","24","E / F","U","0","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 100","DD","SWIMMING","2","M-TH 1300-1400(ONSITE)","LS POOL","MEDINA, AMOR T.","24","E / F","U","16","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 100","E","SWIMMING","2","M-TH 1400-1500(ONSITE)","LS POOL","MEDINA, AMOR T.","24","E / F","U","5","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 100","KK","SWIMMING","2","T-F 1000-1100(ONSITE)","LS POOL","ASAJAR, ARTURO F.","24","E / F","U","1","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 100","L","SWIMMING","2","T-F 1100-1200(ONSITE)","LS POOL","ASAJAR, ARTURO F.","24","E / F","U","13","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 100","MM","SWIMMING","2","T-F 1300-1400(ONSITE)","LS POOL","BARTOLOME, MA. KRISTINA BEATRIZ A.","24","E / F","U","8","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 100","N","SWIMMING","2","T-F 1400-1500(ONSITE)","LS POOL","BARTOLOME, MA. KRISTINA BEATRIZ A.","24","E / F","U","-1","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 111","A","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0700-0800(ONSITE)","BEL 211","RAVELO, Nathaniel Timothy","30","E / F","U","0","-","S","P"
"PHYED 111","AA","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0800-0900(ONSITE)","BEL-210","RAVELO, Nathaniel Timothy","30","E / F","U","13","-","S","P"
"PHYED 111","AA1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0800-0900(ONSITE)","SOM 102","GONZALES, MARIA CAMILLE BIANCA A.","30","ENG","U","16","-","S","P"
"PHYED 111","AA2","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0800-0900(ONSITE)","SOM 103","RODIL, ANGELI MARIE T.","30","ENG","U","17","-","S","P"
"PHYED 111","AA3","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0800-0900(ONSITE)","SOM 106","GIALOGO, RYAN C.","30","ENG","U","16","-","S","P"
"PHYED 111","E","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1400-1500(ONSITE)","F-116","DE LA CRUZ, Allely","30","E / F","U","0","-","S","P"
"PHYED 111","F","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1500-1600(ONSITE)","MULTI-PUR RM","DE LA CRUZ, Allely","30","E / F","U","16","-","S","P"
"PHYED 111","FF","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1600-1700(ONSITE)","BEL-102","BORJA, Julie Pearl","30","E / F","U","11","-","S","P"
"PHYED 111","FF1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1600-1700(ONSITE)","B-207","COBAR, Alvin George","30","E / F","U","17","-","S","P"
"PHYED 111","FF2","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1600-1700(ONSITE)","K-304","AGCAOILI, Jarrel Keane","30","E / F","U","4","-","S","P"
"PHYED 111","J","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0700-0800(ONSITE)","SOM 102","GAVINO, Miguel Antonio","30","ENG","U","10","-","S","P"
"PHYED 111","J1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0700-0800(ONSITE)","SOM 103","RODIL, ANGELI MARIE T.","30","ENG","U","1","-","S","P"
"PHYED 111","JJ","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0800-0900(ONSITE)","B-207","GAVINO, Miguel Antonio","30","ENG","U","12","-","S","P"
"PHYED 111","JJ1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0800-0900(ONSITE)","B-208","RODIL, ANGELI MARIE T.","30","ENG","U","7","-","S","P"
"PHYED 111","JJ2","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0800-0900(ONSITE)","SOM 106","GONZALES, MARIA CAMILLE BIANCA A.","30","ENG","U","0","-","S","P"
"PHYED 111","K","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0900-1000(ONSITE)","MULTI-PUR RM","GONZALES, MARIA CAMILLE BIANCA A.","30","ENG","U","2","-","S","P"
"PHYED 111","OO","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 1600-1700(ONSITE)","BEL-212","AGCAOILI, Jarrel Keane","30","~","U","1","-","S","P"
"PHYED 111","OO1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 1600-1700(ONSITE)","BEL-310","BORJA, Julie Pearl","30","~","U","13","-","S","P"
"PHYED 111","OO2","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 1600-1700(ONSITE)","B-309","COBAR, Alvin George","30","~","U","0","-","S","P"
"PHYED 111","SS","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","W 0900-1100(ONSITE)","BEL-306","DANCEL, Dana Lora","30","E / F","U","0","-","S","P"
"PHYED 111","SSS","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","W 1100-1300(ONSITE)","MULTI-PUR RM","DANCEL, Dana Lora","30","E / F","U","-1","-","S","P"
"PHYED 112.20","B","POWERBOXING","2","M-TH 0900-1000(ONSITE)","COV COURTS","GIALOGO, RYAN C.","24","ENG","U","0","**Strictly for women only","S","P"
"PHYED 112.20","C","POWERBOXING","2","M-TH 1100-1200(ONSITE)","COV COURTS","GIALOGO, RYAN C.","24","ENG","U","-1","**Strictly for women only","S","P"
"PHYED 112.20","DD","POWERBOXING","2","M-TH 1300-1400(ONSITE)","COV COURTS","GIALOGO, RYAN C.","24","~","U","1","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 112.20","E","POWERBOXING","2","M-TH 1400-1500(ONSITE)","COV COURTS","GIALOGO, RYAN C.","24","~","U","1","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 112","KK","AEROBICS","2","T-F 1000-1100(ONSITE)","DANCE AREA","CLEMENTE, REGINA D.","24","~","U","1","-","S","P"
"PHYED 112","L","AEROBICS","2","T-F 1100-1200(ONSITE)","DANCE AREA","CLEMENTE, REGINA D.","24","~","U","1","-","S","P"
"PHYED 113","J","PHYSICAL FITNESS FOR WOMEN","2","T-F 0700-0800(ONSITE)","WEIGHTS GYM","LANTIN, Katrina Mel","24","~","U","0","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 113","JJ","PHYSICAL FITNESS FOR WOMEN","2","T-F 0800-0900(ONSITE)","WEIGHTS GYM","LANTIN, Katrina Mel","24","~","U","0","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 113","KK","PHYSICAL FITNESS FOR WOMEN","2","T-F 1000-1100(ONSITE)","WEIGHTS GYM","LANTIN, Katrina Mel","24","~","U","0","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 113","L","PHYSICAL FITNESS FOR WOMEN","2","T-F 1100-1200(ONSITE)","WEIGHTS GYM","LANTIN, Katrina Mel","24","~","U","0","*STRICTLY FOR WOMEN ONLY","S","P"
"PHYED 113","SSS","PHYSICAL FITNESS FOR WOMEN","2","W 1100-1300(ONSITE)","WEIGHTS GYM","LANTIN, Katrina Mel","24","~","U","0","-","S","P"
"PHYED 113","T","PHYSICAL FITNESS FOR WOMEN","2","W 1300-1500(ONSITE)","WEIGHTS GYM","DANCEL, Dana Lora","24","E / F","U","-2","*Strictly for women only","S","P"
"PHYED 113","U","PHYSICAL FITNESS FOR WOMEN","2","W 1500-1700(ONSITE)","WEIGHTS GYM","DANCEL, Dana Lora","24","E / F","U","0","*Strictly for women only","S","P"
"PHYED 114.20","C","FUNCTIONAL TRAINING","2","M-TH 1100-1200(ONSITE)","MARTIAL ARTS RM","GARCIA, Rodolfo Jay Jr","24","~","U","2","-","S","P"
"PHYED 114.20","MM","FUNCTIONAL TRAINING","2","T-F 1300-1400(ONSITE)","COV COURTS","GARCIA, Rodolfo Jay Jr","24","~","U","0","-","S","P"
"PHYED 114.20","S","FUNCTIONAL TRAINING","2","W 0700-0900(ONSITE)","MARTIAL ARTS CE","PUERTOLLANO, PAUL ANDRE A.","24","~","U","1","-","S","P"
"PHYED 114.20","SS","FUNCTIONAL TRAINING","2","W 0900-1100(ONSITE)","MARTIAL ARTS CE","PUERTOLLANO, PAUL ANDRE A.","24","~","U","-1","-","S","P"
"PHYED 114.20","SSS","FUNCTIONAL TRAINING","2","W 1100-1300(ONSITE)","MARTIAL ARTS CE","PUERTOLLANO, PAUL ANDRE A.","24","~","U","0","-","S","P"
"PHYED 114","A","WEIGHT TRAINING","2","M-TH 0700-0800(ONSITE)","WEIGHTS GYM","ANCHETA, Alfonso Carlo","24","~","U","0","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 114","AA","WEIGHT TRAINING","2","M-TH 0800-0900(ONSITE)","WEIGHTS GYM","ANCHETA, Alfonso Carlo","24","~","U","4","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 114","BB","WEIGHT TRAINING","2","M-TH 1000-1100(ONSITE)","WEIGHTS GYM","RAVELO, Nathaniel Timothy","24","~","U","0","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 114","C","WEIGHT TRAINING","2","M-TH 1100-1200(ONSITE)","WEIGHTS GYM","RAVELO, Nathaniel Timothy","24","~","U","1","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 114","DD","WEIGHT TRAINING","2","M-TH 1300-1400(ONSITE)","WEIGHTS GYM","MENDOZA, Marc John Adriel","24","~","U","0","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 114","E","WEIGHT TRAINING","2","M-TH 1400-1500(ONSITE)","WEIGHTS GYM","MENDOZA, Marc John Adriel","24","~","U","0","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 114","F","WEIGHT TRAINING","2","M-TH 1500-1600(ONSITE)","WEIGHTS GYM","MENDOZA, Marc John Adriel","24","~","U","8","*STRICTLY FOR MEN ONLY","S","P"
"PHYED 114","MM","WEIGHT TRAINING","2","T-F 1300-1400(ONSITE)","WEIGHTS GYM","CLEMENTE, REGINA D.","24","~","U","0","*STRICTLY FOR MEN ONLY","S","P"
