"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ATMOS 200.2","ZZZ","MATHEMATICAL METHODS FOR ATMOSPHERIC SCIENCE","3","M-TH 1100-1230(ONSITE)","PS DEPT","SIMPAS, JAMES BERNARD B.","10","ENG","G","9","-","S","P"
"ATMOS 203","ZZZ","COMPUTATIONAL MODELS FOR THE ENVIRONMENT","3","W 1700-2000(ONSITE)","PS DEPT","OLAGUERA, LYNDON MARK P.","10","ENG","G","9","-","S","P"
"ATMOS 205","ZZZ","DYNAMIC METEOROLOGY","3","M-TH 0930-1100(ONSITE)","PS DEPT","SIMPAS, JAMES BERNARD B.","10","ENG","G","9","-","S","P"
"ATMOS 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.1","THES/DISS","THESIS I","3","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.19","Z1","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.2","THES/DISS","THESIS 2","3","TBA(~)","TBA","TBA, -","50","ENG","G","46","-","N","N"
"ATMOS 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"ATMOS 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ATMOS 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PHYS 10.01","CA-C","INTRODUCTORY PHYSICS, LECTURE","3","M-TH 1100-1230(ONSITE)","F-116","SOMBILLO, NERIS I.","32","ENG","U","7","-","S","P"
"PHYS 10.01","CB-D","INTRODUCTORY PHYSICS, LECTURE","3","M-TH 1230-1400(ONSITE)","F-116","SOMBILLO, NERIS I.","32","ENG","U","0","-","S","P"
"PHYS 10.01","CC-M","INTRODUCTORY PHYSICS, LECTURE","3","T-F 1230-1400(ONSITE)","F-116","SUPNAD, Myris","30","ENG","U","7","-","S","P"
"PHYS 10.01","CD-A","INTRODUCTORY PHYSICS, LECTURE","3","M-TH 0800-0930(ONSITE)","F-116","BLANCAS, PHILIP JORDAN D.","32","ENG","U","5","-","S","P"
"PHYS 10.01","CD-A1","INTRODUCTORY PHYSICS, LECTURE","3","M-TH 0800-0930(ONSITE)","CTC 406","SUPNAD, Myris","30","ENG","U","8","-","S","P"
"PHYS 10.01","CE-L","INTRODUCTORY PHYSICS, LECTURE","3","T-F 1100-1230(ONSITE)","F-116","AQUINO, ANGELO I.","32","ENG","U","4","-","S","P"
"PHYS 10.01","CF-L","INTRODUCTORY PHYSICS, LECTURE","3","T-F 1100-1230(ONSITE)","F-304","DAILISAN, PATRICIO P.","31","ENG","U","0","-","S","P"
"PHYS 10.01","CG-K","INTRODUCTORY PHYSICS, LECTURE","3","T-F 0930-1100(ONSITE)","F-106","AQUINO, ANGELO I.","31","ENG","U","0","-","S","P"
"PHYS 10.01","CH-C","INTRODUCTORY PHYSICS, LECTURE","3","M-TH 1100-1230(ONSITE)","F-304","DAILISAN, PATRICIO P.","31","ENG","U","12","-","S","P"
"PHYS 10.01","CI-A","INTRODUCTORY PHYSICS, LECTURE","3","M-TH 0800-0930(ONSITE)","F-304","VARGAS, Noel","32","ENG","U","6","-","S","P"
