"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"LEAD 305.","Y","STRATEGIC LEADERSHIP INNOVATION, AND CHANGE","3","SAT 1500-1800(ONSITE)","SS PSY COMP RM","MAGSAYSAY, JOWETT CECILIO F.","15","ENG","G","9","-","S","P"
"LEAD 393","G2","RESEARCH LAB:  QUANTITATIVE METHODS","3","M 1800-2100(ONSITE)","SS-284","ALAMPAY, EDITH LIANE P.","12","ENG","G","9","-","S","P"
"LEAD 396","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"LEAD 398.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 398.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 399.1","THES/DISS","DISSERTATION I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 399.1","THES/DISS1","DISSERTATION I","0","TBA(~)","TBA","CALLEJA, MENDIOLA T.","5","ENG","G","4","-","N","N"
"LEAD 399.19","PDEF","DISSERTATION PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","1","ENG","G","0","-","N","N"
"LEAD 399.2","THES/DISS","DISSERTATION II","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 399.2","THES/DISS1","DISSERTATION II","0","TBA(~)","TBA","ILAC, EMERALD JAY D.","2","ENG","G","1","-","N","N"
"LEAD 399.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 399.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 399.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"LEAD 399.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"PSYC 20","D","GENERAL PSYCHOLOGY","3","M-TH 1230-1400(ONSITE)","B-103","GALVEZ TAN, LOURDES JOY T.","37","ENG","U","1","29 SLOT(S) FOR BS PSY MAJORS. 7 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR M CPsych MAJORS.","S","P"
"PSYC 20","E","GENERAL PSYCHOLOGY","3","M-TH 1400-1530(ONSITE)","B-103","GALVEZ TAN, LOURDES JOY T.","36","ENG","U","1","-","S","P"
"PSYC 20","J","GENERAL PSYCHOLOGY","3","T-F 0800-0930(ONSITE)","B-103","KING, Erica Kimberly","37","ENG","U","1","29 SLOT(S) FOR BS PSY MAJORS. 7 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR MA PSY-DevPsych MAJORS. 1 SLOT(S) FOR M CPsych MAJORS.","S","P"
"PSYC 20","K","GENERAL PSYCHOLOGY","3","T-F 0930-1100(ONSITE)","B-103","KING, Erica Kimberly","36","ENG","U","0","29 SLOT(S) FOR BS PSY MAJORS. 9 SLOT(S) FOR AB IS MAJORS.","S","P"
"PSYC 21","H","PHYSIOLOGICAL PSYCHOLOGY","3","M-TH 1830-2000(ONSITE)","SEC-B201A","CUENCA, JR., MANUEL D.","70","ENG","U","8","64 SLOT(S) FOR AB PSY MAJORS. 1 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR AB IS MAJORS.","S","P"
"PSYC 21","S","PHYSIOLOGICAL PSYCHOLOGY","3","W 0900-1200(ONSITE)","K-201","PEREZ DE TAGLE, Patricia Marie","30","ENG","U","-1","28 SLOT(S) FOR AB PSY MAJORS. 1 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR AB IS MAJORS.","S","P"
"PSYC 22","J","SOCIAL PSYCHOLOGY","3","T-F 0800-0930(ONSITE)","G-304","CAMACHO, RYAN ANGELO P.","33","ENG","U","2","29 SLOT(S) FOR AB PSY MAJORS. 1 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"PSYC 22","K","SOCIAL PSYCHOLOGY","3","T-F 0930-1100(ONSITE)","K-201","CAMACHO, RYAN ANGELO P.","34","ENG","U","1","30 SLOT(S) FOR AB PSY MAJORS. 1 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"PSYC 22","N","SOCIAL PSYCHOLOGY","3","T-F 1400-1530(ONSITE)","B-103","CAMACHO, RYAN ANGELO P.","33","ENG","U","2","30 SLOT(S) FOR AB PSY MAJORS. 1 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","S","P"
"PSYC 23","A","COGNITIVE PSYCHOLOGY","3","M-TH 0800-0930(ONSITE)","B-103","BORRES, Mibo","33","ENG","U","0","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.","S","P"
"PSYC 23","B","COGNITIVE PSYCHOLOGY","3","M-TH 0930-1100(ONSITE)","B-103","ROXAS, Gilana Kim","33","ENG","U","1","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.","S","P"
"PSYC 23","C","COGNITIVE PSYCHOLOGY","3","M-TH 1100-1230(ONSITE)","K-203","ACOSTA, AVEGALE C.","33","ENG","U","2","ALL SLOTS FOR AB PSY MAJORS. ALL SLOTS FOR BS PSY MAJORS.","S","P"
"PSYC 23","K","COGNITIVE PSYCHOLOGY","3","T-F 0930-1100(ONSITE)","K-202","ACOSTA, Ingrid","35","ENG","U","6","16 SLOT(S) FOR AB PSY MAJORS. 18 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR AB IS MAJORS.","S","P"
"PSYC 23","K1","COGNITIVE PSYCHOLOGY","3","T-F 0930-1100(ONSITE)","K-203","SANDOVAL-BARCENAS, Arrianeth","34","ENG","U","1","15 SLOT(S) FOR AB PSY MAJORS. 18 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR AB IS MAJORS.","S","P"
"PSYC 23","M","COGNITIVE PSYCHOLOGY","3","T-F 1230-1400(ONSITE)","K-202","SANDOVAL-BARCENAS, Arrianeth","34","ENG","U","0","15 SLOT(S) FOR AB PSY MAJORS. 18 SLOT(S) FOR BS PSY MAJORS. 1 SLOT(S) FOR AB IS MAJORS.","S","P"
"PSYC 25","E","DEVELOPMENTAL PSYCHOLOGY","3","M-TH 1400-1530(ONSITE)","K-201","REYES, Dominiq Ruth","32","ENG","U","3","27 SLOT(S) FOR BS PSY MAJORS. 5 SLOT(S) FOR AB IS MAJORS.","S","P"
"PSYC 25","F","DEVELOPMENTAL PSYCHOLOGY","3","M-TH 1530-1700(ONSITE)","K-201","REYES, Dominiq Ruth","32","ENG","U","0","26 SLOT(S) FOR BS PSY MAJORS. 5 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR MA PSY-DevPsych MAJORS.","S","P"
"PSYC 25","K","DEVELOPMENTAL PSYCHOLOGY","3","T-F 0930-1100(ONSITE)","G-304","NG, RIZASON G.T.","31","ENG","U","-3","ALL SLOTS FOR AB PSY MAJORS.","S","P"
