"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"DECSC 25","C1","CREATIVE THINKING AND INNOVATION MANAGEMENT","3","M-TH 1100-1230(ONSITE)","SOM 106","ATUN, Hannah Paula","30","ENG","U","4","16 SLOT(S) FOR BS MIS MAJORS. 4 SLOT(S) FOR BSMIS-MSCS MAJORS. ALL SLOTS FOR SOM STUDENTS.","S","P"
"DECSC 31","W","DECISION ANALYSIS","3","SAT 0900-1200(ONSITE)","SOM 210","GAN, WILSON Q.","25","ENG","U","8","ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR DECISION SCIENCE MINORS.","S","P"
"DECSC 33","S","INTRODUCTION TO BUSINESS ANALYTICS","3","W 0830-1130(ONSITE)","SOM 210","GAW, Adriel Jeremy","25","ENG","U","11","-","S","P"
"DECSC 33","T","INTRODUCTION TO BUSINESS ANALYTICS","3","W 1200-1500(ONSITE)","SOM 210","GAW, Adriel Jeremy","25","ENG","U","-3","-","S","P"
"DECSC 131","Q","APPLIED BUSINESS ANALYTICS","3","T 1830-2130(ONSITE)","SOM 202","CHAN, JAN ADRIAN G., SIN, IMMANUEL GABRIEL M., TAN, RENZO ROEL P.","23","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS ME MAJORS.","S","P"
"DECSC 131","V","APPLIED BUSINESS ANALYTICS","3","W 1800-2100(ONSITE)","CTC 107","ANI, Chester Duane","23","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS ME MAJORS.","S","P"
"DECSC 131","W","APPLIED BUSINESS ANALYTICS","3","W 1800-2100(ONSITE)","SOM 202","BAUTISTA, Isabelle Marie","22","ENG","U","4","ALL SLOTS FOR 4TH YEAR BS ME MAJORS.","S","P"
"DECSC 134","Q","FINANCIAL ANALYTICS AND APPLICATIONS OF QUANTITATIVE FINANCE","3","F 1830-2130(ONSITE)","SOM 106","ALLADO, Armin Paul","23","ENG","U","0","ALL SLOTS FOR 4TH YEAR BS ME MAJORS.","S","P"
"DECSC 134","V","FINANCIAL ANALYTICS AND APPLICATIONS OF QUANTITATIVE FINANCE","3","W 1800-2100(ONSITE)","SOM 210","ALLADO, Armin Paul","23","ENG","U","-2","ALL SLOTS FOR 4TH YEAR BS ME MAJORS.","S","P"
"DECSC 141","G2","SYSTEM DYNAMICS MODELLING","3","M 1800-2100(ONSITE)","CTC 204","VILLEGAS, KERISH S.","25","ENG","U","19","-","S","P"
"DECSCI 242.50","G2","SYSTEMS THINKING FOR SUSTAINABILITY","3","M 1800-2100(ONSITE)","CTC 306","DENZON, Eduardo Ezekiel","20","ENG","G","14","ALL SLOTS FOR MSSM MAJORS.","S","P"
"ITENT 120","E","USER EXPERIENCE DESIGN","3","M-TH 1400-1530(ONSITE)","SOM 106","ATUN, Hannah Paula","25","ENG","U","12","-","S","P"
"ITENT 120","T","USER EXPERIENCE DESIGN","3","W 1200-1500(ONSITE)","SOM 204","COSIO, Angelina Rocelin","29","ENG","U","-2","ALL SLOTS FOR 3RD YEAR BS ITE MAJORS. ALL SLOTS FOR 4TH YEAR BS ITE MAJORS.","S","P"
