"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ANTH 101.1","M","FUNDAMENTALS OF ARCHAEOLOGY","3","T-F 1230-1400(ONSITE)","CTC 406","PAWLIK, Alfred","15","ENG","U","-3","-","S","P"
"ANTH 101","O","FUNDAMENTALS OF ANTHROPOLOGY","3","T-F 1530-1700(ONSITE)","SEC-A205A","CANUDAY, JOSE JOWEL P.","15","ENG","U","-2","-","S","P"
"ANTH 141.2","V","ANTHROPOLOGY OF SOUTHEAST ASIA","3","W 1800-2100(FULLY ONLINE)","TBA","ZIALCITA, FERNANDO N.","40","ENG","U","2","ALL SLOTS FOR AB Dip IR MAJORS.","S","P"
"ANTH 141.2","V1","ANTHROPOLOGY OF SOUTHEAST ASIA","3","W 1800-2100(FULLY ONLINE)","TBA","CANUDAY, JOSE JOWEL P.","40","ENG","U","12","ALL SLOTS FOR AB Dip IR MAJORS.","S","P"
"ANTH 168","B","ANTHROPOLOGY OF HEALTH","3","M-TH 0930-1100(FULLY ONLINE)","TBA","ROLDAN, SUZANNA R.","22","ENG","U","-1","-","S","P"
"ANTH 168","C","ANTHROPOLOGY OF HEALTH","3","M-TH 1100-1230(FULLY ONLINE)","TBA","ROLDAN, SUZANNA R.","22","ENG","U","2","-","S","P"
"ANTH 168","E","ANTHROPOLOGY OF HEALTH","3","M-TH 1400-1530(FULLY ONLINE)","TBA","ROLDAN, SUZANNA R.","22","ENG","U","1","-","S","P"
"ANTH 168","K","ANTHROPOLOGY OF HEALTH","3","T-F 0930-1100(FULLY ONLINE)","TBA","ABAYA, EUFRACIO C.","22","ENG","U","2","-","S","P"
"ANTH 168","N","ANTHROPOLOGY OF HEALTH","3","T-F 1400-1530(FULLY ONLINE)","TBA","ABAYA, EUFRACIO C.","22","ENG","U","1","-","S","P"
"ANTH 168","N1","ANTHROPOLOGY OF HEALTH","3","T-F 1400-1530(ONSITE)","SEC-A205A","ULDIN, Tanya","22","ENG","U","-2","-","S","P"
"ANTH 203.7","A","READINGS IN ANTHROPOLOGICAL THEORY","3","F 1800-2100(FULLY ONLINE)","TBA","PERTIERRA, RAUL","12","ENG","G","8","-","S","P"
"ANTH 292","G2","RESEARCH STRATEGIES","3","M 1800-2100(FULLY ONLINE)","TBA","CANUDAY, JOSE JOWEL P., WUI, Ma. Glenda","12","ENG","G","9","-","S","P"
"ANTH 293.1","H2","FUNDAMENTAL STATISTICS","3","TH 1800-2100(FULLY ONLINE)","TBA","CLAMOR, Wilfred Luis, NAVARRA, Melissa","12","ENG","G","9","-","S","P"
