"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"STS 10","A","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0800-0930(ONSITE)","B-208","MAINI, ZOMESH A.","28","ENG","U","0","-","S","P"
"STS 10","A1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0800-0930(ONSITE)","G-305","ZUNIGA, BRIAN KARLO W.","28","ENG","U","1","-","S","P"
"STS 10","B","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0930-1100(ONSITE)","B-104","AQUINO, ANGELO I.","28","ENG","U","-1","-","S","P"
"STS 10","B1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0930-1100(ONSITE)","G-305","GELLYNCK, MARC P.","28","ENG","U","0","-","S","P"
"STS 10","B2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0930-1100(ONSITE)","B-208","MAINI, ZOMESH A., RONDOLO, Irvin","28","ENG","U","0","-","S","P"
"STS 10","B3","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0930-1100(ONSITE)","CTC 414","ZUNIGA, BRIAN KARLO W.","28","ENG","U","0","-","S","P"
"STS 10","C","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1100-1230(ONSITE)","G-305","ARDA, John Rafael, PETALIO, Syra Marie Norin","30","ENG","U","1","-","S","P"
"STS 10","C2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1100-1230(ONSITE)","B-208","MAQUILING, JOEL T.","30","ENG","U","0","-","S","P"
"STS 10","C3","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1100-1230(ONSITE)","B-104","OLAGUERA, LYNDON MARK P.","30","ENG","U","0","-","S","P"
"STS 10","D","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1230-1400(ONSITE)","B-208","MAQUILING, JOEL T.","28","ENG","U","0","-","S","P"
"STS 10","D1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1230-1400(ONSITE)","B-307","OLAGUERA, LYNDON MARK P.","28","ENG","U","1","-","S","P"
"STS 10","D2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1230-1400(ONSITE)","G-305","ARDA, John Rafael, PETALIO, Syra Marie Norin","28","ENG","U","1","-","S","P"
"STS 10","E","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1400-1530(ONSITE)","B-104","CHAN, BENJAMIN O.","30","ENG","U","0","-","S","P"
"STS 10","E1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1400-1530(ONSITE)","G-305","GELLYNCK, MARC P.","30","ENG","U","0","-","S","P"
"STS 10","E2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1400-1530(ONSITE)","B-208","SATUMBAGA, DAWN IVA P.","28","ENG","U","2","-","S","P"
"STS 10","F","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1530-1700(ONSITE)","B-208","DAYRIT, SOPHIA ANGELI S.","30","ENG","U","-1","-","S","P"
"STS 10","F1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1530-1700(ONSITE)","G-305","GELLYNCK, MARC P.","28","ENG","U","2","-","S","P"
"STS 10","J","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 0800-0930(ONSITE)","B-104","AMANTE, Francesco","30","ENG","U","1","-","S","P"
"STS 10","K","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 0930-1100(ONSITE)","G-305","DAYRIT, SOPHIA ANGELI S.","28","ENG","U","1","-","S","P"
"STS 10","K1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 0930-1100(ONSITE)","B-208","MAINI, ZOMESH A.","28","ENG","U","0","-","S","P"
"STS 10","K2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 0930-1100(ONSITE)","B-104","ROJAS, NINA ROSARIO L.","30","ENG","U","1","-","S","P"
"STS 10","L","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1100-1230(ONSITE)","B-104","ARDA, John Rafael, PETALIO, Syra Marie Norin","28","ENG","U","0","-","S","P"
"STS 10","L1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1100-1230(ONSITE)","B-208","MAQUILING, JOEL T.","28","ENG","U","0","-","S","P"
"STS 10","L2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1100-1230(ONSITE)","G-305","OLAGUERA, LYNDON MARK P.","28","ENG","U","1","-","S","P"
"STS 10","L3","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1100-1230(ONSITE)","CTC 216","JARDELEZA MIJARES, JEAN MEIR P., NEBRES, S.J., BIENVENIDO F.","20","ENG","U","-3","-","S","P"
"STS 10","M1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1230-1400(ONSITE)","B-104","ARDA, John Rafael, PETALIO, Syra Marie Norin","28","ENG","U","2","-","S","P"
"STS 10","M2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1230-1400(ONSITE)","B-208","OLAGUERA, LYNDON MARK P., VILLARIN, SJ, Jose Ramon T.","28","ENG","U","-1","-","S","P"
"STS 10","N","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1400-1530(ONSITE)","B-208","BENNETT, CLINT DOMINIC G.","30","ENG","U","1","-","S","P"
"STS 10","O","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1530-1700(ONSITE)","B-104","AQUINO, ANGELO I.","28","ENG","U","0","-","S","P"
"STS 10","O1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1530-1700(ONSITE)","SOM 105","BENNETT, CLINT DOMINIC G.","28","ENG","U","0","-","S","P"
"STS 10","O2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","T-F 1530-1700(ONSITE)","CTC 214","SAMACO, JAPHETH DUANE C.","28","ENG","U","0","-","S","P"
"STS 10","S","SCIENCE, TECHNOLOGY, AND SOCIETY","3","W 0800-1100(ONSITE)","B-104","SATUMBAGA, DAWN IVA P.","30","ENG","U","1","-","S","P"
"STS 10","T","SCIENCE, TECHNOLOGY, AND SOCIETY","3","W 1200-1500(ONSITE)","B-104","ZUNIGA, BRIAN KARLO W.","30","ENG","U","0","-","S","P"
