"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"SocSc 11","PSY-A","UNDERSTANDING THE SELF","3","M-TH 0800-0930(ONSITE)","CTC 118","SY, Janine Michelle","30","ENG","U","2","-","S","P"
"SocSc 11","PSY-A1","UNDERSTANDING THE SELF","3","M-TH 0800-0930(ONSITE)","B-106","DE GUZMAN, Mira Michelle Angeli","30","ENG","U","1","-","S","P"
"SocSc 11","PSY-A2","UNDERSTANDING THE SELF","3","M-TH 0800-0930(ONSITE)","CTC 305","ROXAS, Gilana Kim","30","ENG","U","0","-","S","P"
"SocSc 11","PSY-B","UNDERSTANDING THE SELF","3","M-TH 0930-1100(ONSITE)","CTC 118","BORRES, Mibo","30","ENG","U","-1","-","S","P"
"SocSc 11","PSY-B1","UNDERSTANDING THE SELF","3","M-TH 0930-1100(ONSITE)","B-106","SIENA, Merimee","30","ENG","U","5","-","S","P"
"SocSc 11","PSY-B2","UNDERSTANDING THE SELF","3","M-TH 0930-1100(ONSITE)","B-204/B-205","GALVEZ, FERIC GAIUS L.","30","ENG","U","1","-","S","P"
"SocSc 11","PSY-C","UNDERSTANDING THE SELF","3","M-TH 1100-1230(ONSITE)","CTC 118","BULILAN, Ed Joseph","30","ENG","U","0","-","S","P"
"SocSc 11","PSY-C1","UNDERSTANDING THE SELF","3","M-TH 1100-1230(ONSITE)","B-204/B-205","SIENA, Merimee","30","ENG","U","1","-","S","P"
"SocSc 11","PSY-D","UNDERSTANDING THE SELF","3","M-TH 1230-1400(ONSITE)","CTC 118","BORRES, Mibo","30","ENG","U","-1","-","S","P"
"SocSc 11","PSY-D1","UNDERSTANDING THE SELF","3","M-TH 1230-1400(ONSITE)","B-106","ROXAS, Gilana Kim","30","ENG","U","4","-","S","P"
"SocSc 11","PSY-E","UNDERSTANDING THE SELF","3","M-TH 1400-1530(ONSITE)","CTC 118","NUEVO, ANITTA JOY A.","30","ENG","U","0","-","S","P"
