"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"RELED 215","W","READINGS IN DOCTRINE","3","SAT 0900-1200(ONSITE)","CTC 202","LAMBINO, PATRICIA P.","12","ENG","G","9","-","S","P"
"RELED 241","V","CONTEMPORARY TOPICS","3","W 1800-2100(ONSITE)","CTC 202","MENDOZA, RUBEN C.","25","ENG","G","15","-","S","P"
"RELED 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(ONSITE)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"RELED 297.3","X","READINGS IN MORAL THEOLOGY","3","SAT 1200-1500(ONSITE)","CTC 202","SANCHEZ, RACHEL JOYCE MARIE O.","25","ENG","G","14","-","S","P"
"RELED 297.4","W","READINGS IN WORSHIP AND SPIRITUALITY","3","SAT 0900-1200(ONSITE)","CTC 305","BADION, JUSTIN JOSEPH G.","25","ENG","G","15","-","S","P"
"RELED 298.19","Z1","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 298","CAPS","CAPSTONE PROJECT","3","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.1","THES","THESIS I","0","TBA(ONSITE)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"RELED 299.19","Z1","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.2","THES","THESIS II","0","TBA(ONSITE)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"RELED 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.6","SUB-A","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.7","SUB-B","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"THEO 11","A","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(ONSITE)","B-306","ALVAREZ, SJ, FR. FRANCIS","30","ENG","U","0","-","S","P"
"THEO 11","A1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(ONSITE)","K-304","CORTEZ, Kenjie","30","ENG","U","0","-","S","P"
"THEO 11","A2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(ONSITE)","B-104","CAÑETE, Jonathan James","30","ENG","U","2","-","S","P"
"THEO 11","A4","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(ONSITE)","BEL-212","UDARBE, Gina","30","ENG","U","2","-","S","P"
"THEO 11","B","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0930-1100(ONSITE)","K-304","CORTEZ, Kenjie","30","ENG","U","-1","-","S","P"
"THEO 11","B1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0930-1100(ONSITE)","BEL-310","LENON, JOHN LEMUEL L.","30","ENG","U","-1","-","S","P"
"THEO 11","B4","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0930-1100(ONSITE)","BEL-309","UDARBE, Gina","30","ENG","U","1","-","S","P"
"THEO 11","C","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1100-1230(ONSITE)","BEL-309","AGUAS, RAYMOND B.","30","ENG","U","2","-","S","P"
"THEO 11","C1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1100-1230(ONSITE)","G-205A","CALDERON, MARIA LOWELLA I.","30","ENG","U","1","-","S","P"
"THEO 11","C2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1100-1230(ONSITE)","BEL-310","LENON, JOHN LEMUEL L.","30","ENG","U","1","-","S","P"
"THEO 11","D","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(ONSITE)","BEL-310","AGUAS, RAYMOND B.","30","ENG","U","-1","-","S","P"
"THEO 11","D1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(ONSITE)","BEL-102","CAÑETE, Jonathan James","30","ENG","U","2","-","S","P"
"THEO 11","D2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(ONSITE)","C-114","CORTEZ, Kenjie","30","ENG","U","2","-","S","P"
"THEO 11","D4","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(ONSITE)","F-114","UDARBE, Gina","30","ENG","U","2","-","S","P"
"THEO 11","D5","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(ONSITE)","K-303","YABUT, RAPHAEL AGUSTINE L.","30","ENG","U","-1","-","S","P"
"THEO 11","E1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1400-1530(ONSITE)","BEL-310","CALDERON, MARIA LOWELLA I.","30","ENG","U","5","-","S","P"
"THEO 11","E2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1400-1530(ONSITE)","K-304","LENON, JOHN LEMUEL L.","30","ENG","U","2","-","S","P"
"THEO 11","E3","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1400-1530(ONSITE)","K-303","YABUT, RAPHAEL AGUSTINE L.","30","ENG","U","2","-","S","P"
"THEO 11","E4","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1400-1530(ONSITE)","BEL-209","CAÑETE, Jonathan James","30","ENG","U","0","-","S","P"
"THEO 11","F","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1530-1700(ONSITE)","BEL-310","CALDERON, MARIA LOWELLA I.","30","ENG","U","5","-","S","P"
"THEO 11","J","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0800-0930(ONSITE)","K-304","BADION, JUSTIN JOSEPH G.","30","ENG","U","2","-","S","P"
"THEO 11","J1","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0800-0930(ONSITE)","SOM 205","LACSA, Jose Eric","30","ENG","U","1","-","S","P"
"THEO 11","J2","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0800-0930(ONSITE)","SOM 103","PUGEDA, Teofilo Giovan III","30","ENG","U","1","-","S","P"
"THEO 11","K","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0930-1100(ONSITE)","K-304","BADION, JUSTIN JOSEPH G.","30","ENG","U","7","-","S","P"
"THEO 11","K1","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0930-1100(ONSITE)","B-309","GARCIA, Mark Christian Ray","30","ENG","U","2","-","S","P"
"THEO 11","K2","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0930-1100(ONSITE)","G-205A","IBITA, MA. MARICEL S.","30","ENG","U","1","-","S","P"
"THEO 11","K3","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0930-1100(ONSITE)","SOM 211","LACSA, Jose Eric","30","ENG","U","2","-","S","P"
"THEO 11","K4","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0930-1100(ONSITE)","SOM 103","PUGEDA, Teofilo Giovan III","30","ENG","U","3","-","S","P"
"THEO 11","L","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1100-1230(ONSITE)","BEL-310","AGUAS, RAYMOND B.","30","ENG","U","3","-","S","P"
"THEO 11","L2","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1100-1230(ONSITE)","SEC-C201A","GARCIA, Mark Christian Ray","30","ENG","U","1","-","S","P"
"THEO 11","L3","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1100-1230(ONSITE)","K-202","IBITA, MA. MARICEL S.","30","ENG","U","-1","-","S","P"
"THEO 11","L4","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1100-1230(ONSITE)","K-303","LECHUGA, Martius Richmond","30","ENG","U","-1","-","S","P"
"THEO 11","L5","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1100-1230(ONSITE)","G-205A","PUGEDA, Teofilo Giovan III","30","ENG","U","0","-","S","P"
"THEO 11","L6","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1100-1230(ONSITE)","SOM 204","REYES, AARON C.","30","ENG","U","-1","-","S","P"
"THEO 11","M","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1230-1400(ONSITE)","BEL-310","AGUAS, RAYMOND B.","30","ENG","U","2","-","S","P"
"THEO 11","M1","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1230-1400(ONSITE)","BEL-213","BADION, JUSTIN JOSEPH G.","30","ENG","U","1","-","S","P"
"THEO 11","M2","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1230-1400(ONSITE)","K-303","YABUT, RAPHAEL AGUSTINE L.","30","ENG","U","2","-","S","P"
"THEO 11","N1","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1400-1530(ONSITE)","BEL-310","GARCIA, Mark Christian Ray","30","ENG","U","1","-","S","P"
"THEO 11","N2","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1400-1530(ONSITE)","G-305","IBITA, MA. MARICEL S.","30","ENG","U","0","-","S","P"
"THEO 11","N3","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1400-1530(ONSITE)","K-304","LECHUGA, Martius Richmond","30","ENG","U","0","-","S","P"
"THEO 11","N4","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1400-1530(ONSITE)","CTC 107","REYES, AARON C.","30","ENG","U","-1","-","S","P"
"THEO 11","N5","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1400-1530(ONSITE)","K-303","YABUT, RAPHAEL AGUSTINE L.","30","ENG","U","-1","-","S","P"
"THEO 11","O","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1530-1700(ONSITE)","G-304","IBITA, MA. MARICEL S.","30","ENG","U","4","-","S","P"
"THEO 11","O1","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1530-1700(ONSITE)","K-304","LECHUGA, Martius Richmond","30","ENG","U","3","-","S","P"
"THEO 11","O2","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 1530-1700(ONSITE)","CTC 102","REYES, AARON C.","30","ENG","U","6","-","S","P"
"THEO 12","A2","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 0800-0930(ONSITE)","BEL-309","SANCHEZ, RACHEL JOYCE MARIE O.","31","FIL","U","8","-","S","P"
"THEO 12","B","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 0930-1100(ONSITE)","BEL-212","ARCEO, JOHANNE LORREN A.","30","ENG","U","-1","-","S","P"
"THEO 12","B1","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 0930-1100(ONSITE)","BEL-213","RACAZA, Marnie","30","~","U","0","-","S","P"
"THEO 12","C","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1100-1230(ONSITE)","BEL-212","RACAZA, Marnie","25","~","U","-1","-","S","P"
"THEO 12","D","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1230-1400(ONSITE)","BEL-213","ARCEO, JOHANNE LORREN A.","25","ENG","U","-1","-","S","P"
"THEO 12","E","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1400-1530(ONSITE)","BEL-212","ACEVEDO, JAIME A.","32","~","U","0","-","S","P"
"THEO 12","E1","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1400-1530(ONSITE)","BEL-213","LANOT, BERNADINE IANNE I.","32","ENG","U","0","-","S","P"
"THEO 12","E2","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1400-1530(ONSITE)","BEL-309","RACAZA, Marnie","32","~","U","-1","-","S","P"
"THEO 12","F","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1530-1700(ONSITE)","BEL-212","ACEVEDO, JAIME A.","30","~","U","2","-","S","P"
"THEO 12","F1","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1530-1700(ONSITE)","BEL-213","LANOT, BERNADINE IANNE I.","30","ENG","U","-1","-","S","P"
"THEO 12","F2","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1530-1700(ONSITE)","BEL-309","RACAZA, Marnie","30","~","U","-1","-","S","P"
"THEO 12","G","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","M-TH 1700-1830(ONSITE)","BEL-212","LAGUNZAD, MA. AIRA N.","30","ENG","U","-1","-","S","P"
"THEO 12","J","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","T-F 0800-0930(ONSITE)","BEL-212","COMILING, Karl","25","FIL","U","1","-","S","P"
"THEO 12","J1","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","T-F 0800-0930(ONSITE)","BEL-213","DELA CRUZ, RENATO T.","25","ENG","U","-1","-","S","P"
"THEO 12","J2","THEOLOGY OF THE CATHOLIC SOCIAL VISION","3","T-F 0800-0930(ONSITE)","K-202","SANCHEZ, RACHEL JOYCE MARIE O.","25","FIL","U","5","-","S","P"
