"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"THEO 396","COMP","DEVELOPMENT IN THE SPIRITUAL LIFE","3","TBA(~)","LST","TBA, -","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 201","YYY","REVELATION-FAITH","3","TBA(~)","LST","AQUINO, SJ, FR. ARNEL","30","ENG","G","21","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 201","YYY1","REVELATION-FAITH","3","TBA(~)","LST","YAP, Joaquin","30","ENG","G","17","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 202","YYY","FUNDAMENTAL MORAL THEOLOGY","3","TBA(~)","LST","GENILO, FR. ERIC MARCELO","30","ENG","G","18","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 202","YYY1","FUNDAMENTAL MORAL THEOLOGY","3","TBA(~)","LST","BABOR MSC, ABUNDIO JR.","30","ENG","G","17","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 211.03","YYY","HISTORICAL AND CULTURAL BACKGROUND FOR THE OLD TESTAMENT","3","TBA(~)","LST","RAMIREZ, S.J., FR. FELIPE FRUTO LL.","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 211.04","YYY","INTRODUCTION TO THE OLD TESTAMENT","3","TBA(~)","LST","CATAN, Moses Jarvis","30","ENG","G","26","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 211.10","YYY","PENTATEUCHAL STUDIES","3","TBA(~)","LST","RAMIREZ, S.J., FR. FELIPE FRUTO LL.","30","ENG","G","28","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 211.10","YYY1","PENTATEUCHAL STUDIES","3","TBA(~)","LST","TEH, Abigail","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 211.81","YYY","PSALMS AND WISDOM LITERATURE","3","TBA(~)","LST","ALVAREZ, SJ, FR. FRANCIS","30","ENG","G","27","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 212.20","YYY","SYNOPTICS","3","TBA(~)","LST","ALVAREZ, SJ, FR. FRANCIS","30","ENG","G","28","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 212.20","YYY1","SYNOPTICS","3","TBA(~)","LST","SCHNEIDER, FR. HERBERT SJ","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 221.05","YYY","INTRODUCTION INTO THE MYSTERY OF FAITH","3","TBA(~)","LST","BUDI, FR. HARTONO, S.J.","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 221.11","YYY","GOD ONE AND TRIUNE","3","TBA(~)","LST","YAP, Joaquin","30","ENG","G","27","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 221.11","YYY1","GOD ONE AND TRIUNE","3","TBA(~)","LST","REBUSTILLO, Rowan","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 221.34","YYY","SOTERIOLOGY AND MARIOLOGY","3","TBA(~)","LST","FRANCISCO, SJ, FR. MANUEL V.","30","ENG","G","27","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 221.34","YYY1","SOTERIOLOGY AND MARIOLOGY","3","TBA(~)","LST","REBUSTILLO, Rowan","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 222.08","YYY","THEMES RELATED TO EVANGELIZATION II","3","TBA(~)","LST","FUNG, FR. JOJO, S.J.","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 222.09","YYY","INCULTURATION OF THEOLOGY IN THE PHILIPPINES","3","TBA(~)","LST","MARFORI, Emmanuel","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 222.11","YYY","CHURCH AND MISSION","3","TBA(~)","LST","VALLABARAJ SDB, Jerome","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 223.05","YYY","SACRAMENTS OF VOCATION","3","TBA(~)","LST","DY, S.J., FR. OLIVER G.","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 223.05","YYY1","SACRAMENTS OF VOCATION","3","TBA(~)","LST","FAJARDO, CRISTOPHER","30","ENG","G","26","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 223.05","YYY2","SACRAMENTS OF VOCATION","3","TBA(~)","LST","FAJARDO, CRISTOPHER","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 226.03","YYY","INTRODUCING THEOLOGIES OF MIGRATION","3","TBA(~)","LST","DE GUZMAN, EMMANUEL S.","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 232.03","YYY","THEMES RELATED TO MORAL THEOLOGY I","3","TBA(~)","LST","PUEN, STEPHANIE ANN Y.","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 232.04","YYY","SPECIAL MORAL THEOLOGY II:  CHRISTIAN SOCIAL ETHICS","3","TBA(~)","LST","GENILO, FR. ERIC MARCELO","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 232.04","YYY1","SPECIAL MORAL THEOLOGY II:  CHRISTIAN SOCIAL ETHICS","3","TBA(~)","LST","BABOR MSC, ABUNDIO JR.","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
"TMP 232.17","YYY","MIGRATION IN CATHOLIC SOCIAL TEACHING","3","TBA(~)","LST","REBUSTILLO, Rowan","30","ENG","G","30","ALL SLOTS FOR TMP STUDENTS.","N","N"
"TMP 241.03","YYY","CANON LAW I","3","TBA(~)","LST","MANANZAN, SJ, FR. REGINALDO M.","30","ENG","G","29","ALL SLOTS FOR TMP STUDENTS.","S","P"
