"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CHEM 10.01","CA-A","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 0800-0930(FULLY ONSITE)","CTC 305","LIBUNAO, Philip Neri","25","ENG","U","7","-","N","N"
"CHEM 10.01","CB-J","CHEMISTRY IN MODERN LIFE, LECTURE","3","T-F 0800-0930(FULLY ONSITE)","CTC 305","LIBUNAO, Philip Neri","25","ENG","U","0","-","N","N"
"CHEM 10.01","CC-C","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 1100-1230(FULLY ONSITE)","TBA","PALOMARES, Camille Kate","25","ENG","U","0","-","N","N"
"CHEM 10.01","CD-L","CHEMISTRY IN MODERN LIFE, LECTURE","3","T-F 1100-1230(FULLY ONSITE)","TBA","GALVAN, Ramon III","25","ENG","U","8","-","N","N"
"CHEM 10.01","CE-E","CHEMISTRY IN MODERN LIFE, LECTURE","3","M-TH 1400-1530(FULLY ONSITE)","CTC 305","PALOMARES, Camille Kate","25","ENG","U","18","-","N","N"
"CHEM 10.01","CF-N","CHEMISTRY IN MODERN LIFE, LECTURE","3","T-F 1400-1530(FULLY ONSITE)","TBA","GALVAN, Ramon III","25","ENG","U","6","-","N","N"
"CHEM 10.02","CA-KL","CHEMISTRY IN MODERN LIFE, LABORATORY","1","T 1000-1200(FULLY ONSITE)","SEC-C206A","LIBUNAO, Philip Neri","25","ENG","U","7","-","N","N"
"CHEM 10.02","CB-BC","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 1000-1200(FULLY ONSITE)","SEC-C206A","LIBUNAO, Philip Neri","25","ENG","U","0","-","N","N"
"CHEM 10.02","CC-MN","CHEMISTRY IN MODERN LIFE, LABORATORY","1","T 1300-1500(FULLY ONSITE)","SEC-C207A","PALOMARES, Camille Kate","25","ENG","U","0","-","N","N"
"CHEM 10.02","CD-DE","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 1300-1500(FULLY ONSITE)","SEC-C207A","GALVAN, Ramon III","25","ENG","U","8","-","N","N"
"CHEM 10.02","CE-NO","CHEMISTRY IN MODERN LIFE, LABORATORY","1","T 1500-1700(FULLY ONSITE)","SEC-C207A","PALOMARES, Camille Kate","25","ENG","U","18","-","N","N"
"CHEM 10.02","CF-EF","CHEMISTRY IN MODERN LIFE, LABORATORY","1","TH 1500-1700(FULLY ONSITE)","SEC-C207A","GALVAN, Ramon III","25","ENG","U","7","-","N","N"
"CHEM 21.11","B","GENERAL CHEMISTRY I, LECTURE","3","M-TH 0930-1100(FULLY ONSITE)","SOM 103","PALOMARES, Jan Carlo","30","ENG","U","0","-","N","N"
"CHEM 21.11","D","GENERAL CHEMISTRY I, LECTURE","3","M-TH 1230-1400(FULLY ONSITE)","C-114","TBA, -","30","ENG","U","0","-","N","N"
"CHEM 21.11","K","GENERAL CHEMISTRY I, LECTURE","3","T-F 0930-1100(FULLY ONSITE)","C-304","TBA, -","31","ENG","U","0","-","N","N"
"CHEM 21.12","LAB1-DF","GENERAL CHEMISTRY I, LABORATORY","2","M 1300-1700(FULLY ONSITE)","SEC-C206A","INOCENTES, Carl Rogel","23","ENG","U","0","-","N","N"
