"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"HUMAN 145","N","GREAT BOOKS I: ANCIENT PERIOD","3","T-F 1400-1530(FULLY ONSITE)","CTC 205","SUNICO, RAMON VICENTE C.","5","ENG","U","0","-","N","N"
"HUMAN 147","K","GREAT BOOKS III: MODERN PERIOD","3","T-F 0930-1100(FULLY ONSITE)","G-312A","CRUZ, PRISCILLA ANGELA T.","5","ENG","U","0","-","N","N"
"HUMAN 199.2","D1","SENIOR SEMINAR II","3","M-TH 1230-1400(FULLY ONSITE)","SS-284","ALFONSO, ALPHONSUS LUIGI E.","1","E / F","U","0","ALL SLOTS FOR 4TH YEAR AB HUM MAJORS.","N","N"
"HUMAN 199.2","UV1","SENIOR SEMINAR II","3","W 1100-1400(FULLY ONSITE)","F-113","VILLANUEVA, MARTIN V.","2","E / F","U","0","ALL SLOTS FOR 4TH YEAR AB HUM MAJORS.","N","N"
"HUMAN 199.2","YYY","SENIOR SEMINAR II","3","TBA(FULLY ONSITE)","IS DEPT","LABASTILLA, SKILTY C., VILLANUEVA, MARTIN V.","1","E / F","U","1","-","N","N"
"IDS 121.15i","B","BASIC MUSIC RESEARCH AND CRITICISM","3","M-TH 0930-1100(FULLY ONSITE)","G-312A","FRANCISCO, KAREN FATIMA R.","30","ENG","U","0","-","N","N"
"IDS 121.15i","L","BASIC MUSIC RESEARCH AND CRITICISM","3","T-F 1100-1230(FULLY ONSITE)","G-312A","DE LA CRUZ, Miguel Francisco","30","ENG","U","0","-","N","N"
"IDS 121.15i","WX1","BASIC MUSIC RESEARCH AND CRITICISM","3","W 1400-1700(FULLY ONSITE)","G-312A","CAYABYAB, Antonio Maria","30","ENG","U","0","-","N","N"
"IDS 121.26","J","MUSIC: THE BROADWAY MUSICAL OF THE 20TH CENTURY","3","T-F 0800-0930(FULLY ONSITE)","G-312A","PASTRANA, ALLAN J.","30","ENG","U","13","-","N","N"
"IDS 132.05i","E","CULTURAL STUDIES OF CONTEMPORARY TECHNOLOGY","3","M-TH 1400-1530(FULLY ONSITE)","G-312A","LORENZANA, GEORGE PETER A.","30","ENG","U","0","-","N","N"
"IDS 132.05i","F","CULTURAL STUDIES OF CONTEMPORARY TECHNOLOGY","3","M-TH 1530-1700(FULLY ONSITE)","G-312A","LORENZANA, GEORGE PETER A.","30","ENG","U","18","-","N","N"
"IDS 133.04i","UV1","IDEOLOGIES: GENDER AND SOCIETY IN THE PHILIPPINES - PERSPECTIVES, PROBLEMS, AND PROSPECTS","3","W 1100-1400(FULLY ONSITE)","CTC 205","GUEVARA, MARITA CONCEPCION C.","30","E / F","U","0","-","N","N"
"IDS 145","N","GREAT BOOKS I: ANCIENT PERIOD","3","T-F 1400-1530(FULLY ONSITE)","CTC 205","SUNICO, RAMON VICENTE C.","25","ENG","U","3","-","N","N"
"IDS 147","K","GREAT BOOKS III: MODERN PERIOD","3","T-F 0930-1100(FULLY ONSITE)","G-312A","CRUZ, PRISCILLA ANGELA T.","25","ENG","U","0","-","N","N"
"IDS 148","A","GREAT BOOKS IV: PHILIPPINES","3","M-TH 0800-0930(FULLY ONSITE)","CTC 205","RESPETO, JERRY C.","30","FIL","U","25","-","N","N"
