"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"FRE 11","A","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 0800-0930(FULLY ONSITE)","SOM 104","YAP, JOSEPH MARTIN M.","18","~","U","0","-","N","N"
"FRE 11","B","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 0930-1100(FULLY ONSITE)","SOM 104","YAP, JOSEPH MARTIN M.","18","~","U","0","-","N","N"
"FRE 11","B1","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 0930-1100(FULLY ONSITE)","BEL-210","FAYLONA, DORIS T.","18","~","U","0","-","N","N"
"FRE 11","D","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(FULLY ONSITE)","BEL-210","FAYLONA, DORIS T.","18","~","U","0","-","N","N"
"FRE 11","E","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","M-TH 1400-1530(FULLY ONSITE)","BEL-210","FAYLONA, DORIS T.","18","~","U","0","-","N","N"
"FRE 11","J","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 0800-0930(FULLY ONSITE)","F-113","YU, ROBERT JOHN C.","18","~","U","0","-","N","N"
"FRE 11","J1","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 0800-0930(FULLY ONSITE)","BEL-210","YAP, JOSEPH MARTIN M.","18","~","U","0","-","N","N"
"FRE 11","K","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 0930-1100(FULLY ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","0","-","N","N"
"FRE 11","L","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 1100-1230(FULLY ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","0","-","N","N"
"FRE 11","L1","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 1100-1230(FULLY ONSITE)","F-115","YAP, JOSEPH MARTIN M.","18","~","U","0","-","N","N"
"FRE 11","M","BASIC FRENCH 1 LANGUAGE AND CULTURE","3","T-F 1230-1400(FULLY ONSITE)","K-301","YAP, JOSEPH MARTIN M.","18","~","U","0","-","N","N"
"FRE 12","L","BASIC FRENCH 2 LANGUAGE AND CULTURE","3","T-F 1100-1230(FULLY ONSITE)","SOM 104","YU, ROBERT JOHN C.","18","~","U","8","-","N","N"
"FRE 12","M","BASIC FRENCH 2 LANGUAGE AND CULTURE","3","T-F 1230-1400(FULLY ONSITE)","K-202","YU, ROBERT JOHN C.","18","~","U","0","-","N","N"
"FRE 13","M","INTERMEDIATE FRENCH 1","3","T-F 1230-1400(FULLY ONSITE)","F-115","VERA CRUZ, JOSE TEODORO C.","18","~","U","9","-","N","N"
"FRE 15","O","ADVANCED FRENCH 1","3","T-F 1530-1700(FULLY ONSITE)","F-114","VERA CRUZ, JOSE TEODORO C.","18","~","U","7","-","N","N"
"FRE 15","ZZZ","ADVANCED FRENCH 1","3","TUTORIAL 0000-0000(FULLY ONSITE)","TBA","VERA CRUZ, JOSE TEODORO C.","1","~","U","0","-","N","N"
"FRE 22","ZZZ","CONVERSATIONAL FRENCH","3","TUTORIAL 0000-0000(FULLY ONSITE)","TBA","VERA CRUZ, JOSE TEODORO C.","1","~","U","0","-","N","N"
"GER 11","A","BASIC GERMAN 1 LANGUAGE AND CULTURE","3","M-TH 0800-0930(FULLY ONSITE)","BEL 211","JOSE, JACKIE LOU L.","18","~","U","0","-","N","N"
"GER 11","J","BASIC GERMAN 1 LANGUAGE AND CULTURE","3","T-F 0800-0930(FULLY ONSITE)","SOM 104","SORIANO, BAYANI M.","18","~","U","0","1 SLOT(S) FOR CROSS-REG MAJORS.","N","N"
"GER 12","K","BASIC GERMAN 2 LANGUAGE AND CULTURE","3","T-F 0930-1100(FULLY ONSITE)","SOM 104","SORIANO, BAYANI M.","18","~","U","7","-","N","N"
"GER 13","C","INTERMEDIATE GERMAN 1","3","M-TH 1100-1230(FULLY ONSITE)","BEL 211","JOSE, JACKIE LOU L.","18","~","U","10","-","N","N"
"GER 15","D","ADVANCED GERMAN 1","3","M-TH 1230-1400(FULLY ONSITE)","BEL 211","JOSE, JACKIE LOU L.","18","~","U","14","-","N","N"
"ITA 11","N","BASIC ITALIAN 1 LANGUAGE AND CULTURE","3","T-F 1400-1530(FULLY ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","0","ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS. ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS.","N","N"
"ITA 11","O","BASIC ITALIAN 1 LANGUAGE AND CULTURE","3","T-F 1530-1700(FULLY ONSITE)","BEL-210","BAUTISTA, CARMINA MA. VERONICA L.","18","~","U","0","ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS. ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS.","N","N"
"PORT 11","D","BASIC PORTUGUESE 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(FULLY ONSITE)","CTC 406","CAPILI, PATRICK MICHAEL L.","18","~","U","0","-","N","N"
"RUSS 11","M","BASIC RUSSIAN 1 LANGUAGE AND CULTURE","3","T-F 1230-1400(FULLY ONSITE)","BEL 211","VILLAR, JR., FRANCISCO R.","18","~","U","1","ALL SLOTS FOR AB AM MAJORS. ALL SLOTS FOR AB LIT(ENG) MAJORS. ALL SLOTS FOR AB LIT(FIL) MAJORS. ALL SLOTS FOR AB PH MAJORS. ALL SLOTS FOR AB PanFil MAJORS. ALL SLOTS FOR BFA AM MAJORS. ALL SLOTS FOR BFA CW MAJORS. ALL SLOTS FOR BFA ID MAJORS. ALL SLOTS FOR BFA TA MAJORS. ALL SLOTS FOR SOM STUDENTS. ALL SLOTS FOR SOSE STUDENTS. ALL SLOTS FOR SOSS STUDENTS. 1 SLOT(S) FOR CROSS-REG MAJORS.","N","N"
