"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"PHYED 100","AA","SWIMMING","2","M-TH 0800-0900(FULLY ONSITE)","LS POOL","MEDINA, AMOR T.","24","ENG","U","0","*Strictly for men only","N","N"
"PHYED 100","AAB","SWIMMING","2","M-TH 0900-1000(FULLY ONSITE)","LS POOL","MEDINA, AMOR T.","24","ENG","U","18","*Strictly for men only","N","N"
"PHYED 100","BB","SWIMMING","2","M-TH 1000-1100(FULLY ONSITE)","LS POOL","MEDINA, AMOR T.","24","ENG","U","14","*Strictly for men only","N","N"
"PHYED 100","CC","SWIMMING","2","M-TH 1100-1200(FULLY ONSITE)","LS POOL","MEDINA, AMOR T.","24","ENG","U","6","*Strictly for men only","N","N"
"PHYED 100","DD","SWIMMING","2","M-TH 1300-1400(FULLY ONSITE)","LS POOL","MEDINA, AMOR T.","24","ENG","U","0","*Strictly for women only","N","N"
"PHYED 100","EE","SWIMMING","2","M-TH 1400-1500(FULLY ONSITE)","LS POOL","MEDINA, AMOR T.","24","ENG","U","0","*Strictly for women only","N","N"
"PHYED 100","MM1","SWIMMING","2","T-F 1300-1400(FULLY ONSITE)","LS POOL","ASAJAR, ARTURO F.","24","ENG","U","5","*Strictly for men only","N","N"
"PHYED 100","NN","SWIMMING","2","T-F 1400-1500(FULLY ONSITE)","LS POOL","ASAJAR, ARTURO F.","24","ENG","U","0","*Strictly for men only","N","N"
"PHYED 100","TT","SWIMMING","2","W 1000-1200(FULLY ONSITE)","LS POOL","BARTOLOME, MA. KRISTINA BEATRIZ A.","24","ENG","U","0","*Strictly for men only","N","N"
"PHYED 100","UU","SWIMMING","2","W 1200-1400(FULLY ONSITE)","LS POOL","BARTOLOME, MA. KRISTINA BEATRIZ A.","24","ENG","U","0","*Strictly for women only","N","N"
"PHYED 111","AA","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0800-0900(FULLY ONSITE)","BEL-205","RAVELO, Nathaniel Timothy","24","ENG","U","0","-","N","N"
"PHYED 111","AAA","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0700-0800(FULLY ONSITE)","CTC 102","RAVELO, Nathaniel Timothy","24","ENG","U","0","-","N","N"
"PHYED 111","AAA1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0700-0800(FULLY ONSITE)","CTC 103","BORJA, Julie Pearl","24","ENG","U","0","-","N","N"
"PHYED 111","AAA2","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 0700-0800(FULLY ONSITE)","CTC 104","TBA, -","24","ENG","U","1","-","N","N"
"PHYED 111","CDB","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1200-1300(FULLY ONSITE)","MARTIAL ARTS RM","GONZALES, MARIA CAMILLE BIANCA A.","24","ENG","U","6","-","N","N"
"PHYED 111","FF","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1600-1700(FULLY ONSITE)","B-208","COBAR, Alvin George","24","ENG","U","0","-","N","N"
"PHYED 111","FF1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1600-1700(FULLY ONSITE)","F-113","AGCAOILI, Jarrel Keane","24","ENG","U","0","-","N","N"
"PHYED 111","FF2","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","M-TH 1600-1700(FULLY ONSITE)","BEL-207","TBA, -","24","ENG","U","0","-","N","N"
"PHYED 111","JJ","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0800-0900(FULLY ONSITE)","B-306","GAVINO, Miguel Antonio","24","ENG","U","0","-","N","N"
"PHYED 111","JJ1","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0800-0900(FULLY ONSITE)","B-305","GIALOGO, RYAN C.","24","ENG","U","0","-","N","N"
"PHYED 111","JJ2","FOUNDATIONS OF PHYSICAL FITNESS AND HEALTH","2","T-F 0800-0900(FULLY ONSITE)","BEL-307","MENDOZA, Marc John Adriel","24","ENG","U","0","-","N","N"
