"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"RELED 201","ST2","TEACHING DOCTRINE","3","SAT 0800-1100(FULLY ONSITE)","BEL-102","YABUT, RAPHAEL AGUSTINE L.","30","ENG","G","27","-","N","N"
"RELED 202","UV2","TEACHING CHRISTOLOGY","3","SAT 1100-1400(FULLY ONSITE)","BEL-102","LAMBINO, PATRICIA P.","30","ENG","G","27","-","N","N"
"RELED 203","ST2A","TEACHING FUNDAMENTAL MORAL THEOLOGY","3","SAT 0800-1100(FULLY ONSITE)","BEL-212","ASENETA, Anatoly Angelo","30","ENG","G","29","-","N","N"
"RELED 204","YZS","TEACHING WORSHIP AND SPIRITUALITY","3","SAT 1800-2100(FULLY ONSITE)","BEL-213","ASIS, MICHAEL DEMETRIUS H.","30","ENG","G","23","-","N","N"
"RELED 205","ST2B","TEACHING ECCLESIOLOGY","3","SAT 0800-1100(FULLY ONSITE)","BEL-213","PUEN, STEPHANIE ANN Y.","30","ENG","G","23","-","N","N"
"RELED 211","WX2","CATECHETICAL LESSON PLANNING","3","SAT 1400-1700(FULLY ONSITE)","BEL-102","RONCAL, RAOUL R.","30","ENG","G","27","-","N","N"
"RELED 220","UV2A","TEACHING SPECIAL TOPICS IN MORAL THEOLOGY","3","SAT 1100-1400(FULLY ONSITE)","TBA","IBITA, MA. MARICEL S.","30","ENG","G","29","*G-303 was her room last time i encoded.","N","N"
"RELED 221","WX2A","CONSTRUCTING SYLLABI/CURRICULA","3","SAT 1400-1700(FULLY ONSITE)","BEL-212","ROSAL, LESLEY ANNE A.","30","ENG","G","29","-","N","N"
"RELED 231","WX2B","DESIGNING CATECHETICAL MATERIALS","3","SAT 1400-1700(FULLY ONSITE)","BEL-213","DELA ROSA, TINNAH M.","30","ENG","G","23","-","N","N"
"RELED 240","UV2B","DOCTRINE, MORALS, AND WORSHIP:  A SYNTHESIS","3","SAT 1100-1400(FULLY ONSITE)","BEL-309","AGUAS, RAYMOND B.","30","ENG","G","24","-","N","N"
"RELED 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","49","-","N","N"
"RELED 296","YYY3","COMPREHENSIVE EXAMINATIONS","0","TBA(FULLY ONSITE)","TBA","TBA, -","30","ENG","G","25","-","N","N"
"RELED 298.19","MCPPD","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 298","CAPS","CAPSTONE PROJECT","3","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 298","YYY","CAPSTONE PROJECT","3","TBA(FULLY ONSITE)","TBA","TBA, -","30","ENG","G","27","-","N","N"
"RELED 299.1","THES/DISS","THESIS I","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.1","YYY1","THESIS I","0","TBA(FULLY ONSITE)","TBA","TBA, -","30","ENG","G","30","-","N","N"
"RELED 299.19","TPD","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.2","THES/DISS","THESIS II","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.2","YYY2","THESIS II","0","TBA(FULLY ONSITE)","TBA","TBA, -","30","ENG","G","30","-","N","N"
"RELED 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.6","SUB-A","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"RELED 299.7","SUB-B","FINAL PAPER SUBMISSION (MASTERS)","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"THEO 11","A","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(FULLY ONSITE)","BEL-213","ALVAREZ, SJ, FR. FRANCIS","30","ENG","U","0","-","N","N"
"THEO 11","A1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(FULLY ONSITE)","BEL-212","CORTEZ, Kenjie","30","ENG","U","1","-","N","N"
"THEO 11","A2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(FULLY ONSITE)","BEL-102","UDARBE, Gina","30","ENG","U","1","-","N","N"
"THEO 11","A3","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0800-0930(FULLY ONSITE)","K-302","LENON, JOHN LEMUEL L.","30","ENG","U","0","-","N","N"
"THEO 11","B","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0930-1100(FULLY ONSITE)","BEL-212","CORTEZ, Kenjie","30","ENG","U","1","-","N","N"
"THEO 11","B1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0930-1100(FULLY ONSITE)","BEL-213","LENON, JOHN LEMUEL L.","30","ENG","U","0","-","N","N"
"THEO 11","B2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 0930-1100(FULLY ONSITE)","BEL-310","UDARBE, Gina","30","ENG","U","-2","-","N","N"
"THEO 11","C","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1100-1230(FULLY ONSITE)","F-114","AGUAS, RAYMOND B.","30","ENG","U","0","-","N","N"
"THEO 11","C1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1100-1230(FULLY ONSITE)","B-102","CALDERON, MARIA LOWELLA I.","30","ENG","U","1","-","N","N"
"THEO 11","C2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1100-1230(FULLY ONSITE)","BEL-213","LENON, JOHN LEMUEL L.","30","ENG","U","1","-","N","N"
"THEO 11","C3","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1100-1230(FULLY ONSITE)","CTC 407","TBA, -","30","ENG","U","1","-","N","N"
"THEO 11","D","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(FULLY ONSITE)","F-114","AGUAS, RAYMOND B.","30","ENG","U","0","-","N","N"
"THEO 11","D1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(FULLY ONSITE)","K-303","CORTEZ, Kenjie","30","ENG","U","0","-","N","N"
"THEO 11","D2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1230-1400(FULLY ONSITE)","BEL-213","UDARBE, Gina","30","ENG","U","1","-","N","N"
"THEO 11","E","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1400-1530(FULLY ONSITE)","BEL-213","CALDERON, MARIA LOWELLA I.","30","ENG","U","-1","-","N","N"
"THEO 11","E2","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1400-1530(FULLY ONSITE)","K-204","TBA, -","30","ENG","U","2","-","N","N"
"THEO 11","F","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1530-1700(FULLY ONSITE)","BEL-213","CALDERON, MARIA LOWELLA I.","30","ENG","U","0","-","N","N"
"THEO 11","F1","FAITH, SPIRITUALITY, AND THE CHURCH","3","M-TH 1530-1700(FULLY ONSITE)","K-204","TBA, -","30","ENG","U","0","-","N","N"
"THEO 11","J","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0800-0930(FULLY ONSITE)","K-304","BADION, JUSTIN JOSEPH G.","30","ENG","U","2","-","N","N"
"THEO 11","J1","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0800-0930(FULLY ONSITE)","BEL-213","GALVEZ, JAVIER MIGUEL A.","30","ENG","U","1","-","N","N"
"THEO 11","J2","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0800-0930(FULLY ONSITE)","BEL-310","PUGEDA, Teofilo Giovan III","30","ENG","U","0","-","N","N"
"THEO 11","J3","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0800-0930(FULLY ONSITE)","BEL-309","REYES, AARON C.","30","ENG","U","2","-","N","N"
"THEO 11","K","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0930-1100(FULLY ONSITE)","K-304","BADION, JUSTIN JOSEPH G.","30","ENG","U","0","-","N","N"
"THEO 11","K1","FAITH, SPIRITUALITY, AND THE CHURCH","3","T-F 0930-1100(FULLY ONSITE)","BEL-213","GALVEZ, JAVIER MIGUEL A.","30","ENG","U","0","-","N","N"
