"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CPA 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","44","-","N","N"
"CPA 298.1","CAPS","PRACTICUM IN BASIC EDUCATION TEACHING","6","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.19","MCPPD","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.2","CAPS4","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(FULLY ONSITE)","TBA","RODRIGO, MARIA MERCEDES T.","10","ENG","G","9","-","N","N"
"CPA 298.2","CAPS5","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(FULLY ONSITE)","TBA","NGO, GALVIN RADLEY L.","10","ENG","G","8","-","N","N"
"CPA 298.3","CAPS1","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(FULLY ONSITE)","TBA","NGO, GALVIN RADLEY L.","10","ENG","G","9","-","N","N"
"CPA 298.3","CAPS2","PROJECT DEVELOPMENT AND PRESENTATION","0","TBA(FULLY ONSITE)","TBA","NICDAO, JAIME JOSE G.","10","ENG","G","9","-","N","N"
"CPA 298.44","MCPFD","CAPSTONE PROJECT FINAL ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 298","CAPS1","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","CHING, JERALDINE K.","10","ENG","G","9","-","N","N"
"CPA 298","CAPS11","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","SANTOS, CORAZON L.","10","ENG","G","9","-","N","N"
"CPA 298","CAPS12","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","GO, SJ, JOHNNY C.","10","ENG","G","9","-","N","N"
"CPA 298","CAPS2","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","ESCAREZ, SOCORRO PERPETUAL E.","10","ENG","G","7","-","N","N"
"CPA 298","CAPS3","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","NICDAO, JAIME JOSE G.","10","ENG","G","8","-","N","N"
"CPA 298","CAPS4","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","NICDAO, RHODORA F.","10","ENG","G","6","-","N","N"
"CPA 298","CAPS5","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","ORACION, CARMELA C.","10","ENG","G","7","-","N","N"
"CPA 298","CAPS6","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","GUANGHAN, Liang","10","ENG","G","7","-","N","N"
"CPA 298","CAPS7","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","ALEJO, MA RESURRECCION P.","10","ENG","G","9","-","N","N"
"CPA 299.1","THES/DISS1","THESIS I","0","TBA(FULLY ONSITE)","TBA","ALEJO, MA RESURRECCION P.","10","ENG","G","9","-","N","N"
"CPA 299.1","THES/DISS2","THESIS I","0","TBA(FULLY ONSITE)","TBA","ESCAREZ, SOCORRO PERPETUAL E.","10","ENG","G","9","-","N","N"
"CPA 299.1","THES/DISS4","THESIS I","0","TBA(FULLY ONSITE)","TBA","MORENO, MA MONICA L.","10","ENG","G","9","-","N","N"
"CPA 299.1","THES/DISS6","THESIS I","0","TBA(FULLY ONSITE)","TBA","ALVAREZ, SJ, FR. FRANCIS","10","ENG","G","9","-","N","N"
"CPA 299.1","THES/DISS7","THESIS I","0","TBA(FULLY ONSITE)","TBA","VELOSO, MARITES R.","5","ENG","G","4","-","N","N"
"CPA 299.19","TPD","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 299.2","THES/DISS1","THESIS II","0","TBA(FULLY ONSITE)","TBA","ALVAREZ, SJ, FR. FRANCIS","10","ENG","G","9","-","N","N"
"CPA 299.2","THES/DISS2","THESIS II","0","TBA(FULLY ONSITE)","TBA","CHING, JERALDINE K.","10","ENG","G","9","-","N","N"
"CPA 299.2","THES/DISS3","THESIS II","0","TBA(FULLY ONSITE)","TBA","GO, SJ, JOHNNY C.","10","ENG","G","8","-","N","N"
"CPA 299.2","THES/DISS5","THESIS II","0","TBA(FULLY ONSITE)","TBA","MORENO, MA MONICA L.","10","ENG","G","9","-","N","N"
"CPA 299.2","THES/DISS7","THESIS II","0","TBA(FULLY ONSITE)","TBA","PERFECTO, MARIANNE RACHEL G.","10","ENG","G","8","-","N","N"
"CPA 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"CPA 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 392","WX2","CONCEPTUALIZING SCHOLARLY RESEARCH AND REFLECTIVE PRACTICE","3","SAT 1400-1700(FULLY ONSITE)","TBA","MARTIN, MARIA ISABEL P.","25","ENG","G","15","*Learning Collaboratory Schedule: February 29, March 1, & 2, 2024; 8:00 AM-5:00 PM","N","N"
"CPA 393","PF","METHODS OF INQUIRY 1: QUANTITATIVE APPROACH TO INVESTIGATION","3","F 1700-2000(FULLY ONSITE)","TBA","VALENTIN, ALVIN PATRICK M.","25","ENG","G","4","*Learning Collaboratory Schedule: April 11, 12, & 13, 2024; 8:00 AM-5:00 PM","N","N"
"CPA 393","ST2","METHODS OF INQUIRY 1: QUANTITATIVE APPROACH TO INVESTIGATION","3","SAT 0800-1100(FULLY ONSITE)","TBA","VALENTIN, ALVIN PATRICK M.","25","ENG","G","10","*Learning Collaboratory Schedule: April 11, 12, & 13, 2024; 8:00 AM-5:00 PM","N","N"
"CPA 396","COMP","COMPREHENSIVE EXAM","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.1","THES/DISS","DISSERTATION 1","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.19","DPD","DISSERTATION PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.2","THES/DISS","DISSERTATION 2","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.4","ODEF","DISSERTATION FINAL ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.6","SUB-A","SUBMISSION OF FINAL DISSERTATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"CPA 399.7","SUB-B","SUBMISSION OF FINAL DISSERTATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EDUC 101i","M","HISTORICAL AND PHILOSOPHICAL FOUNDATIONS OF EDUCATION","3","T-F 1230-1400(FULLY ONSITE)","SS-282","NGO, GALVIN RADLEY L.","27","ENG","U","-2","-","N","N"
"EDUC 101i","N","HISTORICAL AND PHILOSOPHICAL FOUNDATIONS OF EDUCATION","3","T-F 1400-1530(FULLY ONSITE)","SS-282","NGO, GALVIN RADLEY L.","27","ENG","U","-7","-","N","N"
"EDUC 130.3","WX1","PRACTICE TEACHING","3","W 1400-1700(FULLY ONSITE)","TBA","CHING, JERALDINE K.","3","ENG","U","0","-","N","N"
