"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CSP 11","A","CHINESE MANDARIN AND CULTURE 1","3","M-TH 0800-0930(FULLY ONSITE)","LH 206","ONG, JUBILEE G.","18","~","U","1","-","N","N"
"CSP 11","B","CHINESE MANDARIN AND CULTURE 1","3","M-TH 0930-1100(FULLY ONSITE)","LH 206","ONG, JUBILEE G.","18","~","U","-2","-","N","N"
"CSP 11","C","CHINESE MANDARIN AND CULTURE 1","3","M-TH 1100-1230(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","18","~","U","1","-","N","N"
"CSP 11","D","CHINESE MANDARIN AND CULTURE 1","3","M-TH 1230-1400(FULLY ONSITE)","CTC 204","SEE, MARY KIMBERLIE C.","19","~","U","-1","-","N","N"
"CSP 11","E","CHINESE MANDARIN AND CULTURE 1","3","M-TH 1400-1530(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","18","~","U","0","-","N","N"
"CSP 11","F","CHINESE MANDARIN AND CULTURE 1","3","M-TH 1530-1700(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","18","~","U","0","-","N","N"
"CSP 11","L","CHINESE MANDARIN AND CULTURE 1","3","T-F 1100-1230(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","19","~","U","0","-","N","N"
"CSP 11","M","CHINESE MANDARIN AND CULTURE 1","3","T-F 1230-1400(FULLY ONSITE)","LH 206","BATA, SIDNEY CHRISTOPHER T.","21","~","U","-5","-","N","N"
"CSP 11","N","CHINESE MANDARIN AND CULTURE 1","3","T-F 1400-1530(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","18","~","U","0","-","N","N"
"CSP 11","O","CHINESE MANDARIN AND CULTURE 1","3","T-F 1530-1700(FULLY ONSITE)","LH 206","BATA, SIDNEY CHRISTOPHER T.","19","~","U","-2","-","N","N"
"CSP 12","B","CHINESE MANDARIN AND CULTURE 2","3","M-TH 0930-1100(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","27","~","U","-6","-","N","N"
"CSP 13","C","INTERMEDIATE CHINESE 1","3","M-TH 1100-1230(FULLY ONSITE)","LH 206","SEE, DAISY C.","25","ENG","U","0","-","N","N"
"CSP 13","F","INTERMEDIATE CHINESE 1","3","M-TH 1530-1700(FULLY ONSITE)","LH 206","TBA, -","0","~","U","0","-","N","N"
"CSP 15","YYY","INTERMEDIATE CHINESE 3","3","TBA(FULLY ONSITE)","LH 200","SEE, DAISY C.","1","~","U","0","-","N","N"
"CSP 31","ST2","MODERN CHINESE ECONOMY","3","SAT 0800-1100(FULLY ONSITE)","CTC 204","MERCADO, GLORIA J.","30","ENG","U","-1","-","N","N"
"CSP 32","O","GOVERNMENT AND POLITICS OF CHINA","3","T-F 1530-1700(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","30","ENG","U","28","-","N","N"
"CSP 33","E","CHINA'S FOREIGN POLICY","3","M-TH 1400-1530(FULLY ONSITE)","LH 200","SEE, MARY KIMBERLIE C.","4","ENG","U","0","-","N","N"
"CSP 34","G","CHINA-JAPAN RELATIONS","3","M-TH 1700-1830(FULLY ONSITE)","LH 200","SEE, MARY KIMBERLIE C.","1","ENG","U","0","-","N","N"
"CSP 50i","A","CULTURAL DUE DILIGENCE: CONSIDERATIONS FOR BUSINESS IN AND WITH CHINA","3","M-TH 0800-0930(FULLY ONSITE)","CTC 204","SEE, MARY KIMBERLIE C.","30","ENG","U","0","-","N","N"
"CSP 57","K","CROSS CULTURAL COMMUNICATION IN A CHINESE CONTEXT","3","T-F 0930-1100(FULLY ONSITE)","CTC 204","YUGIOKSING, JANE T.","30","ENG","U","22","-","N","N"
"CSP 60.14","M","GENDER AND SEXUALITY IN CHINESE MEDICINE","3","T-F 1230-1400(FULLY ONSITE)","CTC 204","NAVARRO, FRANCISCO V.","30","ENG","U","19","-","N","N"
"CSP 61i","N","SCIENCE AND TECHNOLOGY IN CHINA","3","T-F 1400-1530(FULLY ONSITE)","LH 206","BATA, SIDNEY CHRISTOPHER T.","31","ENG","U","-1","-","N","N"
"CSP 62i","ST1","COMPARATIVE PERSPECTIVES IN HUMAN ANATOMY & PHYSIOLOGY","3","W 0800-1100(FULLY ONSITE)","CTC 204","MANABAT, MARJORIE Y.","30","ENG","U","0","-","N","N"
"CSP 71i","D","CHINESE ART AND SOCIETY","3","M-TH 1230-1400(FULLY ONSITE)","LH 206","SEE, DAISY C.","30","ENG","U","-1","-","N","N"
"CSP 71i","E","CHINESE ART AND SOCIETY","3","M-TH 1400-1530(FULLY ONSITE)","LH 206","SEE, DAISY C.","30","ENG","U","-2","-","N","N"
"CSP 192","YYY1","RESEARCH METHODS","3","TBA(FULLY ONSITE)","LH 200","SEE, DAISY C.","1","ENG","U","0","-","N","N"
"CSP 199","C","RESEARCH IN CHINESE STUDIES","3","M-TH 1100-1230(FULLY ONSITE)","LH 200","SEE, MARY KIMBERLIE C.","5","ENG","U","0","4 SLOT(S) FOR AB ChnS-B MAJORS. 1 SLOT(S) FOR AB ChnS-S MAJORS.","N","N"
"CSP 213","SW","ADVANCE CHINESE","3","SAT 0800-1530(FULLY ONLINE)","CH DEPT","SHITAO, Zhang","5","ENG","G","4","-","N","N"
