"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ENGG 10","LAB1-AB","ENGINEERING WORKSHOP AND PRACTICES","1","M 0800-1000(FULLY ONSITE)","F-320","TBA, -","19","ENG","U","0","-","N","N"
"ENGG 10","LAB1-BC","ENGINEERING WORKSHOP AND PRACTICES","1","M 1000-1200(FULLY ONSITE)","F-320","TBA, -","17","ENG","U","3","-","N","N"
"ENGG 10","LAB1-JK","ENGINEERING WORKSHOP AND PRACTICES","1","T 0800-1000(FULLY ONSITE)","F-320","TORRES, Justin Bryce","18","ENG","U","-2","-","N","N"
"ENGG 10","LAB2-AB","ENGINEERING WORKSHOP AND PRACTICES","1","TH 0800-1000(FULLY ONSITE)","F-320","TBA, -","19","ENG","U","-1","-","N","N"
"ENGG 10","LAB2-JK","ENGINEERING WORKSHOP AND PRACTICES","1","F 0800-1000(FULLY ONSITE)","F-320","TORRES, Justin Bryce","20","ENG","U","0","-","N","N"
"ENGG 11","T","COMPUTER-AIDED DRAFTING","1","W 1030-1230(ONSITE)","CTC 219","GALICIA, JAN KEVIN A.","18","ENG","U","4","-","N","N"
"ENGG 11","U","COMPUTER-AIDED DRAFTING","1","W 1300-1500(ONSITE)","CTC 219","GALICIA, JAN KEVIN A.","18","ENG","U","2","-","N","N"
"ENGG 11","WX","COMPUTER-AIDED DRAFTING","1","W 1500-1700(ONSITE)","CTC 219","GALICIA, JAN KEVIN A.","18","ENG","U","2","-","N","N"
"ENGG 11","XW","COMPUTER-AIDED DRAFTING","1","W 1300-1730(ONSITE)","TBA","TBA, -","18","ENG","U","18","-","N","N"
"ENGG 16.22","LAB1-ST","COMPUTER ENGINEERING DRAFTING AND DESIGN","1","W 0800-1000(FULLY ONSITE)","F-323","TORRES, Justin Bryce","24","ENG","U","13","-","N","N"
"ENGG 27.01","M","ADVANCE ENGINEERING MATH WITH NUMERICAL METHODS, LECTURE","3","T-F 1230-1400(FULLY ONSITE)","CTC 219","LIBATIQUE, NATHANIEL JOSEPH C.","10","ENG","U","0","-","N","N"
"ENGG 27.02","LAB1-ST","ADVANCE ENGINEERING MATH WITH NUMERICAL METHODS, LABORATORY","1","W 0800-1000(FULLY ONSITE)","CTC 219","LIBATIQUE, NATHANIEL JOSEPH C.","10","ENG","U","2","-","N","N"
"ENGG 30.30","A","INTRODUCTION TO PROGRAMMING FOR SCIENTISTS","3","M-TH 0800-1000(ONSITE)","CTC 219","MADAMBA, Joy Alinda","16","ENG","U","16","-","N","N"
"ENGG 30.30","BC","INTRODUCTION TO PROGRAMMING FOR SCIENTISTS","3","M-TH 1000-1200(FULLY ONSITE)","CTC 517","MADAMBA, Joy Alinda","10","ENG","U","-3","-","N","N"
"ENGG 32","D","DATA STRUCTURES AND ALGORITHMS","2","M-TH 1230-1400(FULLY ONSITE)","CTC 219","MADAMBA, Joy Alinda","24","ENG","U","8","-","N","N"
"ENGG 38","LAB1-ST","SOFTWARE DEVELOPMENT","2","W 0800-1000(FULLY ONSITE)","CTC 403","RECTO, King Harold","9","ENG","U","6","-","N","N"
"ENGG 47","OF","ELECTROMAGNETIC THEORY AND APPLICATIONS","4","T-F 1530-1700; TH 1530-1730(ONSITE)","CTC 517; CTC 517","LIBATIQUE, NATHANIEL JOSEPH C., PENA, ROBERT ALFIE S.","16","ENG","U","2","-","N","N"
"ENGG 101.01","K","CIRCUITS I, LECTURE","3","T-F 0930-1100(FULLY ONSITE)","F-308","MONJE, JOSE CLARO N.","26","ENG","U","10","-","N","N"
"ENGG 101.02","G1","CIRCUITS I, LABORATORY","1","M 1700-1900(ONSITE)","F-325","TBA, -","20","ENG","U","19","-","N","N"
"ENGG 102.01","C","CIRCUITS II, LECTURE","3","M-TH 1100-1230(FULLY ONSITE)","F-308","MONJE, JOSE CLARO N.","30","ENG","U","14","-","N","N"
"ENGG 102.02","LAB1-JK","CIRCUITS II, LABORATORY","1","T 0800-1000(FULLY ONSITE)","F-325","RECTO, King Harold","15","ENG","U","-1","-","N","N"
"ENGG 111.01","L","ELECTRONICS I, LECTURE","3","T-F 1100-1230(FULLY ONSITE)","F-308","MONJE, JOSE CLARO N.","30","ENG","U","4","-","N","N"
"ENGG 111.02","LAB2-TU","ELECTRONICS I, LABORATORY","1","SAT 1000-1200(FULLY ONSITE)","F-325","MACALINAO, MARC JOSEPH M.","20","ENG","U","3","-","N","N"
"ENGG 111.02","SX","ELECTRONICS I, LABORATORY","1","SAT 1230-1430(FULLY ONSITE)","F-320","MACALINAO, MARC JOSEPH M.","20","ENG","U","17","-","N","N"
"ENGG 112.01","U","ELECTRONICS II, LECTURE","3","W-SAT 1100-1230(FULLY ONSITE)","F-308","RECTO, King Harold","25","ENG","U","8","-","N","N"
"ENGG 112.02","LAB1-VW","ELECTRONICS II, LABORATORY","1","W 1300-1500(FULLY ONSITE)","F-325","PENA, ROBERT ALFIE S.","19","ENG","U","2","-","N","N"
"ENGG 115.13","GMB","ELECTRICITY NETWORKS AND POWER SYSTEMS","1","M 1700-1900(FULLY ONSITE)","TBA","PENA, ROBERT ALFIE S., RECTO, King Harold","21","ENG","U","0","*CTC 216 is already used","N","N"
"ENGG 121.01","C","LOGIC CIRCUITS AND SWITCHING THEORY, LECTURE","3","M-TH 1100-1230(FULLY ONSITE)","CTC 219","GALICIA, JAN KEVIN A.","11","ENG","U","-1","-","N","N"
"ENGG 121.02","FG2","LOGIC CIRCUITS AND SWITCHING THEORY, LABORATORY","1","TH 1600-1800(ONSITE)","F-323","OPPUS, CARLOS M.","11","ENG","U","-1","-","N","N"
"ENGG 122.01","C","MICROPROCESSORS AND MICROCONTROLLERS, LECTURE","3","M-TH 1100-1230(FULLY ONSITE)","F-323","TORRES, Justin Bryce","23","ENG","U","12","-","N","N"
"ENGG 122.02","LAB2-VW","MICROPROCESSORS AND MICROCONTROLLERS, LABORATORY","1","SAT 1300-1500(FULLY ONSITE)","F-323","OPPUS, CARLOS M.","23","ENG","U","12","-","N","N"
"ENGG 124.01","B","EMBEDDED SYSTEMS, LECTURES","3","M-TH 0930-1100(FULLY ONSITE)","F-323","TBA, -","12","ENG","U","1","-","N","N"
"ENGG 124.02","Z","EMBEDDED SYSTEMS, LABORATORY","1","SAT 1530-1730(ONSITE)","F-323","OPPUS, CARLOS M.","12","ENG","U","1","-","N","N"
"ENGG 125.03","FG1","HARDWARE DESCRIPTION LANGUAGE","1","M 1600-1800(ONSITE)","F-323","OPPUS, CARLOS M.","16","ENG","U","3","-","N","N"
"ENGG 126","Q","OPERATING SYSTEMS","3","T-F 1830-2000(FULLY ONSITE)","CTC 403","HERRERA, Alex Richard","13","ENG","U","2","-","N","N"
"ENGG 135.10","GTHB","FUNDAMENTAL PRINCIPLES OF DYNAMICS AND THE FINITE ELEMENT METHOD","2","TH 1700-1900(FULLY ONSITE)","TBA","ALQUIZA, Laurence Keith, RECTO, King Harold","21","ENG","U","0","-","N","N"
"ENGG 136.13","GTB","THERMOGRAPHY AND HEAT TRANSFER","1","T 1700-1900(FULLY ONSITE)","CTC 216","RECTO, King Harold","21","ENG","U","0","-","N","N"
"ENGG 141.01","N","ANALOG COMMUNICATION, LECTURE","3","T-F 1400-1530(FULLY ONSITE)","F-308","KWONG, JOHN CHRIS T.","21","ENG","U","1","-","N","N"
"ENGG 141.02","LAB1-ST","ANALOG COMMUNICATION, LABORATORY","1","W 0800-1000(FULLY ONSITE)","F-310","KWONG, JOHN CHRIS T.","21","ENG","U","1","-","N","N"
"ENGG 142.01","L","DIGITAL COMMUNICATIONS, LECTURE","3","T-F 1100-1230(FULLY ONSITE)","CTC 219","GUICO, MARIA LEONORA C., TBA, -","10","ENG","U","1","-","N","N"
"ENGG 142.02","V1","DIGITAL COMMUNICATIONS, LABORATORY","1","W 1530-1730(ONSITE)","F-310","KWONG, JOHN CHRIS T.","11","ENG","U","2","-","N","N"
"ENGG 143.01","K","DATA COMMUNICATION AND NETWORKING, LECTURE","3","T-F 0930-1100(FULLY ONSITE)","F-310","GUICO, MARIA LEONORA C.","16","ENG","U","3","-","N","N"
"ENGG 143.02","LAB1-TU","DATA COMMUNICATION AND NETWORKING, LABORATORY","1","W 1000-1200(FULLY ONSITE)","CTC 403","KWONG, JOHN CHRIS T.","16","ENG","U","7","-","N","N"
"ENGG 144.01","O","TRANSMISSION MEDIA AND ANTENNA SYSTEMS, LECTURE","3","T-F 1530-1700(FULLY ONSITE)","F-310","KWONG, JOHN CHRIS T.","5","ENG","U","-2","-","N","N"
"ENGG 144.02","YZW","TRANSMISSION MEDIA AND ANTENNA SYSTEMS, LABORATORY","1","W 1800-2000(FULLY ONSITE)","F-310","KWONG, JOHN CHRIS T.","10","ENG","U","3","-","N","N"
"ENGG 151.01","A","SIGNALS, SPECTRA, AND SIGNAL PROCESSING, LECTURE","3","M-TH 0800-0930(FULLY ONSITE)","CTC 403","AGUSTIN, LUISITO L.","18","ENG","U","4","-","N","N"
"ENGG 151.02","LAB2-KL","SIGNALS, SPECTRA, AND SIGNAL PROCESSING, LABORATORY","1","F 1000-1200(FULLY ONSITE)","CTC 403","AGUSTIN, LUISITO L.","18","ENG","U","8","-","N","N"
"ENGG 152.01","A","FEEDBACK AND CONTROL SYSTEMS, LECTURE","3","M-TH 0800-0930(FULLY ONSITE)","CTC 517","LIBATIQUE, NATHANIEL JOSEPH C.","19","ENG","U","1","-","N","N"
"ENGG 152.02","FG","FEEDBACK AND CONTROL SYSTEMS, LABORATORY","1","W 1530-1730(FULLY ONSITE)","CTC 517","LIBATIQUE, NATHANIEL JOSEPH C.","14","ENG","U","2","-","N","N"
"ENGG 156","J","FUNDAMENTALS OF MIXED SIGNALS AND SENSORS","3","T-F 0800-0930(FULLY ONSITE)","CTC 403","AGUSTIN, LUISITO L.","13","ENG","U","1","-","N","N"
"ENGG 160","F","ENGINEERING ECONOMY","3","M-TH 1530-1700(FULLY ONSITE)","CTC 403","GALICIA, JAN KEVIN A., GUICO, MARIA LEONORA C.","20","ENG","U","0","-","N","N"
"ENGG 171.20","F1","COMPUTER ENGINEERING AS A DISCIPLINE","1","M 1530-1630(ONSITE)","CTC 517","MACABEBE, EREES QUEEN B.","25","ENG","U","9","-","N","N"
"ENGG 180.13","YZ","HACKATHON","2.5","F 1700-1900(FULLY ONSITE)","TBA","OPPUS, CARLOS M., RECTO, King Harold","21","ENG","U","0","*CTC 216 already used","N","N"
