"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"EDUC 222","GM","THE PHILIPPINE GOVERNMENT AND THE SCHOOLS","3","M 1700-2000(FULLY ONSITE)","TBA","ORACION, CARMELA C.","20","ENG","G","9","*Learning Collaboratory Schedule: March 16 (Friday), 22 (Friday) & 23 (Saturday), 2024 - 8:00 AM to 5:00 PM","N","N"
"ELM 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","47","-","N","N"
"ELM 298.1","CAPS","PRACTICUM IN BASIC EDUCATION TEACHING","6","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298.19","MCPPD","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 298","CAPS1","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","ALEJO, MA RESURRECCION P.","5","ENG","G","4","-","N","N"
"ELM 298","CAPS2","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","ESCAREZ, SOCORRO PERPETUAL E.","5","ENG","G","4","-","N","N"
"ELM 298","CAPS3","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","MARTIN, MARIA ISABEL P.","5","ENG","G","3","-","N","N"
"ELM 298","CAPS4","INTEGRATING PAPER","6","TBA(FULLY ONSITE)","TBA","ORACION, CARMELA C.","5","ENG","G","4","-","N","N"
"ELM 299.1","THES/DISS1","THESIS I","0","TBA(FULLY ONSITE)","TBA","ALEJO, MA RESURRECCION P.","5","ENG","G","4","-","N","N"
"ELM 299.1","THES/DISS3","THESIS I","0","TBA(FULLY ONSITE)","TBA","ESCAREZ, SOCORRO PERPETUAL E.","5","ENG","G","4","-","N","N"
"ELM 299.19","TPD","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"ELM 299.2","THES/DISS1","THESIS II","0","TBA(FULLY ONSITE)","TBA","ALEJO, MA RESURRECCION P.","5","ENG","G","3","-","N","N"
"ELM 299.2","THES/DISS10","THESIS II","0","TBA(FULLY ONSITE)","TBA","ORACION, CARMELA C.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS2","THESIS II","0","TBA(FULLY ONSITE)","TBA","ALVAREZ, SJ, FR. FRANCIS","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS3","THESIS II","0","TBA(FULLY ONSITE)","TBA","DE LEON, MARLENE M.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS6","THESIS II","0","TBA(FULLY ONSITE)","TBA","MARTIN, MARIA ISABEL P.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS7","THESIS II","0","TBA(FULLY ONSITE)","TBA","NGO, GALVIN RADLEY L.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS8","THESIS II","0","TBA(FULLY ONSITE)","TBA","NICDAO, JAIME JOSE G.","5","ENG","G","4","-","N","N"
"ELM 299.2","THES/DISS9","THESIS II","0","TBA(FULLY ONSITE)","TBA","NICDAO, RHODORA F.","5","ENG","G","4","-","N","N"
"ELM 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","48","-","N","N"
"ELM 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 302","GTH","PROFESSIONALISM IN EDUCATION","3","TH 1700-2000(FULLY ONSITE)","TBA","ORACION, CARMELA C.","25","ENG","G","16","*Learning Collaboratory Schedule: February 29 to March 2, 2024 (Thursday to Saturday) 8:00 AM - 5:00 PM","N","N"
"ELM 302","YW","PROFESSIONALISM IN EDUCATION","3","W 1700-2000(FULLY ONSITE)","TBA","ORACION, CARMELA C.","25","ENG","G","9","*Learning Collaboratory Schedule: February 29 to March 2, 2024 (Thursday to Saturday) 8:00 AM - 5:00 PM","N","N"
"ELM 396","COMP","COMPREHENSIVE EXAM","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.1","THES/DISS","DISSERTATION 1","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.19","DPD","DISSERTATION PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.2","THES/DISS","DISSERTATION 2","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.4","ODEF","DISSERTATION FINAL ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.6","SUB-A","SUBMISSION OF FINAL DISSERTATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"ELM 399.7","SUB-B","SUBMISSION OF FINAL DISSERTATION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
