"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"EURO 25","WX1B","EUROPEAN POLITICAL AND SOCIAL INTEGRATION","3","W 1400-1700(FULLY ONSITE)","SEC-A118A","ENVERGA III, MANUEL R.","25","ENG","U","1","*Pre-requisite: EURO 20, EURO 22","N","N"
"EURO 20","E","EVOLUTION OF EUROPEAN INTEGRATION","3","M-TH 1400-1530(FULLY ONSITE)","CTC 206","TIONLOC, JAVIER RICO ISRAEL R.","25","ENG","U","0","-","N","N"
"EURO 24","F","ECONOMICS OF THE EUROPEAN INTEGRATION","3","M-TH 1530-1700(FULLY ONSITE)","CTC 118","CRUZ, IRWIN A.","30","ENG","U","7","*Prerequisites: EURO 22, ECON 110","N","N"
"EURO 24","G","ECONOMICS OF THE EUROPEAN INTEGRATION","3","M-TH 1700-1830(FULLY ONSITE)","CTC 406","CRUZ, IRWIN A.","30","ENG","U","14","*For Economics Majors only. Pre-req ECON 110","N","N"
"EURO 112","J","BASIC LEGAL CONCEPTS OF THE EUROPEAN UNION","3","T-F 0800-0930(FULLY ONSITE)","CTC 118","CRUZ, JAN FREDRICK P.","10","ENG","U","1","*Pre-requisites: EURO 22, EURO 111","N","N"
"EURO 113","E","COMPARATIVE EUROPEAN POLITICS","3","M-TH 1400-1530(FULLY ONSITE)","CTC 118","ENVERGA III, MANUEL R.","25","ENG","U","14","-","N","N"
"EURO 181.1i","L","INTERDISCIPLINARY ELECTIVE: PERSPECTIVES ON MONARCHY","3","T-F 1100-1230(FULLY ONSITE)","CTC 118","TIONLOC, JAVIER RICO ISRAEL R.","30","ENG","U","0","*EURO elective for EURO majors.  IE for non-EURO majors","N","N"
"EURO 181.1i","M","INTERDISCIPLINARY ELECTIVE: PERSPECTIVES ON MONARCHY","3","T-F 1230-1400(FULLY ONSITE)","CTC 118","TIONLOC, JAVIER RICO ISRAEL R.","30","ENG","U","-1","*EURO elective for EURO majors. IE for non-EURO majors","N","N"
"EURO 182.3i","D","INTERDISCIPLINARY ELECTIVE: SPORT AND FITNESS CULTURE: FROM EUROPE TO THE WORLD","3","M-TH 1230-1400(FULLY ONSITE)","CTC 118","ENVERGA III, MANUEL R.","30","ENG","U","-2","*EURO elective for EURO majors. IE for non-EURO majors","N","N"
"EURO 182.3i","E","INTERDISCIPLINARY ELECTIVE: SPORT AND FITNESS CULTURE: FROM EUROPE TO THE WORLD","3","M-TH 1400-1530(FULLY ONSITE)","TBA","TBA, -","30","ENG","U","29","*to be dissolved","N","N"
"EURO 182.4i","O","EUROPE AND THE OTHER: RACE, RELIGION, AND MULTICULTURALISM","3","T-F 1530-1700(~)","SEC-A205","JUGO, JAMINA VESTA M., LEGARA, Vincent Carlo","30","ENG","U","7","*EURO elective for EURO majors. IE for non-EURO majors","N","N"
"EURO 199","O","RESEARCH ON EUROPE","3","T-F 1530-1700(FULLY ONSITE)","CTC 118","TOBIA, Ian Niccolo","14","ENG","U","0","-","N","N"
"EURO 199","TH-C","RESEARCH ON EUROPE","3","M-TH 1100-1230(FULLY ONSITE)","EU DEPT","ENVERGA III, MANUEL R.","17","ENG","U","2","-","N","N"
"EURO 296","COMP","COMPREHENSIVE EXAMINATIONS","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 298.19","MCPPD","CAPSTONE PROJECT PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 298.66","SUB-A","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO  298.77","SUB-B","SUBMISSION OF FINAL CAPSTONE PROJECT","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 298","CAPS","RESEARCH PAPER","3","TBA(FULLY ONSITE)","EU DEPT","TBA, -","2","ENG","G","1","-","N","N"
"EURO 299.1","THES/DISS","THESIS I","0","TBA(FULLY ONSITE)","EU DEPT","TBA, -","1","ENG","G","0","-","N","N"
"EURO 299.19","TPD","THESIS PROPOSAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.2","THES/DISS","THESIS II","0","TBA(FULLY ONSITE)","EU DEPT","TBA, -","1","ENG","G","0","-","N","N"
"EURO 299.4","ODEF","ORAL DEFENSE","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.5","RESID","RESIDENCY","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.6","SUB-A","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
"EURO 299.7","SUB-B","FINAL PAPER SUBMISSION","0","TBA(~)","TBA","TBA, -","50","ENG","G","50","-","N","N"
