"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ARTM 101.04","UV1","ART HISTORY: ASIAN ART","3","W 1100-1400(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","JAVELLANA, SJ, FR. RENE B.","13","ENG","U","0","-","N","N"
"ARTM 103.04","WX1","ART MANAGEMENT: INTRODUCTION TO CURATORSHIP","3","W 1400-1700(FULLY ONSITE)","ART GAL","HERRERA, MARIA VICTORIA T.","13","ENG","U","1","-","N","N"
"ARTM 103.06","E","ART MANAGEMENT:  THE ART WORLD: SITES, SPACES, AND INSTITUTIONS","3","M-TH 1400-1530(FULLY ONSITE)","INNOVATION 202","VAN DER WALL, Hidde Tjakke","12","ENG","U","-2","-","N","N"
"ARTM 103.07","ST1","ART MANAGEMENT: GENRES OF ART WRITING","3","W 0800-1100(FULLY ONSITE)","INNOVATION 202","DAOANA, CARLOMAR A.","13","ENG","U","-2","-","N","N"
"ARTM 103.08","G","ART MANAGEMENT: ART AND BUSINESS","3","M-TH 1700-1830(FULLY ONSITE)","INNOVATION 202","SANTIAGO, JOSEPH SEDFREY S.","12","ENG","U","-1","-","N","N"
"ARTM 103.09","K","ART MANAGEMENT: PUBLIC PROGRAMMING FOR CULTURE AND THE ARTS","3","T-F 0930-1100(FULLY ONSITE)","INNOVATION 201","HIRANO, Mayumi","13","ENG","U","5","-","N","N"
"ARTM 130","B","WRITINGS BY ARTISTS","3","M-TH 0930-1100(FULLY ONSITE)","INNOVATION 202","VAN DER WALL, Hidde Tjakke","25","ENG","U","-2","-","N","N"
"ARTM 199.2","ZZZ","ART MANAGEMENT THESIS: SENIOR PROJECT 2","3","TUTORIAL 0000-0000(FULLY ONSITE)","FA DEPT","MA-ALAT, Pauline Bianca","5","ENG","U","1","-","N","N"
"ARTS 102","B","RESEARCH AND THE ARTS","3","M-TH 0930-1100(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","DY, S.J., JASON K.","22","ENG","U","-2","-","N","N"
"ARTS 102","D","RESEARCH AND THE ARTS","3","M-TH 1230-1400(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","DY, S.J., JASON K.","22","ENG","U","-2","-","N","N"
"ARTS 102","N","RESEARCH AND THE ARTS","3","T-F 1400-1530(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","22","ENG","U","-3","-","N","N"
"ARTS 102","O","RESEARCH AND THE ARTS","3","T-F 1530-1700(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","22","ENG","U","0","-","N","N"
"ARTS 102","RF","RESEARCH AND THE ARTS","3","F 1800-2100(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","CASTRO, KARL FREDRICK M.","22","ENG","U","1","-","N","N"
"ARTS 104","C","THE CREATIVE PROFESSIONAL","3","M-TH 1100-1230(FULLY ONSITE)","INNOVATION 202","SANTIAGO, JOSEPH SEDFREY S.","25","ENG","U","0","-","N","N"
"ARTS 104","D","THE CREATIVE PROFESSIONAL","3","M-TH 1230-1400(FULLY ONSITE)","INNOVATION 202","SANTIAGO, JOSEPH SEDFREY S.","25","ENG","U","0","-","N","N"
"ARTS 104","UV1","THE CREATIVE PROFESSIONAL","3","W 1100-1400(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","VITUG, PAUL CESAR D.","25","ENG","U","0","-","N","N"
"ARTS 104","WX1","THE CREATIVE PROFESSIONAL","3","W 1400-1700(FULLY ONSITE)","CTC 203","BAUTISTA, Jaime Maria","25","ENG","U","0","-","N","N"
"ARTS 104","YW","THE CREATIVE PROFESSIONAL","3","W 1700-2000(FULLY ONSITE)","INNOVATION 201","BAUTISTA, Jaime Maria","25","ENG","U","4","-","N","N"
"ARTS 110","B","INTRODUCTION TO STUDIO ARTS","3","M-TH 0930-1100(FULLY ONSITE)","YAO SIU LUN MAC LAB","CRUZ, Mary Guadalupe Louis","15","ENG","U","4","-","N","N"
"ARTS 110","D","INTRODUCTION TO STUDIO ARTS","3","M-TH 1230-1400(FULLY ONSITE)","YAO SIU LUN MAC LAB","CRUZ, Mary Guadalupe Louis","15","ENG","U","5","-","N","N"
"ARTS 110","J","INTRODUCTION TO STUDIO ARTS","3","T-F 0800-0930(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","26","ENG","U","0","-","N","N"
"ARTS 110","L","INTRODUCTION TO STUDIO ARTS","3","T-F 1100-1230(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","MARASIGAN, ALFRED BENEDICT C.","26","ENG","U","0","-","N","N"
"ARTS 110","ST1","INTRODUCTION TO STUDIO ARTS","3","W 0800-1100(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","CALARA, RAZELLE D.","26","ENG","U","4","-","N","N"
"ARTS 110","WX1","INTRODUCTION TO STUDIO ARTS","3","W 1400-1700(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","CALARA, RAZELLE D.","26","ENG","U","6","-","N","N"
"ARTS 120","UV2","DIGITAL DESIGN STUDIO","3","SAT 1100-1400(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","TAYAO, Naomi","15","ENG","U","0","-","N","N"
"ARTS 120","WX2","DIGITAL DESIGN STUDIO","3","SAT 1400-1700(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","TAYAO, Naomi","15","ENG","U","-1","-","N","N"
"ARTS 180.07","N","ART AS INQUIRY: ART OF DISSENT","3","T-F 1400-1530(FULLY ONSITE)","INNOVATION 201","CARSI CRUZ, NIKKI B.","25","ENG","U","5","-","N","N"
"ARTS 180.13i","UV1","ART AS INQUIRY: ART OF THE QUEER","3","W 1100-1400(FULLY ONSITE)","INNOVATION 202","DAOANA, CARLOMAR A.","25","ENG","U","-2","-","N","N"
"ARTS 180.13i","YW","ART AS INQUIRY: ART OF THE QUEER","3","W 1700-2000(FULLY ONSITE)","INNOVATION 202","VAN DER WALL, Hidde Tjakke","25","ENG","U","2","-","N","N"
"CRWR 101.03","K","WRITING FICTION: WORKSHOP 1","3","T-F 0930-1100(FULLY ONSITE)","YAO SIU LUN MAC LAB","AQUINO, Kaisa, BORJA, Maria Vida Frances","20","ENG","U","1","-","N","N"
"CRWR 101.03","UV1","WRITING FICTION: WORKSHOP 1","3","W 1100-1400(FULLY ONSITE)","F-115","DIAZ, GLENN L.","20","ENG","U","5","-","N","N"
"CRWR 101.03","UV1A","WRITING FICTION: WORKSHOP 1","3","W 1100-1400(FULLY ONSITE)","SEC-A123","DELA CERNA, Edmond Julian","15","ENG","U","1","-","N","N"
"CRWR 101.03","WX1","WRITING FICTION: WORKSHOP 1","3","W 1400-1700(FULLY ONSITE)","F-115","DIAZ, GLENN L.","20","ENG","U","7","-","N","N"
"CRWR 101.04","D","WRITING FICTION: WORKSHOP 2","3","M-TH 1230-1400(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","AQUINO, Kaisa","20","ENG","U","0","-","N","N"
"CRWR 102.04","N","WRITING NONFICTION: WORKSHOP 2","3","T-F 1400-1530(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","VILLANUEVA, MARTIN V.","14","ENG","U","4","-","N","N"
"CRWR 103.04","L","WRITING POETRY: WORKSHOP 2","3","T-F 1100-1230(FULLY ONSITE)","INNOVATION 202","PASTRANA, ALLAN J.","15","ENG","U","3","-","N","N"
"CRWR 104.04","UV1","PLAYWRITING: WORKSHOP 2","3","W 1100-1400(FULLY ONSITE)","INNOVATION 201","MAS, GLENN S.","13","ENG","U","4","-","N","N"
"CRWR 110.03","F","GENRE PRACTICES: DEVELOPMENT OF FICTION AND ITS PRACTICE","3","M-TH 1530-1700(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","AQUINO, Kaisa","15","ENG","U","-4","-","N","N"
"CRWR 110.04","M","GENRE PRACTICES: DEVELOPMENT OF LITERARY NONFICTION AND ITS PRACTICE","3","T-F 1230-1400(FULLY ONSITE)","INNOVATION 201","VILLANUEVA, MARTIN V.","17","ENG","U","3","-","N","N"
"CRWR 110.05","N","GENRE PRACTICES: DEVELOPMENT OF POETRY AND ITS PRACTICE","3","T-F 1400-1530(FULLY ONSITE)","INNOVATION 202","PASTRANA, ALLAN J.","16","ENG","U","8","-","N","N"
"CRWR 110.06","E","GENRE PRACTICES: DEVELOPMENT OF PLAYWRITING AND ITS PRACTICE","3","M-TH 1400-1530(FULLY ONSITE)","JOSEPH AND GEMMA TANBUNTIONG STUDIO","MAS, GLENN S.","7","ENG","U","-3","-","N","N"
"CRWR 120","WX1","PUBLISHING","3","W 1400-1700(FULLY ONSITE)","CTC 107","DELA CERNA, Edmond Julian","14","ENG","U","2","-","N","N"
"CRWR 120","WX1A","PUBLISHING","3","W 1400-1700(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","BORJA, Maria Vida Frances, JAVIER, CARLJOE A.","14","ENG","U","-1","-","N","N"
"CRWR 170","O","POETICS","3","T-F 1530-1700(FULLY ONSITE)","INNOVATION 202","PASTRANA, ALLAN J.","13","ENG","U","-1","-","N","N"
"CRWR 170","O1","POETICS","3","T-F 1530-1700(FULLY ONSITE)","INNOVATION 201","VILLANUEVA, MARTIN V.","15","ENG","U","1","-","N","N"
"CRWR 199.2","C","CREATIVE WRITING THESIS: SENIOR PROJECT 2","3","M-TH 1100-1230(FULLY ONSITE)","FA DEPT","MAS, GLENN S.","13","ENG","U","7","*Thesis class for BFA CW majors.","N","N"
"CRWR 199.2","UV1","CREATIVE WRITING THESIS: SENIOR PROJECT 2","3","W 1100-1400(FULLY ONSITE)","FA DEPT","BORJA, Maria Vida Frances","13","ENG","U","5","*Thesis class for BFA CW majors.","N","N"
"CRWR 199.2","WX1","CREATIVE WRITING THESIS: SENIOR PROJECT 2","3","W 1400-1700(FULLY ONSITE)","FA DEPT","AQUINO, Kaisa","13","ENG","U","6","*Thesis class for BFA CW majors.","N","N"
"CRWR 199.2","WX1A","CREATIVE WRITING THESIS: SENIOR PROJECT 2","3","W 1400-1700(FULLY ONSITE)","INNOVATION 201","VILLANUEVA, MARTIN V.","13","ENG","U","-1","*Thesis class for BFA CW majors.","N","N"
"IDES 101.04","E","DESIGN THEORY AND HISTORY: VISUAL COMMUNICATION","3","M-TH 1400-1530(FULLY ONSITE)","YAO SIU LUN MAC LAB","VELASCO-WANSOM, MOLINIA ANNE T.","19","ENG","U","-1","-","N","N"
"IDES 101.04","F","DESIGN THEORY AND HISTORY: VISUAL COMMUNICATION","3","M-TH 1530-1700(FULLY ONSITE)","YAO SIU LUN MAC LAB","LAO, Joan Eunice","20","ENG","U","0","-","N","N"
"IDES 101.04","GTH","DESIGN THEORY AND HISTORY: VISUAL COMMUNICATION","3","TH 1700-2000(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","LAO, Joan Eunice","19","ENG","U","-1","-","N","N"
"IDES 101.04","M","DESIGN THEORY AND HISTORY: VISUAL COMMUNICATION","3","T-F 1230-1400(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","DE GUZMAN, Myra Rosalea Angeles","19","ENG","U","0","-","N","N"
"IDES 101.04","O","DESIGN THEORY AND HISTORY: VISUAL COMMUNICATION","3","T-F 1530-1700(FULLY ONSITE)","CO BUN TING AND PO TY LEE CO MAC LAB","DE GUZMAN, Myra Rosalea Angeles","19","ENG","U","0","-","N","N"
"IDES 102.03","M","DESIGN PROCEDURES: TYPOGRAPHY","3","T-F 1230-1400(FULLY ONSITE)","YAO SIU LUN MAC LAB","BUENO, Bianca Stella","20","ENG","U","4","-","N","N"
