"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"HSCI 30i","UVWX1","FUNDAMENTALS OF NUTRITION","3","W 1200-1500(ONSITE)","CTC 414","EUSTAQUIO, MICHELLE PIA D., MARQUEZ, NORMAN DENNIS E.","31","ENG","U","0","ALL SLOTS FOR BS HS MAJORS.","N","N"
"HSCI 40i","C","PERSPECTIVES ON THE HUMAN LIFE CYCLE","3","M-TH 1100-1230(FULLY ONSITE)","CTC 107","YUMOL, Jerric Ian","31","ENG","U","4","ALL SLOTS FOR BS HS MAJORS.","N","N"
"HSCI 40i","D","PERSPECTIVES ON THE HUMAN LIFE CYCLE","3","M-TH 1230-1400(FULLY ONSITE)","CTC 107","YUMOL, Jerric Ian","35","ENG","U","5","-","N","N"
"HSCI 60i","D","FUNDAMENTALS OF GLOBAL HEALTH","3","M-TH 1230-1400(FULLY ONSITE)","CTC 414","RODEROS, Ma. Via Jucille","35","ENG","U","-4","-","N","N"
"HSCI 60i","F","FUNDAMENTALS OF GLOBAL HEALTH","3","M-TH 1530-1700(FULLY ONSITE)","CTC 107","MALVAR, Alberto Teodoro, TBA, -","50","ENG","U","6","ALL SLOTS FOR BS HS MAJORS.","N","N"
"HSCI 60i","G","FUNDAMENTALS OF GLOBAL HEALTH","3","M-TH 1700-1830(FULLY ONSITE)","CTC 107","MALVAR, Alberto Teodoro, TBA, -","50","ENG","U","-10","ALL SLOTS FOR BS HS MAJORS.","N","N"
"HSCI 61i","E","DESIGN THINKING IN PUBLIC HEALTH","3","M-TH 1400-1530(FULLY ONSITE)","CTC 107","ESPINOSA, Christine Ingrid","31","ENG","U","-4","ALL SLOTS FOR BS HS MAJORS.","N","N"
"HSCI 80.2","LMT","INTRODUCTION TO PHYSIOLOGY: METABOLISM, RESPIRATION, AND CIRCULATION","2","T 1100-1300(FULLY ONSITE)","SOM 103","BARTOLOME, ELINOR G.","31","ENG","U","1","-","N","N"
"HSCI 80.2","LMT1","INTRODUCTION TO PHYSIOLOGY: METABOLISM, RESPIRATION, AND CIRCULATION","2","T 1100-1300(FULLY ONSITE)","CTC 107","DE LA CRUZ, MA. HENRIETTA TERESA O.","24","ENG","U","-2","-","N","N"
"HSCI 80.2","LMT2","INTRODUCTION TO PHYSIOLOGY: METABOLISM, RESPIRATION, AND CIRCULATION","2","T 1100-1300(FULLY ONSITE)","CTC 414","ADARLO, GENEJANE M., EUSTAQUIO, MICHELLE PIA D.","31","ENG","U","0","-","N","N"
"HSCI 80.2","LMT3","INTRODUCTION TO PHYSIOLOGY: METABOLISM, RESPIRATION, AND CIRCULATION","2","T 1100-1300(FULLY ONSITE)","TBA","YUMOL, Jerric Ian","31","ENG","U","0","-","N","N"
"HSCI 100.3","ST","THE HEALTH PROFESSIONAL AS A CHANGED AGENT","1","W 1000-1100(ONSITE)","TBA","MARQUEZ, NORMAN DENNIS E.","41","ENG","U","0","-","N","N"
"HSCI 100.3","ST1A","THE HEALTH PROFESSIONAL AS A CHANGED AGENT","1","W 1000-1100(ONSITE)","TBA","MARQUEZ, NORMAN DENNIS E.","41","ENG","U","0","-","N","N"
"HSCI 100.3","ST1B","THE HEALTH PROFESSIONAL AS A CHANGED AGENT","1","W 1000-1100(ONSITE)","TBA","MARQUEZ, NORMAN DENNIS E.","41","ENG","U","3","-","N","N"
"HSCI 112.1","E","FOUNDATIONS OF HEALTH PROMOTION","3","M-TH 1400-1530(FULLY ONSITE)","CTC 414","TAN, Abigail","31","ENG","U","0","ALL SLOTS FOR BS HS MAJORS.","N","N"
"HSCI 112.9i","F","APPROACHES TO HEALTH LITERACY","3","M-TH 1530-1700(FULLY ONSITE)","CTC 414","TAN, Abigail","35","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","CTC 414","BARTOLOME, ELINOR G.","14","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2A","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","DE LA CRUZ, MA. HENRIETTA TERESA O.","7","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2B","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","WONG, JOHN Q.","14","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2C","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","CAPIO, CATHERINE M.","14","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2D","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","MURGA, MARIA ELIZABETH ANGE","7","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2E","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","SIY VAN, VANESSA T.","7","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2F","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","CABALQUINTO, Alvin","14","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2G","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","PEREZ-RIFAREAL, JOAN MAE G.","14","ENG","U","1","-","N","N"
"HSCI 199.1","WXS2H","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","TAN, Abigail","7","ENG","U","0","-","N","N"
"HSCI 199.1","WXS2I","SCHOLARLY WORK 1A: DEFINING THE PROBLEM","2","SAT 1500-1700(FULLY ONSITE)","TBA","GUEVARA, MARITA CONCEPCION C.","7","ENG","U","0","-","N","N"
"HSCI 199.3","ZZZ","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","TUTORIAL 0000-0000(FULLY ONSITE)","HSC DEPT","CABALQUINTO, Alvin","1","ENG","U","0","-","N","N"
"HSCI 199.3","ZZZ1","SCHOLARLY WORK 2A: DATA ANALYSIS AND SYNTHESIS","2","TUTORIAL 0000-0000(FULLY ONSITE)","HSC DEPT","ADARLO, GENEJANE M.","1","ENG","U","0","-","N","N"
"HSCI 199.4","STS2","SCHOLARLY WORK 2B: WRITING, PRESENTATION, EVALUATION, AND PUBLICATION","2","SAT 0900-1100(FULLY ONSITE)","CTC 414","BARTOLOME, ELINOR G.","13","ENG","U","0","-","N","N"
"HSCI 199.4","STS2A","SCHOLARLY WORK 2B: WRITING, PRESENTATION, EVALUATION, AND PUBLICATION","2","SAT 0900-1100(FULLY ONSITE)","TBA","DE LA CRUZ, MA. HENRIETTA TERESA O.","14","ENG","U","0","-","N","N"
"HSCI 199.4","STS2B","SCHOLARLY WORK 2B: WRITING, PRESENTATION, EVALUATION, AND PUBLICATION","2","SAT 0900-1100(FULLY ONSITE)","TBA","PEREZ-RIFAREAL, JOAN MAE G.","14","ENG","U","0","-","N","N"
"HSCI 199.4","STS2C","SCHOLARLY WORK 2B: WRITING, PRESENTATION, EVALUATION, AND PUBLICATION","2","SAT 0900-1100(FULLY ONSITE)","TBA","ADARLO, GENEJANE M., EUSTAQUIO, MICHELLE PIA D.","7","ENG","U","0","-","N","N"
