"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"INTACT 12","AM","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","M 0800-0900(FULLY ONSITE)","B-306","TRINIDAD, GINO ANTONIO P.","30","ENG","U","0","-","N","N"
"INTACT 12","DM","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","M 1300-1400(FULLY ONSITE)","BEL-311","TRINIDAD, GINO ANTONIO P.","30","ENG","U","0","-","N","N"
"INTACT 12","FA1","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","F 1530-1630(FULLY ONSITE)","SEC-C201A","PATRIMONIO, Jose Emmanuel","30","ENG","U","2","-","N","N"
"INTACT 12","FA2","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","F 1530-1630(FULLY ONSITE)","F-304","RONCAL, RAOUL R.","30","ENG","U","0","-","N","N"
"INTACT 12","FM","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","M 1530-1630(FULLY ONSITE)","F-304","SANTOS, Jose Paolo","30","ENG","U","0","-","N","N"
"INTACT 12","JT","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 0800-0900(FULLY ONSITE)","SEC-A202","QUINTANA, OLIVER JOHN C.","30","ENG","U","0","-","N","N"
"INTACT 12","JT1","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 0800-0900(FULLY ONSITE)","SEC-B201A","GO, Albert","31","ENG","U","-1","-","N","N"
"INTACT 12","JT2","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 0800-0900(FULLY ONSITE)","K-204","UNIDAD, Charles Glen","30","ENG","U","1","-","N","N"
"INTACT 12","KT","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 0930-1030(FULLY ONSITE)","TBA","NILLO, Lito","30","ENG","U","0","-","N","N"
"INTACT 12","MT","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 1300-1400(FULLY ONSITE)","CTC 214","MEDALLA, ALBERTO H.","30","ENG","U","2","-","N","N"
"INTACT 12","OF","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","F 1600-1700(FULLY ONSITE)","G-206","DE GUZMAN, Ivan Adrian","30","ENG","U","8","-","N","N"
"INTACT 12","OT","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 1600-1700(FULLY ONSITE)","SEC-B201A","QUINTANA, OLIVER JOHN C.","30","ENG","U","0","-","N","N"
"INTACT 12","OT1","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 1600-1700(FULLY ONSITE)","SEC-C201A","VIRAY, JUSTIN ANDREW M.","30","ENG","U","2","-","N","N"
"INTACT 12","OT2","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 1600-1700(FULLY ONSITE)","F-304","WAGAS, Ethel","30","ENG","U","2","-","N","N"
"INTACT 12","OT3","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 1600-1700(FULLY ONSITE)","BEL-307","ZABALLERO, ROMINA GRACE C.","30","ENG","U","2","-","N","N"
"INTACT 12","OTA","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","T 1530-1630(FULLY ONSITE)","G-206","MEDALLA, ALBERTO H.","30","ENG","U","0","-","N","N"
"INTACT 12","SA","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","W 0800-0900(FULLY ONSITE)","B-102","DENZON, Eduardo Ezekiel","30","ENG","U","3","-","N","N"
"INTACT 12","SA2","INTRODUCTION TO ATENEO CULTURE AND TRADITIONS 12","0","W 0800-0900(FULLY ONSITE)","B-207","BORJE, Marilou","30","ENG","U","0","-","N","N"
