"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"CSCI 21","E","INTRODUCTION TO PROGRAMMING I","3","M-TH 1400-1530(FULLY ONSITE)","CTC 506","GUADALUPE, Brian Christopher, MEDALLA, ALBERTO H., MEJILLA, Mar Joseph Aureos","26","ENG","U","0","ALL SLOTS FOR BS ITE MAJORS.","N","N"
"CSCI 21","F","INTRODUCTION TO PROGRAMMING I","3","M-TH 1530-1700(FULLY ONSITE)","CTC 506","MEDALLA, ALBERTO H.","25","ENG","U","15","ALL SLOTS FOR BS ITE MAJORS. 3 SLOT(S) FOR  DATA SCIENCE AND ANALYTICS SPECIALIZATION. 3 SLOT(S) FOR  ENTERPRISE SYSTEMS SPECIALIZATION.","N","N"
"CSCI 21","ZZZ1","INTRODUCTION TO PROGRAMMING I","3","TUTORIAL 0000-0000(FULLY ONSITE)","TBA","MEDALLA, ALBERTO H., SUGAY, JESSICA O.","8","ENG","U","0","*For students shifting to BS CS or BS CS-DGDD only, with prior approval from AVP-UEd and/or DISCS.","N","N"
"CSCI 21","ZZZ2","INTRODUCTION TO PROGRAMMING I","3","TUTORIAL 0000-0000(FULLY ONSITE)","TBA","MEDALLA, ALBERTO H., SUGAY, JESSICA O.","7","ENG","U","0","*For students shifting to BS CS or BS CS-DGDD only, with prior approval from AVP-UEd and/or DISCS.","N","N"
"CSCI 22","K1","INTRODUCTION TO PROGRAMMING II","3","T-F 0930-1100(FULLY ONSITE)","F-227","GO, Gerick Jeremiah Niño, SUGAY, JESSICA O.","32","ENG","U","1","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BS CS-DGDD MAJORS. *For 1st Yr Block P3","N","N"
"CSCI 22","K2","INTRODUCTION TO PROGRAMMING II","3","T-F 0930-1100(FULLY ONSITE)","F-228","MEDALLA, ALBERTO H.","32","ENG","U","-1","ALL SLOTS FOR BS CS MAJORS. 2 SLOT(S) FOR AB IS MAJORS. *For 1st Yr Block P1","N","N"
"CSCI 22","N1","INTRODUCTION TO PROGRAMMING II","3","T-F 1400-1530(FULLY ONSITE)","F-227","GO, Gerick Jeremiah Niño, SUGAY, JESSICA O.","32","ENG","U","-1","ALL SLOTS FOR BS CS-DGDD MAJORS. *For 1st Yr Block P4","N","N"
"CSCI 22","N2","INTRODUCTION TO PROGRAMMING II","3","T-F 1400-1530(FULLY ONSITE)","F-228","MEDALLA, ALBERTO H.","33","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS. 1 SLOT(S) FOR 4TH YEAR BS COMTECH MAJORS. *For 1st Yr Block P2","N","N"
"CSCI 22","O","INTRODUCTION TO PROGRAMMING II","3","T-F 1530-1700(FULLY ONSITE)","F-227","GO, Gerick Jeremiah Niño, SUGAY, JESSICA O.","32","ENG","U","1","ALL SLOTS FOR BS CS MAJORS. 3 SLOT(S) FOR AB IS MAJORS. *For 1st Yr Block P","N","N"
"CSCI 40","E","SOFTWARE TOOLS AND DEVELOPMENT FRAMEWORKS","3","M-TH 1400-1530(FULLY ONSITE)","CTC 215","DE LA CRUZ, ROMELL IAN B.","34","ENG","U","0","ALL SLOTS FOR BS CS MAJORS. ALL SLOTS FOR BSMS CS MAJORS. *For Sophomores Block P2","N","N"
