"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"KOR 112","B","KOREAN CULTURAL HERITAGE","3","M-TH 0930-1100(FULLY ONSITE)","CTC 203","WOO, Sun Jung","31","ENG","U","-1","-","N","N"
"KOR 113","O","KOREAN POPULAR CULTURE","3","T-F 1530-1700(FULLY ONSITE)","CTC 203","JAVIER, Aurea C.","31","ENG","U","-1","-","N","N"
"KOR 116","T","SOUTH KOREAN PUBLIC DIPLOMACY AND NATION BRANDING","3","W-SAT 0930-1100(~)","CTC 203","JAVIER, Aurea C.","30","ENG","U","18","*All slots for 2nd Year, 3rd Year and 4th Year only","N","N"
"KRN 11","C1","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1100-1230(FULLY ONSITE)","G-312A","MAGONCIA, Jeremiah","18","~","U","-1","-","N","N"
"KRN 11","D","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(FULLY ONSITE)","CTC 203","MAGONCIA, Jeremiah","18","~","U","1","-","N","N"
"KRN 11","D1","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1230-1400(FULLY ONSITE)","SOM 102","RICO, MA. KRISTINA CARLA S.","18","~","U","-2","-","N","N"
"KRN 11","E","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1400-1530(FULLY ONSITE)","CTC 203","RICO, MA. KRISTINA CARLA S.","18","~","U","0","-","N","N"
"KRN 11","F","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","M-TH 1530-1700(FULLY ONSITE)","CTC 203","ANGULO, Marco","18","~","U","0","-","N","N"
"KRN 11","K","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","T-F 0930-1100(FULLY ONSITE)","CTC 404","WOO, Sun Jung","18","~","U","-2","-","N","N"
"KRN 11","M","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","T-F 1230-1400(FULLY ONSITE)","CTC 203","JAVIER, Aurea C.","18","~","U","0","-","N","N"
"KRN 11","N","BASIC KOREAN 1 LANGUAGE AND CULTURE","3","T-F 1400-1530(FULLY ONSITE)","CTC 203","JAVIER, Aurea C.","18","~","U","-3","-","N","N"
"KRN 12","J","BASIC KOREAN 2 LANGUAGE AND CULTURE","3","T-F 0800-0930(FULLY ONSITE)","CTC 203","RICO, MA. KRISTINA CARLA S.","18","~","U","8","-","N","N"
"KRN 12","K1","BASIC KOREAN 2 LANGUAGE AND CULTURE","3","T-F 0930-1100(FULLY ONSITE)","CTC 203","RICO, MA. KRISTINA CARLA S.","18","~","U","0","-","N","N"
"KRN 13","L","KOREAN LANGUAGE AND CULTURE 3","3","T-F 1100-1230(FULLY ONSITE)","CTC 203","WOO, Sun Jung","18","~","U","0","-","N","N"
"KRN 14","C","KOREAN LANGUAGE AND CULTURE 4","3","M-TH 1100-1230(FULLY ONSITE)","CTC 203","WOO, Sun Jung","18","~","U","11","-","N","N"
