"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"LLAW 116","H","LABOR LAW AND SOCIAL LEGISLATION","3","M-TH 1830-2000(FULLY ONSITE)","SOM 203","TEJANO, Juan Carlo","22","ENG","U","-2","ALL SLOTS FOR 2ND YEAR BS MAC MAJORS.","N","N"
"LLAW 116","IM","LABOR LAW AND SOCIAL LEGISLATION","3","M 1800-2100(FULLY ONSITE)","CTC 405","GAERLAN, Rhett","30","ENG","U","-2","ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS MGT MAJORS.","N","N"
"LLAW 116","ITH","LABOR LAW AND SOCIAL LEGISLATION","3","TH 1800-2100(FULLY ONSITE)","CTC 405","TAYLO, Jose Herminio III","30","ENG","U","-1","ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS COMTECH MAJORS.","N","N"
"LLAW 116","ST2","LABOR LAW AND SOCIAL LEGISLATION","3","SAT 0800-1100(FULLY ONSITE)","SOM 105","QUIMSON, Rhea Rogelia","30","ENG","U","-2","ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS MGT MAJORS.","N","N"
"LLAW 116","UV2","LABOR LAW AND SOCIAL LEGISLATION","3","SAT 1100-1400(FULLY ONSITE)","SOM 204","RODRIGO, JR., LUIS FRANCIS A.","30","ENG","U","15","ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS MGT MAJORS.","N","N"
"LLAW 116","YZW","LABOR LAW AND SOCIAL LEGISLATION","3","W 1800-2100(FULLY ONSITE)","CTC 304","TAYLO, Jose Herminio III","30","ENG","U","-3","ALL SLOTS FOR BS LM MAJORS. ALL SLOTS FOR BS ITE MAJORS.","N","N"
"LLAW 113","C","OBLIGATIONS AND CONTRACTS","3","M-TH 1100-1230(FULLY ONSITE)","CTC 304","HO, AARON JARVEEN O.","32","ENG","U","1","ALL SLOTS FOR 1ST YEAR BS LM MAJORS.","N","N"
"LLAW 113","D","OBLIGATIONS AND CONTRACTS","3","M-TH 1230-1400(FULLY ONSITE)","CTC 304","HO, AARON JARVEEN O.","32","ENG","U","2","ALL SLOTS FOR 1ST YEAR BS LM MAJORS.","N","N"
"LLAW 113","F","OBLIGATIONS AND CONTRACTS","3","M-TH 1530-1700(FULLY ONSITE)","SOM 105","LAUENGCO, GILBERTO F.","33","ENG","U","-2","ALL SLOTS FOR BS COMTECH MAJORS.","N","N"
"LLAW 113","GM","OBLIGATIONS AND CONTRACTS","3","M 1700-2000(FULLY ONSITE)","SOM 105","LAUENGCO, GILBERTO F.","33","ENG","U","1","ALL SLOTS FOR BS COMTECH MAJORS.","N","N"
"LLAW 113","J","OBLIGATIONS AND CONTRACTS","3","T-F 0800-0930(FULLY ONSITE)","SOM 105","KAW, EUGENE T.","32","ENG","U","2","ALL SLOTS FOR 1ST YEAR BS LM MAJORS.","N","N"
"LLAW 113","K","OBLIGATIONS AND CONTRACTS","3","T-F 0930-1100(FULLY ONSITE)","SOM 105","KAW, EUGENE T.","32","ENG","U","2","ALL SLOTS FOR 1ST YEAR BS LM MAJORS.","N","N"
