"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"POLSC 21","A","PHILIPPINE POLITICS AND GOVERNANCE","3","M-TH 0800-0930(FULLY ONSITE)","CTC 103","BEATO, Beatriz","42","ENG","U","8","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR IS STUDENTS.","N","N"
"POLSC 21","B","PHILIPPINE POLITICS AND GOVERNANCE","3","M-TH 0930-1100(FULLY ONSITE)","CTC 103","BEATO, Beatriz","42","ENG","U","2","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR IS STUDENTS.","N","N"
"POLSC 21","B1","PHILIPPINE POLITICS AND GOVERNANCE","3","M-TH 0930-1100(FULLY ONSITE)","SOM 202","QUINTANA, OLIVER JOHN C.","43","ENG","U","5","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR IS STUDENTS.","N","N"
"POLSC 21","C","PHILIPPINE POLITICS AND GOVERNANCE","3","M-TH 1100-1230(FULLY ONSITE)","SOM 202","QUINTANA, OLIVER JOHN C.","42","ENG","U","3","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR IS STUDENTS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 21","E","PHILIPPINE POLITICS AND GOVERNANCE","3","M-TH 1400-1530(FULLY ONSITE)","CTC 103","BEATO, Beatriz, QUIOGUE, Mariel","42","ENG","U","0","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR IS STUDENTS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 21","F","PHILIPPINE POLITICS AND GOVERNANCE","3","M-TH 1530-1700(FULLY ONSITE)","CTC 103","BEATO, Beatriz, QUIOGUE, Mariel","42","ENG","U","5","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR IS STUDENTS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 31","C","CONTEMPORARY POLITICAL THEORIES","3","M-TH 1100-1230(FULLY ONSITE)","CTC 103","TAN, JEAN EMILY P.","33","ENG","U","2","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR IS STUDENTS.","N","N"
"POLSC 31","D","CONTEMPORARY POLITICAL THEORIES","3","M-TH 1230-1400(FULLY ONSITE)","CTC 303","AGUIRRE, ARJAN P.","33","ENG","U","0","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR IS STUDENTS.","N","N"
"POLSC 31","D1","CONTEMPORARY POLITICAL THEORIES","3","M-TH 1230-1400(FULLY ONSITE)","CTC 103","TAN, JEAN EMILY P.","32","ENG","U","4","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR IS STUDENTS.","N","N"
"POLSC 111","N","COMPARATIVE POLITICS (ASIA)","3","T-F 1400-1530(FULLY ONSITE)","CTC 103","AGUIRRE, ARJAN P.","28","ENG","U","-1","ALL SLOTS FOR AB Dip IR MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 111","O","COMPARATIVE POLITICS (ASIA)","3","T-F 1530-1700(FULLY ONSITE)","CTC 103","AGUIRRE, ARJAN P.","25","ENG","U","1","ALL SLOTS FOR AB Dip IR MAJORS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 112","J","POLITICS AND GOVERNANCE IN SOUTHEAST ASIA","3","T-F 0800-0930(FULLY ONSITE)","CTC 103","BERSE, PILAR PRECIOUSA P.","32","ENG","U","2","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR IS STUDENTS.","N","N"
"POLSC 112","K","POLITICS AND GOVERNANCE IN SOUTHEAST ASIA","3","T-F 0930-1100(FULLY ONSITE)","CTC 103","BERSE, PILAR PRECIOUSA P.","33","ENG","U","-2","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR IS STUDENTS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS. 1 SLOT(S) FOR 2ND YEAR AB EU MAJORS.","N","N"
"POLSC 112","ST1","POLITICS AND GOVERNANCE IN SOUTHEAST ASIA","3","W 0800-1100(FULLY ONSITE)","CTC 303","MENDOZA, DIANA J.","32","ENG","U","-2","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR SOUTHEAST ASIAN STUDIES MINORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 114.10","G","MODERNIZATION OF JAPAN","3","M-TH 1700-1830(FULLY ONSITE)","SOM 202","JULIANO, HANSLEY A.","30","ENG","U","0","ALL SLOTS FOR POS STUDENTS.","N","N"
"POLSC 116","WX1","RELIGION AND POLITICS","3","W 1400-1700(FULLY ONSITE)","CTC 103","LIM, MILLARD O.","31","ENG","U","2","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR PUBLIC MANAGEMENT MINORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 121.10","M","THE POLITICS OF DEVELOPMENT POLICY","3","T-F 1230-1400(FULLY ONSITE)","CTC 103","VILLARIN, Tomasito","31","ENG","U","-1","ALL SLOTS FOR POS STUDENTS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 121","UV1","PUBLIC POLICY","3","W 1100-1400(FULLY ONSITE)","CTC 101","CANDELARIA, ANNE LAN K., ROBREDO, Jessica Marie","41","ENG","U","-1","ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. 2 SLOT(S) FOR PUBLIC MANAGEMENT MINORS.","N","N"
"POLSC 121","WX1","PUBLIC POLICY","3","W 1400-1700(FULLY ONSITE)","CTC 101","CANDELARIA, ANNE LAN K., ROBREDO, Jessica Marie","43","ENG","U","7","ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS.","N","N"
"POLSC 131.40","UV1","THE STATE AND ECONOMIC DEVELOPMENT: EAST AND SOUTHEAST ASIA","3","W 1100-1400(FULLY ONSITE)","CTC 303","MENDOZA, DIANA J.","40","ENG","U","-2","ALL SLOTS FOR AB Dip IR MAJORS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 131.40","YW","THE STATE AND ECONOMIC DEVELOPMENT: EAST AND SOUTHEAST ASIA","3","W 1700-2000(FULLY ONSITE)","CTC 303","MENDOZA, DIANA J.","40","ENG","U","3","ALL SLOTS FOR AB Dip IR MAJORS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 131","D","INTERNATIONAL POLITICAL ECONOMY","3","M-TH 1230-1400(FULLY ONSITE)","SOM 202","JULIANO, HANSLEY A.","32","ENG","U","1","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. ALL SLOTS FOR AB IS MAJORS. ALL SLOTS FOR GLOBAL POLITICS MINORS.","N","N"
"POLSC 131","E","INTERNATIONAL POLITICAL ECONOMY","3","M-TH 1400-1530(FULLY ONSITE)","SOM 202","JULIANO, HANSLEY A.","32","ENG","U","-2","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS.","N","N"
"POLSC 131","K","INTERNATIONAL POLITICAL ECONOMY","3","T-F 0930-1100(FULLY ONSITE)","CTC 303","DELA CRUZ, Ma. Emille","32","ENG","U","0","23 SLOT(S) FOR AB Dip IR MAJORS. ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 131","L","INTERNATIONAL POLITICAL ECONOMY","3","T-F 1100-1230(FULLY ONSITE)","CTC 303","DELA CRUZ, Ma. Emille","32","ENG","U","1","23 SLOT(S) FOR AB Dip IR MAJORS. ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS.","N","N"
"POLSC 132.10","K","INTERNATIONAL HUMAN RIGHTS AND DOMESTIC LEGAL PROCESSES","3","T-F 0930-1100(FULLY ONSITE)","SOM 202","ORETA, JENNIFER S.","30","ENG","U","1","ALL SLOTS FOR POS STUDENTS. 2 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 132","B","INTERNATIONAL LAW","3","M-TH 0930-1100(FULLY ONSITE)","CTC 303","TUGADE, Ruby Rosselle","31","ENG","U","1","ALL SLOTS FOR AB MA-POS MAJORS. ALL SLOTS FOR AB POS MAJORS. ALL SLOTS FOR AB POS-MPM MAJORS. 1 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
"POLSC 134.20","J","COMPARATIVE PEACE PROCESSES","3","T-F 0800-0930(FULLY ONSITE)","CTC 303","VENERACION, MARIA LOURDES G.","33","ENG","U","-1","ALL SLOTS FOR POS STUDENTS. ALL SLOTS FOR PUBLIC MANAGEMENT MINORS. 3 SLOT(S) FOR CROSS REG-IXS MAJORS.","N","N"
