"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"STS 10","A","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0800-0930(FULLY ONSITE)","G-305","MAINI, ZOMESH A.","30","ENG","U","0","-","N","N"
"STS 10","A1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0800-0930(FULLY ONSITE)","B-208","ZUNIGA, BRIAN KARLO W.","25","ENG","U","-1","-","N","N"
"STS 10","A2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0800-0930(FULLY ONSITE)","B-104","AMANTE, Francesco","25","ENG","U","-1","-","N","N"
"STS 10","B","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0930-1100(FULLY ONSITE)","G-305","AQUINO, ANGELO I.","30","ENG","U","0","-","N","N"
"STS 10","B1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0930-1100(FULLY ONSITE)","B-208","ARDA, John Rafael, PETALIO, Syra Marie Norin","25","ENG","U","0","-","N","N"
"STS 10","B2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 0930-1100(FULLY ONSITE)","B-104","LIBATIQUE, NATHANIEL JOSEPH C.","30","ENG","U","-1","-","N","N"
"STS 10","C","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1100-1230(FULLY ONSITE)","G-305","OLAGUERA, LYNDON MARK P.","30","ENG","U","0","-","N","N"
"STS 10","C1","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1100-1230(FULLY ONSITE)","B-208","ARDA, John Rafael, PETALIO, Syra Marie Norin","25","ENG","U","1","-","N","N"
"STS 10","C2","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1100-1230(FULLY ONSITE)","B-104","MAQUILING, JOEL T.","30","ENG","U","0","-","N","N"
"STS 10","D","SCIENCE, TECHNOLOGY, AND SOCIETY","3","M-TH 1230-1400(FULLY ONSITE)","G-305","OLAGUERA, LYNDON MARK P., VARGAS, Noel","30","ENG","U","-2","-","N","N"
