"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"FILI 11","A","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(FULLY ONSITE)","B-309","EMPAYNADO, JOMAR I.","30","ENG","U","3","-","N","N"
"FILI 11","A1","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(FULLY ONSITE)","B-307","DE LA CRUZ, AARON PHILIP M.","30","ENG","U","1","-","N","N"
"FILI 11","A2","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(FULLY ONSITE)","SEC-A123","JAMENDANG, JR., YOLANDO B.","30","ENG","U","-1","-","N","N"
"FILI 11","A3","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(FULLY ONSITE)","B-204/B-205","ULIT, CLAUDETTE M.","30","ENG","U","3","-","N","N"
"FILI 11","A4","MALAYUNING KOMUNIKASYON","3","M-TH 0800-0930(FULLY ONSITE)","B-308","YAPAN, ALVIN B.","30","ENG","U","0","-","N","N"
"FILI 11","B","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(FULLY ONSITE)","B-308","DE LA CRUZ, AARON PHILIP M.","30","ENG","U","-2","-","N","N"
"FILI 11","B1","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(FULLY ONSITE)","B-204/B-205","EMPAYNADO, JOMAR I.","30","ENG","U","0","-","N","N"
"FILI 11","B2","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(FULLY ONSITE)","SEC-A124","JAMENDANG, JR., YOLANDO B.","30","ENG","U","2","-","N","N"
"FILI 11","B3","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(FULLY ONSITE)","SEC-A123","ULIT, CLAUDETTE M.","30","ENG","U","0","-","N","N"
"FILI 11","B4","MALAYUNING KOMUNIKASYON","3","M-TH 0930-1100(FULLY ONSITE)","CTC 118","YAPAN, ALVIN B.","30","ENG","U","0","-","N","N"
"FILI 11","C","MALAYUNING KOMUNIKASYON","3","M-TH 1100-1230(FULLY ONSITE)","B-309","FRANCISCO, CARLOTA B.","30","ENG","U","1","-","N","N"
"FILI 11","C1","MALAYUNING KOMUNIKASYON","3","M-TH 1100-1230(FULLY ONSITE)","SEC-A123","DE LA CRUZ, AARON PHILIP M.","30","ENG","U","2","-","N","N"
"FILI 11","D","MALAYUNING KOMUNIKASYON","3","M-TH 1230-1400(FULLY ONSITE)","SEC-A124","YAPAN, ALVIN B.","30","ENG","U","0","-","N","N"
"FILI 11","D1","MALAYUNING KOMUNIKASYON","3","M-TH 1230-1400(FULLY ONSITE)","B-308","JAMENDANG, JR., YOLANDO B.","30","ENG","U","2","-","N","N"
"FILI 11","D2","MALAYUNING KOMUNIKASYON","3","M-TH 1230-1400(FULLY ONSITE)","B-204/B-205","FRANCISCO, CARLOTA B.","30","ENG","U","3","-","N","N"
"FILI 11","E","MALAYUNING KOMUNIKASYON","3","M-TH 1400-1530(FULLY ONSITE)","B-308","DE LA CRUZ, AARON PHILIP M.","30","ENG","U","0","-","N","N"
"FILI 11","E1","MALAYUNING KOMUNIKASYON","3","M-TH 1400-1530(FULLY ONSITE)","B-309","JAMENDANG, JR., YOLANDO B.","30","ENG","U","2","-","N","N"
"FILI 11","E2","MALAYUNING KOMUNIKASYON","3","M-TH 1400-1530(FULLY ONSITE)","SEC-A123","YAPAN, ALVIN B.","30","ENG","U","0","-","N","N"
"FILI 11","F","MALAYUNING KOMUNIKASYON","3","M-TH 1530-1700(FULLY ONSITE)","B-206","FRANCISCO, CARLOTA B.","30","ENG","U","2","-","N","N"
"FILI 11","J","MALAYUNING KOMUNIKASYON","3","T-F 0800-0930(FULLY ONSITE)","B-308","CLAROS, IAN HARVEY A.","30","ENG","U","2","-","N","N"
"FILI 11","J1","MALAYUNING KOMUNIKASYON","3","T-F 0800-0930(FULLY ONSITE)","B-204/B-205","EMPAYNADO, JOMAR I.","30","ENG","U","8","-","N","N"
"FILI 11","J2","MALAYUNING KOMUNIKASYON","3","T-F 0800-0930(FULLY ONSITE)","B-104","HERNANDEZ, Sharmaine","30","ENG","U","2","-","N","N"
"FILI 11","J3","MALAYUNING KOMUNIKASYON","3","T-F 0800-0930(FULLY ONSITE)","B-208","TRINIDAD, ANDREA ANNE I.","30","ENG","U","2","-","N","N"
"FILI 11","K1","MALAYUNING KOMUNIKASYON","3","T-F 0930-1100(FULLY ONSITE)","B-207","CLAROS, IAN HARVEY A.","30","ENG","U","3","-","N","N"
"FILI 11","K2","MALAYUNING KOMUNIKASYON","3","T-F 0930-1100(FULLY ONSITE)","B-204/B-205","ANAYAN, RAM PAULO A.","30","ENG","U","0","-","N","N"
