"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ArtAp 10","A","ART APPRECIATION","3","M-TH 0800-0930(FULLY ONSITE)","INNOVATION 201","MARAMARA, MELISSA VERA M.","24","ENG","U","0","-","N","N"
"ArtAp 10","A1","ART APPRECIATION","3","M-TH 0800-0930(FULLY ONSITE)","INNOVATION 202","DAGMANG, Nathalie","24","ENG","U","0","-","N","N"
"ArtAp 10","A2","ART APPRECIATION","3","M-TH 0800-0930(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","CABOCHAN, LAURA CORAZON A.","24","ENG","U","0","-","N","N"
"ArtAp 10","B","ART APPRECIATION","3","M-TH 0930-1100(FULLY ONSITE)","INNOVATION 201","MARAMARA, MELISSA VERA M.","24","ENG","U","0","-","N","N"
"ArtAp 10","B1","ART APPRECIATION","3","M-TH 0930-1100(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","YEE, CHARLES IVAN, JR.","24","ENG","U","0","-","N","N"
"ArtAp 10","B2","ART APPRECIATION","3","M-TH 0930-1100(FULLY ONSITE)","BEL-312","NARRA, Roy Abrahmn","24","ENG","U","-3","-","N","N"
"ArtAp 10","C","ART APPRECIATION","3","M-TH 1100-1230(FULLY ONSITE)","INNOVATION 201","MARAMARA, MELISSA VERA M.","24","ENG","U","0","-","N","N"
"ArtAp 10","C2","ART APPRECIATION","3","M-TH 1100-1230(FULLY ONSITE)","NATIONAL BOOKSTORE ATELIER","MA-ALAT, Pauline Bianca","24","ENG","U","0","-","N","N"
"ArtAp 10","C3","ART APPRECIATION","3","M-TH 1100-1230(FULLY ONSITE)","ABS CBN CORPORATION INNOVATION CLASSROOM","YEE, CHARLES IVAN, JR.","24","ENG","U","0","-","N","N"
"ArtAp 10","D","ART APPRECIATION","3","M-TH 1230-1400(FULLY ONSITE)","INNOVATION 201","AKPEDONU, Erik","24","ENG","U","0","-","N","N"
