"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"NSTP 11(CWTS)","N-SAM","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","GRANADOS, JR., CARLOS S.","30","E / F","U","3","**This section is strictly paired with THEO 12 C (Acevedo) *3-hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM1","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","GRANADOS, JR., CARLOS S.","30","E / F","U","0","*This section is strictly paired with THEO 12 E (Acevedo). **3-hour class with possible extension. Details to be announced in class","N","N"
"NSTP 11(CWTS)","N-SAM10","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","AURELLANO, Joseph Ian Franklin","33","E / F","U","0","*This section is strictly paired with THEO 12 E4 (Lanot). *3-hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM11","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","AURELLANO, Joseph Ian Franklin","30","E / F","U","8","**This section is strictly paired with THEO 12 D (Ziselsberger). *3-hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM13","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","GUEVARRA, JOSE LORENZO D.","33","E / F","U","1","*This section is strictly paired with THEO 12 A1 (Comiling). *3-hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM14","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","GUEVARRA, JOSE LORENZO D.","33","E / F","U","1","*This section is strictly paired with THEO 12 J1 (Comiling). *3-hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM15","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","GUEVARRA, JOSE LORENZO D.","33","E / F","U","0","*This section is strictly paired with THEO 12 K1 (Comiling). *3-hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM16","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","RAMPOLA, Pauline","30","E / F","U","1","**This section is strictly paired with THEO 12 D3 (Dagmang). *3-hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM17","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","RAMPOLA, Pauline","33","E / F","U","0","*This section is strictly paired with THEO 12 E3 (Dagmang). *3 hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM18","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","RAMPOLA, Pauline","33","E / F","U","0","*This section is strictly paired with THEO 12 F1 (Dagmang). *3 hour class with possible extension. Details to be announced in class.","N","N"
"NSTP 11(CWTS)","N-SAM19","CIVIC WELFARE TRAINING SERVICE","3","SAT 0800-1200(FULLY ONSITE)","TBA","CARBUNGCO, Ma. Patricia Clara","33","E / F","U","1","*This section is strictly paired with THEO 12 A2 (Dela Cruz) * 3 hour class with possible extension. Details to be announced in class.","N","N"
