"Subject Code","Section","Course Title","Units","Time","Room","Instructor","Max No","Lang","Level","Free Slots","Remarks","S","P"
"ANTH 103.1","GM","ANTHROPOLOGICAL CANONS AND WORLD ANTHROPOLOGIES","3","M 1700-2000(FULLY ONSITE)","B-305","CANUDAY, JOSE JOWEL P.","20","ENG","U","12","-","N","N"
"ANTH 112.1","A","ISSUES AND DEBATES IN PHILIPPINE ARCHAEOLOGY","3","M-TH 0800-0930(FULLY ONSITE)","K-303","ULDIN, Tanya","20","ENG","U","17","-","N","N"
"ANTH 112.1","F","ISSUES AND DEBATES IN PHILIPPINE ARCHAEOLOGY","3","M-TH 1530-1700(FULLY ONSITE)","SOM 104","TBA, -","0","ENG","U","-3","*Original timeslot from 15:30-1700 was changed to 8:00-9:30.","N","N"
"ANTH 132.1","L1","POLITICAL ANTHROPOLOGY","3","T-F 1100-1230(FULLY ONSITE)","B-306","LEVISTE, ENRIQUE NINO P.","21","ENG","U","0","-","N","N"
"ANTH 194.1","PT","QUALITATIVE RESEARCH METHODS: ETHNOGRAPHIC FIELDWORK","3","T 1700-2000(FULLY ONSITE)","B-306","CANUDAY, JOSE JOWEL P.","0","ENG","U","-4","-","N","N"
"ANTH 194.1","PT1","QUALITATIVE RESEARCH METHODS: ETHNOGRAPHIC FIELDWORK","3","T 1700-2000(FULLY ONSITE)","B-305","LANIOG, Jehu Emmanuel","0","ENG","U","-4","-","N","N"
"ANTH 194.1","UV1","QUALITATIVE RESEARCH METHODS: ETHNOGRAPHIC FIELDWORK","3","W 1100-1400(FULLY ONSITE)","SOM 104","CANUDAY, JOSE JOWEL P.","20","ENG","U","17","-","N","N"
"ANTH 194.1","UV1A","QUALITATIVE RESEARCH METHODS: ETHNOGRAPHIC FIELDWORK","3","W 1100-1400(FULLY ONSITE)","SOM 204","LANIOG, Jehu Emmanuel","20","ENG","U","2","-","N","N"
"ANTH 211.2","ITH","INTRODUCTION TO CULTURAL ANTHROPOLOGY","3","TH 1800-2100(FULLY ONLINE)","TBA","CANUDAY, JOSE JOWEL P.","15","ENG","G","9","-","N","N"
"ANTH 218","ZZZ","SPECIAL TOPICS IN SOCIOLOGY AND ANTHROPOLOGY (POLITICAL ANTHROPOLOGY)","3","TUTORIAL 0000-0000(~)","TBA","LEVISTE, ENRIQUE NINO P.","5","ENG","G","0","-","N","N"
"SOAN 123.1","GTH","CITIES AND SOCIETY","3","TH 1700-2000(FULLY ONLINE)","SEC-A118A","PORIO, EMMA E.","20","ENG","U","12","-","N","N"
"SOAN 137.1","WX1","SEX, CULTURE, AND SOCIETY","3","W 1400-1700(FULLY ONSITE)","B-305","EVIOTA, ELIZABETH U.","15","ENG","U","8","-","N","N"
"SOAN 137.1","WX2","SEX, CULTURE, AND SOCIETY","3","SAT 1400-1700(FULLY ONSITE)","K-302","EVIOTA, ELIZABETH U.","0","ENG","U","-1","*Changed schedule from WX2 (SAT) 14:00-15:00 to WX1  (W) 1400-1700","N","N"
"SOAN 137.2i","G","POWER, PRIDE, AND PREJUDICE: LGBTQIA+ UNDERSTANDINGS, CONSTRUCTS, AND GENDER EQUITY ISSUES","3","M-TH 1700-1830(FULLY ONSITE)","B-105","MILLO, Artemio Jr., TAN, Mark Remington","20","ENG","U","9","-","N","N"
"SOAN 138.3","G","GENDER, WORK, SEXUALITY AND VIOLENCE","3","M-TH 1700-1830(FULLY ONSITE)","TBA","TBA, -","0","ENG","U","0","-","N","N"
"SOAN 138.6i","E","ENGENDERING METHODOLOGY: APPROACHES TO GENDER MAINSTREAMING","3","M-TH 1400-1530(FULLY ONSITE)","SOM 104","CLAUDIO, JESSICA SANDRA R., NAVARRA, Melissa","25","ENG","U","0","-","N","N"
"SOAN 138.7i","YZW1","BABAE AT BABAYLAN: ENGENDERED SUSTAINABILITY AND RESILIENCE IN THE AGE OF CLIMATE CHANGE","3","W 1800-2100(FULLY ONSITE)","F-113","FUNG, FR. JOJO, S.J., NONO, Grace, PORIO, EMMA E.","20","ENG","U","18","-","N","N"
"SOAN 148.1","YZW","INTANGIBLE HERITAGE, ORALITY, MEMORY AND CREATIVITY","3","W 1800-2100(FULLY ONSITE)","TBA","TBA, -","0","ENG","U","0","*This course was replaced from SOAN 14.1 to SOAN 138.7i.","N","N"
"SOAN 173","C","CULTURE AND THE SENSES","3","M-TH 1100-1230(FULLY ONSITE)","F-113","ZIALCITA, FERNANDO N.","20","ENG","U","6","-","N","N"
"SOAN 180.3","ZZZ","TOPICS IN SOCIOLOGY AND ANTHROPOLOGY: MEDIA AND SOCIAL MEDIA","3","TUTORIAL 0000-0000(FULLY ONSITE)","TBA","LORENZANA, JOZON A.","12","ENG","U","0","*L (T-F) 11:00-12:30 (Official Time).","N","N"
"SOAN 223","YYY","RISK AND RESILLIENCE:  FOCUS ON CLIMATE DISASTERS AND HUMANITARIAN ACTION","3","TBA(FULLY ONLINE)","TBA","PORIO, EMMA E.","15","ENG","G","14","-","N","N"
"SOAN 292.1","ZZZ","RESEARCH IN SOCIAL SYSTEMS","3","TUTORIAL 0000-0000(~)","TBA","WUI, Ma. Glenda","3","ENG","G","3","-","N","N"
"SOAN 292.1","ZZZ1","RESEARCH IN SOCIAL SYSTEMS","3","TUTORIAL 0000-0000(~)","TBA","NAVARRA, Melissa","5","ENG","G","2","-","N","N"
"SOAN 292.1","ZZZ10","RESEARCH IN SOCIAL SYSTEMS","3","TUTORIAL 0000-0000(~)","TBA","CANUDAY, JOSE JOWEL P.","3","ENG","G","1","-","N","N"
