Subject Code,Section,Course Title,Units,Time,Room,Instructor,Max No,Lang,Level,Free Slots,Remarks,S,P
CH DEF 200,ODEF,ORAL DEFENSE (MASTERS),0,"TBA
(~)",TBA,"TBA, -",5,ENG,G,5,-,N,N
CH DEF 400,ODEF,ORAL DEFENSE (DOCTORAL),0,"TBA
(~)",TBA,"TBA, -",5,ENG,G,5,-,N,N
CHEM 10.02,NSCLAB-CA-A,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"M 0800-1000
(FULLY ONSITE)",SEC-C206A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CB-Aa,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"TH 0800-1000
(FULLY ONSITE)",SEC-C206A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CC-BC,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"M 1000-1200
(FULLY ONSITE)",SEC-C206A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CD-BC1,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"TH 1000-1200
(FULLY ONSITE)",SEC-C206A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CE-DE,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"M 1230-1430
(FULLY ONSITE)",SEC-C207A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CF-DE1,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"TH 1230-1430
(FULLY ONSITE)",SEC-C206A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CG-EF,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"M 1500-1700
(FULLY ONSITE)",SEC-C207A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CH-EF1,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"TH 1500-1700
(FULLY ONSITE)",SEC-C206A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 10.02,NSCLAB-CI-S,"CHEMISTRY IN MODERN LIFE, LABORATORY",1,"W 0900-1100
(FULLY ONSITE)",SEC-C206A,"TBA, -",25,ENG,U,25,-,N,N
CHEM 21.11,A,"GENERAL CHEMISTRY I, LECTURE",3,"M-TH 0800-0930
(FULLY ONSITE)",CTC 305,"SAN ESTEBAN, ANNA CARISSA M.",25,ENG,U,25,-,N,N
CHEM 21.11,E,"GENERAL CHEMISTRY I, LECTURE",3,"M-TH 1400-1530
(FULLY ONSITE)",C-109,"DIMZON, IAN KEN D.",25,ENG,U,25,-,N,N
CHEM 21.11,E1,"GENERAL CHEMISTRY I, LECTURE",3,"M-TH 1400-1530
(FULLY ONSITE)",CTC 305,"TURNER, ADAM H.",25,ENG,U,25,-,N,N
CHEM 21.11,J,"GENERAL CHEMISTRY I, LECTURE",3,"T-F 0800-0930
(FULLY ONSITE)",CTC 305,"SAN ESTEBAN, ANNA CARISSA M.",25,ENG,U,25,-,N,N
CHEM 21.11,N,"GENERAL CHEMISTRY I, LECTURE",3,"T-F 1400-1530
(FULLY ONSITE)",C-114,"PALOMARES, Camille Kate",25,ENG,U,25,-,N,N
CHEM 21.11,N1,"GENERAL CHEMISTRY I, LECTURE",3,"T-F 1400-1530
(FULLY ONSITE)",C-109,"LIBUNAO, Philip Neri",25,ENG,U,25,-,N,N
CHEM 21.12,LAB1-AC,"GENERAL CHEMISTRY I, LABORATORY",2,"M 0800-1200
(FULLY ONSITE)",C-207,"TBA, -",24,ENG,U,24,-,N,N
CHEM 21.12,LAB1-JL,"GENERAL CHEMISTRY I, LABORATORY",2,"T 0800-1200
(FULLY ONSITE)",C-207,"REYES, Jude",24,ENG,U,24,-,N,N
CHEM 21.12,LAB1-MO,"GENERAL CHEMISTRY I, LABORATORY",2,"T 1300-1700
(FULLY ONSITE)",SEC-C206A,"TBA, -",24,ENG,U,24,-,N,N
CHEM 21.12,LAB2-AC,"GENERAL CHEMISTRY I, LABORATORY",2,"TH 0800-1200
(FULLY ONSITE)",C-207,"TBA, -",24,ENG,U,24,-,N,N
CHEM 21.12,LAB2-JL,"GENERAL CHEMISTRY I, LABORATORY",2,"F 0800-1200
(FULLY ONSITE)",C-207,"REYES, Jude",24,ENG,U,24,-,N,N
CHEM 21.12,LAB2-JL1,"GENERAL CHEMISTRY I, LABORATORY",2,"F 0800-1200
(FULLY ONSITE)",SEC-C206A,"TBA, -",24,ENG,U,24,-,N,N
CHEM 21.12,LAB2-MO,"GENERAL CHEMISTRY I, LABORATORY",2,"F 1300-1700
(FULLY ONSITE)",SEC-C206A,"TBA, -",24,ENG,U,24,-,N,N
CHEM 21.31,N,"GENERAL CHEMISTRY FOR ENGINEERS, LECTURE",3,"T-F 1400-1530
(FULLY ONSITE)",CTC 305,"PALOMARES, Jan Carlo",36,ENG,U,36,-,N,N
CHEM 21.31,O,"GENERAL CHEMISTRY FOR ENGINEERS, LECTURE",3,"T-F 1530-1700
(FULLY ONSITE)",C-305,"PALOMARES, Jan Carlo",36,ENG,U,36,-,N,N
CHEM 34.41,M,"SURVEY OF ANALYTICAL CHEMISTRY, LECTURE",3,"T-F 1230-1400
(FULLY ONSITE)",C-109,"DIMZON, IAN KEN D.",42,ENG,U,42,-,N,N
CHEM 34.42,LAB1-JL1,"SURVEY OF ANALYTICAL CHEMISTRY, LABORATORY",2,"T 0800-1200
(FULLY ONSITE)",C-307,"TBA, -",22,ENG,U,22,-,N,N
CHEM 34.42,LAB2-JL,"SURVEY OF ANALYTICAL CHEMISTRY, LABORATORY",2,"F 0800-1200
(FULLY ONSITE)",C-307,"TBA, -",22,ENG,U,22,-,N,N
CHEM 43.11,A,"SURVEY OF ORGANIC CHEMISTRY, LECTURE",3,"M-TH 0800-0930
(FULLY ONSITE)",C-114,"TBA, -",30,ENG,U,30,-,N,N
CHEM 43.12,LAB1-JL,"SURVEY OF ORGANIC CHEMISTRY, LABORATORY",2,"T 0800-1200
(FULLY ONSITE)",C-209,"GONZALES, Fritz Gaius",25,ENG,U,25,-,N,N
CHEM 45.51,D,"APPLIED ORGANIC CHEMISTRY I, LECTURE",3,"M-TH 1230-1400
(FULLY ONSITE)",C-109,"TBA, -",42,ENG,U,42,-,N,N
CHEM 45.52,LAB1-MO,"APPLIED ORGANIC CHEMISTRY I, LABORATORY",2,"T 1300-1700
(FULLY ONSITE)",C-209,"TBA, -",24,ENG,U,24,-,N,N
CHEM 45.52,LAB2-MO,"APPLIED ORGANIC CHEMISTRY I, LABORATORY",2,"F 1300-1700
(FULLY ONSITE)",C-209,"GONZALES, Fritz Gaius",24,ENG,U,24,-,N,N
CHEM 53.10,B,SURVEY OF BIOCHEMISTRY,3,"M-TH 0930-1100
(FULLY ONSITE)",C-109,"DE JESUS, Armando Jerome Jr.",28,ENG,U,28,-,N,N
CHEM 53.10,C,SURVEY OF BIOCHEMISTRY,3,"M-TH 1100-1230
(FULLY ONSITE)",C-109,"DE JESUS, Armando Jerome Jr.",28,ENG,U,28,-,N,N
CHEM 53.10,F,SURVEY OF BIOCHEMISTRY,3,"M-TH 1530-1700
(FULLY ONSITE)",C-109,"DE JESUS, Armando Jerome Jr.",28,ENG,U,28,-,N,N
CHEM 73.51,M,"APPLIED PHYSICAL CHEMISTRY I, LECTURE",3,"T-F 1230-1400
(FULLY ONSITE)",C-114,"FABICON, RONALDO M.",25,ENG,U,25,-,N,N
CHEM 73.52,LAB1-JL,"APPLIED PHYSICAL CHEMISTRY I, LABORATORY",2,"T 0800-1200
(FULLY ONSITE)",C-309,"TBA, -",25,ENG,U,25,-,N,N
CHEM 121.01,J,"PRINCIPLES OF CHEMISTRY, LECTURE",3,"T-F 0800-0930
(FULLY ONSITE)",C-109,"ROJAS, NINA ROSARIO L.",21,ENG,U,21,-,N,N
CHEM 121.01,K,"PRINCIPLES OF CHEMISTRY, LECTURE",3,"T-F 0930-1100
(FULLY ONSITE)",C-109,"ROJAS, NINA ROSARIO L.",21,ENG,U,21,-,N,N
CHEM 121.02,LAB1-MO,"PRINCIPLES OF CHEMISTRY, LABORATORY",2,"T 1300-1700
(FULLY ONSITE)",C-207,"TBA, -",21,ENG,U,21,-,N,N
CHEM 121.02,LAB2-MO,"PRINCIPLES OF CHEMISTRY, LABORATORY",2,"F 1300-1700
(FULLY ONSITE)",C-207,"TBA, -",21,ENG,U,21,-,N,N
CHEM 141.02,LAB1-DF,"ORGANIC CHEMISTRY 1, LABORATORY",2,"M 1300-1700
(FULLY ONSITE)",C-209,"CENIZA, Kimberly",25,ENG,U,25,-,N,N
CHEM 141.02,LAB2-DF,"ORGANIC CHEMISTRY 1, LABORATORY",2,"TH 1300-1700
(FULLY ONSITE)",C-209,"TBA, -",25,ENG,U,25,-,N,N
CHEM 151.01,K,"BIOCHEMISTRY 1, LECTURE",3,"T-F 0930-1100
(FULLY ONSITE)",C-114,"DE JESUS, Armando Jerome Jr.",32,ENG,U,32,-,N,N
CHEM 151.01,L,"BIOCHEMISTRY 1, LECTURE",3,"T-F 1100-1230
(FULLY ONSITE)",C-114,"DE JESUS, Armando Jerome Jr.",30,ENG,U,30,-,N,N
CHEM 151.02,LAB1-DF,"BIOCHEMISTRY 1, LABORATORY",2,"M 1300-1700
(FULLY ONSITE)",C-307,"TBA, -",16,ENG,U,16,-,N,N
CHEM 151.02,LAB1-MO,"BIOCHEMISTRY 1, LABORATORY",2,"T 1300-1700
(FULLY ONSITE)",C-307,"TBA, -",16,ENG,U,16,-,N,N
CHEM 151.02,LAB2-DF,"BIOCHEMISTRY 1, LABORATORY",2,"TH 1300-1700
(FULLY ONSITE)",C-307,"TBA, -",16,ENG,U,16,-,N,N
